round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_ece,fed_brier,fed_f1_best,fed_auprc_lift,fed_f1,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6408634956074726,0.34079372563234567,40.15616,40.15616,0.9971592150692714,0.5500737971211122,0.2499384872871604,0.35400719339063286,0.22464093012128125,0.3163813100175625,2.2040907097303832,0.28155651829580797,0.11487379618556048,0.6739556788183635,0.6210672214394433,0.1579302365780448,1.3866177068356926,0.21702922323726845,0.24962581074338933,0.5251891016960144,0.4046098120640699,0.263738348930343,0.11389601892395189,0.007871613428387587,1.53832386713475,0.006124613220250285,0.009441929233226341
12.0,0.639724472552144,0.37761916697112985,43.80672,43.80672,0.9971592150692714,0.560086761041608,0.25115578817108114,0.3423985847017384,0.2166466350295094,0.3165272553815548,2.20804356659627,0.2825783530611133,0.11487379618556048,0.6739658794387845,0.5528772027613412,0.12442227445997134,1.0924198724017544,0.20910592120783203,0.22447398993158638,0.5199424028396606,0.40711661677990746,0.2662989533413339,0.11389601892395189,0.007442718029962483,1.5400895562488586,0.005796521106880841,0.008963141773975466
13.0,0.6375573690807548,0.4364262096945305,47.45728,47.45728,0.9971592150692714,0.5696370668660973,0.2564591776807978,0.3453652837241079,0.21895479267072027,0.31686399695140627,2.255622264015925,0.28356431499678786,0.11487379618556048,0.6759760070971915,0.5615017256249112,0.1250071898210677,1.0975553930865196,0.21240227261690867,0.2284066691738749,0.5175530314445496,0.40546497941089155,0.2648472704588766,0.11389601892395189,0.007054887420743317,1.5483586463378742,0.0052920762832519876,0.008721620784490626
14.0,0.635104968214598,0.4591549648910204,51.10784,51.10784,0.9971592150692714,0.5218011472199975,0.2585129677425218,0.31352348879538694,0.19998417337731558,0.31654450108101895,2.26708216669096,0.29096378151049296,0.11487379618556048,0.6767764799307746,0.5672095174640429,0.1269929537103363,1.1149902771854494,0.2143879919024342,0.23018581721653394,0.5165348052978516,0.4038309773820306,0.2634791253032803,0.11389601892395189,0.006691071377545258,1.5589419787283987,0.0050031128348278775,0.008317552099942511
15.0,0.637612552807978,0.530889088180376,54.7584,54.7584,0.9971592150692714,0.5704022261167011,0.26477094895186537,0.34418166729979127,0.2185625206363521,0.3198517562762728,2.3311614193235264,0.28610537185124474,0.11487379618556048,0.6816634898106327,0.53977169736204,0.12081740109671472,1.0607693072870634,0.2079782751193932,0.21985146764116467,0.5175986289978027,0.4067595851361959,0.2660893318033748,0.11389601892395189,0.0061334897926283456,1.5150951604591683,0.004694486951143184,0.007535852668449704
16.0,0.6339468815536298,0.5640505363874763,58.40896,58.40896,0.9971592150692714,0.5639897306251159,0.2652076150682212,0.3308607680189496,0.21014805867016695,0.32467770428010434,2.3314208222950072,0.28970657539163985,0.11487379618556048,0.6832603714248913,0.5907181418739614,0.1390247475246045,1.2206286825304316,0.20768730851360134,0.24155124653739612,0.5243409872055054,0.40890213154787697,0.2675971857107327,0.11389601892395189,0.006001209604153347,1.564913359703496,0.00443160497928713,0.007544610014501144
17.0,0.6382403532519685,0.563483373896935,62.05952,62.05952,0.9971592150692714,0.5531680069490021,0.2687398711499955,0.3257690313727492,0.20624929483851598,0.3256462948117745,2.365796005853416,0.29247843241579086,0.11487379618556048,0.6836708628614542,0.5757189869540418,0.13215126596208598,1.1602799396379524,0.21252904725019364,0.23311710481392967,0.5199571251869202,0.4044831284033621,0.264014235755009,0.11389601892395189,0.005929633702932721,1.6312325882026926,0.004260540163275608,0.007599132488223881
18.0,0.6360759877710127,0.5743359797664197,65.71008,65.71008,0.9971592150692714,0.5510038339769799,0.26754338023722457,0.3425889989236771,0.21559711540275223,0.32364980330385773,2.3443917383773067,0.2948377008692059,0.11487379618556048,0.6833250035229047,0.551149256201525,0.1254730832515799,1.1016459085840218,0.2099876812280868,0.2228298017771702,0.5188125371932983,0.40516822668631197,0.2647426020159719,0.11389601892395189,0.00532222351173835,1.54136562847998,0.003727153046082351,0.006940842153681832
19.0,0.6395061274027392,0.5286861723565711,69.36064,69.36064,0.9971592150692714,0.5547693852432993,0.26986814938400305,0.33052974276077207,0.20958065903312956,0.3234681664512882,2.3643278155699665,0.2902539327457184,0.11487379618556048,0.6865884838201772,0.5762492389384991,0.13274269829634444,1.1654726789439096,0.20980939317977582,0.23310373047807403,0.522074282169342,0.40646589098125957,0.2656772040130947,0.11389601892395189,0.004826050706620553,1.4637430323055014,0.00324964059949432,0.006451981434160525
20.0,0.6369098172484778,0.6415421962525881,73.0112,73.0112,0.9971592150692714,0.5457464389663859,0.27121460391470653,0.3164290606462263,0.2024275253601376,0.32665091980739486,2.374576745420311,0.2965415922803486,0.11487379618556048,0.6870474322827235,0.6112893537629707,0.15069180304046317,1.3230647081798332,0.21704648127698023,0.24608021125598284,0.5228313207626343,0.4030630299477916,0.262640265151054,0.11389601892395189,0.00528739708376225,1.685608762782067,0.0034354822549569693,0.007219242730490454
