round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_brier,fed_f1_best,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6700827804093354,0.11598062812464227,0.962775,40.27056,1.0,0.11022977651872835,0.21429663818492525,0.22811941927705745,0.29117386602975653,0.2519513092186026,0.6687707816272909,0.4822815148437177,0.36434901243003615,1.958802608236055,0.6648303472247565,0.21918115162054,1.9243969516343389,0.2618061309030654,0.2805049088359046,0.4881947338581085,0.36077642649287667,0.22838746374868513,0.11389601892395189,0.012914122168219067,0.4266557745136197,0.006465067911793994,0.02105127126260486,0.00040432172860037195
12.0,0.6694663344482354,0.12456856724087165,1.0503,43.93152,1.0,0.11022977651872835,0.21437176672971892,0.22887198315678958,0.29150002219097815,0.26263124107540126,0.668711673880072,0.4842354213718652,0.3656462834396938,1.9600065910425135,0.6648138823440709,0.2193396361335775,1.9257884358541983,0.2691190706679574,0.28028876333961084,0.4916311502456665,0.36220495104999734,0.2291352413997632,0.11389601892395189,0.009839750044133087,0.36309022008072134,0.0032658202038758776,0.018377158401592437,0.00041932447347653673
13.0,0.6663819614261572,0.14791503203321432,1.137825,47.59248,1.0,0.11022977651872835,0.2143869838479299,0.22902153875670672,0.29186391027884545,0.2635906102726744,0.6687300733070285,0.4857656853432396,0.3663108412109532,1.9601667557875302,0.6649816559644105,0.21941188627654334,1.9264227876396993,0.27339449541284405,0.27998103965871385,0.4939141571521759,0.36274412204613415,0.2292869759675524,0.11389601892395189,0.007885939104643318,0.32158965136795814,0.00554787722524446,0.011036062948848699,0.00029080964806248025
14.0,0.6664172550618204,0.14195940118072195,1.22535,51.25344,1.0,0.11022977651872835,0.21428639727338952,0.22888622300635955,0.2913603096411669,0.2654178470700755,0.6686253538427415,0.4864550956003989,0.36641885402782715,1.9589863183034546,0.6648918646371961,0.21944626055384814,1.9267245916678784,0.27531922336889975,0.28058007566204285,0.4954129457473755,0.36284059195671126,0.2291552244965557,0.11389601892395189,0.006456095819083545,0.28738262916704116,0.003281565745806539,0.010786590481826442,0.00034783484288362514
15.0,0.6644467035521957,0.15279539357482613,1.312875,54.9144,1.0,0.11022977651872835,0.21431180420943524,0.2291269760153272,0.29168019979364385,0.2719779241927835,0.6686505368445198,0.48787685563476507,0.36685231579787186,1.9593171774359874,0.6648666276897427,0.2195274968268961,1.9274378411195752,0.2775087660711304,0.27917258803094896,0.4975416362285614,0.3633917491997222,0.22940183506871584,0.11389601892395189,0.006319966118642534,0.3049144449992127,0.00367156129717367,0.01001716232979921,0.0003526079845943346
16.0,0.662457996648199,0.15980760116053844,1.4004,58.57536,1.0,0.11022977651872835,0.2143272508740672,0.22860161912858656,0.29152500309312945,0.2707422426941926,0.668761036936115,0.4879979641643154,0.36635726689166687,1.9595669644533682,0.6649439574113774,0.21954437269904892,1.9275860102330546,0.2777867397967414,0.27926267281105993,0.4974769055843353,0.3629544100512904,0.22889474727443526,0.11389601892395189,0.00517247332936872,0.2675981088068511,0.00225264712504605,0.009374788961797569,0.0002922701843582353
17.0,0.6625639950960982,0.17155233680895018,1.487925,62.23632,1.0,0.11022977651872835,0.21440133972323494,0.22787266161304015,0.29158976336488773,0.2720876090033894,0.6688213259665626,0.48870733112218734,0.3655896198648232,1.9602232238738104,0.664933365674107,0.21956848890872493,1.9277977490620661,0.27837326607818413,0.27893447642375996,0.4981752932071686,0.36218787313881584,0.22818696735646335,0.11389601892395189,0.003687959186574722,0.20438891859203068,0.0011009015419498052,0.00748106251332387,0.0004046494961812662
18.0,0.6617051885102739,0.19362099355703005,1.57545,65.89728,1.0,0.11022977651872835,0.21445672179620787,0.22746605983955892,0.29195174348579317,0.2730873070123026,0.6687916345815775,0.48845608613008523,0.3651691748711686,1.9608994464123684,0.6649044391878416,0.21956298811595415,1.927749452441844,0.2779418622726566,0.27899686520376177,0.5004196166992188,0.3617625650614868,0.22779287327892606,0.11389601892395189,0.0038885057611680084,0.230012423037806,0.000859932007368482,0.00844600842629643,0.0007579568204816498
19.0,0.6595173898903403,0.212063353034869,1.662975,69.55824,1.0,0.11022977651872835,0.2144761093981595,0.2266007200793332,0.2923902259113468,0.2728391825346024,0.6688128331302703,0.48911387864658584,0.36401272985895433,1.9610344449739892,0.6649140395184243,0.21960535246418916,1.9281214087984861,0.2783392940444721,0.27904040404040403,0.5009024739265442,0.36069359630833775,0.22694283085822708,0.11389601892395189,0.002795605177903919,0.17596752067038324,0.0006512527139124142,0.006151141510825439,0.00041222587027916867
20.0,0.6638454037755952,0.2179762861014499,1.7505,73.2192,1.0,0.11022977651872835,0.2144541026429644,0.22751732437090247,0.29214457337155925,0.2722826215205859,0.6688160449989915,0.49156203139755084,0.3653126124432149,1.9609010241389466,0.6649312573662144,0.21960450604627557,1.9281139773015683,0.27771958701182103,0.278908188585608,0.5066640377044678,0.3620931015856296,0.2278648396474978,0.11389601892395189,0.0025760430410159585,0.1709228797212745,0.00036780603643100126,0.0061655319311321975,0.0004573068699988865
