round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_auprc_lift,fed_ece,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
17.0,0.630590725324156,0.5065979458103805,5.2127025,36.39808,0.5412350858791136,0.28350287105373606,0.24069870418489608,2.2279133904147863,0.34518583168945577,0.11132787916928881,0.6762579112913102,0.5164049223787458,0.3018055432767344,0.21467419878025176,0.3673999077063121,0.08325338597368094,0.7309595783964059,0.0800203873598369,0.20463180749050114,0.46534591913223267,0.3742552928499417,0.24298022437188702,0.11389601892395189,0.008556015954875273,0.27280939687625505,,0.008556015954875273
18.0,0.6216049839178651,0.5172397210240118,5.49495,38.37952,0.5412350858791136,0.28978000976326473,0.24787066374216934,2.2979977639965714,0.34353446290647177,0.11132787916928881,0.6847343744280411,0.5329495768096179,0.3097974057839688,0.2134924742994307,0.3716030830288293,0.08374292794381408,0.735257726608768,0.0795155344918378,0.20454853732423023,0.465370237827301,0.37398114127729765,0.24265039777758143,0.11389601892395189,0.0096816521661187,0.323532908631023,,0.0096816521661187
19.0,0.6082232419002062,0.6169033107680867,5.7771975,40.36096,0.5412350858791136,0.29604333245361464,0.25320416739543616,2.356339491443508,0.33225740530089126,0.11132787916928881,0.6900686316109615,0.5278255593577894,0.3184313324184562,0.2059725921116727,0.3713530603017722,0.08371285540667778,0.7349936915931422,0.08258483033932136,0.20457421804375336,0.4654709994792938,0.3750281229812454,0.24351213616767445,0.11389601892395189,0.009508660891298402,0.3333237251645187,,0.009508660891298402
20.0,0.6456134031050905,0.5191645978222138,6.3041925,44.01152,0.9971592150692714,0.2724896650104819,0.223185881448203,2.052704874615351,0.3439547424902698,0.11132787916928881,0.6554107145667464,0.5056125433659538,0.29100573564453974,0.21498791361215377,0.37463727692157334,0.08413824508731853,0.7387285866725284,0.08954187875983341,0.20453723788864786,0.46535950899124146,0.3765961900124691,0.24481862240477165,0.11389601892395189,0.011796170463012167,0.6153437817411032,0.02143890161219289,0.007700925818739831
21.0,0.6466587947562442,0.5100987845527304,6.58644,45.99296,0.5412350858791136,0.27957068524452877,0.23470639986872144,2.1655430063876913,0.3367712144800294,0.11132787916928881,0.6675026403520791,0.5100277881584052,0.30042310146204043,0.2098185527182708,0.3764680160406088,0.08439054890252504,0.7409437985613212,0.09259051675821096,0.20452799493876814,0.46506285667419434,0.37726460934747263,0.24536953106299317,0.11389601892395189,0.006592628672266238,0.2460297439029091,,0.006592628672266238
22.0,0.6273478959882006,0.533381594289444,6.8686875,47.9744,0.5412350858791136,0.28368266681714055,0.24227663816832687,2.240360952773801,0.3360671939477184,0.11132787916928881,0.6758715198943709,0.5384797739112352,0.3071711396748917,0.21011804592522457,0.37089180520299264,0.08369069927238768,0.7347991621047595,0.09621643612693247,0.2045649717514124,0.4642692804336548,0.3795421369944901,0.2475036574799232,0.11389601892395189,0.005947969587835663,0.2305362237530062,,0.005947969587835663
23.0,0.616299807997488,0.6424391578982033,7.150935,49.95584,0.5412350858791136,0.28666030835711515,0.24874774240094802,2.3065555000360174,0.3510579503880423,0.11132787916928881,0.6847668367568777,0.5523273703322762,0.31169407942020144,0.2191006777116895,0.37579803846045534,0.08430192952155618,0.7401657258788333,0.09349503858875413,0.20457421804375336,0.4663540720939636,0.37830925141386895,0.2461374588995093,0.11389601892395189,0.006319152174334243,0.2556049739359878,,0.006319152174334243
24.0,0.6031721449024918,0.6715486461954542,7.4331825,51.93728,0.5412350858791136,0.2921908705120045,0.2559582068986139,2.380419318081856,0.34144195854040227,0.11132787916928881,0.690306687398133,0.5275394230724655,0.318163963901599,0.2122294036885019,0.37418599863692875,0.08407226465761847,0.7381492825816267,0.09504950495049505,0.20458665699782452,0.4657178521156311,0.3791773712963827,0.247043336329387,0.11389601892395189,0.006647125601730094,0.2803455590037629,,0.006647125601730094
25.0,0.6483806544894979,0.6140439728946353,7.67793,53.6064,0.4559241291901578,0.27533854565454374,0.2244139971970224,2.0571445744523715,0.33003577766992737,0.11132787916928881,0.6565587766332934,0.5178655225031026,0.290406630328645,0.208088162579869,0.37414573999574025,0.0840418378297256,0.7378821369150764,0.09754147511493104,0.20457116994795205,0.46552667021751404,0.38005714738181196,0.2478186734583833,0.11389601892395189,0.014094846654888932,0.2526897608768195,0.014094846654888932,
26.0,0.643241088071302,0.6196569112767042,7.9601775,55.58784,0.5412350858791136,0.27864084673606115,0.23542813862198872,2.17670004873331,0.3498222156158778,0.11132787916928881,0.6690065575656596,0.5280013053971615,0.2967444544752542,0.21913696949757008,0.3660253913559075,0.08308263655158145,0.729460409033748,0.09592521085255563,0.20455778621812265,0.4625338017940521,0.3786904854727437,0.24694234327973555,0.11389601892395189,0.005878387299575837,0.2562133464962244,,0.005878387299575837
27.0,0.6266284770755208,0.5307266583732778,8.242425,57.56928,0.5412350858791136,0.2883101781973391,0.24517828822825208,2.2727417289533256,0.346809550575898,0.11132787916928881,0.6783155358515434,0.5497223179883517,0.3059802510458744,0.21626305464809684,0.3639058140555767,0.08283245476663442,0.7272638284393546,0.09746664088184104,0.20453928926666065,0.46248897910118103,0.3805506853195986,0.24865614761480812,0.11389601892395189,0.007079913993674996,0.31594518828205764,,0.007079913993674996
28.0,0.6144670412626326,0.6665242389635202,8.5246725,59.55072,0.5412350858791136,0.29152822099061576,0.24931659732459613,2.3170091666645805,0.33758700393642016,0.11132787916928881,0.6844645638015345,0.5378060171332576,0.31610680447765227,0.21028982234355756,0.3647739349292856,0.08291407975819859,0.7279804908155757,0.09961899451723817,0.20453209100366368,0.4632245600223541,0.3822856204046793,0.25017112135869124,0.11389601892395189,0.005793873432837212,0.26751956198131666,,0.005793873432837212
29.0,0.6008727048330682,0.8336996454816596,8.80692,61.53216,0.5412350858791136,0.2923392411354404,0.2570018294950279,2.3896233344021462,0.33811706673468783,0.11132787916928881,0.692243879512542,0.5439307970847626,0.3196915847183544,0.21065667718762437,0.3633227037803818,0.08275479609701625,0.7265819901244436,0.10095324557421698,0.20459686906162336,0.4627839922904968,0.3831247884746983,0.25098351905924476,0.11389601892395189,0.005250861761498653,0.25203773434623145,,0.005250861761498653
30.0,0.6499893255628646,0.7811701866567167,9.333915,65.18272,0.9971592150692714,0.2732852825083071,0.22383539991531037,2.0506969161333686,0.3315635009502899,0.11132787916928881,0.6564614299194337,0.5119317799243932,0.290829836676447,0.20890200448321558,0.3663653936519552,0.08310238470389178,0.7296337965893176,0.10477794521762256,0.20452799493876814,0.46236270666122437,0.38488463070109535,0.2524442857075916,0.11389601892395189,0.0077660726283706755,0.5399382607429288,0.013790110247807488,0.005238188744390613
