round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_brier,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auroc,fed_auprc_lift,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6506282942103323,0.35040797809125745,40.15616,40.15616,0.9971592150692714,0.3079364279462302,0.27643191613414136,0.2242440401557273,0.5434266766373814,0.3548736502965095,0.11436304128902318,0.6771920418719881,2.100612281946894,0.23965643740397277,0.6488915897540051,0.21837947486992804,1.9173582793595227,0.27936507936507937,0.2806921175501236,0.4983435273170471,0.3810429550109989,0.2444561362700292,0.11389601892395189,0.007074516587305979,1.4189616229850799,0.005862917753787011,0.008243607589860506
12.0,0.644637282732791,0.37602601347847925,43.80672,43.80672,0.9971592150692714,0.3103529461703529,0.27254148270042067,0.22616884765177298,0.5639190023721826,0.3577343177881321,0.11436304128902318,0.6797109440020311,2.1156257212786005,0.2425068580337602,0.6409610139234159,0.2142571589495756,1.881164600605001,0.276935682097501,0.281035795887281,0.4982125461101532,0.38110820725061456,0.24465701374273108,0.11389601892395189,0.007041689398348893,1.4953358501661569,0.005648256323385596,0.00842123486187752
13.0,0.6416548603397187,0.36269194317542064,47.45728,47.45728,0.9971592150692714,0.30938009823712204,0.2765343209028287,0.21438470765536333,0.5605726275379204,0.3388026748982718,0.11436304128902318,0.6797819084270427,2.1282595680560945,0.24407797375361515,0.6379357050425053,0.2102388017152157,1.8458836726821124,0.27539195637355146,0.2802945214027206,0.4979923963546753,0.3811257548337374,0.24476629060487853,0.11389601892395189,0.006794494107459266,1.53053477127105,0.00522295199049657,0.008381055119253937
14.0,0.6419868069125495,0.46353390386053883,51.10784,51.10784,0.9971592150692714,0.31013146002052194,0.29116077717703,0.2001871521293629,0.5497857669362759,0.3159084400750156,0.11436304128902318,0.6809294335561777,2.1560213918798214,0.24662173060447062,0.6296686031140009,0.20163947971323215,1.7703821574998717,0.27352572145545795,0.27567784159209296,0.49416080117225647,0.3766489523236132,0.24182905536576763,0.11389601892395189,0.006428413393957056,1.5377917044097558,0.00473228271991813,0.008166775658668876
15.0,0.6410405391158148,0.48920600046124985,54.7584,54.7584,0.9971592150692714,0.3134903824340667,0.2841157533286367,0.2181478958399446,0.5665474214440086,0.3444596872489603,0.11436304128902318,0.6845958846629729,2.174028221545321,0.24919208487924727,0.6174466167656961,0.19175241702917484,1.6835743587948186,0.2678454485920105,0.2704286154794943,0.49920132756233215,0.3790947074477713,0.2438373564821146,0.11389601892395189,0.006419207655576354,1.6203173572430387,0.0046056976025862445,0.008298938657933002
16.0,0.639865808202441,0.5456856543921529,58.40896,58.40896,0.9971592150692714,0.31818258747625866,0.28874488546077753,0.21255367137720696,0.5792918701816541,0.3364815044288091,0.11436304128902318,0.6882172968114628,2.226395767682497,0.25523513276575077,0.6073398028601606,0.18213108478631707,1.5990996569241422,0.25603296056503827,0.2590404840801038,0.49973323941230774,0.3810110338018371,0.24540122434774972,0.11389601892395189,0.006486284999416109,1.730963991722092,0.004412028985281164,0.008669443274855748
17.0,0.6401353959095378,0.5600346132642555,62.05952,62.05952,0.9971592150692714,0.3173156656742893,0.29034525066818834,0.21098972293520352,0.5357758940984415,0.33393117581088044,0.11436304128902318,0.6896358843775157,2.24766656391154,0.2575047377061402,0.5965949371797035,0.17515228826126567,1.5378262551759114,0.24727932285368803,0.24858131487889273,0.49880754947662354,0.38080325510152796,0.24532181163241007,0.11389601892395189,0.006378549569368914,1.79228300973773,0.00417738955527307,0.008727581898873345
18.0,0.637909140895981,0.6297465665231476,65.71008,65.71008,0.9971592150692714,0.3238997073575085,0.2925407904516206,0.21322535794052516,0.572448909267678,0.33853741253286307,0.11436304128902318,0.6931281123969586,2.282005062543315,0.26175063575036484,0.6217465860094997,0.1908741482313402,1.6758632130837376,0.25770132916340893,0.2634567901234568,0.49638301134109497,0.37963486518291806,0.2441902576057889,0.11389601892395189,0.005871502034835566,1.7377212453866377,0.00397527381238201,0.007925952854592357
19.0,0.6432568397831478,0.6078426092822153,69.36064,69.36064,0.9971592150692714,0.32417581159020414,0.2887686348549381,0.21509326553421598,0.568239158942305,0.3408801524054863,0.11436304128902318,0.6928786594054327,2.302426134553648,0.2640791317951151,0.6206234477269404,0.18057531982860844,1.5854401368425193,0.2322733557179538,0.2598350682709207,0.4960983395576477,0.37823949649617267,0.2433213248857159,0.11389601892395189,0.005246683973037951,1.6352698324481025,0.0035805931980532448,0.007073611016929222
20.0,0.6396728745080444,0.6397876719219855,73.0112,73.0112,0.9971592150692714,0.3271749692388574,0.2896872295407522,0.2116863750168652,0.5658053615152056,0.33642263062723166,0.11436304128902318,0.6954423558003611,2.3215770755889564,0.2660757304620457,0.5941691532568664,0.16091271829581055,1.4128037118070966,0.23245403677058354,0.23869055290630234,0.4977027475833893,0.3808025515078298,0.24542012352475578,0.11389601892395189,0.0054366050048508165,1.777463496895507,0.0034332974596450036,0.00766275328677793
