round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_brier,fed_auprc,fed_f1_best,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6523411761646336,0.38157739671720325,24.82176,24.82176,0.5412350858791136,2.126150175279216,0.22554684186031895,0.238880336190291,0.3075192200616626,0.28435556811113927,0.6778071312259474,0.5611914653661177,0.35842620951947934,0.11379657603222557,0.6302160478473449,0.21496670917211136,1.8873944076626958,0.2816243970748405,0.28217200251098556,0.5002683401107788,0.3800455941108292,0.24375693268876314,0.11389601892395189,0.00769923383770989,0.7616728018037975,,0.00769923383770989
12.0,0.6333708149589938,0.3892840598645855,26.8032,26.8032,0.5412350858791136,2.270834584263974,0.22483521704493306,0.25436929074620446,0.3217474889336931,0.28742287043449605,0.6889831357046202,0.5554906853661316,0.3578977407301398,0.11379657603222557,0.6338312813557464,0.21469161035304674,1.8849790570502367,0.2794208256315465,0.2812840043525571,0.4956396222114563,0.3793207224469893,0.24322853991998816,0.11389601892395189,0.007868090762040116,0.8062186952447519,,0.007868090762040116
13.0,0.6166868649325256,0.5052027788016727,28.78464,28.78464,0.5412350858791136,2.3994256834581624,0.2087889337528611,0.2678708868389691,0.32609166668540956,0.29912442301342906,0.695737482623188,0.5525667950255873,0.33379832052410946,0.11379657603222557,0.6085514524258567,0.20715941637398597,1.818846859891616,0.2749036873968079,0.2818770226537217,0.5033366680145264,0.3840186444122746,0.247102271452598,0.11389601892395189,0.008951364855805723,0.9623460277216509,,0.008951364855805723
14.0,0.6025698999886183,0.6559091790582122,30.76608,30.76608,0.5412350858791136,2.4993057818866333,0.1953391139734536,0.27834919997708685,0.3386963223880922,0.3077517647950254,0.7047310987880469,0.5528534538443657,0.31258896717997237,0.11379657603222557,0.606646044068956,0.20484482159601658,1.7985248609329445,0.2790259230164965,0.28067025733093953,0.4988228976726532,0.38164389875324056,0.2453959080891734,0.11389601892395189,0.009396971581964748,1.063063763664104,,0.009396971581964748
15.0,0.643674880779459,0.6278217834777086,32.4352,32.4352,0.4559241291901578,2.0575902338367653,0.22032153489042922,0.23152110810176407,0.29479104443610615,0.2743402907709086,0.6668208655544029,0.5467601961644755,0.34609648397507486,0.11379657603222557,0.6165874311016275,0.20721194292512168,1.819308039761044,0.27835665376600177,0.2810092961487384,0.49740225076675415,0.3819300494167512,0.24559688776615932,0.11389601892395189,0.011349479640276758,0.619717666413635,0.011349479640276758,
16.0,0.6443903302114374,0.5585864543409088,34.41664,34.41664,0.5412350858791136,2.228404302400022,0.2097499857896634,0.2498841490799112,0.31602184512544457,0.2897928973314571,0.6817506615233285,0.5646114458572888,0.33293094503349074,0.11379657603222557,0.5937414679414968,0.19624369211328702,1.723007476181573,0.2507836990595611,0.265015015015015,0.5045003890991211,0.3833175656242803,0.24686564965164928,0.11389601892395189,0.006368719030599575,0.7453748924890533,,0.006368719030599575
17.0,0.6238231497390573,0.5649836504634353,36.39808,36.39808,0.5412350858791136,2.366209959497686,0.20695995285127844,0.26439992194247025,0.32128180990697625,0.29583377840595143,0.6929694063887675,0.5588028596213305,0.3297852993844788,0.11379657603222557,0.6299566883281916,0.21056655848695466,1.8487613568613797,0.2774407060121346,0.28074074074074074,0.49661627411842346,0.38079601653455347,0.24436876218585757,0.11389601892395189,0.006438546313211878,0.7750724486541003,,0.006438546313211878
18.0,0.6040038665831965,0.710687039431353,38.37952,38.37952,0.5412350858791136,2.505803779500993,0.2057920788907347,0.2785874078646259,0.33774119823260873,0.30506188758998226,0.7056444646982322,0.5833934102758901,0.3299843520786584,0.11379657603222557,0.6491306944580466,0.21596807504181598,1.8961863380494217,0.27898843153080444,0.28107831864060306,0.49805667996406555,0.3792694111755086,0.24296978618059867,0.11389601892395189,0.007993574100631996,0.9977133190259337,,0.007993574100631996
19.0,0.5876213279942797,0.7945860294445912,40.36096,40.36096,0.5412350858791136,2.676057000582806,0.20758374545180433,0.29590005174990336,0.35021362731597383,0.31101048275164805,0.7174720201360184,0.5900166181046498,0.3315911556490672,0.11379657603222557,0.6540055791850576,0.21496070426675956,1.8873416849651992,0.2780734070132351,0.2817983860637889,0.4979013502597809,0.3785479196656049,0.24245210865414152,0.11389601892395189,0.008053673976776587,1.0518467514775693,,0.008053673976776587
20.0,0.6470797886812517,0.8959008610396608,44.01152,44.01152,0.9971592150692714,2.06591966513477,0.21833299800569125,0.2333903834780049,0.29655305094604534,0.27026797474601194,0.6680332505037152,0.5592209341460305,0.3428522824855617,0.11379657603222557,0.6557137101605732,0.21145122282254014,1.8565286549982545,0.2774750830564784,0.2819221967963387,0.5020962953567505,0.3781549899808726,0.2424760843954096,0.11389601892395189,0.007006225661300198,1.358229863224551,0.00968143044582102,0.0058351040166621
21.0,0.6423267662124845,0.6516089316503687,45.99296,45.99296,0.5412350858791136,2.218526517442984,0.22232600623345053,0.2493411336280571,0.311376022690337,0.28061436450686494,0.6831019528657905,0.5752377626931618,0.35165065008169644,0.11379657603222557,0.6547472141346582,0.2083929931363192,1.8296775875499454,0.27676794480562555,0.27976636213868505,0.5019484758377075,0.3773372267550602,0.24199166580944764,0.11389601892395189,0.005404440321135613,0.7421665840083733,,0.005404440321135613
22.0,0.621536422563143,0.6048281762593658,47.9744,47.9744,0.5412350858791136,2.410802925375521,0.21282422589842953,0.2690859055770105,0.3227853513525453,0.2988310089304185,0.6958314952553006,0.5494631309763781,0.33962887859399626,0.11379657603222557,0.6433400134901587,0.2058359426298946,1.8072268422949076,0.2759953614224971,0.27937732470037197,0.5012414455413818,0.3799512618032866,0.24399305413142083,0.11389601892395189,0.006166558878582314,0.8713933827821165,,0.006166558878582314
23.0,0.6039648879731486,0.728436470445034,49.95584,49.95584,0.5412350858791136,2.5333445256127054,0.20855654463848902,0.28161228173918795,0.3372768046418681,0.3082982056302266,0.7092051759406092,0.5465891594526779,0.33473646244215177,0.11379657603222557,0.6638257134149975,0.2101380081067587,1.8449987110354347,0.2785645538292314,0.279522089469297,0.5002336502075195,0.3753479992766176,0.24016027227880243,0.11389601892395189,0.0073815541700966185,1.083325490122661,,0.0073815541700966185
24.0,0.5863094943797728,0.8285252925709784,51.93728,51.93728,0.5412350858791136,2.765202320898762,0.1968012024998488,0.30627463233019786,0.34759828982088525,0.3130006723217961,0.7200997944227713,0.5743402966278467,0.3179968817518041,0.11379657603222557,0.6624587894828968,0.20800470105210567,1.8262684070721553,0.2759415833973866,0.27882227740333454,0.49727970361709595,0.37711915459298806,0.24157329603633104,0.11389601892395189,0.007757051487704678,1.1888692261418328,,0.007757051487704678
25.0,0.644527966034588,0.9365003908511189,53.6064,53.6064,0.4559241291901578,2.107851603316029,0.21027346457821605,0.238000792391225,0.3019563471043453,0.28169979248990784,0.6738784312704516,0.533997151546728,0.33317363004773215,0.11379657603222557,0.6643682262138068,0.20909822203451078,1.8358694536472357,0.2785950960901259,0.28050025523226135,0.4988701641559601,0.37665324842685644,0.241311468477016,0.11389601892395189,0.008653473823233115,0.5500819594599307,0.008653473823233115,
26.0,0.6365756579089877,0.798477371812132,55.58784,55.58784,0.5412350858791136,2.2974236254299516,0.21419624269268692,0.2575249282189202,0.3202577462191273,0.288568261547788,0.6919772817967017,0.5534653127782444,0.3419775257903749,0.11379657603222557,0.6642121361330391,0.20441933729523726,1.7947891350945953,0.2765055131467345,0.28234389024233875,0.4976554214954376,0.374999797666995,0.24018503204062291,0.11389601892395189,0.005459981379566563,0.8623728806851432,,0.005459981379566563
27.0,0.6187317707639041,0.8645911128110946,57.56928,57.56928,0.5412350858791136,2.4805093322991834,0.20261936154964053,0.27632849122567954,0.33675432240642716,0.30376635606224456,0.7050183539892697,0.5626966522524484,0.32394570629825215,0.11379657603222557,0.6611130992231439,0.20988394363899143,1.8427680407260807,0.2772332679921591,0.28011497256336554,0.49833008646965027,0.37687953417587605,0.24147022263353204,0.11389601892395189,0.005682716943326315,0.9254135908558965,,0.005682716943326315
28.0,0.6001547534247899,0.9321526579690476,59.55072,59.55072,0.5412350858791136,2.6437467961558747,0.19703534798063876,0.292635122407851,0.34406654840993395,0.31144294900352826,0.7139039494477339,0.5617056989785348,0.31638145687298674,0.11379657603222557,0.6660595534734397,0.2121622948492792,1.862771823402708,0.2757331799884991,0.2807062436028659,0.49668750166893005,0.3755724092717559,0.2402482592246451,0.11389601892395189,0.006199707160292273,1.0475310151232406,,0.006199707160292273
29.0,0.5757627392609198,1.0158271891869006,61.53216,61.53216,0.5412350858791136,2.774450051769877,0.20174289965056721,0.3061159421345879,0.3570106017755961,0.31627119059131326,0.7256449383372422,0.578442343982445,0.32515072772053816,0.11379657603222557,0.6460321344273176,0.20997320712108608,1.8435517685766059,0.27096574174546584,0.2792165111081898,0.49579712748527527,0.3776505452240591,0.24197969481354606,0.11389601892395189,0.006963703587124039,1.2255708274897188,,0.006963703587124039
30.0,0.646993928774744,1.3567143114924076,65.18272,65.18272,0.9971592150692714,2.1478008502305186,0.21787198061182378,0.2430283211801846,0.30413664930278045,0.27772384231588654,0.6762540540062507,0.5526572512303295,0.3426694077829298,0.11379657603222557,0.6462854325612792,0.2098550155770056,1.8425140541314733,0.27418102779071574,0.2815639753056531,0.4940691590309143,0.37777265901084134,0.24222948457294396,0.11389601892395189,0.006006211579266958,1.5056219131220132,0.00833042242579611,0.0051346149659833445
31.0,0.6407532808611764,0.9336360101070641,67.16416,67.16416,0.5412350858791136,2.334643407550774,0.21480386343701352,0.2625318327658394,0.3194093724159125,0.2954989554032497,0.6923462444548987,0.5423394304410388,0.3438641103608242,0.11379657603222557,0.647031008038727,0.2105767358508576,1.848850713486827,0.2734160889891988,0.28066098631551767,0.49460408091545105,0.37853393873604896,0.24281536380229046,0.11389601892395189,0.004105323296406856,0.7598334157373756,,0.004105323296406856
32.0,0.6210309156267061,0.7656073028353882,69.1456,69.1456,0.5412350858791136,2.5156159770642006,0.2102886457852166,0.2804318213510705,0.32901576862559206,0.2960454221810873,0.7044149540745778,0.577199637055142,0.3369993581868003,0.11379657603222557,0.6420170628369621,0.21150690080655415,1.8570175042533912,0.27611044417767105,0.28115840075038107,0.4946984648704529,0.3804003593275967,0.24420824670811825,0.11389601892395189,0.004400842177519179,0.8331666076555848,,0.004400842177519179
33.0,0.6033494620785546,0.9376700756649555,71.12704,71.12704,0.5412350858791136,2.739163740172675,0.2033097217836533,0.3040729847451781,0.3442402013961655,0.3080064178127595,0.7164994709834744,0.5617075954589239,0.3278576893018453,0.11379657603222557,0.6288731812142337,0.20604477919889075,1.809060414451065,0.2761226565906118,0.2787963610916725,0.4992952346801758,0.3819248077703702,0.24555942546699566,0.11389601892395189,0.0045913941562741156,0.8954004282131791,,0.0045913941562741156
34.0,0.5794250041881515,1.0509061452336028,73.10848,73.10848,0.5412350858791136,2.8437665194799213,0.20672479965621324,0.3143312041281932,0.35902223924008736,0.31192364952677337,0.7277383598676967,0.5908356051655694,0.33324895340620797,0.11379657603222557,0.6172908404212218,0.2004019664963179,1.7595168680138489,0.25328580975718423,0.2601711192596473,0.5064101815223694,0.38552628213130896,0.24835136182796205,0.11389601892395189,0.006862112268706142,1.3828664504690096,,0.006862112268706142
