round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_brier,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6402860791532171,0.48571480141585893,40.27056,40.27056,1.0,0.32329321405829836,0.5234433219858953,0.3064095748819966,0.23825621658861126,0.20333217577673426,2.1446352319677815,0.6751376447931096,0.11208307111390807,0.2891615660564593,0.6615905180157671,0.212566453109806,1.8663203079269708,0.27203967761934283,0.2743521000893655,0.4733732044696808,0.3210624038649647,0.2051040784564696,0.11389601892395189,0.008166084532530673,1.6564122029540158,0.0059988562510618374,0.010203897801066187,0.004745154262073763
12.0,0.6405964606956582,0.500380545285691,43.93152,43.93152,1.0,0.34032367881530484,0.5678240278331342,0.31006671719126977,0.24185256809573308,0.21390166337356528,2.1759792372817404,0.6779832506306789,0.11208307111390807,0.2820136194656274,0.6605591162254422,0.21188042017355185,1.860296981187937,0.2717729841965625,0.27432675044883303,0.5080989599227905,0.3378285686308523,0.21576062479729294,0.11389601892395189,0.006788712549543518,1.466019402785605,0.005278490948969841,0.008246230291256125,0.005229705465596052
13.0,0.6383851242127547,0.49972816559204725,47.59248,47.59248,1.0,0.33058101214876406,0.5578492286052997,0.31178330889201966,0.24271097539103753,0.2071848197623028,2.184064482864497,0.6779040133499032,0.11208307111390807,0.2885711693570146,0.6595948916502926,0.21199121000006177,1.8612697090107058,0.27017069875967087,0.2733122733122733,0.4884710907936096,0.32836490226834975,0.20940328807011194,0.11389601892395189,0.006120825473793987,1.3988085125056386,0.004804532032187047,0.00744036871463248,0.003273383013717257
14.0,0.6403447318043614,0.5468726055535301,51.25344,51.25344,1.0,0.3407460293196296,0.5549906770825909,0.31466870654213724,0.24589326189472346,0.21296884641024677,2.204468648821614,0.6816601734285703,0.11208307111390807,0.2888567262684276,0.6582754297446802,0.21154297578827175,1.8573342403611008,0.26761070442817714,0.2727017937219731,0.534358561038971,0.3382705845269867,0.21545449990709586,0.11389601892395189,0.00610759874597795,1.4792059959036123,0.004659974383306184,0.007578941741864358,0.004035468682377963
15.0,0.6387334436488974,0.5519051709924342,54.9144,54.9144,1.0,0.3273097058815577,0.5479056459428979,0.3134342574564962,0.2474355907589329,0.20472291454474595,2.2166203501333888,0.68284836271215,0.11208307111390807,0.29102920602254395,0.6591541298062079,0.21225329221922368,1.8635707746812882,0.27131027764247445,0.27223587223587226,0.5021128058433533,0.32502565061341376,0.20732205937730042,0.11389601892395189,0.0057605335700242205,1.4762338755099336,0.0042809148691699385,0.007304014558240673,0.0030241382074365835
16.0,0.6365032764582553,0.593882615274577,58.57536,58.57536,1.0,0.34313899896068345,0.5574446810387154,0.314108353536016,0.2492443328648036,0.2149035143734547,2.232456162715121,0.6844426049867447,0.11208307111390807,0.28543575491306356,0.6566043573001591,0.2113579168605578,1.8557094344244025,0.26858736059479554,0.27404648773597023,0.5242350101470947,0.3410164900718424,0.21780050209708926,0.11389601892395189,0.0058401706595546206,1.5792545214681013,0.003973909105083621,0.007818636210907368,0.004498327977133172
17.0,0.6396061717911067,0.5931748777709259,62.23632,62.23632,1.0,0.33101960371656936,0.5600896500430816,0.31591456619599845,0.2532731152890151,0.20690082944522484,2.2654715705611297,0.6861677631186639,0.11208307111390807,0.29202990739073353,0.6554519787950408,0.20896116575933654,1.8346661080301625,0.26810551558753,0.2718778786682458,0.5211759805679321,0.3288980907167568,0.21029633067677564,0.11389601892395189,0.005898298421310905,1.68886587099405,0.0038918740291289102,0.008060573781420801,0.003450015223867417
18.0,0.6428051508654816,0.6843207770556298,65.89728,65.89728,1.0,0.32615886279402323,0.5470508419413322,0.31704681309742494,0.25359616300385973,0.2037587588703788,2.2696539745539104,0.6855041985384053,0.11208307111390807,0.2936219895954426,0.6557349438329209,0.21065300904934015,1.849520387450879,0.2683299389002037,0.271301054909386,0.5153185129165649,0.3238999110028899,0.20734674434403474,0.11389601892395189,0.005525884089103615,1.6647071306688304,0.003547525188618029,0.007688031075180084,0.003882428451718554
19.0,0.6400133489223716,0.6882863193157804,69.55824,69.55824,1.0,0.31154240556834917,0.5365739418509023,0.31811462068930857,0.255561253947524,0.1951033835576582,2.284067455394003,0.6872587431236435,0.11208307111390807,0.2965949863907374,0.6551537034260354,0.20807152806050486,1.8268551440716618,0.26919531147109177,0.27281672816728164,0.48332521319389343,0.30951141848317604,0.1992375783816376,0.11389601892395189,0.005005921123565961,1.5889407601534913,0.0032582892540327694,0.00694538120143187,0.003126771310133016
20.0,0.6364621800121043,0.7996294151030898,73.2192,73.2192,1.0,0.3444178218599889,0.5590033473759947,0.31996508627557213,0.25712707692495373,0.21541186048885205,2.2978842574751495,0.6901721942005322,0.11208307111390807,0.2938030274824381,0.6546116549569405,0.20849631340358205,1.8305847331046272,0.2674772036474164,0.27011726647796197,0.5324923992156982,0.3425561108497196,0.21952636853212534,0.11389601892395189,0.004962759314309681,1.6541711133286299,0.0031248956760405316,0.0070264565655333315,0.003934427414503627
21.0,0.6388510176731783,0.7732835624878092,76.88016,76.88016,1.0,0.32669935072798567,0.5568344474232667,0.3231449306368063,0.26250880661669584,0.204267618242128,2.345392086888027,0.6943778708896257,0.11208307111390807,0.29962653664672456,0.652475424534148,0.20654173049870445,1.8134236161196458,0.2687660197729769,0.26929510155316605,0.4940999150276184,0.3246617443294099,0.20926035850569655,0.11389601892395189,0.004969781172286931,1.7392261290406168,0.002959896308390568,0.007244988638836592,0.003806127069134523
22.0,0.6431547609609458,0.9630599444534687,80.54112,80.54112,1.0,0.3304082488916612,0.5725790039370687,0.32430200513771523,0.264729368733757,0.2085863783499211,2.3649752169690346,0.6935043024374531,0.11208307111390807,0.29563551997359355,0.6522950261653558,0.20740244661475588,1.8209806503705632,0.26946451095057905,0.27221542227662177,0.5157832503318787,0.32816645502291825,0.21363943411250993,0.11389601892395189,0.005238921787162179,1.9161632333270973,0.002830426090118212,0.007970599039786211,0.007457894913440143
23.0,0.643962525357263,1.1530453125789462,84.20208,84.20208,1.0,0.33987099231649215,0.5653707962860618,0.3245489743012497,0.2655184061910763,0.21271687621394003,2.370485991954257,0.6948249897395576,0.11208307111390807,0.29177392135880886,0.651819828625691,0.2073886253373831,1.8208593004102804,0.27079524680073125,0.2721708868354734,0.5112466216087341,0.33729255390421703,0.21754478905357671,0.11389601892395189,0.005250052542163424,2.000954341077886,0.0028154730000628124,0.008046324508208616,0.0064456482209658775
24.0,0.6379852329639667,0.866320366161226,87.86304,87.86304,1.0,0.32028803869477035,0.5428668162764956,0.33228899365938475,0.26919011371459767,0.19988650187721443,2.403972337988758,0.6970629066902654,0.11208307111390807,0.3007301452790003,0.6493864648340015,0.20628115999270302,1.8111358231970907,0.26716093570241595,0.2706432748538012,0.4815365672111511,0.31792838219656355,0.20549056152024492,0.11389601892395189,0.004506804948183664,1.7943188901263056,0.0025400017794272845,0.006778742577076419,0.0056537129638855885
25.0,0.6430347812367876,1.2477658575132453,91.524,91.524,1.0,0.3221602989789719,0.5524963018315029,0.328759075135681,0.26906060524330105,0.2012850015343652,2.3959111430596587,0.6988594144242839,0.11208307111390807,0.3033978164536111,0.6512838415417875,0.20604099711798046,1.8090272080146503,0.27010849233071454,0.2734420842624105,0.48644518852233887,0.32010049782034344,0.20727175650616156,0.11389601892395189,0.0042434629747032755,1.7640807007264812,0.0023545186129252656,0.006438557964647381,0.004611870377585347
