round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_auprc_lift,fed_f1,fed_prevalence,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6405811834866458,0.3031182476164081,29.20448,29.20448,0.9971592150692714,0.3260713350820315,0.20521996691164127,0.6813265311292788,0.3039865975900005,2.1280119929771346,0.28979623639072355,0.11442598187311177,0.24222352278510384,0.5043730688452991,0.4751917920160288,0.11134834833912996,0.9776316098763469,0.11488970588235294,0.2045002711006687,0.3752644956111908,0.3716417537511184,0.2397038817831139,0.11389601892395189,0.007712008676841563,1.2899005853105336,0.006882145969530389,0.00840132447570271
12.0,0.6414946989290067,0.3455574588324818,29.20448,29.20448,0.0,0.33286900650677037,0.21100452269936157,0.6938683294527521,0.31808033746521674,2.2700666177611866,0.2958221616728593,0.11442598187311177,0.25633900769062523,0.5451510721913279,0.4751917920160288,0.11134834833912996,0.9776316098763469,0.11488970588235294,0.2045002711006687,0.3752644956111908,0.3716417537511184,0.2397038817831139,0.11389601892395189,0.0,0.0,,
13.0,0.6404087753627088,0.33686704326470795,32.85504,32.85504,0.9971592150692714,0.32168380340255526,0.20243019854809524,0.6826712629667538,0.30785372949678685,2.1433499708908474,0.29419483410564234,0.11442598187311177,0.24443087084143617,0.5064334101348456,0.48718108643013225,0.11345564358369775,0.9961335317562928,0.11840968020743302,0.2045002711006687,0.3720841705799103,0.3699878106012132,0.2384147118205122,0.11389601892395189,0.007809815360301232,1.3850829581497237,0.006395977390189441,0.009010649100726862
14.0,0.6402375062901149,0.33673727377210183,32.85504,32.85504,0.0,0.33712083937727805,0.21135936409566478,0.6973799206915934,0.326251126172629,2.3333341071463454,0.30100986890653914,0.11442598187311177,0.26470563716929013,0.5326226473207261,0.48718108643013225,0.11345564358369775,0.9961335317562928,0.11840968020743302,0.2045002711006687,0.3720841705799103,0.3699878106012132,0.2384147118205122,0.11389601892395189,0.0,0.0,,
15.0,0.6418371990484537,0.36245977272683677,36.5056,36.5056,0.9971592150692714,0.34417282724785847,0.21742427792569646,0.6864864986257048,0.31247083476085885,2.1813386786668207,0.2902117341129135,0.11442598187311177,0.24854853633772214,0.5587233458340829,0.4168950834209745,0.09821281858020696,0.8623024712196783,0.09218530650444548,0.2045002711006687,0.33747369050979614,0.37252989683743304,0.24087632520811722,0.11389601892395189,0.007537807758692078,1.4161952749127522,0.006236664515880368,0.008664733918134665
16.0,0.6397012420095962,0.38268221325304175,36.5056,36.5056,0.0,0.3434515913029521,0.2151678878223212,0.7031866170557071,0.32880963198899504,2.3712560827209326,0.30347381333208906,0.11442598187311177,0.2686148108192437,0.554749690919124,0.4168950834209745,0.09821281858020696,0.8623024712196783,0.09218530650444548,0.2045002711006687,0.33747369050979614,0.37252989683743304,0.24087632520811722,0.11389601892395189,0.0,0.0,,
17.0,0.6404851909230365,0.42859595197129396,40.15616,40.15616,0.9971592150692714,0.3470549715670203,0.21833530473847626,0.6879619803950333,0.31254010611363847,2.1851636374469363,0.2909944995110173,0.11442598187311177,0.24929948187091286,0.5413690531478157,0.42708787362039485,0.10032740676305807,0.8808684246465757,0.10592576514000435,0.2045002711006687,0.352176308631897,0.3743650335371359,0.24211824923398992,0.11389601892395189,0.007311362610367831,1.4562830592039973,0.00583133084195192,0.008630360854724373
18.0,0.6367148819981564,0.3752151579916977,40.15616,40.15616,0.0,0.31566791916228565,0.20006090873497712,0.7023008045734391,0.32597595544514146,2.331759890619578,0.3015937359126607,0.11442598187311177,0.2641463073314972,0.5609593897052523,0.42708787362039485,0.10032740676305807,0.8808684246465757,0.10592576514000435,0.2045002711006687,0.352176308631897,0.3743650335371359,0.24211824923398992,0.11389601892395189,0.0,0.0,,
19.0,0.6380209618673965,0.3810532201272703,43.80672,43.80672,0.9971592150692714,0.3363958688397505,0.21104644857135096,0.6901174415940565,0.315470975141135,2.2282073486385245,0.2992354552139434,0.11442598187311177,0.2539097994971805,0.5302397679998975,0.43604995163692284,0.10366508498704759,0.9101730329684704,0.10947986577181208,0.20450951154489178,0.37074658274650574,0.37507518573960225,0.24269926686646645,0.11389601892395189,0.006997961332982808,1.4819951272802427,0.005300400920283124,0.008543080346182815
20.0,0.639870602900846,0.48229217141933356,43.80672,43.80672,0.0,0.34921867169710835,0.21892121686436644,0.7086353041428091,0.3330779138413476,2.447714607091862,0.30274782740756295,0.11442598187311177,0.27670620436144305,0.5608315801722525,0.43604995163692284,0.10366508498704759,0.9101730329684704,0.10947986577181208,0.20450951154489178,0.37074658274650574,0.37507518573960225,0.24269926686646645,0.11389601892395189,0.0,0.0,,
