round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_brier,fed_auprc,fed_f1_best,fed_ece,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6416061970667062,0.5096994998572546,40.27056,40.27056,1.0,0.5510182044241996,2.1262265442697217,0.2034467035852527,0.237548649443663,0.3052627023213507,0.3232025949777935,0.11189427312775325,0.6751553874411628,0.28846939462799015,0.6597452842799694,0.2114782841228337,1.8567662515406906,0.26966854283927455,0.2734548688305914,0.47076746821403503,0.32085543447567627,0.20535859782572508,0.11389601892395189,0.0077532586272904816,1.5592640169506922,0.006116850913088376,0.009282382951491332,0.003648280041737679
12.0,0.6424086862949676,0.5494844385938521,43.93152,43.93152,1.0,0.5526124821960586,2.1583559535807977,0.21297288090718922,0.2412260512706721,0.30843450708421566,0.3391673263793024,0.11189427312775325,0.6781624711895313,0.28755923526176647,0.6591667043568534,0.21215482842695596,1.8627062686766185,0.2710410387201484,0.27204877536003363,0.4754847586154938,0.33676869871804577,0.2151535562438286,0.11389601892395189,0.006926165160824662,1.4835520580199955,0.005417801594730153,0.008371700784535556,0.004152596043388172
13.0,0.638607290602879,0.508655542798884,47.59248,47.59248,1.0,0.535181210395898,2.174296234135806,0.21072196026603432,0.2431177087067699,0.308230688956057,0.3358816554433448,0.11189427312775325,0.6791652149763345,0.2860307495725561,0.6583586828075373,0.21163174901864162,1.8581136638318119,0.2704717530576587,0.27334235453315286,0.5141518115997314,0.3338656766390103,0.2133067812742794,0.11389601892395189,0.007037772301859471,1.5951106476513814,0.0047975567472481025,0.009243056377910636,0.0033091208890498242
14.0,0.6416162368323015,0.5619026207376291,51.25344,51.25344,1.0,0.5471450650106816,2.1838362023040254,0.21244798210077603,0.24483028325210815,0.311848595361828,0.3395507608928944,0.11189427312775325,0.6817839068188545,0.2905950916414126,0.6580578598998282,0.21118550493907706,1.8541956684200274,0.272046783625731,0.2745426282434533,0.5057631134986877,0.33720059646773964,0.21513325316901485,0.11389601892395189,0.006121452695381589,1.4751872788056062,0.004650986519027199,0.0075915119920391076,0.0034302682352134804
15.0,0.6373186740302612,0.5496366464482527,54.9144,54.9144,1.0,0.5371883882637514,2.210985061860192,0.20271903007806297,0.2477998105734162,0.3142830013196381,0.3241082448697525,0.11189427312775325,0.6834443002414307,0.2918263645288134,0.6570616342227363,0.21006465322162673,1.84435465968206,0.2690461538461538,0.26996672212978373,0.46120741963386536,0.32178322780637175,0.2056932902582476,0.11389601892395189,0.006179969281976857,1.5736726710129005,0.004221510603104639,0.008177999052797773,0.003419059819332163
16.0,0.6411910775511583,0.6834073105954942,58.57536,58.57536,1.0,0.5552323952757988,2.2184928047611723,0.21540776175553628,0.2486782912092632,0.31619313456330955,0.3441893455009178,0.11189427312775325,0.6856049893555648,0.28762758633276636,0.6569025322735506,0.2125624183138757,1.8662848826683147,0.2690744920993228,0.2735763784272371,0.5571525692939758,0.34227592780915356,0.2185005293115167,0.11389601892395189,0.006350377029320884,1.7101743715902558,0.004009477938033697,0.008769022612480845,0.0040079389846405305
17.0,0.6409468539846573,0.5980699912622996,62.23632,62.23632,1.0,0.5247285057607125,2.235762425472694,0.20675178181381154,0.2507438218654803,0.31550902060239244,0.33114958821676893,0.11189427312775325,0.685919659940936,0.2937717575142548,0.656118568023224,0.21075128975757323,1.850383285989051,0.27148460715559253,0.2727804421569774,0.49652647972106934,0.3289182928231761,0.2100513038069496,0.11389601892395189,0.005938818166335555,1.6888292688672664,0.0037253465042432054,0.008265340103437905,0.0037287850186025146
18.0,0.645532146296768,0.6962896085147962,65.89728,65.89728,1.0,0.5501092366259978,2.2487899713002295,0.20356746552103666,0.2524635781973082,0.3171091509625601,0.3252152308062084,0.11189427312775325,0.687563811083415,0.29713492961081284,0.6538831969316691,0.21102498088280436,1.8527862771367387,0.2714023270055113,0.27296650717703347,0.49479344487190247,0.32288136894654973,0.207471781328638,0.11389601892395189,0.005430896719569215,1.6234325131918013,0.003528953700183885,0.007455197217912337,0.004736331617619165
19.0,0.640364472008825,0.7358206643527627,69.55824,69.55824,1.0,0.5370604697847006,2.274147974173995,0.19557797091646204,0.25570065495814587,0.3198064265352414,0.31171217071510204,0.11189427312775325,0.6893337975685745,0.29754402532706475,0.6545023492322672,0.20933088137507436,1.8379121882639649,0.2721681189133778,0.2732068694578516,0.47357457876205444,0.3099455337221853,0.19991834201802797,0.11389601892395189,0.0051520450752628,1.6222069395371363,0.0033314881874554943,0.0071294768021545486,0.0038183540941779163
20.0,0.6409303389731272,0.8783946209238829,73.2192,73.2192,1.0,0.5476834615834332,2.3114281773566714,0.2153745750747302,0.25918312036740215,0.3208518694224714,0.34456368670373905,0.11189427312775325,0.6919020710367678,0.29576788864730263,0.6528152887862266,0.210350914876606,1.8468680193032632,0.26877200954220154,0.27489793393542,0.5154615640640259,0.3430517516975678,0.21994858649318832,0.11389601892395189,0.005414470087353805,1.7909413688757923,0.0032882082794074923,0.007762321411425244,0.00524567912981006
21.0,0.6394582068140813,0.8076832401525962,76.88016,76.88016,1.0,0.5593746107374068,2.356964683185638,0.20616704225976507,0.2648283778508589,0.3239956492189103,0.32949674984778965,0.11189427312775325,0.6947533334920438,0.29910733756069574,0.6512242818438196,0.20703449886043102,1.8177500918505982,0.2703590706406947,0.2716358179089545,0.5134575963020325,0.3276946180487857,0.21161388897050204,0.11389601892395189,0.004804448670035992,1.671151690714396,0.0030336149864069266,0.006775745429434796,0.0041227167217360505
22.0,0.6418715051018751,1.1503090834073777,80.54112,80.54112,1.0,0.5708989773065206,2.351068163646377,0.20840509680714056,0.26434049238948487,0.3274939871177019,0.3319054783090405,0.11189427312775325,0.6940800302459164,0.29559101857579895,0.6501717091284059,0.20785463006279803,1.8249507930701432,0.2668332008629499,0.27058981593443504,0.5316226482391357,0.33023405655676863,0.21384647879250698,0.11389601892395189,0.005497020071556319,2.002709152244279,0.0029857688015041454,0.00830856938562924,0.006210273703411829
23.0,0.6402482098891492,1.0172321169159977,84.20208,84.20208,1.0,0.5706941660092715,2.3650070137062187,0.21598795106497515,0.2659524531208088,0.3296957345898234,0.34455564677635586,0.11189427312775325,0.697711108985908,0.29418007298437443,0.6482457196706481,0.20701741224205547,1.8176000723983208,0.2678473816551875,0.2707412862052037,0.5230056643486023,0.3426517509764911,0.22156250256057408,0.11389601892395189,0.004915397979526478,1.873846528602371,0.002802308580677746,0.0072984665320554795,0.005152575422361524
24.0,0.6408002364059773,0.9618797630264029,87.86304,87.86304,1.0,0.5614282238513437,2.375033741525689,0.20255178806298954,0.26719169859090824,0.3302225576539165,0.3246026001897006,0.11189427312775325,0.6987359996100517,0.3010284103984723,0.6471878259876958,0.2061487845937947,1.8099735753840507,0.2667316835304157,0.26753670473083196,0.5058001279830933,0.3223918620215281,0.20856478150055918,0.11389601892395189,0.004657502759555103,1.8566372887689795,0.00259355380193984,0.006997472739067127,0.006252869371239033
25.0,0.6449577572254941,1.2539177344004844,91.524,91.524,1.0,0.5574631051813902,2.399682619538796,0.20144481693022037,0.2702523395847467,0.3307859336569786,0.3233373693770174,0.11189427312775325,0.7003600217893404,0.303096024522238,0.6464820699206256,0.20487186157777437,1.7987622702999553,0.2662031288800596,0.2681515765114261,0.5331014394760132,0.32143312638201393,0.20800304803976716,0.11389601892395189,0.004225612060471447,1.7573675080602698,0.0023663123036998346,0.00635282211300783,0.00488481484220909
26.0,0.638532417701763,1.1912359698995352,95.18496,95.18496,1.0,0.5870964147052048,2.4305639289264724,0.2127398048425605,0.27340015840681114,0.33233954995616166,0.3396481624419952,0.11189427312775325,0.7018362483818091,0.2981701143284277,0.6460833863882322,0.20523477698803558,1.8019486451503661,0.26713176550016876,0.269185360094451,0.5093056559562683,0.337874648265619,0.21948796109766794,0.11389601892395189,0.004179547683046592,1.808323922411546,0.0022945266393868255,0.006352853513476469,0.003956113697273111
27.0,0.6391031609842068,1.3782020850864662,98.84592,98.84592,1.0,0.5651095465172603,2.4295382382625035,0.20935946246898043,0.2741237313310981,0.33428429575693286,0.33416867137114675,0.11189427312775325,0.7033202552709499,0.29753679940278543,0.6451199524285423,0.20416181312157225,1.7925280887814932,0.2680089485458613,0.2687019048820487,0.5221896171569824,0.33257963567833154,0.21627390878511427,0.11389601892395189,0.0040304751070055905,1.815030280562496,0.002212666062889127,0.0061253247894418415,0.004897187434590452
28.0,0.634002837937851,1.3020020248746271,102.50688,102.50688,1.0,0.5557385792216089,2.406528144187921,0.19805252897192732,0.27187712944197173,0.3347246214952659,0.31581724723639826,0.11189427312775325,0.7021685178954234,0.30164203497240916,0.645413295863013,0.20614768606790068,1.8099639303946613,0.2623682579045257,0.26707252514557966,0.5135013461112976,0.3141569873423588,0.20527372326751356,0.11389601892395189,0.003949455072782389,1.8499982929424732,0.0021378827552654242,0.006048446673742099,0.005116751038650759
