round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
14.0,0.5469921880171926,0.4958155125427883,30.76608,30.76608,0.5412350858791136,2.624429414088521,0.11335599194360522,0.07338848182010242,0.10477905698311998,0.721165300493729,0.3338139213362782,0.23606737448823564,0.29040587913655663,0.10855783048720057,0.6607561426177925,0.21541250767100698,1.8913084909037725,0.16413974950560317,0.27712854757929883,0.4623917043209076,0.33384048022587426,0.20985715714955924,0.11389601892395189,0.008568589900380237,0.8991134215611964,,0.008568589900380237
15.0,0.5923452244859174,0.7188597185900214,32.4352,32.4352,0.4559241291901578,2.109463032217863,0.11335599194360522,0.0768732804315463,0.10884427121465412,0.6761536196977298,0.2986110199430457,0.21927061423092842,0.23690474631890573,0.07141020256563246,0.6600897290819339,0.21523463630725154,1.889746791333973,0.17111255692908262,0.2795275590551181,0.4678557217121124,0.33969577169723125,0.2140405996356561,0.11389601892395189,0.01091486220759816,0.5832614519167691,0.01091486220759816,
16.0,0.5852622674151352,0.6249825815389696,34.41664,34.41664,0.5412350858791136,2.3315683058998435,0.11335599194360522,0.07976538698988041,0.10921933267175163,0.6931226276993008,0.31099669311783507,0.22107064821508837,0.26038249565208044,0.07442820675636815,0.6597067825620249,0.21385170829617844,1.87760476895129,0.1968880909634949,0.27816695855224755,0.47494903206825256,0.35047349175819364,0.2216911669806193,0.11389601892395189,0.006100579424204232,0.664552619564347,,0.006100579424204232
17.0,0.5658855549191999,0.5122297842687338,36.39808,36.39808,0.5412350858791136,2.4977767165695957,0.11335599194360522,0.0872258408745884,0.10879331668797897,0.7052903048962319,0.3253495108493342,0.23977408976146852,0.27740436530305973,0.0904374318471595,0.6573764748680413,0.21352633662368753,1.874748025795867,0.20256111757857975,0.2761811299593439,0.47845175862312317,0.3584759448418662,0.2277326619548103,0.11389601892395189,0.006528588819542895,0.7313202930381522,,0.006528588819542895
18.0,0.5512819753222901,0.5409246125495579,38.37952,38.37952,0.5412350858791136,2.6282324107177137,0.11335599194360522,0.06990854170650906,0.10520362013797657,0.7164697614027274,0.33473980012954796,0.24185114594463408,0.28994114886004113,0.1250783105937627,0.6610141091478023,0.21413907530947757,1.880127833550159,0.19572953736654805,0.27864845434938895,0.4723545014858246,0.345155359887952,0.21773619375118863,0.11389601892395189,0.007140693269755627,0.8292973933275789,,0.007140693269755627
19.0,0.5336971956088649,0.6609300588083894,40.36096,40.36096,0.5412350858791136,2.826839687424563,0.11335599194360522,0.07421770657544952,0.10398554579323076,0.7279081964272701,0.3462232266343421,0.24753187285700567,0.31106887021654595,0.1313839125326631,0.6599342915726566,0.21277142881483685,1.8681199819363647,0.19717480871100648,0.27735644637053086,0.47495946288108826,0.3547757834989559,0.22496671181704303,0.11389601892395189,0.007755844372326954,0.9432587533956394,,0.007755844372326954
20.0,0.5856615146824149,0.8048917247078433,44.01152,44.01152,0.9971592150692714,2.1351133961813704,0.11335599194360522,0.07404359735263377,0.1075355623575923,0.6782022722062712,0.3030879453376402,0.21509747042377883,0.2396224081466552,0.07896651126202171,0.6586640862651321,0.21450705822095134,1.8833587007477164,0.19924484461225675,0.27718667956335497,0.47864240407943726,0.35953289693834267,0.22866869563434195,0.11389601892395189,0.006786381830261324,1.2443039815407246,0.01031858749699575,0.0051785035442119
21.0,0.582359473877536,0.6403107534031618,45.99296,45.99296,0.5412350858791136,2.316788565685303,0.11335599194360522,0.08066876184545581,0.10899662061932235,0.6944853438078945,0.3164865692339134,0.2348559617701719,0.2569760235858001,0.09497877603158403,0.6583783226995135,0.2135080812514329,1.874587744756836,0.21073446327683615,0.2776333893900015,0.4817424416542053,0.36066028839497044,0.22950801989165068,0.11389601892395189,0.005318073333192252,0.68111422797665,,0.005318073333192252
22.0,0.561343598443613,0.5924728539359216,47.9744,47.9744,0.5412350858791136,2.5886803660085156,0.11335599194360522,0.0774535031828076,0.1065298645252192,0.7111238522890421,0.33137481890798626,0.24694211856618692,0.2862998450007283,0.1142849903240563,0.660866075815053,0.21342395058088964,1.8738490826741918,0.2096590909090909,0.2772468852062417,0.4776356518268585,0.35706550658958125,0.22665318125002587,0.11389601892395189,0.005017932425523582,0.6630675867199898,,0.005017932425523582
23.0,0.5432911255890981,0.7235116253583752,49.95584,49.95584,0.5412350858791136,2.760689233596499,0.11335599194360522,0.08398823984468956,0.10582725737012408,0.7227960391935546,0.3449473761506627,0.2501120395894647,0.303104974385698,0.11485118045099128,0.6482461087036522,0.20812095255578017,1.8272890880825436,0.20855766506092377,0.2775156230072695,0.48499080538749695,0.36867732236499223,0.23581036522272592,0.11389601892395189,0.006191343336246769,0.8467294180300087,,0.006191343336246769
24.0,0.5299117261871782,0.7609331991564132,51.93728,51.93728,0.5412350858791136,2.8977115092195236,0.11335599194360522,0.068464740865991,0.1018169665223083,0.7309666626032577,0.35163120380494683,0.2286949311336174,0.3180511012699169,0.15429180551843155,0.6571578759681463,0.2137629188431615,1.8768252030467414,0.22376502002670226,0.27859368046283933,0.48378413915634155,0.36242853609273284,0.23070302115497146,0.11389601892395189,0.006302812631987995,0.9007251966977492,,0.006302812631987995
25.0,0.5856029291293352,0.9821829209791444,53.6064,53.6064,0.4559241291901578,2.1844280340758586,0.11335599194360522,0.07742966338628687,0.10940513820268759,0.6805637214740333,0.30804000984478835,0.22894533270217798,0.24620438053405233,0.08950611626343852,0.6582842645587069,0.2145653338016157,1.8838703567407433,0.23035300180365886,0.2823383084577114,0.4877839684486389,0.36461195793675755,0.23232655112400172,0.11389601892395189,0.008715951391063221,0.5388893564231694,0.008715951391063221,
26.0,0.5766481243668895,0.8069881104217977,55.58784,55.58784,0.5412350858791136,2.380154566864654,0.11335599194360522,0.08334405115044236,0.10863680972949408,0.6959921985890895,0.31937399787192583,0.2410068464618315,0.2655520468011771,0.10776741424174606,0.6591141221540541,0.21085546731040333,1.8512979584579778,0.22792769190463716,0.2792234613795952,0.4863293468952179,0.36521946274374456,0.2328696152825495,0.11389601892395189,0.004626510040160237,0.6834548631450161,,0.004626510040160237
27.0,0.5620147074075097,0.7223986194404739,57.56928,57.56928,0.5412350858791136,2.630574457984621,0.11335599194360522,0.08918142866197065,0.10840897244089849,0.713121160727096,0.33375382297925343,0.24973858722597211,0.2909483361024613,0.1260381653797884,0.6351797826926897,0.2024247101218618,1.7772764319095324,0.2404848484848485,0.2771855010660981,0.49308305978775024,0.37506269353722055,0.2407465470325025,0.11389601892395189,0.005370973429535842,0.8122679139487445,,0.005370973429535842
28.0,0.5429532987342591,0.7057945673820252,59.55072,59.55072,0.5412350858791136,2.7665220114228557,0.11335599194360522,0.0766517254361268,0.10417598637837633,0.7227249279289433,0.34372946635860196,0.23432835082787073,0.3047836810328335,0.12705707157569815,0.6572027653570277,0.20862306418566812,1.8316975971299336,0.22687974849358133,0.2790902421129861,0.4901660680770874,0.3693650848441686,0.23615202744173364,0.11389601892395189,0.005381389891306531,0.8440394351491705,,0.005381389891306531
29.0,0.5249352453253604,0.921284916729934,61.53216,61.53216,0.5412350858791136,2.943258854444307,0.11335599194360522,0.06794162728528075,0.10146959783604607,0.7316727852986725,0.3539106067347574,0.24248513580587847,0.321458246963427,0.13786620142549466,0.6602358047002115,0.2124581487284901,1.8653694021592442,0.23267577137076378,0.2779299408966412,0.48723334074020386,0.36402780740044727,0.2317329247380309,0.11389601892395189,0.006341614120698712,1.0331982063362375,,0.006341614120698712
30.0,0.5831033377791027,1.1629577702661704,65.18272,65.18272,0.9971592150692714,2.1918688971369287,0.11335599194360522,0.07389697851953149,0.10783712980242807,0.6815311213548526,0.3086065636851533,0.21933073351161567,0.24777815817423354,0.08210083661978984,0.6559560024253572,0.20818961338765568,1.8278919259387232,0.22505985634477255,0.27511844469857866,0.4907471537590027,0.366845285601798,0.23416001378487575,0.11389601892395189,0.005644810136485056,1.3229083444457501,0.008238277707211463,0.0046199052546526806
31.0,0.5769340590827797,0.7801432578155845,67.16416,67.16416,0.5412350858791136,2.4118164297015587,0.11335599194360522,0.07008937415173902,0.10660305235218027,0.6957345846397028,0.32178486144528623,0.24499208280068238,0.26965122961436827,0.12065338293675182,0.6601799345410557,0.2118303285976974,1.8598571802508395,0.2292796281951975,0.2770226537216829,0.48853403329849243,0.35600831246566833,0.22570071705938832,0.11389601892395189,0.004654986628452178,0.7934140625875443,,0.004654986628452178
