round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_ece,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_auroc,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
12.0,0.564392430834083,0.42095454495283235,21.90336,21.90336,0.0,0.10981672587039726,0.2889875046708745,0.07572952992464993,0.24265397037121522,0.10624144351594092,2.5991014233465775,0.7096613473797474,0.33750093168527323,0.11423716012084592,0.6690812606617006,0.22366874737780537,1.963797764758999,0.0,0.29009874566319727,0.4365544617176056,0.3077099887310417,0.19338960968247657,0.11389601892395189,0.0,0.0,,
13.0,0.5906198791201949,0.4009215121269646,25.55392,25.55392,0.9971592150692714,0.047583598003770204,0.2520269317892527,0.08701697350099818,0.23468795176670482,0.11041750952144862,2.275989424564448,0.6750517067803613,0.31107458424921697,0.11423716012084592,0.667222009188307,0.22300630555360895,1.957981566524373,0.0,0.28705105270400444,0.4407119154930115,0.30868733169970225,0.19379540899337738,0.11389601892395189,0.008488123271859094,1.3019591616466641,0.007217342202334548,0.009496457602804079
14.0,0.5884982200718437,0.38087966944307144,25.55392,25.55392,0.0,0.062286731156861695,0.2716779509572732,0.07651707552179268,0.24700571747247246,0.1074280590478397,2.466057971556907,0.6902075456721504,0.32374270018116763,0.11423716012084592,0.667222009188307,0.22300630555360895,1.957981566524373,0.0,0.28705105270400444,0.4407119154930115,0.30868733169970225,0.19379540899337738,0.11389601892395189,0.0,0.0,,
15.0,0.5689103590259992,0.46274323840942416,25.55392,25.55392,0.0,0.10208237030970622,0.2822459252181272,0.0777800562245793,0.23415886737923963,0.1064646202324098,2.5507564473877107,0.6994346889757475,0.3287391595043711,0.11423716012084592,0.667222009188307,0.22300630555360895,1.957981566524373,0.0,0.28705105270400444,0.4407119154930115,0.30868733169970225,0.19379540899337738,0.11389601892395189,0.0,0.0,,
16.0,0.5560853457145183,0.47161423681705134,25.55392,25.55392,0.0,0.1079153144280242,0.3003744447931232,0.08149732077352526,0.26620096030709783,0.1049864040132474,2.696595752787597,0.712798774974756,0.3416244224685011,0.11423716012084592,0.667222009188307,0.22300630555360895,1.957981566524373,0.0,0.28705105270400444,0.4407119154930115,0.30868733169970225,0.19379540899337738,0.11389601892395189,0.0,0.0,,
17.0,0.5903125157101707,0.4285587525014646,29.20448,29.20448,0.9971592150692714,0.05771191680842198,0.25584222938375706,0.0752734910624762,0.2279160781271103,0.10827614822700675,2.3065589824667243,0.677560080878575,0.31307898381221866,0.11423716012084592,0.6698137219620777,0.22429779569831515,1.969320770097138,0.0,0.2906371043141445,0.4426642656326294,0.3121310667780687,0.19589489779297928,0.11389601892395189,0.008157316881705866,1.3208991652354598,0.006736052611372587,0.009311391315697802
18.0,0.5841967389488086,0.45393083679846924,29.20448,29.20448,0.0,0.0872770282922734,0.27376257719946506,0.07289083328082584,0.23493088775268436,0.10735430099496962,2.4855084519613087,0.694581695158774,0.3270603276753299,0.11423716012084592,0.6698137219620777,0.22429779569831515,1.969320770097138,0.0,0.2906371043141445,0.4426642656326294,0.3121310667780687,0.19589489779297928,0.11389601892395189,0.0,0.0,,
19.0,0.5676542984441328,0.45829775070801765,29.20448,29.20448,0.0,0.11124315465874812,0.2889954693319392,0.0660708309323276,0.22832425601859196,0.10542412398357873,2.6143643812640773,0.7066291616958673,0.3328346591287713,0.11423716012084592,0.6698137219620777,0.22429779569831515,1.969320770097138,0.0,0.2906371043141445,0.4426642656326294,0.3121310667780687,0.19589489779297928,0.11389601892395189,0.0,0.0,,
20.0,0.5506732498221522,0.557063657476615,29.20448,29.20448,0.0,0.12372625789968182,0.30119867698395963,0.07798129561715238,0.25203225625564474,0.1050004579881163,2.7123577886176564,0.7181961158286843,0.3492830801710003,0.11423716012084592,0.6698137219620777,0.22429779569831515,1.969320770097138,0.0,0.2906371043141445,0.4426642656326294,0.3121310667780687,0.19589489779297928,0.11389601892395189,0.0,0.0,,
21.0,0.5823617574537822,0.45662146120902786,32.85504,32.85504,0.9971592150692714,0.0691116444860426,0.2575500523531433,0.06710597794115626,0.22039724331844343,0.10690303506909925,2.3211312133625603,0.6783755061692063,0.3126015087229854,0.11423716012084592,0.6687710633135401,0.2200370855085491,1.9319119982188961,0.0,0.2878054831906711,0.4419514536857605,0.3110073620167644,0.19512573407790199,0.11389601892395189,0.007421417505782649,1.2717316338093951,0.006483704351634245,0.00819878292857747
