round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_prevalence,fed_ece,fed_auprc,fed_auroc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.16319734272847683,0.038187261479638517,40.27056,40.27056,1.0,0.27806510666531886,0.5268970347925916,0.23967315560231556,0.30342629686572264,0.1138595166163142,0.3788282442275221,0.24001685905262632,0.6749725241516867,2.1133082103305583,0.6678380617743249,0.22224526517018478,1.9512996790395056,0.27269060104881,0.2822000464144813,0.509560227394104,0.3780416497074128,0.23972646667984174,0.11389601892395189,0.007800521191705716,1.4387178551405668,0.006244371166484549,0.009218986565513065,0.003601116042871421
12.0,0.1613253863334942,0.03857419337307438,43.93152,43.93152,1.0,0.2758834976184875,0.5330044154850587,0.2399303727138176,0.3046307108381909,0.1138595166163142,0.3793179302233433,0.24235296129670725,0.6773598112842519,2.131763073571376,0.6657680548083751,0.21958025757024738,1.9279010771821674,0.2696501374798521,0.2807780906066035,0.520304262638092,0.3782015041644059,0.24017829117373315,0.11389601892395189,0.007387203706196327,1.4457809553932748,0.005981791355446541,0.008702376182434057,0.0033478012405742173
13.0,0.16164715325259613,0.04454646453891167,47.59248,47.59248,1.0,0.275943384381474,0.5325107621976286,0.23455208296914723,0.305909520927778,0.1138595166163142,0.3723455186265503,0.2458337519041071,0.6773145962996844,2.160511273191225,0.6655948723743347,0.21988662840917422,1.9305909941943802,0.27024867672026365,0.27935492469678797,0.5210158824920654,0.3712961587444981,0.2348888642466325,0.11389601892395189,0.007113224559887645,1.4694389977894389,0.005580547903706104,0.008579202592696759,0.0036954064939838335
14.0,0.16367936568574112,0.05309879071537678,51.25344,51.25344,1.0,0.2827901143680956,0.5199496941537805,0.22967159633590314,0.3106348889055731,0.1138595166163142,0.3659763518825909,0.24961246693024386,0.6804959768367801,2.191057113628934,0.6652887410485389,0.21976486904296003,1.9295219544916362,0.274767626388574,0.2809702570025989,0.5172871351242065,0.3649308833867016,0.23018314386439667,0.11389601892395189,0.006649830526785609,1.4559350568060836,0.005387713745978125,0.007871050630509472,0.005485517368326644
15.0,0.161008136777274,0.04534141676724152,54.9144,54.9144,1.0,0.28048945441352724,0.5335555904810313,0.23920079913665793,0.31022692773008753,0.1138595166163142,0.37872982421310286,0.2509023129092816,0.6840893454209677,2.2057915943202526,0.6631839846507154,0.21941267883644025,1.9264297462665627,0.26929876252209783,0.2812876052948255,0.5297237634658813,0.3778962417045809,0.23987637506918877,0.11389601892395189,0.007132310295686959,1.643894789280239,0.005024877661290552,0.009215336299711949,0.00497619638869648
16.0,0.1614668147094684,0.04772361686943706,58.57536,58.57536,1.0,0.2838000238087493,0.5323409932962837,0.23379529378792327,0.3137916971698521,0.1138595166163142,0.3717345507667294,0.2544967030262948,0.6854076524337952,2.2442951542865317,0.6625041432014928,0.22037746289376198,1.9349004906036926,0.27303465765004226,0.281348186232505,0.5222062468528748,0.3710497777405248,0.23464466467124115,0.11389601892395189,0.006628267625646056,1.6147681490474497,0.004608350338571343,0.008641179221178713,0.005597832285819436
17.0,0.1623086771095477,0.07884301831188675,62.23632,62.23632,1.0,0.28493444240327864,0.5342702240648435,0.2343834237466893,0.31696839522676123,0.1138595166163142,0.3726299539591071,0.25590139884231744,0.6867746719260995,2.2486075900784424,0.6640113323557143,0.22095358255816433,1.9399587856156284,0.2705786471067645,0.2827170207185943,0.518065869808197,0.3717925710052085,0.235125704084263,0.11389601892395189,0.005676160959005594,1.4564120919731067,0.00426276390314742,0.007111231912327505,0.004779273369297874
18.0,0.16209194966800805,0.05962878420032071,65.89728,65.89728,1.0,0.28586519948994843,0.5336681372933427,0.23491381968166156,0.3208605279178628,0.1138595166163142,0.3732942437353542,0.25961784778022584,0.689436343336842,2.2772482635188256,0.6626521890836936,0.21767097402559688,1.9111376857775448,0.2702874049027895,0.28076343545956806,0.5117778182029724,0.3725386536219164,0.23584856245382246,0.11389601892395189,0.0060979473526377595,1.6422915685798216,0.004080143775163251,0.008192599518727101,0.004392064536076961
19.0,0.1629538180725471,0.05796034976466191,69.55824,69.55824,1.0,0.2845892819948237,0.5358636679553613,0.23505476422951166,0.31814481852663956,0.1138595166163142,0.37394775144665804,0.26379316342676334,0.6910644376400674,2.3152032625257704,0.6620495393121364,0.21918248620249897,1.924408669181375,0.27095477386934674,0.2778585976141984,0.528372585773468,0.37319598428207906,0.23626085748335332,0.11389601892395189,0.005322601180218555,1.511413521403938,0.00372490633800104,0.00699716823551933,0.005001843304633201
20.0,0.16105685438420303,0.05792496685910762,73.2192,73.2192,1.0,0.2918238017037019,0.5330425694299727,0.23164688781217713,0.3203801595350741,0.1138595166163142,0.36963990495389204,0.265328895026862,0.6926877794509283,2.3208163446934305,0.6592555795740906,0.2175175055341984,1.9097902419173611,0.27120475418692597,0.27813281467074186,0.5196370482444763,0.3687069816635314,0.23307911336543224,0.11389601892395189,0.005808067218582406,1.723753912769098,0.003660245899046956,0.00810615675205034,0.004501701556987603
21.0,0.16325981892216215,0.08399787657846362,76.88016,76.88016,1.0,0.2796025633585573,0.5321794261767604,0.23541527681654248,0.3228454989858446,0.1138595166163142,0.3742961532662341,0.2656233243155128,0.6936221739006325,2.3324460775517952,0.6585247246035364,0.21799295128914775,1.9139646262324685,0.2679334916864608,0.27551622418879057,0.5264175534248352,0.37357041476879094,0.2367176857177505,0.11389601892395189,0.005598244171664708,1.7426882807276343,0.0035802670860981705,0.007776840277770906,0.003717947272846392
22.0,0.1613895348239064,0.0696413480346518,80.54112,80.54112,1.0,0.28861283916347175,0.5367085333680968,0.23225121147057026,0.32662007374567403,0.1138595166163142,0.3705119186785346,0.27000466873126994,0.6957039472592969,2.3684096287188647,0.659273951971441,0.21855850031904694,1.9189301117274165,0.2708225823098359,0.27680831224190755,0.5171757936477661,0.36953605769882797,0.23369057767957127,0.11389601892395189,0.005106302795002473,1.6665260862646392,0.0032769799668510464,0.007104139382233221,0.004475193552101657
23.0,0.16365724923365604,0.09193078202272208,84.20208,84.20208,1.0,0.2886012085424477,0.5274591667020517,0.22869002414284414,0.3231404360561478,0.1138595166163142,0.3651854355940511,0.2701869413931918,0.6972927096112966,2.367926290128277,0.6579780955845558,0.21875569119483818,1.9206614354176932,0.2709814323607427,0.2765093860984272,0.5106733441352844,0.3643928879421139,0.23011902586434077,0.11389601892395189,0.005117827169667721,1.7471939513943653,0.0030635426841695086,0.00739417526438021,0.004265559873946722
