round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_auprc,fed_auprc_lift,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.7850339472408118,21.754825589433555,24.82176,24.82176,0.5412350858791136,0.26932212973730724,0.22257542973739103,0.20194463498983498,1.757594753563136,0.6365367809097697,0.5029764871058903,0.35019138983834,0.1142299704197873,0.2505913257403832,0.42592505397142705,0.0936284135914092,0.8220516790312458,0.20215843857634902,0.2045002711006687,0.08172420412302017,0.7094285043786219,0.6230885712328686,0.11389601892395189,0.0006820977078772263,1.5471429587341845,,0.0006820977078772263
12.0,0.7564651645064296,22.13890379039323,26.8032,26.8032,0.5412350858791136,0.26989966768858886,0.2207513001986892,0.20288103349945744,1.7801921759481338,0.6385701862580859,0.504377515359975,0.34686244405893757,0.1142299704197873,0.2532235096147805,0.44124044252579503,0.09708549353226358,0.852404627040453,0.19355169935311634,0.20450951154489178,0.04973960667848587,0.5879354158363799,0.4831112963468652,0.11389601892395189,0.0004874158581425525,1.2240265948930755,,0.0004874158581425525
13.0,0.7704440065607048,28.082628215865974,28.78464,28.78464,0.5412350858791136,0.28020617216931754,0.24277978568624614,0.21441216841236793,1.8781191102171262,0.6541765498706668,0.5424947758191814,0.3792279525776328,0.1142299704197873,0.25349646465016284,0.4985242848707474,0.11373229889215529,0.9985625482493298,0.20124566060853583,0.20461329715061058,0.11613063514232635,0.5892860324544009,0.477227104452569,0.11389601892395189,0.00040057865450212986,1.1071788585977629,,0.00040057865450212986
14.0,0.7452728527537407,28.859864961113317,30.76608,30.76608,0.5412350858791136,0.2851813738734743,0.22006597208491166,0.22067179752359736,1.939481351171416,0.6618431831983176,0.4979672788883427,0.34891398346340086,0.1142299704197873,0.2641405760423973,0.4857806805607838,0.10886523074398065,0.9558299910084629,0.19557841742366203,0.20459483196967593,0.2502310872077942,0.557849492199186,0.44915473548061097,0.11389601892395189,0.000349064908927743,1.0565609445329756,,0.000349064908927743
15.0,0.7683232997876543,32.72538223478331,32.4352,32.4352,0.4559241291901578,0.2591032756677054,0.21823557880889644,0.19814205915077762,1.718467270212906,0.6238612502937163,0.49171075438701367,0.3429708820277393,0.1142299704197873,0.23889863017119722,0.49502704130762476,0.11049174484323243,0.9701106841759545,0.20338801329473571,0.2045002711006687,0.007616886869072914,0.5855278300355417,0.4828480782799075,0.11389601892395189,0.0009002244862706551,0.6042172964662313,0.0009002244862706551,
16.0,0.751463301231701,35.83601744819651,34.41664,34.41664,0.5412350858791136,0.2717599775013229,0.24602087173749868,0.20264742803146843,1.7534524141699745,0.634850850417663,0.5351657214759092,0.38307941825616715,0.1142299704197873,0.2483868664008312,0.5262044725342448,0.1262817983635225,1.108746377235894,0.19938675727189856,0.20575197318629043,0.2857491672039032,0.3862856194222954,0.29076013210852025,0.11389601892395189,0.00043531208923753347,1.4191396606620401,,0.00043531208923753347
17.0,0.7293456450321398,36.47265623836166,36.39808,36.39808,0.5412350858791136,0.2708401825099397,0.234220673411977,0.20642375172143834,1.7990964219087981,0.6393370315499033,0.5271427112890167,0.36790893000798336,0.1142299704197873,0.2500842476755529,0.5276775020808246,0.12315773089572032,1.0813172581383417,0.20693252956178992,0.2080388226606182,0.41696739196777344,0.5308766807697372,0.4223953119002827,0.11389601892395189,0.0003033781430080716,1.0653441464528441,,0.0003033781430080716
18.0,0.7416692369759982,39.27731860597568,38.37952,38.37952,0.5412350858791136,0.2770102857722268,0.23395575237814953,0.20598863489527466,1.7922551097509145,0.6468339421873673,0.535991333348612,0.36697985291475405,0.1142299704197873,0.25993417189891727,0.4998811190436474,0.11197060320759744,0.98309496912583,0.2036378416827558,0.2050822122571001,0.4771023392677307,0.5982041054186984,0.4886155691717581,0.11389601892395189,0.0002865948652298376,1.0850118068046868,,0.0002865948652298376
19.0,0.7105965524938822,34.16159645133179,40.36096,40.36096,0.5412350858791136,0.28387086033456027,0.20531095200512436,0.21251182849903189,1.8444500296163149,0.6528648276528375,0.49378194361203004,0.3244439182539623,0.1142299704197873,0.26139939822172703,0.5104453228168259,0.11508523370820506,1.0104412322352303,0.20345382864123493,0.20516499282639886,0.32467231154441833,0.561663437728031,0.4570769479566522,0.11389601892395189,0.00025552365093680046,1.0305272061377764,,0.00025552365093680046
20.0,0.7370483067422828,50.448640459834046,44.01152,44.01152,0.9971592150692714,0.25748004415674136,0.24154900658526193,0.18351757024191354,1.6071057782546596,0.6072817487990201,0.523212898332002,0.3755347667564057,0.1142299704197873,0.23277198007442718,0.5015429048938795,0.11332274630732801,0.9949667018914274,0.19816758691826952,0.20474601069909926,0.11327658593654633,0.5219596911538511,0.4229535365207967,0.11389601892395189,0.0003704006123257034,1.9125098432414234,0.0006355352761033206,0.00031564788363175474
21.0,0.7483442782048775,69.86626789964656,45.99296,45.99296,0.5412350858791136,0.26355830267732155,0.2193586308194136,0.19215870731439197,1.682481591705013,0.6183029726810759,0.4917677365849742,0.34576620248352863,0.1142299704197873,0.2448132811964707,0.5031381786498788,0.11218125931850555,0.984944516747409,0.1986201658332806,0.20483029914920867,0.11872498691082001,0.4941322664222427,0.39365557973959225,0.11389601892395189,0.0003191825206684724,1.4483394399285316,,0.0003191825206684724
22.0,0.7082125530227554,52.8721378722473,47.9744,47.9744,0.5412350858791136,0.28060469885689576,0.21892613656867926,0.20885956312547857,1.8195927242760888,0.6438855762751076,0.49421856645910867,0.3477536920725125,0.1142299704197873,0.2636803303623795,0.5066679001941099,0.11348581546067527,0.9963984389695788,0.19158878504672897,0.2064959337273324,0.2689499855041504,0.4280881681249835,0.32889367107622036,0.11389601892395189,0.00023845415277016715,1.1391584232915193,,0.00023845415277016715
23.0,0.7084817526499614,50.22841288779481,49.95584,49.95584,0.5412350858791136,0.2780774237304232,0.218752236895086,0.2069909976998682,1.8037225367580862,0.6452784912978008,0.4776080442469764,0.3463531548843239,0.1142299704197873,0.2478245837913192,0.4814481580391612,0.1104572559361384,0.9698078737053175,0.1934683753617197,0.20553581447540675,0.2243117243051529,0.5210135019033197,0.41812996522974416,0.11389601892395189,0.00021169940793058564,1.0655198437161744,,0.00021169940793058564
