round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_brier,fed_f1,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
14.0,0.5894167977885092,0.6850549268114225,30.76608,30.76608,0.5412350858791136,0.7047303418658151,0.11468496254799519,0.5511206162991094,0.30753047616784235,2.516359156409696,0.195575461389954,0.30677916634450025,0.28268227207700314,0.3377573384074532,0.6558021963448066,0.20088219692871379,1.7637332615009342,0.24594062096609823,0.2716236722306525,0.5288369059562683,0.3898574008669981,0.250794161011335,0.11389601892395189,0.008908056601776243,0.9827192795928568,,0.008908056601776243
15.0,0.6434695116114795,0.7810154870003008,32.4352,32.4352,0.4559241291901578,0.6674292026979657,0.11468496254799519,0.5601465256682214,0.35623890529611507,2.085062002477814,0.22771314566575812,0.2741692353255741,0.2368983475257108,0.30668708990525245,0.6566567136128271,0.2038048633240731,1.7893940916420719,0.23842389258376206,0.26984343090537777,0.53006911277771,0.3952935680501792,0.25523295072425123,0.11389601892395189,0.011739406540682569,0.6351269134320319,0.011739406540682569,
16.0,0.6373650427682054,0.6144157122921745,34.41664,34.41664,0.5412350858791136,0.6779652603930146,0.11468496254799519,0.5661186614251612,0.3415484574324492,2.2022261493159085,0.2170051901995786,0.28377824120298006,0.24929118201740547,0.31647501339809914,0.6574116886296295,0.21174880019862102,1.8591413659506855,0.23621284581391125,0.27314814814814814,0.5330336093902588,0.4005380739136871,0.259156441953584,0.11389601892395189,0.006111100172816405,0.7062929570674896,,0.006111100172816405
17.0,0.6209019865419199,0.5857500224496788,36.39808,36.39808,0.5412350858791136,0.691574206573524,0.11468496254799519,0.558245830683859,0.33331435946559484,2.351546515528698,0.21043393292306226,0.2953144213121417,0.26537954677205733,0.32445041276535713,0.6575196390135147,0.21061062182738216,1.849148230264364,0.23520202324321068,0.27074767778285364,0.5345019102096558,0.39967018176417474,0.25857121135404343,0.11389601892395189,0.0063259939750613635,0.7538549245800823,,0.0063259939750613635
18.0,0.5981706315547489,0.6936288042441314,38.37952,38.37952,0.5412350858791136,0.7010383359739226,0.11468496254799519,0.5525729123840865,0.33839763337645434,2.481978413455347,0.21231690965204794,0.30363452009168157,0.2792906833895884,0.3361839390004354,0.6575810434808886,0.21214832248343435,1.8626491468949875,0.23540057915057916,0.2699010177052837,0.532782793045044,0.39972577590492153,0.25851833236143823,0.11389601892395189,0.006720137275848124,0.8398053360870108,,0.006720137275848124
19.0,0.5875856821197121,0.9062274457879441,40.36096,40.36096,0.5412350858791136,0.7127653074183863,0.11468496254799519,0.5799583078533749,0.32788214119673226,2.6384179844626066,0.2067405958571006,0.2996833179481925,0.2959422399384646,0.34790628842378574,0.6576206621000383,0.2101087192468268,1.8447415566571814,0.2381249220795412,0.269930786977698,0.5320557951927185,0.39727364300427565,0.2565074527720526,0.11389601892395189,0.007568229149310405,0.9920935217523947,,0.007568229149310405
20.0,0.6412879231181927,0.8411327818577234,44.01152,44.01152,0.9971592150692714,0.6676421828403032,0.11468496254799519,0.5416059720513954,0.32281397589375493,2.1129661615249735,0.20726468916647034,0.2824596336195797,0.24050491142638128,0.30749274924468,0.6581806562851243,0.2102324588094622,1.8458279823619992,0.24297948615813583,0.27515090543259557,0.5296061038970947,0.39143929383740217,0.2518721609365304,0.11389601892395189,0.006469823143464813,1.2618719288147986,0.009511749276905256,0.005167153089198211
21.0,0.6435702113176086,0.8722460266107473,45.99296,45.99296,0.5412350858791136,0.6837708385843189,0.11468496254799519,0.5309193808260172,0.3202749806761509,2.2441220158819233,0.201605160260477,0.29712767991004385,0.25420267632483945,0.32082633035795327,0.6576286184524428,0.20736335042791076,1.82063738826874,0.24576329331046312,0.2747513027001421,0.5265544056892395,0.3878370538752154,0.24911087760378592,0.11389601892395189,0.005410415300961983,0.753972360631451,,0.005410415300961983
22.0,0.6132911258034226,0.7010502407685406,47.9744,47.9744,0.5412350858791136,0.6986073678932315,0.11468496254799519,0.5526386903997649,0.3384171231057913,2.4319768307134337,0.21247714126168124,0.29941667635991254,0.27461509582676247,0.32815818382371204,0.6578906761037204,0.2092642033170261,1.8373267590393245,0.24523272503588273,0.2730294396961064,0.5272048711776733,0.3888592376110328,0.24979499272596262,0.11389601892395189,0.005578080968447882,0.8058582043740898,,0.005578080968447882
23.0,0.6002807955776238,0.8000826758438316,49.95584,49.95584,0.5412350858791136,0.7091785440290442,0.11468496254799519,0.5359084009073705,0.3319299088888852,2.5708719905613986,0.20722033543775514,0.3124954081571637,0.2886798014632397,0.33953385806970554,0.6573507861403253,0.20564953410285294,1.8055901869596045,0.24328147100424327,0.2736285525446134,0.5290063619613647,0.3886624668587544,0.24983114541570733,0.11389601892395189,0.00670947055930072,1.0094700485933572,,0.00670947055930072
