round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_f1,fed_auroc,fed_auprc_lift,fed_brier,fed_auprc,fed_f1_best,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
14.0,0.6011598009113158,0.5854876132922129,42.76224,42.76224,0.5412350858791136,0.5587735083723235,0.32076070529073875,0.7188809371003938,2.6916910556752445,0.18807617299419682,0.30408505504557165,0.3520169473873665,0.30124483210549796,0.11467774420946626,0.6648860416915878,0.2154991253204989,1.8920689885077298,0.27262733602052036,0.28142031379025595,0.49739980697631836,0.3644521587540803,0.2314741748906668,0.11389601892395189,0.008820832104590694,1.0605025907279924,,0.008820832104590694
15.0,0.6447404905784644,0.5894030526451564,44.43136,44.43136,0.4559241291901578,0.5425569099211861,0.2805575824909069,0.6785444695796377,2.133281988198927,0.21586291153416337,0.2440676885672093,0.3063908006364267,0.34007724130916345,0.11467774420946626,0.664673566924143,0.21662566251170234,1.9019599153535192,0.2699854651162791,0.2815371762740184,0.49380961060523987,0.36554050538852956,0.23236101521494879,0.11389601892395189,0.0067156606136933245,0.6016043438576162,0.0067156606136933245,
16.0,0.6420009440143636,0.6180933538384584,46.4128,46.4128,0.5412350858791136,0.5793144136502184,0.29272668028715537,0.6928940998812467,2.3062214045530074,0.20906501894854473,0.2634099164361894,0.3247488274376932,0.33143365603082875,0.11467774420946626,0.6647408194360286,0.21451784651449474,1.883453421297612,0.27472156598042524,0.28139109212934715,0.4922764003276825,0.3639769566647689,0.23112600687216348,0.11389601892395189,0.0070705346455297085,0.8869583926862106,,0.0070705346455297085
17.0,0.6197373089619219,0.5160269960688264,48.39424,48.39424,0.5412350858791136,0.5701077389723104,0.3029432287980634,0.7054947173885907,2.444487642208491,0.2055089851583745,0.2785274893806665,0.33241688614370873,0.32785949923172186,0.11467774420946626,0.6651372942649156,0.21541961081387617,1.89137085605873,0.2764350453172205,0.2804232804232804,0.49553781747817993,0.36308047681337413,0.2302086651423525,0.11389601892395189,0.006262046682016913,0.8191875643096864,,0.006262046682016913
18.0,0.6022712214483942,0.66395498527543,50.37568,50.37568,0.5412350858791136,0.5882323720423956,0.30928731284230393,0.718312747996804,2.6322526769367336,0.20663462173024566,0.2978283228324059,0.350379122039146,0.3312417419048397,0.11467774420946626,0.6654340511502602,0.21568973746150932,1.8937425513136228,0.27666760484097946,0.28024897525428877,0.5015502572059631,0.3647615265981848,0.23136631860713633,0.11389601892395189,0.007278015354838064,0.9938221103511751,,0.007278015354838064
19.0,0.5865965340902648,0.8684425642700886,52.35712,52.35712,0.5412350858791136,0.5942329215701794,0.3142545294749682,0.7282272429776828,2.7800684240643987,0.20739816101581304,0.3135939005973079,0.3628400943145541,0.33013487369943334,0.11467774420946626,0.6651491283979084,0.21497489792606098,1.887466304415778,0.28095100028993913,0.2813588850174216,0.5000395774841309,0.3634330405926295,0.23040090762979923,0.11389601892395189,0.007734903014328781,1.1096337655326352,,0.007734903014328781
20.0,0.6477769924641258,0.9788272084186278,56.00768,56.00768,0.9971592150692714,0.5564878961279583,0.27779195729336376,0.6793792318880549,2.142394512755485,0.2168320425809224,0.24534076395672713,0.3080246081204999,0.3416249309281921,0.11467774420946626,0.6650316529801509,0.21539366053362768,1.8911430142035566,0.2713854411271385,0.2799198798197296,0.4931457042694092,0.36480835318937355,0.23174156134427346,0.11389601892395189,0.005960893012838769,1.462716125533916,0.006167782713223666,0.005828347279569397
21.0,0.639698330056716,0.6092296008702662,57.98912,57.98912,0.5412350858791136,0.5605233698231726,0.2884840474523344,0.6956614279886295,2.314670606799786,0.21541908436156795,0.26441518417391646,0.3234628123710083,0.34140900808432456,0.11467774420946626,0.6645327118777902,0.21371006387882674,1.876361139729743,0.27159685863874344,0.2784903798717316,0.4932551980018616,0.36367493938671347,0.2309877770790294,0.11389601892395189,0.005556807273748514,0.8462382050929591,,0.005556807273748514
22.0,0.6151918890590278,0.5850554160656019,59.97056,59.97056,0.5412350858791136,0.5646777155716253,0.3030839409755495,0.7094382836744071,2.510108545443546,0.2088975850766848,0.28571802872756097,0.33709368826328395,0.33384495705327677,0.11467774420946626,0.6649846427339252,0.21323715476159238,1.8722090269368443,0.2721780604133545,0.2787207872078721,0.4932151734828949,0.36570683798154485,0.23242941471583128,0.11389601892395189,0.005733505281747652,0.903204579371959,,0.005733505281747652
23.0,0.6008715733376196,0.7525973773666799,61.952,61.952,0.5412350858791136,0.5815946434259655,0.3166307269683744,0.7239858483779377,2.6861277367010508,0.20255932062670615,0.30468213993569276,0.35489077750391773,0.3261636180568942,0.11467774420946626,0.6642298810578023,0.21299601386462175,1.870091824779571,0.2726063829787234,0.2808264245295433,0.49274492263793945,0.361325762377357,0.22901670162208,0.11389601892395189,0.006048269838902233,0.993032917380333,,0.006048269838902233
