round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,fed_ece,fed_f1_best_threshold,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
18.0,0.6458733844352242,0.47847608350403376,65.89728,65.89728,1.0,0.1142299704197873,0.22066372494123243,0.23191069676488796,0.6737955512124698,2.033673196711896,0.2840462070031069,0.3457822635614165,0.5542573091295655,0.30651901844097196,0.6637950802032953,0.22439424492816717,1.9701675883684284,0.2749184296389854,0.2860245075228789,0.5760484933853149,0.34624709852436936,0.2221603705960551,0.11389601892395189,0.0030991471294845893,0.3929325027438608,0.00357048405434134,0.002756436603787696,0.0026158529477766264
19.0,0.6434444129257304,0.5435073600272263,69.55824,69.55824,1.0,0.1142299704197873,0.1940050917911565,0.23449732851440347,0.6751935668722469,2.056547244098067,0.28884517783054237,0.30551755626664995,0.5191202147228018,0.30640835843727693,0.6631770824522571,0.22436672763959475,1.9699259882771136,0.2813081627226801,0.28436290669342124,0.514729380607605,0.305570924863376,0.19539043782438828,0.11389601892395189,0.003267492300000604,0.4188560840229911,0.0036620803896200804,0.002983623339751697,0.0024026680560923722
20.0,0.6390032648178854,0.5069611371653936,73.2192,73.2192,1.0,0.1142299704197873,0.21357903286884625,0.2362992954122509,0.6776334518881272,2.0737392449496386,0.28943786329965243,0.33861700311819887,0.5299448971387777,0.30957697760386826,0.6628754187312815,0.22401023834966519,1.9667960343656639,0.27522298158230046,0.28286466269566424,0.5325594544410706,0.33886097836709844,0.21504207250250898,0.11389601892395189,0.0031787073335763144,0.4114704474905011,0.0036395266947653196,0.0028370590518421914,0.0027982200005862755
21.0,0.6437853472248145,0.4389085041911545,76.88016,76.88016,1.0,0.1142299704197873,0.2180239535652984,0.2359469181957289,0.6776010247766916,2.070408838009779,0.2871088172906726,0.34167760037051265,0.54949205241447,0.30827459791378287,0.6637842123780865,0.22482950030437568,1.9739891036445605,0.2757219251336898,0.28162610323615944,0.547577440738678,0.34195049914192843,0.21987895658303974,0.11389601892395189,0.0029942212904218884,0.3910349086563656,0.003401780561417949,0.0026876435009611324,0.0027834554806437034
22.0,0.642253298174584,0.6205903666699591,80.54112,80.54112,1.0,0.1142299704197873,0.22076701990377795,0.2372017715028719,0.6794636564311943,2.082752010124169,0.2882227098866697,0.3483788625369012,0.5347418703260278,0.3114643685857756,0.6637431129236313,0.2253692337893389,1.9787279302520435,0.2754927163667524,0.2824842587292501,0.5566364526748657,0.348749684896141,0.22251146213330109,0.11389601892395189,0.0030878835052161914,0.407831275366334,0.0035047723131829017,0.0027743806546526775,0.002632911829619788
23.0,0.6388045080253267,0.4684483848680118,84.20208,84.20208,1.0,0.1142299704197873,0.21468279191264023,0.2374614450861571,0.6797994405856644,2.0832295209255602,0.28994253480793863,0.3390368297180309,0.5349313689771974,0.31141250676453713,0.6635049619779221,0.2247465492388725,1.973260798421192,0.27471029311520107,0.28232636928289107,0.5438094139099121,0.3391070874025684,0.2165332494352893,0.11389601892395189,0.0031090175009510406,0.41313769005500944,0.003509840635469929,0.0028077472722422463,0.002355024339882196
24.0,0.6430648651333375,0.5348297371348784,87.86304,87.86304,1.0,0.1142299704197873,0.21568155996602695,0.23891705788943193,0.6806154896568519,2.098290248230807,0.29018068130182106,0.3396905758346342,0.5499553836137011,0.31084070542031716,0.6639130952474774,0.22468249325297196,1.9726983908277949,0.27429314267143323,0.28241335044929394,0.5325000286102295,0.33988637185308535,0.21759488828618911,0.11389601892395189,0.0029749155708068136,0.3990490044470789,0.00327886554021701,0.002744870236920507,0.002390502629514323
25.0,0.6412095250633144,0.5614130704198719,91.524,91.524,1.0,0.1142299704197873,0.21079971150417895,0.2398962152655499,0.6822506637830171,2.1078892710813544,0.29175957360315213,0.33228187777176554,0.5461361420425417,0.3135203367352301,0.6630329143506445,0.22415669757223322,1.9680819372791434,0.2713237709405453,0.2817752100840336,0.5331131815910339,0.3327508351463568,0.2130065927244196,0.11389601892395189,0.0031400016251340187,0.42523682707178523,0.0034302823424940043,0.0029234016600679204,0.002132314370624803
26.0,0.6398612807984871,0.5546816502029323,95.18496,95.18496,1.0,0.1142299704197873,0.20605782638618683,0.2401442468991275,0.6828831209117207,2.1083848619853702,0.29415201013237297,0.32544016825975747,0.5492555614973724,0.3129419262448062,0.6633985802755046,0.22501030316281895,1.975576541556363,0.2776409895650135,0.2819299905392621,0.5286638140678406,0.325645469574193,0.20829818869288422,0.11389601892395189,0.003146925401238166,0.4304606632413197,0.0034528623212686364,0.0029129149421063504,0.00238251003041323
27.0,0.6411119281435939,0.5709159584475687,98.84592,98.84592,1.0,0.1142299704197873,0.21135319926435134,0.24100723703978968,0.6845616279597496,2.114935732928811,0.2948882893080658,0.33284717036622297,0.5351501840635488,0.3138727472273164,0.6629487075294552,0.22481343780327923,1.9738480758786368,0.2765504093304923,0.28037089423228034,0.5687595009803772,0.333071621578391,0.2138611742350269,0.11389601892395189,0.0032059972683449924,0.4428970840990587,0.0034232809059386395,0.0030454299244136304,0.002093605449499307
