round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_f1,fed_ece,fed_brier,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
25.0,0.13614904221770383,5.6085308145944675,218.967936,218.967936,0.035646615445478584,,,,,,,,,,0.5994967727819713,0.9797691876247683,1.013118731917308,0.0,0.9832657200811359,0.48275867104530334,0.4842626062711872,0.26634392220957126,0.9670822942643391,4.7795726563756564e-06,0.0004113758518595745,4.7795726563756564e-06,
26.0,0.15516591302702062,7.2660344858947665,231.635712,231.635712,0.9991046702896288,,,,,,,,,,0.6018566271273853,0.9802479567958121,1.013613797511915,0.0,0.9832657200811359,0.4827713370323181,0.48424943970920437,0.2663311465475067,0.9670822942643391,2.796710629833487e-05,0.01708597181368532,5.040658155220716e-06,3.17267590456034e-05
27.0,0.14009914519814073,7.266879915889152,232.08768,232.08768,0.035646615445478584,,,,,,,,,,0.6002000406332536,0.9801303736869296,1.0134922120898886,0.0,0.9832657200811359,0.48277026414871216,0.4842505623723503,0.2663322418745608,0.9670822942643391,4.992896750807617e-06,0.0004297465142357737,4.992896750807617e-06,
28.0,0.15482565142670637,7.233091444815141,244.755456,244.755456,0.9991046702896288,,,,,,,,,,0.5952888868051323,0.9799006219889954,1.0132546400659803,0.0,0.9832657200811359,0.4827702045440674,0.4842485129090021,0.2663302768101151,0.9670822942643391,2.6776189038957826e-05,0.01636213463153169,5.116867738653539e-06,3.0327197762625628e-05
29.0,0.1418123665109764,11.232685733882544,245.207424,245.207424,0.035646615445478584,,,,,,,,,,0.5948044133964712,0.9798624888303211,1.0132152089245972,0.0,0.9832657200811359,0.4827680289745331,0.4842513035063137,0.2663329813413638,0.9670822942643391,5.1651308681091475e-06,0.0004445807957687009,5.1651308681091475e-06,
30.0,0.1424316108868258,7.041427818958377,257.8752,257.8752,0.9991046702896288,,,,,,,,,,0.5564255239345492,0.9768140947994041,1.0100630531577128,0.0,0.9832657200811359,0.48277029395103455,0.4842479798710554,0.26632996620003185,0.9670822942643391,3.494111303852813e-05,0.02135598042345066,6.286803544852886e-06,3.9637946435175396e-05
31.0,0.11555582422154766,7.722305736782096,258.327168,258.327168,0.035646615445478584,,,,,,,,,,0.5645638957913326,0.9775866700475438,1.0108619254488527,0.0,0.9832657200811359,0.48276486992836,0.48425041719565065,0.2663322789366293,0.9670822942643391,5.171850614605278e-06,0.0004451775819589443,5.171850614605278e-06,
32.0,0.16140462987235038,9.481118515419096,270.994944,270.994944,0.9991046702896288,,,,,,,,,,0.5738235891665495,0.9784618936551218,1.011766940061124,0.0,0.9832657200811359,0.48275789618492126,0.48425486774515925,0.26633652798247176,0.9670822942643391,2.5053722003126955e-05,0.01531606013163156,5.6619087168631365e-06,2.8231676643282313e-05
33.0,0.12330378732275599,6.526052190521543,271.446912,271.446912,0.035646615445478584,,,,,,,,,,0.5694437932705081,0.9780833218041676,1.0113754823194203,0.0,0.9832657200811359,0.4827589988708496,0.4842548044393782,0.26633649340247223,0.9670822942643391,5.779659932215195e-06,0.000497512043651227,5.779659932215195e-06,
34.0,0.15564818689006155,10.148158645094995,284.114688,284.114688,0.9991046702896288,,,,,,,,,,0.5688069451607358,0.978161544844348,1.0114563679282713,0.0,0.9832657200811359,0.4827605187892914,0.48425263612347647,0.2663343897958804,0.9670822942643391,2.565908367896825e-05,0.015689221434811884,6.12052444918841e-06,2.8860454225190953e-05
35.0,0.12699434692847167,8.767319307479157,284.566656,284.566656,0.035646615445478584,,,,,,,,,,0.5580664822542079,0.9772446256776786,1.01050823851663,0.0,0.9832657200811359,0.4827658236026764,0.4842494802581996,0.26633139537024847,0.9670822942643391,7.632771520226845e-06,0.0006570448364371373,7.632771520226845e-06,
36.0,0.11334110956329185,5.548880586877623,297.234432,297.234432,0.9991046702896288,,,,,,,,,,0.5425437979589605,0.9758542162338719,1.009070502088145,0.0,0.9832657200811359,0.48280277848243713,0.4842130242886388,0.2662961590580764,0.9670822942643391,3.115701916731345e-05,0.0190545364241963,7.108484023650968e-06,3.509662397048658e-05
37.0,0.142759402033394,10.357535632910942,297.6864,297.6864,0.035646615445478584,,,,,,,,,,0.531014112241549,0.9748370867982847,1.008018751434018,0.0,0.9832657200811359,0.482805997133255,0.4842115338306474,0.26629476972064514,0.9670822942643391,7.80825513933964e-06,0.000672178089565989,7.80825513933964e-06,
38.0,0.14021609537808163,10.619999870550949,310.354176,310.354176,0.9991046702896288,,,,,,,,,,0.4453013893447106,0.9661429809610806,0.9990287141964759,0.0,0.9832657200811359,0.4828892648220062,0.48413318438720226,0.26621923720069707,0.9670822942643391,5.006581124316426e-05,0.030624394531315602,9.57052303470814e-06,5.669861515878703e-05
39.0,0.09046771520295746,5.26143139666183,310.806144,310.806144,0.035646615445478584,,,,,,,,,,0.45284198352790406,0.967237057999616,1.0001600316086798,0.0,0.9832657200811359,0.4828858971595764,0.4841344460287593,0.26622043286716723,0.9670822942643391,7.554060083647158e-06,0.0006503381732336777,7.554060083647158e-06,
