round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_brier,fed_prevalence,fed_auprc,fed_f1,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6424085867565452,0.43145218150024645,40.27056,40.27056,1.0,0.6813524389568352,0.32225934919842103,0.20356855680839958,0.11367069486404835,0.2579980089906521,0.28946336739800926,0.3161950668461914,2.30663146260936,0.5409003128030329,0.6692026766073049,0.22382679191413785,1.9651853860106074,0.2878131021194605,0.28958702812262477,0.5094636678695679,0.32325526923758674,0.20641214480159376,0.11389601892395189,0.007936894562020892,1.5799921187426662,0.006107043813701921,0.00959869301680186,0.004205570319434737
12.0,0.6408490541156433,0.5721587038299583,43.93152,43.93152,1.0,0.6844320343050811,0.3360665407137756,0.21254104609755015,0.11367069486404835,0.2595607681358917,0.29154392327964834,0.31938729956736955,2.3152311428198313,0.5622014862851944,0.6694498882571717,0.22424669054046065,1.968872069972785,0.2803234501347709,0.2876834716017868,0.525394856929779,0.3372216370052166,0.21590254817980978,0.11389601892395189,0.0074033458248878165,1.5724207291186758,0.005819626537871276,0.008870367505677637,0.00350645754816208
13.0,0.6372433978141339,0.6612436216851318,47.59248,47.59248,1.0,0.6861699775213659,0.33776475015412427,0.2126219536722245,0.11367069486404835,0.26341262892119316,0.2944613811160471,0.32387290858181983,2.3492370193679353,0.575700962563371,0.6686630376329445,0.22659108996900587,1.9894557519196543,0.2807419280970918,0.28736529751678896,0.5561195611953735,0.3390437084404319,0.2161505785752984,0.11389601892395189,0.007226525408700681,1.6272589260315726,0.005675727611459172,0.008684342763959099,0.004348933930557134
14.0,0.6405655932724039,0.5967126993144233,51.25344,51.25344,1.0,0.6889000029489909,0.33449088266374477,0.21116396302236237,0.11367069486404835,0.2655155970901976,0.29320772462112704,0.32627275826605606,2.3640087102553675,0.5718925395269558,0.6664958351632526,0.2248974490855705,1.9745856897398144,0.2752941176470588,0.2857519441149335,0.5359551906585693,0.33575526256307553,0.21509699483317024,0.11389601892395189,0.007250525354987751,1.7355078797700116,0.0052255816017781846,0.009189117009840896,0.0037315273149688935
15.0,0.6396170087163774,0.745647453254204,54.9144,54.9144,1.0,0.6914259278677433,0.3344914426690405,0.21033407885699368,0.11367069486404835,0.2670611529784119,0.2955558444518207,0.3309344871366279,2.3589165423112384,0.5637947215331947,0.6661447517013167,0.2234486410630181,1.9618652449319958,0.27811816192560174,0.2855910267471959,0.5405058860778809,0.33574829124091604,0.21440783821331433,0.11389601892395189,0.0066757858909139555,1.6939886822037806,0.004752838688975373,0.00853898553071419,0.004905241049421377
16.0,0.6387577035415697,0.6469627643670626,58.57536,58.57536,1.0,0.6922359707836913,0.35257811901513164,0.2220216115396057,0.11367069486404835,0.2695698285726405,0.28693985037906006,0.3276242371420466,2.3961639427645576,0.5733523694920277,0.6661274962051712,0.22519610641885396,1.9772078826496726,0.2731619844590556,0.28763183125599234,0.5686806440353394,0.353831633950937,0.2261354019031481,0.11389601892395189,0.006266667263062392,1.6816645739672822,0.004428688615433744,0.008073284907849655,0.00393542468685539
17.0,0.6397767499814597,0.7597209827020811,62.23632,62.23632,1.0,0.6956958496347335,0.3346722566244575,0.21067187427313944,0.11367069486404835,0.27201236073242835,0.2965367304522523,0.33269958652532083,2.4180011962670256,0.5734788906879625,0.6660226329864145,0.22526274349104342,1.9777929520210082,0.27645502645502645,0.2863202545068929,0.5296739339828491,0.3357730852053296,0.21520762601436497,0.11389601892395189,0.006001065182743196,1.6984619507093157,0.0040308548116276145,0.0079478511411412,0.004831363708896427
18.0,0.6349713833980839,0.847266267817913,65.89728,65.89728,1.0,0.6951086283152168,0.3334848526403334,0.2095514043825143,0.11367069486404835,0.27122655542775,0.2985826060670269,0.32827955559513833,2.41333073170236,0.5676576849467084,0.6636352754848117,0.223814403947079,1.9650766204262096,0.27672679278486584,0.28372853638593626,0.5323750972747803,0.33460360386140897,0.21418073097340465,0.11389601892395189,0.005860637510038429,1.7472166445168114,0.004010981599099945,0.007709209366555619,0.003495620491485656
19.0,0.6382053704008604,0.8806254197772867,69.55824,69.55824,1.0,0.6978293033817751,0.3135112767455507,0.19915358984657908,0.11367069486404835,0.2738394109256095,0.3018274675811239,0.3319982868102867,2.4339910356547043,0.573383555586252,0.6631749364960093,0.22471517636109684,1.9729853464951979,0.27692307692307694,0.28345612860013397,0.5257417559623718,0.314771339586877,0.2043702011949863,0.11389601892395189,0.005378319320719187,1.68076204063982,0.0036874508607820213,0.00709051300397522,0.0037929659803643957
20.0,0.6440680592343868,1.2204464290793626,73.2192,73.2192,1.0,0.6984789973675284,0.33722670198313165,0.21201596342693121,0.11367069486404835,0.2750687402071423,0.29952776574971035,0.33694558638299094,2.445220289405197,0.5810783512567705,0.6618407289846002,0.22530851923785924,1.9781948602461445,0.27118274885645827,0.282403831299243,0.5553323030471802,0.3381856058347505,0.21701910116366255,0.11389601892395189,0.00598232903600412,1.9612741959963387,0.0034807215170554345,0.00854109239188201,0.003606333107515662
