round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1,fed_auroc,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6442779754710073,0.4548369547778302,40.27056,40.27056,1.0,0.30870410628872486,0.5494660471646637,0.3412845051716363,0.11022977651872835,2.1167265471921928,0.2837407673072812,0.6850975326475042,0.2325875482923684,0.21272933317563586,0.6705355036790224,0.22306087756091417,1.9584607053724274,0.2810525106285189,0.28257491675915647,0.49205705523490906,0.3383272544469751,0.21478048783632245,0.11389601892395189,0.0076953376571518165,1.5040058289177978,0.0060608850759701766,0.0091644643721957,0.005467653259228418
12.0,0.6455176867257142,0.4563186868251642,43.93152,43.93152,1.0,0.31075839640959796,0.5648472101931531,0.3479565079984404,0.11022977651872835,2.134025067080058,0.28319600362915814,0.6855300816892872,0.2346936281539882,0.217480958522145,0.669740822196908,0.2219975911728276,1.9491251166650074,0.277085124677558,0.2818321893822664,0.5513325333595276,0.3449927886550599,0.219707465800046,0.11389601892395189,0.007862790375655848,1.636475048151624,0.0057901144299979355,0.009758095953954372,0.004621988442944656
13.0,0.6409005627791318,0.4685172044513021,47.59248,47.59248,1.0,0.31315736417212187,0.571576322663457,0.35171301495946355,0.11022977651872835,2.173852945722791,0.28521938602507263,0.6878922038687841,0.23881963792895403,0.21997978568684373,0.6706570953169512,0.22272804152258507,1.9555384255467267,0.27941176470588236,0.28389896172322954,0.5708873271942139,0.34869878334847054,0.22232380175802158,0.11389601892395189,0.006894599617018549,1.525792750416258,0.005300872916552712,0.008380489222276745,0.00398516179716662
14.0,0.644126735133252,0.5086644035224144,51.25344,51.25344,1.0,0.3163730938439354,0.5530921279990078,0.32138521952949156,0.11022977651872835,2.1981894495362506,0.2936236311964584,0.6893809018414584,0.2414870064555792,0.2006307491343877,0.6704283564600487,0.22198523847366158,1.9490166607305266,0.2777912327440058,0.28263118994826314,0.5407619476318359,0.31823649950469113,0.20330499637817212,0.11389601892395189,0.0066847467569639074,1.5640998462949938,0.0050690851497672326,0.00821755747636955,0.004366176156246052
15.0,0.6423505037007694,0.6029049215147728,54.9144,54.9144,1.0,0.3180101232897261,0.569057500591284,0.34676454535512236,0.11022977651872835,2.215399553451323,0.2921448147948949,0.6901940108638728,0.24325736239033302,0.21605275096964074,0.6695731113238271,0.22147455590587772,1.9445328993786497,0.27884064612212167,0.2827346465816918,0.5461190938949585,0.3435875839187272,0.218685487683905,0.11389601892395189,0.006704126055906961,1.66294373265373,0.004597839944838893,0.008732648835791473,0.004252635038843044
16.0,0.6408947774809538,0.5502742293352754,58.57536,58.57536,1.0,0.3176797435464221,0.576017749140688,0.3489345007017606,0.11022977651872835,2.232997037154043,0.2853216948307654,0.6905517009690583,0.24542382033501817,0.21846458445072262,0.6692998219132401,0.22099209540895054,1.9402969260629421,0.27899159663865547,0.2825189721741446,0.5430403351783752,0.3458232106456724,0.22131909296322955,0.11389601892395189,0.0062710635483814595,1.6383820613955322,0.0042876775441504636,0.008205801378272742,0.004165950873060744
17.0,0.6427174704187496,0.6661945360680315,62.23632,62.23632,1.0,0.3203228703148365,0.5706763284552347,0.33627312944526,0.11022977651872835,2.2695351927845713,0.2945905290416618,0.6941805795487287,0.24948225667350135,0.20821248099818176,0.6694099308028251,0.2228861961337873,1.9569270132488819,0.28037836526800874,0.2832196452933151,0.5229505896568298,0.3329207242882134,0.21132054709287026,0.11389601892395189,0.005855348787237572,1.6111246317250334,0.00417026056941761,0.007509543533724838,0.004360712351807747
18.0,0.6405759187221001,0.626321037217352,65.89728,65.89728,1.0,0.3246711974316062,0.5702041386169646,0.34508668051122077,0.11022977651872835,2.2841808586445977,0.28974809318529177,0.6948097484190127,0.2513687875721318,0.21470514544406466,0.6685020532659974,0.22211989715992297,1.9501989556652715,0.2787143178242302,0.2867870036101083,0.5443379282951355,0.34188095048895667,0.21809104181977026,0.11389601892395189,0.00598365636693384,1.731171851301042,0.003911303818570108,0.008038350875776716,0.0043984011921469396
19.0,0.6389037525580268,0.7635081379852323,69.55824,69.55824,1.0,0.32347086654197077,0.5646302283767037,0.32458370949910015,0.11022977651872835,2.3117367577195638,0.29439367619697976,0.6948076928389911,0.2543837338992563,0.20156271678657808,0.6673885153140207,0.221002684601014,1.9403898985141612,0.2819512195121951,0.28449588790740177,0.5411965847015381,0.32147354001028505,0.20523229166507273,0.11389601892395189,0.005677205376611354,1.730820908559508,0.003740467205964806,0.007606984870897532,0.003862571608332298
20.0,0.6492041085954326,0.8624531019502131,73.2192,73.2192,1.0,0.3268035231998114,0.5961675711311482,0.34494735515017744,0.11022977651872835,2.3240639239391014,0.2876139547743643,0.6972226170220476,0.25577935734656054,0.2155094009314092,0.6678387268952672,0.21828438453254176,1.9165233920800142,0.27903532896128624,0.2822978303747535,0.5289008617401123,0.34221162480159234,0.21968507066633328,0.11389601892395189,0.005733295593810737,1.8341668142502385,0.0036476828928962866,0.007827374553343142,0.003494017228330051
