round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_auroc,fed_auprc,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.638306468812882,0.41078087812228326,40.27056,40.27056,1.0,0.5606348539449993,0.3486743852455815,0.6758324384889454,0.25216819775265914,0.2834188654455413,2.2149320589301507,0.11462201800214009,0.315705292496738,0.22090109277808145,0.6586955477406494,0.2148583567793329,1.886443080357298,0.27648317010019136,0.27762643610091203,0.5105019211769104,0.3483111933417455,0.2224709435432703,0.11389601892395189,0.007584511601714136,1.5416597722851293,0.006045511564146418,0.008991955405008752,0.0039726373571011015
12.0,0.6350178959802275,0.44449589591419275,43.93152,43.93152,1.0,0.5537857501158788,0.343364972584857,0.6782274751777219,0.25211218796174656,0.2850635009075942,2.215425765922592,0.11462201800214009,0.3148467408789942,0.2171079951683116,0.6582779396350289,0.2140571967948967,1.8794089452575353,0.2733548090197883,0.2774718697629878,0.5088657140731812,0.3429537783387419,0.21865917587760964,0.11389601892395189,0.007011758194117212,1.514974170970163,0.005627318152327133,0.00829974267906159,0.004694766931958018
13.0,0.6376903690974218,0.48720587978652874,47.59248,47.59248,1.0,0.5645323430283025,0.33760909120769544,0.6794016454933606,0.2563597552983227,0.28508070005163133,2.2512284197218766,0.11462201800214009,0.3181128632825765,0.21341202564271994,0.655845090370861,0.21188095352727995,1.860301664000674,0.27377124483233806,0.2791104447776112,0.5167784094810486,0.3365392180063973,0.21532589835317534,0.11389601892395189,0.006768161276742569,1.5492127338839055,0.005192784936332879,0.008262801974792238,0.004001077107038467
14.0,0.6371171063411412,0.5624705981873951,51.25344,51.25344,1.0,0.5446352308381907,0.3109649545591353,0.680006348688436,0.25897232189173197,0.2895106936762911,2.272456503875096,0.11462201800214009,0.3190788470269345,0.19881832324609008,0.6560618696002533,0.21182532329653098,1.85981323401625,0.2755695588948134,0.2794561933534743,0.5081783533096313,0.3099321498698177,0.200958794129221,0.11389601892395189,0.006879465139182102,1.671420737866356,0.005017141560540303,0.008663935551567732,0.00557325334979084
15.0,0.6420022137123838,0.7687386434234769,54.9144,54.9144,1.0,0.551925373053381,0.34108094828039287,0.6843846860843463,0.26181889835003946,0.28396232743487687,2.2971744729428196,0.11462201800214009,0.31968547850319257,0.21613413654471075,0.657270620242597,0.21334978333834556,1.8731978988729951,0.27242309767943873,0.2804226227470478,0.5237978100776672,0.3410630300596062,0.21896218891430932,0.11389601892395189,0.006462930238358811,1.66686481322904,0.004763903264257223,0.008116523637505877,0.003493201219284267
16.0,0.6362356421675097,0.6536764485463936,58.57536,58.57536,1.0,0.568458144315998,0.33729492408435235,0.686616187796867,0.26389937163856625,0.28729275153694894,2.3141892187656565,0.11462201800214009,0.32342621791787207,0.21335411966771153,0.6565796850780342,0.21198697728891552,1.8612325460686974,0.27028802978863214,0.2797074954296161,0.5298817753791809,0.3369385419973394,0.2162817156719954,0.11389601892395189,0.00581581331320044,1.5802069543406105,0.0044359769300889,0.007169167629334344,0.004371529093280999
17.0,0.6436338251329338,0.7296717232776486,62.23632,62.23632,1.0,0.5615570172981713,0.3273169527130106,0.687187383805511,0.2661890073590462,0.29343303651630587,2.3363231999881244,0.11462201800214009,0.3237935377663291,0.20811755828162437,0.6539476007180094,0.2097958701744434,1.8419947611559946,0.2715148751852274,0.27737665463297234,0.5529677271842957,0.3270289469445632,0.21172176127327286,0.11389601892395189,0.0054755791988293275,1.5653043759393768,0.003998040703118946,0.006956178055766966,0.003816094907486637
18.0,0.6373493448171306,0.8088180773550725,65.89728,65.89728,1.0,0.5618982218417434,0.3358268469012581,0.688511827837322,0.2678978966516779,0.2928835916136192,2.3518667254185237,0.11462201800214009,0.32203480745446056,0.21132735889347015,0.6542267758214633,0.20923418999695717,1.8370632439458867,0.26834915489696687,0.2757871878393051,0.5277268886566162,0.33527787244403473,0.2145397237252537,0.11389601892395189,0.005367517104974464,1.613145666431592,0.003699919557803998,0.007060948154677128,0.004019849324589493
19.0,0.6426862152597866,0.6717749941593125,69.55824,69.55824,1.0,0.5566981584237011,0.32851755845551495,0.6914982047470835,0.27266867392520966,0.29124024351183475,2.390213914424279,0.11462201800214009,0.32589996804214044,0.20853307543358712,0.6527219459641691,0.20699381205285475,1.817392864197159,0.26845191988491757,0.2781277016178832,0.5217330455780029,0.32786328298776535,0.212306735778804,0.11389601892395189,0.004948526112006882,1.5572471525265428,0.0033506511790577288,0.006590157183513799,0.004881247689363717
20.0,0.6407958005836073,0.8607682079160162,73.2192,73.2192,1.0,0.5480150074440152,0.31261007500213406,0.6925885329771486,0.27554531527037585,0.2982578292886299,2.414908572107553,0.11462201800214009,0.3307592594244061,0.19960151610586033,0.6522801676144934,0.20558773566106192,1.8050476004638265,0.2695468419816858,0.2771545827633379,0.5279707908630371,0.3115058991588558,0.20360009129558618,0.11389601892395189,0.00488275031301295,1.613296433850337,0.0033579652782187294,0.006465991219639074,0.004601264623670502
21.0,0.6450827743568295,1.0911557527718108,76.88016,76.88016,1.0,0.5360074853040936,0.31904456230439576,0.6935808653914463,0.2761045240032233,0.2963495320984021,2.416330492402974,0.11462201800214009,0.32885997513585896,0.20120024990477733,0.650980659337151,0.20568003365951557,1.8058579711802538,0.2718469814704124,0.27495342028214,0.5167601108551025,0.3177827655238989,0.20500682023262046,0.11389601892395189,0.005310933243807289,1.831534218032175,0.0034860856402315695,0.007226976976052115,0.004668386987698858
22.0,0.6424183189140917,0.9891976373325562,80.54112,80.54112,1.0,0.5568575081024174,0.3214760719138249,0.699364741762659,0.2797873147440706,0.2952829406711298,2.448370651913431,0.11462201800214009,0.3313521633226578,0.20338282973385843,0.6498773240894407,0.20447447839540492,1.7952732705427752,0.27248211982647436,0.2748507656371659,0.5188673734664917,0.32051558744250813,0.2084031322808932,0.11389601892395189,0.004626015527874907,1.6732137559956755,0.0030147633026849346,0.0063311102915121365,0.0037498153875736113
23.0,0.64663803986993,1.360207193043767,84.20208,84.20208,1.0,0.5355664732293077,0.32045259538426163,0.6985922858366778,0.2789592755846853,0.29720778980113705,2.43723160693624,0.11462201800214009,0.33209521578063145,0.20191075072997183,0.6499341982047357,0.20398798962934916,1.7910019292733268,0.26787582839204743,0.2758895379713223,0.519000232219696,0.31967105249075994,0.20644767668738664,0.11389601892395189,0.004461820197736748,1.6866636829981871,0.0028987808648367644,0.00612961923060505,0.0046343134470551205
24.0,0.6393461887974664,1.0276707041647082,87.86304,87.86304,1.0,0.5619349557468601,0.3259473166356929,0.701413610381302,0.28167253930857405,0.2976422091856938,2.467220134944469,0.11462201800214009,0.33570251272103435,0.20676912709912895,0.6522767541636194,0.20851880954160523,1.8307822478047522,0.2676971326164875,0.2752449936088624,0.5421233773231506,0.32497121302048243,0.2118330940283324,0.11389601892395189,0.004589189524309011,1.8051868021248083,0.002638699708278749,0.006686091202406863,0.0055309944800144145
