round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,fed_f1_best,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6412467417214247,0.8000789300307929,40.27056,40.27056,1.0,0.09949864563137736,0.6838393549421,0.04587470217464168,0.21429351219715345,0.2562617665431125,2.269790643621473,0.32299049529085444,0.06158504761210486,0.11519576986025432,0.6628082289666546,0.22507315046630078,1.9761283369928988,0.05168820341809087,0.28547177818644787,0.20176732540130615,0.060967992769874024,0.1001384835025741,0.11389601892395189,0.008086147334620384,1.505379304930102,0.006472420727377592,0.009598716974980853,0.005668983784840069
12.0,0.6336803107938205,0.8344428570212568,43.93152,43.93152,1.0,0.10044950647852857,0.6854976109912977,0.058827854192359114,0.21651232599026457,0.2577337035857458,2.26752050679107,0.3237802517134911,0.06936852828776913,0.11519576986025432,0.6624956848710185,0.2246754890673418,1.9726368945112744,0.0670756646216769,0.2853631895139268,0.20820756256580353,0.0692774638517843,0.10135719198212861,0.11389601892395189,0.007490364071258161,1.47735284655937,0.005851636706779718,0.009060499091995735,0.0048252347006039215
13.0,0.6294556986403907,0.9186331315488241,47.59248,47.59248,1.0,0.10024189736668036,0.6869828801841212,0.08901337081781854,0.229856232036035,0.2612231375601262,2.3072199214971403,0.3237656510209522,0.0687857463808847,0.11519576986025432,0.6611028212221669,0.2232465952855699,1.9600912955055183,0.09968847352024922,0.2834245006996565,0.203333780169487,0.06812894745076499,0.10179177368770721,0.11389601892395189,0.0074440663529096295,1.5496997713926248,0.005598610953757594,0.009231568639395499,0.0066950879062510705
14.0,0.6300275900392263,1.0612444778035233,51.25344,51.25344,1.0,0.09900874046692668,0.6882071391743089,0.11353384406121736,0.21953377704567903,0.2638164580252878,2.3310786456443453,0.3245660117130719,0.059523399539965334,0.11519576986025432,0.6625477776451998,0.22462234360613687,1.9721702806497274,0.11933534743202417,0.2857578530039646,0.21011486649513245,0.05863453689702948,0.10072459361446759,0.11389601892395189,0.006826322465612122,1.5055932321993168,0.005091269353518439,0.008543410236040336,0.004990926954098161
15.0,0.6363349506230597,1.1834148690354973,54.9144,54.9144,1.0,0.0987745476389859,0.6883565422311849,0.09124718871610747,0.21051864656928684,0.2662160178151325,2.347808072159644,0.326735123048201,0.0605221260897135,0.11519576986025432,0.6621245975830057,0.22453364058424247,1.9713914736050877,0.09076558800315707,0.28559381588193955,0.1976931095123291,0.060035243809370926,0.10029246574057793,0.11389601892395189,0.007060977728327447,1.6367019296158105,0.004809059809067896,0.009328043966420481,0.005121612412535319
16.0,0.6390682549385008,1.181691774470918,58.57536,58.57536,1.0,0.0987161645391838,0.6896838682082433,0.08915360426660493,0.2169674954821612,0.26818964473398366,2.3627859686102552,0.3297356492676151,0.06085235944943345,0.11519576986025432,0.6617850219683172,0.22445335229654526,1.9706865474061235,0.0880253766851705,0.28609483217900905,0.2016717791557312,0.059252944807783786,0.1005320340417502,0.11389601892395189,0.006268686680344601,1.5341539162036497,0.0043353871641362805,0.00822024714892906,0.004726381996763839
17.0,0.6405973035175953,1.2454463816712076,62.23632,62.23632,1.0,0.09793261154704426,0.691190944459113,0.06119792895276013,0.22012514868043206,0.27319666245968144,2.4106238341167403,0.33228404103888776,0.05703433350584045,0.11519576986025432,0.6613536220152321,0.22478384462191775,1.9735882495770587,0.06644790812141099,0.28676366718463064,0.20201937854290009,0.05418355594426122,0.09973596072029191,0.11389601892395189,0.0061614926289040054,1.587102354853414,0.004176044659079918,0.008186060011254772,0.004039438619952199
18.0,0.6424627367156948,1.1866528875736058,65.89728,65.89728,1.0,0.09902025278074246,0.6911945658771509,0.11357708701521656,0.22442954358257036,0.2720995482956807,2.3955101079667998,0.3284968352312358,0.06388731587673034,0.11519576986025432,0.6589661390191117,0.22075687192336013,1.938231678411508,0.10510164940544688,0.28170579247117655,0.20906861126422882,0.0635339703607356,0.10159495355253648,0.11389601892395189,0.005682963774959188,1.5358019626219175,0.003776996905526945,0.007640913221389855,0.004395487105920253
19.0,0.629473731950411,1.358566879616001,69.55824,69.55824,1.0,0.09718998831213321,0.6923078176462358,0.0884714444418318,0.22282092405025142,0.2751230892652124,2.419427508408922,0.32848406959653265,0.051197318164342115,0.11519576986025432,0.6592664975971062,0.21950070841077052,1.927202640483252,0.08498808578236695,0.28163992869875226,0.19537530839443207,0.048577583476644565,0.09962970151389704,0.11389601892395189,0.005767934193846701,1.6412706039263867,0.003468372939809418,0.008142313172383127,0.003633593802591635
20.0,0.6440351621268443,1.4477138877932174,73.2192,73.2192,1.0,0.09747896824908395,0.695728714354344,0.08805940529280992,0.22420148113884342,0.28109806483292155,2.4782681443394603,0.3320439791336249,0.05688627877895384,0.11519576986025432,0.6596903051318874,0.22245294287156964,1.9531230764097292,0.0884109916367981,0.284,0.2109675258398056,0.05430900566972674,0.10020115910637845,0.11389601892395189,0.005931047503880942,1.7727452806429937,0.0035054415003552544,0.008436078997800339,0.0037587584266646026
