round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auroc,fed_auprc_lift,fed_f1,fed_prevalence,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
45.0,0.5938290917885956,1.0401435866155406,74.26048,74.26048,0.5412350858791136,0.32296937159217465,0.5766804036004365,0.36444220656384774,0.7415330319384513,2.8716674285879713,0.32324483147296024,0.11467774420946626,0.2024092656346042,0.3241684737292453,0.447763647541319,0.10375076338780237,0.9109252840266219,0.08530571992110454,0.2045002711006687,0.30488160252571106,0.36817436049458396,0.2378652880986827,0.11389601892395189,0.006519719883287407,1.2610103199258447,,0.006519719883287407
46.0,0.641760300401072,1.354528117360978,75.9296,75.9296,0.4559241291901578,0.33887126576190596,0.5636245469316046,0.3322176491635137,0.7044357395992837,2.36142038749031,0.30143215309745336,0.11467774420946626,0.21393507271530546,0.27076798869523405,0.44036063811251425,0.10097547589415694,0.8865584315249687,0.09060626249167222,0.2045002711006687,0.3177357316017151,0.3690684894558719,0.2385670004641862,0.11389601892395189,0.0037127220730174167,0.49484279146417975,0.0037127220730174167,
47.0,0.6407164127695928,1.2747519668676623,77.91104,77.91104,0.5412350858791136,0.32672894202617786,0.5457061079160984,0.33983010350271936,0.7190621021178651,2.602551447218153,0.31486211488197974,0.11467774420946626,0.20340505790744318,0.2965922440645724,0.45486287239180356,0.1037217574335524,0.9106706135427541,0.07718383311603651,0.2045002711006687,0.3226886987686157,0.3675540582412767,0.23728027219748324,0.11389601892395189,0.00493688064695117,0.9944101341534406,,0.00493688064695117
48.0,0.6115936616951559,0.9717447311941619,77.91104,77.91104,0.0,0.3461870515753582,0.601418305092753,0.3592617692822447,0.7367322880188446,2.759716528832392,0.3124948354313997,0.11467774420946626,0.21714546058116324,0.3130702679625858,0.45486287239180356,0.1037217574335524,0.9106706135427541,0.07718383311603651,0.2045002711006687,0.3226886987686157,0.3675540582412767,0.23728027219748324,0.11389601892395189,0.0,0.0,,
49.0,0.5897988638233185,1.0666728148177964,79.89248,79.89248,0.5412350858791136,0.318802426502266,0.578905951959519,0.3696295161091364,0.7487379864908051,2.992785429713722,0.328546828147358,0.11467774420946626,0.19812634153125963,0.33789486515379813,0.4691693477733683,0.10701120651665016,0.9395517729913044,0.07482806052269601,0.20453723788864786,0.315818190574646,0.36629451928833984,0.23609334835422496,0.11389601892395189,0.005648274391316134,1.1810701449867338,,0.005648274391316134
50.0,0.6444137913655517,1.5052964735987449,81.5616,81.5616,0.4559241291901578,0.3129932918479562,0.5472398138898618,0.3309313589602594,0.7059312780924316,2.446923888871347,0.3145623716959303,0.11467774420946626,0.19768325664568784,0.28030634495087736,0.46939409590461695,0.10814085112805091,0.9494699827941863,0.07580692922712466,0.20453723788864786,0.31986311078071594,0.36627761383884366,0.23606227454845924,0.11389601892395189,0.003467813909332596,0.48690870869904757,0.003467813909332596,
51.0,0.6398383528918762,1.2168532679539914,83.54304,83.54304,0.5412350858791136,0.31672770090543967,0.5599940025059118,0.34292596431706,0.7177527479385534,2.600502330325592,0.31650503609787567,0.11467774420946626,0.19804697595726797,0.297188404354498,0.47242127465383715,0.10818914443525937,0.9498939950438217,0.06892488954344625,0.20453723788864786,0.3258333206176758,0.36564139360102144,0.23561903481434854,0.11389601892395189,0.004792860940947209,1.0384571920149028,,0.004792860940947209
52.0,0.6138132290865526,1.0647990776085194,83.54304,83.54304,0.0,0.30058747186071794,0.5524954070249893,0.35819328224588676,0.7384190744414342,2.8055893854587466,0.32942099378984463,0.11467774420946626,0.18831325844488667,0.31890082321033086,0.47242127465383715,0.10818914443525937,0.9498939950438217,0.06892488954344625,0.20453723788864786,0.3258333206176758,0.36564139360102144,0.23561903481434854,0.11389601892395189,0.0,0.0,,
53.0,0.5901449154227985,1.1200106090693744,85.52448,85.52448,0.5412350858791136,0.3182185222659499,0.5577813351277378,0.37251265477974566,0.7547551831573825,3.0074104374239727,0.3369778763238996,0.11467774420946626,0.19578547149407458,0.3398216140948296,0.46374945290665137,0.10686385476618235,0.9382580337380808,0.09488325881768504,0.20455984800506652,0.34907016158103943,0.36628282118608,0.23620444603784943,0.11389601892395189,0.005089261879503353,1.1417000908404589,,0.005089261879503353
54.0,0.6478917413419115,1.8412248057691105,87.1936,87.1936,0.4559241291901578,0.32867633800520796,0.5662019979527589,0.34003925208882385,0.7076529069204524,2.4446620099737575,0.31004928227636636,0.11467774420946626,0.2057194718506985,0.28042957285419723,0.4569737654715288,0.1044750721256072,0.9172846699353465,0.09217474795967355,0.20455059483421542,0.3511548638343811,0.36721431908426766,0.23694042679310187,0.11389601892395189,0.003195220645706621,0.4718251540325582,0.003195220645706621,
