round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_ece,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6433204803013952,0.4076144145139285,24.82176,24.82176,0.5412350858791136,0.3140356830603209,2.2027344593359515,0.29417630313429727,0.5101336883784301,0.24971815882153678,0.2041629363079059,0.3250303914215254,0.11467774420946628,0.688484459387789,0.502996294548483,0.11719766531454531,1.0289882510537784,0.11639962299717248,0.2045002711006687,0.387577623128891,0.371013984272372,0.23881769454129437,0.11389601892395189,0.006848869766942183,0.6824277166742831,,0.006848869766942183
12.0,0.6284389307125234,0.4292922214679967,26.8032,26.8032,0.5412350858791136,0.3240265431987466,2.3527510940643537,0.29639313177626125,0.5204991948437265,0.26438218350183096,0.21541201641452506,0.3416138244384838,0.11467774420946628,0.7001291253704764,0.46288655260486716,0.10978034153082084,0.9638646071037911,0.04096298957959037,0.2045002711006687,0.33927252888679504,0.37010913819856095,0.23844976066952914,0.11389601892395189,0.007506247888360432,0.7759376325411722,,0.007506247888360432
13.0,0.6137234111303116,0.5974319029386692,28.78464,28.78464,0.5412350858791136,0.3349874445209508,2.4825252606654935,0.30893731252056933,0.548031583477153,0.2783340107015072,0.19923203301010697,0.3190959001638555,0.11467774420946628,0.7100629283089294,0.49106742574451756,0.11546199179310884,1.013749144912629,0.031297709923664124,0.2045002711006687,0.36921802163124084,0.36670216565655556,0.23573768280687737,0.11389601892395189,0.007126522912287217,0.7703779106959701,,0.007126522912287217
14.0,0.5985850169867689,0.597062588362205,30.76608,30.76608,0.5412350858791136,0.34496647855511975,2.6158035450854036,0.3148863661859762,0.5520618911851329,0.2935637742411408,0.2040054287953257,0.32882351239016305,0.11467774420946628,0.7211715946905946,0.5126442753994253,0.11822816684939515,1.038035990778008,0.11016949152542373,0.2045002711006687,0.4023861885070801,0.370256645549939,0.2381738483188403,0.11389601892395189,0.007222393807408478,0.8174596435856074,,0.007222393807408478
15.0,0.6486165466523268,0.6098117095260144,32.4352,32.4352,0.4559241291901578,0.30496777337676145,2.1238651218438744,0.2803173904700272,0.564215198099193,0.24225139536031357,0.22689836645176303,0.35560928262659514,0.11467774420946628,0.6775049778837022,0.5001089919883799,0.11354795509808809,0.9969440211418082,0.10556621880998081,0.2045002711006687,0.39896562695503235,0.3723727946516864,0.2397718288718243,0.11389601892395189,0.010741375109560332,0.5956189287826419,0.010741375109560332,
16.0,0.6409240489410212,0.5109872468632123,34.41664,34.41664,0.5412350858791136,0.31748236586085204,2.2585690916484467,0.297519950329785,0.5535515069826492,0.25713431402137094,0.21795045106125557,0.3475881310133873,0.11467774420946628,0.6929719449555906,0.5030935402500323,0.11354344809559092,0.9969044499387079,0.12723880597014925,0.2045002711006687,0.39858657121658325,0.3725766005519773,0.23991111775979085,0.11389601892395189,0.006301619769839259,0.7382867564447224,,0.006301619769839259
17.0,0.6236623616685923,0.5602064896963319,36.39808,36.39808,0.5412350858791136,0.3289057927281892,2.4101622652129433,0.3109508918979316,0.5390192272154707,0.2725644318940416,0.2144362583162099,0.3435667175891052,0.11467774420946628,0.704542493478928,0.5085839755849915,0.11574986851651534,1.0162766847347076,0.1388697450034459,0.2045002711006687,0.3969172537326813,0.37305615699323025,0.24023406514042256,0.11389601892395189,0.0069429918935194485,0.8434590958058834,,0.0069429918935194485
18.0,0.6020028650817827,0.562404091118607,38.37952,38.37952,0.5412350858791136,0.3395594514636429,2.5263672325312565,0.3103239219117829,0.5360223197444809,0.28413755409580915,0.19756220634022228,0.3130479820356596,0.11467774420946628,0.7136944704861775,0.49632676292564665,0.11297122231474721,0.9918803429835229,0.09997436554729557,0.2045002711006687,0.3693216145038605,0.36789126875470257,0.23644457268499133,0.11389601892395189,0.008973406775322448,1.1407149560982361,,0.008973406775322448
19.0,0.5888771719682907,0.836109616866557,40.36096,40.36096,0.5412350858791136,0.3511404138687056,2.7149932064861533,0.3119499210449764,0.5693073004244077,0.3055514547281278,0.20483321324148548,0.3298158160521492,0.11467774420946628,0.7258617723605204,0.4952518521861321,0.1123352556735824,0.9862965952180329,0.09815078236130868,0.2045002711006687,0.3603677451610565,0.36874239466571807,0.2372314780216353,0.11389601892395189,0.007706479045771815,1.0403649703366682,,0.007706479045771815
20.0,0.6431680109345452,0.7403467335177064,44.01152,44.01152,0.9971592150692714,0.3077308431131194,2.110179010163418,0.2824673801920837,0.5434253519796742,0.2419623305107199,0.22275625855154052,0.35050858364816595,0.11467774420946628,0.679126652206911,0.48300091425265834,0.11003046129089747,0.9660606431236596,0.08640406607369759,0.2045002711006687,0.3702576756477356,0.3697757568643284,0.2379281380937599,0.11389601892395189,0.0064951277875102235,1.294698452576995,0.009508988429346738,0.0052014710276154464
21.0,0.6390235298488225,0.5488351252633872,45.99296,45.99296,0.5412350858791136,0.31863033579863953,2.2629970177773466,0.2988453714747852,0.5504338986485116,0.2569166986357012,0.2167575661866583,0.3440824437678735,0.11467774420946628,0.6937285396983424,0.48305163913659976,0.11223912091585916,0.9854525379925787,0.11532625189681335,0.2045002711006687,0.36073416471481323,0.3692604807085081,0.23791178453856665,0.11389601892395189,0.005201755639876927,0.7380022649886087,,0.005201755639876927
22.0,0.6214406399697189,0.6485915245745895,47.9744,47.9744,0.5412350858791136,0.3363513114188873,2.470441286781639,0.30886477566583576,0.5753700897240146,0.2790037702202596,0.20965519726504914,0.33502835276619175,0.11467774420946628,0.7101519069330773,0.4751958956867484,0.1102363006402402,0.9678678998766825,0.07122343480758185,0.2045002711006687,0.34126996994018555,0.36654234684265413,0.23613573679315275,0.11389601892395189,0.005493636027094582,0.8059296475257725,,0.005493636027094582
23.0,0.602489232207799,0.7641165786251117,49.95584,49.95584,0.5412350858791136,0.3495146305095557,2.6669963030057438,0.3095263252329244,0.5736270650230867,0.29907366382973727,0.21367265242192052,0.34290893462751293,0.11467774420946628,0.7242812091797294,0.4306695247959347,0.1006481473444483,0.8836845071086359,0.1112214498510427,0.2045002711006687,0.34086310863494873,0.37257600977632116,0.24108596120104472,0.11389601892395189,0.00632493400123955,0.9647794524207711,,0.00632493400123955
24.0,0.5906540183592326,0.7928052070660212,51.93728,51.93728,0.5412350858791136,0.3540811265155852,2.7977357721681004,0.32333739833040137,0.5723497365964324,0.31245037711283624,0.1970878164877847,0.31754267106599654,0.11467774420946628,0.7316988581688145,0.46915317153007285,0.1067716651487476,0.9374486146002943,0.10054347826086957,0.2045002711006687,0.345124751329422,0.36949258500361293,0.23836828488981623,0.11389601892395189,0.00696685774879703,1.1078832435887307,,0.00696685774879703
25.0,0.6450780736548528,0.9527378826509185,53.6064,53.6064,0.4559241291901578,0.31326672364549524,2.1721754206173456,0.2857968129572206,0.5468619894142537,0.24867121695512587,0.2201840035611324,0.34563986538212527,0.11467774420946628,0.6842342251832966,0.45078847954306345,0.10216843747358137,0.897032560390008,0.09849119865884325,0.2045002711006687,0.34420281648635864,0.37081239031367813,0.23955011355524392,0.11389601892395189,0.008514935558450495,0.549745598807931,0.008514935558450495,
