round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
19.0,0.6395195668159211,0.673678606423425,139.11648,69.55824,1.0,0.2630045643737587,0.2871741636530842,0.691211731612973,0.5700813485637743,0.2147988838735062,2.304767999676234,0.3161501978375517,0.11423716012084593,0.33906191081129394,0.6658945407324834,0.22049436724963759,1.935926903616018,0.277789540546263,0.28082999292619665,0.5222032070159912,0.3372260543887925,0.21669733255336127,0.11389601892395189,0.005155563701498828,1.5835541208580253,0.0035854066636891706,0.006853449930508836,0.002819504183353043
20.0,0.6466197764020484,0.8262217900036151,146.4384,73.2192,1.0,0.2683596525654581,0.2913814483317848,0.6948716255337426,0.568296925867237,0.21076921912550864,2.351353005588639,0.3223170477524786,0.11423716012084593,0.33360327854996386,0.6631079224237068,0.2192930783426657,1.9253796613302805,0.2773145178533248,0.2798027186334656,0.5213470458984375,0.3319798139596994,0.21362052673038925,0.11389601892395189,0.00522002029782354,1.6851938641229935,0.003405118246554096,0.00720446372410464,0.0027742935760193266
21.0,0.6424729955223618,0.854680017809659,153.76032,76.88016,1.0,0.2683328523041806,0.28971123365986573,0.6952799662715469,0.5675090690558892,0.20953234307646718,2.345518899333749,0.3198644634335947,0.11423716012084593,0.3312225034028997,0.6616592513629583,0.21976501202422882,1.9295232098583306,0.27532576712904583,0.2823900133317174,0.5263389945030212,0.3296125624039176,0.21252622648285846,0.11389601892395189,0.0049738349356796534,1.6845543885410734,0.0032730753715970993,0.006859622782816992,0.0026599988823890084
22.0,0.6480534563063753,0.9000160400605205,161.08224,80.54112,1.0,0.27183839902487394,0.29182850775199015,0.6976000447363477,0.572544475055083,0.21394371412452295,2.3739276542823986,0.32443803884610856,0.11423716012084593,0.33866568172935774,0.6615072900518136,0.21865224338722872,1.9197531700666581,0.27042542286007176,0.2759326660600546,0.5192155838012695,0.3368262557001702,0.21705993264747508,0.11389601892395189,0.005029520993883836,1.7884965040084353,0.0031269068277959373,0.007167167635174414,0.002225801186223596
23.0,0.6419995270777903,0.9205303859636118,168.40416,84.20208,1.0,0.27466294616881987,0.2962409421957472,0.7007226634801907,0.5481750429734543,0.20279081454859077,2.4044241498056125,0.32540401089376486,0.11423716012084593,0.32323528331313334,0.6608538024512494,0.21953343694317073,1.9274899949729825,0.27525252525252525,0.27839839337266226,0.5155694484710693,0.3214363634748141,0.20608986708597235,0.11389601892395189,0.004569492770682677,1.7059915894660662,0.002811594177019821,0.006547470571411418,0.0031417112097137413
24.0,0.6427053629214288,0.964344952779442,175.72608,87.86304,1.0,0.2757838835539104,0.3056747895775934,0.702087122005967,0.5274753818946843,0.1934736401366358,2.4066524104329607,0.3247424957164982,0.11423716012084593,0.30909363751889135,0.6577445377381842,0.21799495905675714,1.913982254307869,0.27572225038013176,0.2788184438040346,0.48983240127563477,0.3072166019741094,0.19730432538995335,0.11389601892395189,0.004338421633296052,1.6947726865873847,0.0026287654844699944,0.0062740070528114825,0.0031557983580497635
25.0,0.647149164571245,1.1554189045357468,183.048,91.524,1.0,0.2774182251515296,0.30055276749779675,0.7018003532676491,0.559245154302856,0.19849605857051317,2.4209811550033087,0.32880767980734854,0.11423716012084593,0.3158846396961308,0.6586619152099807,0.2147527857166775,1.8855161729583143,0.2715816747144035,0.27475672581568406,0.4943810701370239,0.3138777821364748,0.20236216263649817,0.11389601892395189,0.004225517270884943,1.7249562729957688,0.0025901359002379037,0.006089372611048177,0.0021443958705437906
26.0,0.6439586285156058,0.9867410106391488,190.36992,95.18496,1.0,0.27920514792184614,0.29362374448833584,0.70400670357864,0.5631666021010756,0.2105046634835865,2.4350624747182024,0.33180720041263423,0.11423716012084593,0.3351325675873752,0.6566738059660997,0.21382669441297458,1.8773851486042386,0.2695596408721676,0.2728323699421965,0.5159980058670044,0.33279715709743934,0.2143383967209929,0.11389601892395189,0.003889895490834285,1.6548275899267537,0.002376104542996046,0.005628042862975054,0.0026198918115392144
27.0,0.6488827291037527,1.2488318446887567,197.69184,98.84592,1.0,0.2837078393733338,0.2995472983304755,0.7078045883994962,0.5563314163425236,0.20560162950145558,2.4742487739623846,0.33298486801434046,0.11423716012084593,0.3272224693730978,0.6571072640292704,0.21431912115531734,1.8817086249381352,0.2743421052631579,0.2754046762589928,0.5051155686378479,0.3250445524139243,0.21007870839053888,0.11389601892395189,0.0037465261024982083,1.6585786844698305,0.0022386640952971023,0.005493397668439292,0.0032935183582575656
28.0,0.6504877726283103,1.5118346827575668,205.01376,102.50688,1.0,0.2860042818796048,0.3038732759294382,0.7077564070612548,0.5615781275808722,0.20095612341138827,2.494483020562149,0.3327576321848762,0.11423716012084593,0.3189647269916129,0.6575901418334016,0.21360496444101773,1.8754383731677335,0.27726432532347506,0.27773900907187715,0.5013574361801147,0.3164082353147552,0.20582154702206332,0.11389601892395189,0.003919513166440065,1.7984855029862956,0.0022409570251474293,0.005877286220718306,0.00318602064542952
