round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_brier,fed_f1_best,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6432952255820882,0.49877006883083874,10.08172,40.27056,1.0,2.1749026544580277,0.67685309364405,0.5177188209612614,0.31844142103172685,0.11157960981749523,0.20004611041192258,0.3054756378273148,0.2889491983275997,0.2387901848673798,0.6607332147694598,0.21154468965784015,1.8573492880298832,0.2707479508196721,0.27222753346080303,0.48229050636291504,0.31564401070908366,0.201984259663601,0.11389601892395189,0.007211698450866037,1.4491466648305504,0.005904423318673129,0.008436985218402554,0.0036895810285503326
12.0,0.6382103320264445,0.49267654588168464,10.99824,43.93152,1.0,2.2078799182158546,0.680179839644876,0.5327887996665481,0.33438445295343755,0.11157960981749523,0.2097274728167755,0.3090538109452195,0.2895257973860364,0.24269775045407035,0.6600289269882436,0.21162986258553784,1.8580971010658645,0.2716954362733507,0.2736114665984131,0.519792914390564,0.3316263563196392,0.21195875451511126,0.11389601892395189,0.006841432857395125,1.461192389488133,0.005476678277052509,0.008139310222247774,0.004197661716231555
13.0,0.6363046024230045,0.5124935752382188,11.91476,47.59248,1.0,2.2191519872105285,0.6814661126645747,0.5591254825408987,0.3383442649776039,0.11157960981749523,0.2122203969376814,0.3088834737966653,0.28863908838462005,0.24421595760778433,0.6588899638470376,0.21069042200849358,1.8498488709177017,0.2702579319790002,0.2738165855973425,0.5105622410774231,0.33581782948879896,0.2147223710057123,0.11389601892395189,0.006616526673206902,1.4938637225786806,0.00504788516565333,0.00814621790240698,0.004359339800589518
14.0,0.6410864735926466,0.5604229327146786,12.83128,51.25344,1.0,2.253721003770838,0.6845168290509334,0.554519650687055,0.33458336389068527,0.11157960981749523,0.2087646133635341,0.3146850180709574,0.29337405962054924,0.2484365608595527,0.658279872250597,0.21002077410549208,1.8439694037569696,0.26967104470418124,0.2720200752823086,0.510402262210846,0.3318573663701073,0.21163825578607592,0.11389601892395189,0.0067146680172421955,1.609856772396597,0.005028884334641594,0.008396966919204028,0.004111277092688062
15.0,0.6404562474549775,0.6178082401444962,13.7478,54.9144,1.0,2.2803800141897805,0.6857773543277269,0.548137052697607,0.331139743765564,0.11157960981749523,0.20698567383899732,0.3177611268022641,0.2941303836472668,0.2515153587433336,0.6588007748935066,0.21003903041210564,1.8441296929996143,0.26841477949940407,0.2735066371681416,0.5339482426643372,0.32851190409582826,0.20992793281587346,0.11389601892395189,0.006549676794614877,1.664030458923662,0.0045996216827664405,0.00852827569468176,0.004384295257543104
16.0,0.6379290928900956,0.6038571249295881,14.66432,58.57536,1.0,2.295111735619017,0.6878514335814808,0.5651607162064167,0.3474445151623462,0.11157960981749523,0.21746092897136982,0.3166020096445402,0.2900963595640144,0.25245183795846454,0.6560525830059641,0.20980120212316394,1.8420415753359012,0.2662461988962721,0.2725401399752984,0.5409832000732422,0.3449451749872217,0.2206866068447741,0.11389601892395189,0.006748497940762153,1.812940097079263,0.004244720706773951,0.009324753726856134,0.003872573645032652
17.0,0.6380885847050075,0.609174192222907,15.58084,62.23632,1.0,2.3120959148618363,0.6892061652361099,0.5524026025421892,0.32795826143967866,0.11157960981749523,0.2044073804021464,0.32053698507523887,0.2944294354207604,0.25500726110782135,0.6561205508365991,0.2081889986310856,1.8278865284140695,0.26937891189215213,0.2711635750421585,0.4822773337364197,0.3253070628730332,0.2080765927259769,0.11389601892395189,0.005898971260750137,1.6815292144929117,0.003936045453277339,0.007943112805831713,0.0031734448552337407
18.0,0.6407199145384598,0.7283878487473466,16.49736,65.89728,1.0,2.335808339826583,0.6895477817512363,0.5431933973029095,0.32295243420583636,0.11157960981749523,0.20104568644155837,0.3228540072294116,0.2997993352786233,0.2573633093885271,0.6552927137029823,0.2098245787116147,1.8422468203363112,0.27075580649300657,0.2722914669223394,0.514856219291687,0.32053262009921224,0.20512703658639303,0.11389601892395189,0.005232133949974169,1.5647479667422886,0.003667049986172469,0.00688895444336431,0.003638721285381369
19.0,0.6395674877030941,0.6901749858922611,17.41388,69.55824,1.0,2.327187451097701,0.6909239762447681,0.5500157034982291,0.3120962435856714,0.11157960981749523,0.19536005324356023,0.32157885601501557,0.29950830332692546,0.25678328427550295,0.6556381499116343,0.2086813056841909,1.8322089538838662,0.27015194437290757,0.272008434370058,0.5056715607643127,0.30969872749992033,0.19967731283945886,0.11389601892395189,0.00528271291842213,1.6561653694170673,0.0034497112834659216,0.00726647049952788,0.0034363777567530183
20.0,0.6363140626487438,0.8085723732556724,18.3304,73.2192,1.0,2.340396781719816,0.6927623560828753,0.5653230612010907,0.3480669565484762,0.11157960981749523,0.21690590234344492,0.3191042885544476,0.2909896436960258,0.25912256786958376,0.6543538766687069,0.2089826855858192,1.834855050775361,0.26671293083506825,0.27292340884573896,0.5334628820419312,0.3459178796914091,0.221207181335152,0.11389601892395189,0.005391155653466624,1.7763032678885793,0.0033838743975666582,0.007594611962873129,0.0037549917194719573
