round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_ece,fed_auprc_lift,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6547659420214,0.2401810077353567,0.52344,21.90336,0.0,0.6891315682337801,0.11035568146049733,0.34010173929307047,2.1495561825078107,0.28919777226943066,0.31346241070995723,0.5472502652057357,0.23390661266665747,0.2146550683318461,0.662931979110283,0.21838988517570518,1.9174496812002149,0.016586643387167175,0.28195544924502913,0.49433329701423645,0.3794281971152232,0.24473540413374942,0.11389601892395189,0.0,0.0,,
12.0,0.6376369768722079,0.42091016752021704,0.52344,21.90336,0.0,0.6946576976798416,0.11035568146049733,0.34409885810753216,2.197738908884934,0.29155249621617285,0.3207029007031589,0.5575025527928287,0.2383321820945568,0.2156545995789962,0.662931979110283,0.21838988517570518,1.9174496812002149,0.016586643387167175,0.28195544924502913,0.49433329701423645,0.3794281971152232,0.24473540413374942,0.11389601892395189,0.0,0.0,,
13.0,0.672493098899712,0.1401941526778399,0.61068,25.55392,0.9971592150692714,0.6699330908866452,0.11035568146049733,0.3709371586734483,1.9989174494073385,0.2511596207525669,0.29361083242685126,0.49541745132007126,0.21873559201084966,0.2337292487645329,0.5922933741555286,0.1981953595269805,1.7401429953343241,0.03730394234845273,0.26196377502383217,0.495775431394577,0.38165747969660163,0.24650066760330697,0.11389601892395189,0.05157337959576943,0.845631017931737,0.022682527773638307,0.09497073050469317
14.0,0.6710423305566506,0.13963198225541681,0.61068,25.55392,0.0,0.6780193082381162,0.11035568146049733,0.3331472104347873,2.063621398671937,0.27209711224322,0.30274582751432305,0.5644689421665756,0.22539275344099602,0.21094502419081546,0.5922933741555286,0.1981953595269805,1.7401429953343241,0.03730394234845273,0.26196377502383217,0.495775431394577,0.38165747969660163,0.24650066760330697,0.11389601892395189,0.0,0.0,,
15.0,0.6520681408020859,0.2409709053644046,0.61068,25.55392,0.0,0.6908648781973905,0.11035568146049733,0.34032885986639705,2.1677815676794125,0.2851125915681683,0.31426877526642455,0.5447163127393214,0.23593167902663326,0.21229960989899035,0.5922933741555286,0.1981953595269805,1.7401429953343241,0.03730394234845273,0.26196377502383217,0.495775431394577,0.38165747969660163,0.24650066760330697,0.11389601892395189,0.0,0.0,,
16.0,0.6364027136778175,0.3940919317701778,0.61068,25.55392,0.0,0.6955705086936861,0.11035568146049733,0.3378799447895907,2.2382911805194836,0.29376184912191095,0.32347537754198746,0.5686161246733504,0.24292733309841133,0.2115247942369288,0.5922933741555286,0.1981953595269805,1.7401429953343241,0.03730394234845273,0.26196377502383217,0.495775431394577,0.38165747969660163,0.24650066760330697,0.11389601892395189,0.0,0.0,,
17.0,0.6726086532397844,0.1424080574751476,0.69792,29.20448,0.9971592150692714,0.6695186945268895,0.11035568146049733,0.3690308762639808,1.9990105542600365,0.2665912668643369,0.2936191639057778,0.49486140528864403,0.2188205123608792,0.2316147763264304,0.5318470448726731,0.17659057610878756,1.5504543334977905,0.07484909456740442,0.23197804938887504,0.4968636631965637,0.38200128872529315,0.2467666513671209,0.11389601892395189,0.0443839589298114,0.8140102195902728,0.0187355701966519,0.086056183307215
18.0,0.6658470085383741,0.16226243847961794,0.69792,29.20448,0.0,0.678637361351718,0.11035568146049733,0.34638407588858705,2.0723272598050095,0.27504358787535377,0.30288700988952943,0.5512304306405499,0.22601091453002706,0.2178150405151818,0.5318470448726731,0.17659057610878756,1.5504543334977905,0.07484909456740442,0.23197804938887504,0.4968636631965637,0.38200128872529315,0.2467666513671209,0.11389601892395189,0.0,0.0,,
19.0,0.6466513604153556,0.3048335348272935,0.69792,29.20448,0.0,0.6864059431270642,0.11035568146049733,0.3332301339517421,2.162070507301232,0.2894284467058314,0.3127260317279099,0.5433080801076021,0.23531766442129973,0.20763537865305387,0.5318470448726731,0.17659057610878756,1.5504543334977905,0.07484909456740442,0.23197804938887504,0.4968636631965637,0.38200128872529315,0.2467666513671209,0.11389601892395189,0.0,0.0,,
20.0,0.6330560568371023,0.4500009629977827,0.69792,29.20448,0.0,0.6949378872236546,0.11035568146049733,0.36205928636973367,2.2020214884560865,0.28285314204627415,0.3207718523869874,0.5959210326602559,0.23880226343388936,0.2289779737596831,0.5318470448726731,0.17659057610878756,1.5504543334977905,0.07484909456740442,0.23197804938887504,0.4968636631965637,0.38200128872529315,0.2467666513671209,0.11389601892395189,0.0,0.0,,
21.0,0.6682953376010127,0.1618714240455978,0.78516,32.85504,0.9971592150692714,0.6696877509340811,0.11035568146049733,0.3623842802481491,2.003378156421202,0.2497476615038989,0.2948934510826951,0.4891351918961066,0.2192273798945984,0.22672918395749475,0.48044741455944223,0.13188628957233864,1.1579534633286772,0.007905138339920948,0.20454648167397296,0.49321597814559937,0.3809395781313445,0.24603401782843487,0.11389601892395189,0.03793122440737676,0.781451537477551,0.016168339612115248,0.0747806657305047
22.0,0.6632660395624616,0.17178548435102164,0.78516,32.85504,0.0,0.678795058295027,0.11035568146049733,0.3469671767970695,2.0727645687485117,0.2787971192802243,0.30486743654236004,0.5506330243194859,0.2264364133877631,0.21697282422381373,0.48044741455944223,0.13188628957233864,1.1579534633286772,0.007905138339920948,0.20454648167397296,0.49321597814559937,0.3809395781313445,0.24603401782843487,0.11389601892395189,0.0,0.0,,
23.0,0.6461381315248695,0.31760295670914973,0.78516,32.85504,0.0,0.6865406004616808,0.11035568146049733,0.35111834112159623,2.141261943433364,0.27708733618707526,0.3102687450551318,0.5543054933813633,0.23350949921909744,0.21967432958186137,0.48044741455944223,0.13188628957233864,1.1579534633286772,0.007905138339920948,0.20454648167397296,0.49321597814559937,0.3809395781313445,0.24603401782843487,0.11389601892395189,0.0,0.0,,
24.0,0.6312021735731783,0.4525245970777932,0.78516,32.85504,0.0,0.6965935710421185,0.11035568146049733,0.3442106473877871,2.2230981659260243,0.29320650413671534,0.32218771312031913,0.5658240494260557,0.24192165395180432,0.21521287530216182,0.48044741455944223,0.13188628957233864,1.1579534633286772,0.007905138339920948,0.20454648167397296,0.49321597814559937,0.3809395781313445,0.24603401782843487,0.11389601892395189,0.0,0.0,,
25.0,0.6652883151508799,0.17006904149989174,0.8724,36.5056,0.9971592150692714,0.6696210963931806,0.11035568146049733,0.3656279797782153,2.005247438801744,0.26263597654519805,0.2952475997104229,0.49435321125250253,0.21950919566708446,0.22891031610039575,0.65368776431969,0.21682657550537485,1.9037239190085253,0.11742846525455221,0.2836942112240389,0.49528688192367554,0.3805066922079473,0.24545071234881377,0.11389601892395189,0.03411934285623444,0.7647257508870098,0.013287325462642155,0.07179314940859642
26.0,0.662369600311397,0.17521582305358052,0.8724,36.5056,0.0,0.6788326592570483,0.11035568146049733,0.3357429647955986,2.0745130021214955,0.2776223606207449,0.3030730606205094,0.5517897154255262,0.22653946076816167,0.21032448517748575,0.65368776431969,0.21682657550537485,1.9037239190085253,0.11742846525455221,0.2836942112240389,0.49528688192367554,0.3805066922079473,0.24545071234881377,0.11389601892395189,0.0,0.0,,
