round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,9.45888057902508,910.3375616786964,34.41664,34.41664,0.5412350858791136,0.22632086958100728,0.2826528833596476,0.6835168787877554,2.0718628087100615,0.24134606352615998,0.3117210166683781,0.5862649160021312,0.11060749134403523,0.3830222607203013,0.35716918051427554,0.082370056094589,0.7232039967049885,0.19876009768927297,0.20459271313624447,0.49481743574142456,0.4009885633064988,0.2628582667454655,0.11389601892395189,0.005409819972269306,0.5529345808317885,,0.005409819972269306
17.0,9.05141696291685,759.1131705964846,36.39808,36.39808,0.5412350858791136,0.23184982332422274,0.293260403632389,0.6917965674362917,2.1294394706207758,0.23463790546672486,0.3187874430486928,0.5724275914741681,0.11060749134403523,0.3752105770018778,0.3520671507107332,0.0825471210161062,0.7247586157618268,0.17977759472817134,0.20456703594845127,0.495371550321579,0.3986746261221719,0.26080157673659277,0.11389601892395189,0.006031148867110247,0.6335517817060463,,0.006031148867110247
18.0,8.608949498266686,825.7401740907787,38.37952,38.37952,0.5412350858791136,0.23765164436878936,0.2940438906728283,0.6978840084698985,2.186921274371661,0.23732379262152287,0.3279270980860088,0.606098048115512,0.11060749134403523,0.378732031178542,0.3516623053975343,0.08205260768352443,0.720416819294718,0.17105403389107962,0.20454648167397296,0.49382922053337097,0.3965871717190789,0.2590480041133179,0.11389601892395189,0.00546012148023614,0.5899846957763657,,0.00546012148023614
19.0,8.395177478886865,789.1753695089158,40.36096,40.36096,0.5412350858791136,0.24590712181878602,0.30111746724456917,0.700642580746612,2.2701295296152857,0.23803570543285987,0.3383194043401058,0.5982194400880559,0.11060749134403523,0.3804130285818845,0.3510892723320882,0.08209931594482298,0.7208269149393228,0.1980824635148538,0.20451875282422052,0.4958958625793457,0.40269241934664035,0.26433318062802297,0.11389601892395189,0.005635680414749867,0.626597027759999,,0.005635680414749867
20.0,9.486366565514757,796.4731413648153,44.01152,44.01152,0.9971592150692714,0.22080522455765667,0.2753679834786107,0.6779505370120368,2.0157518112177417,0.24484279698206166,0.3032246514312424,0.5945317832617629,0.11060749134403523,0.3864666359470369,0.35014752382500863,0.0814212269484205,0.7148733355007365,0.20171274318160662,0.20450951154489178,0.4934879243373871,0.40202493828606173,0.2637829500232664,0.11389601892395189,0.005937029019980416,1.0125545270275325,0.00807073463305429,0.00488803854261666
21.0,9.357867343003942,837.5412584212224,45.99296,45.99296,0.5412350858791136,0.22388777823168454,0.28807201778768865,0.6836485951898372,2.05034326982912,0.2362444001103495,0.3076423793158282,0.5925035325543551,0.11060749134403523,0.37634288396968907,0.3507454424532592,0.08144680627566166,0.7150979204114545,0.19480267623387956,0.20453723788864786,0.49324214458465576,0.3999024492453315,0.2619537647770304,0.11389601892395189,0.004393072662201025,0.5122737643541768,,0.004393072662201025
22.0,9.16808404444841,720.1114685868059,47.9744,47.9744,0.5412350858791136,0.23164591844036955,0.2892978056583314,0.6902608171283203,2.1218526945574285,0.239888241904234,0.32009826166717503,0.6000557436277403,0.11060749134403523,0.38171670863491053,0.3518286734792788,0.08166274702137077,0.7169938667996535,0.19944363242019897,0.20459384768721967,0.49783965945243835,0.4042998708181229,0.2658637133331226,0.11389601892395189,0.005334302298349665,0.6359515766380355,,0.005334302298349665
23.0,8.793228517395502,727.4219274743436,49.95584,49.95584,0.5412350858791136,0.23473084434867067,0.2933249632333735,0.6934463780125819,2.1485340603448044,0.24451936761566784,0.32020667193098795,0.6069351041921099,0.11060749134403523,0.3877798095903646,0.34897030995489275,0.08125404054963545,0.7134054492623538,0.20304615102302964,0.2045649717514124,0.496550977230072,0.4056734844410004,0.26707898077584946,0.11389601892395189,0.004537116736216477,0.554179038037546,,0.004537116736216477
24.0,8.639644902812355,765.3137544370945,51.93728,51.93728,0.5412350858791136,0.24331233559029636,0.30770119954220615,0.6995087552241562,2.23221286772401,0.2371052690114989,0.3294152642574696,0.5821702086816691,0.11060749134403523,0.37957113222540045,0.3500197955051779,0.08137246265454752,0.7144451880173242,0.19188591099090238,0.20458346517199294,0.4952154755592346,0.40176335975810507,0.2635928134183856,0.11389601892395189,0.004888786038530372,0.6131777145783417,,0.004888786038530372
25.0,9.482195274141933,837.511001134367,53.6064,53.6064,0.4559241291901578,0.2248879024490342,0.273990283512092,0.6797400903867516,2.0542618919246913,0.24446022200185882,0.3063128840880742,0.5885525777612349,0.11060749134403523,0.3861761903121181,0.35118863889098184,0.08142882544953295,0.7149400498704243,0.19483602189604224,0.20456703594845127,0.49626946449279785,0.4008318543092157,0.2627525343411152,0.11389601892395189,0.0075211996543198874,0.4482821454294026,0.0075211996543198874,
