round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.16172478428315165,0.03303575066859545,40.27056,40.27056,1.0,0.11469218179529145,0.3738059664885433,0.2861653461504584,0.3223484245747225,0.5174230520410531,0.24830542836716268,0.685774800281288,2.187135915858922,0.23659870192945373,0.662023147815123,0.22535786973923616,1.9786281545951758,0.2710197659553545,0.2806757557794902,0.525041937828064,0.3750697736114577,0.2378339787777132,0.11389601892395189,0.0067373782016768935,1.255974361072731,0.005568606457618214,0.007819187096496046,0.004534616169780624
12.0,0.16158281598127852,0.04275304443283196,43.93152,43.93152,1.0,0.11469218179529145,0.3755164346912714,0.28395809943375094,0.3215506744055909,0.5265470167375039,0.25034357664092066,0.6871162064433491,2.203135301484167,0.23786624802129402,0.6634228634646255,0.22835649413501619,2.0049558912808823,0.2722179289026275,0.2829763246899662,0.5234209299087524,0.37673433240139526,0.23898909846194072,0.11389601892395189,0.007561586257200596,1.4895040837700435,0.005799504240573801,0.009225621822449577,0.004841673267827605
13.0,0.16073533579074495,0.039587215390765804,47.59248,47.59248,1.0,0.11469218179529145,0.3819765616004299,0.2745545318723084,0.327278979903908,0.5429846301616686,0.2530222799415501,0.6901843063387203,2.2294606370251144,0.24216944710373509,0.6628916075240288,0.22708078495133927,1.9937552435696684,0.2605162928480745,0.28320043992301347,0.5367000102996826,0.38344132790892366,0.24394384656576978,0.11389601892395189,0.006515100929906725,1.3654998985530256,0.005087338222822728,0.007885678430904833,0.005412173435511142
14.0,0.16090667066963155,0.045897323967254634,51.25344,51.25344,1.0,0.11469218179529145,0.36718752708022934,0.29192234884700696,0.32333575098013567,0.5245204422311971,0.2559087356952397,0.6911438964057645,2.2531214728300744,0.23099221852079208,0.6629642061023566,0.22728084421497344,1.9955117515277538,0.2724245787508829,0.2860229574611749,0.5206912159919739,0.36865113347932277,0.23274770734710232,0.11389601892395189,0.00647575048583991,1.4309582612186205,0.004949582175018968,0.00797712892059821,0.00494374371443015
15.0,0.1623800638610499,0.055501147387125735,54.9144,54.9144,1.0,0.11469218179529145,0.3735332595646178,0.2924810379979858,0.32697219364246144,0.5252224510350575,0.25969862765768187,0.6932716466930687,2.2866503687208297,0.23593114338504015,0.6620990092509037,0.22942176190446376,2.0143088763940744,0.2719563900666263,0.28430970913560016,0.5203933119773865,0.3750239607867108,0.23758319630368613,0.11389601892395189,0.006417075960696033,1.4935807519268565,0.004723597909554858,0.008115754668019684,0.005283158213303323
16.0,0.16185246229024783,0.04184789115292313,58.57536,58.57536,1.0,0.11469218179529145,0.37184009264559437,0.2948600078004183,0.3289775240667895,0.536393941242314,0.2639806004923174,0.693887172090726,2.3265889472663663,0.23420889675628737,0.6624811400564495,0.22974283991152866,2.0171279214326834,0.27078674527342955,0.28746438746438746,0.5293890237808228,0.3733736422255833,0.23618579345797033,0.11389601892395189,0.0057072572010206605,1.4016324343729138,0.0042374220713247085,0.0072128161924112375,0.00482298994916254
17.0,0.16129920519458152,0.05029432876616202,62.23632,62.23632,1.0,0.11469218179529145,0.3704064258862154,0.2940505687700666,0.329265072668464,0.5274209526741397,0.26633986414809635,0.6980615018446008,2.3449582773738618,0.2334478228324203,0.6609732230340267,0.22904477058838207,2.0109989159613626,0.2718564081879601,0.2864356852293449,0.5234643220901489,0.37188706445288383,0.23537582392838535,0.11389601892395189,0.005888293800444172,1.5225876087752113,0.004251276500755828,0.0075957618943095565,0.00391543286786603
18.0,0.16077020995888242,0.05301093148949878,65.89728,65.89728,1.0,0.11469218179529145,0.3689674394057242,0.2943752352298635,0.33334652081076155,0.5347127740409863,0.2673845650835962,0.7000454450029338,2.3504241610396788,0.23190211194254928,0.659047572411466,0.22721242158454807,1.9949110050655703,0.27156484676273596,0.28426395939086296,0.5334828495979309,0.370415606378243,0.23423462110012302,0.11389601892395189,0.005583661660650697,1.5213025014581945,0.0038712167103706536,0.007394992945673595,0.004900265264269176
19.0,0.161787732482928,0.0702211565022596,69.55824,69.55824,1.0,0.11469218179529145,0.3680382363848087,0.2967378877313226,0.3337127304633541,0.5279178397039854,0.26892743268530545,0.7010361447584895,2.366244407428842,0.23144244537164552,0.6599016504486754,0.224900407599244,1.9746116653068402,0.27189595610648243,0.2849985263778367,0.5246788263320923,0.36956065428566587,0.233767671565215,0.11389601892395189,0.005378416642244473,1.54035357864268,0.003699163713594413,0.007180117527641929,0.004187764182114516
20.0,0.16038569468583125,0.05578837312118169,73.2192,73.2192,1.0,0.11469218179529145,0.36881515071552046,0.2921689508482534,0.33327078336677796,0.5352609706858492,0.2716366189301782,0.7014293006492127,2.3871810041887582,0.23157238785343526,0.6592669744762725,0.22761419530113713,1.9984385534415792,0.2678745373076174,0.2843324051003957,0.534075140953064,0.37058183268545813,0.23443139603381008,0.11389601892395189,0.005269688368563755,1.5836388524603535,0.0034682532185325234,0.007222798832953926,0.005719957065907833
