round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,fed_auprc,fed_f1_best,fed_f1,fed_brier,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6493841868144005,0.3394761939168475,29.20448,29.20448,0.9971592150692714,0.5467933099716901,2.0358743649951547,0.6718638100309037,0.23263031987986438,0.30120610932364544,0.27519830048773747,0.22191139825585313,0.11442598187311179,0.3510333050008627,0.6644950886214673,0.22305318857090167,1.9583931965157955,0.27987770983879934,0.2833555906276557,0.4958130419254303,0.3788052842645714,0.24232433573665718,0.11389601892395189,0.008596285384988928,1.4451864291913807,0.0071549496216990385,0.009820920677540689
12.0,0.6471572592333796,0.33435551050150963,29.20448,29.20448,0.0,0.5352751526283803,2.2118896622768283,0.6865746186719681,0.2517020333225457,0.3158699547994209,0.2848470472175319,0.22202553565851646,0.11442598187311179,0.35215276273854706,0.6644950886214673,0.22305318857090167,1.9583931965157955,0.27987770983879934,0.2833555906276557,0.4958130419254303,0.3788052842645714,0.24232433573665718,0.11389601892395189,0.0,0.0,,
13.0,0.6439629764412736,0.34697153298825906,32.85504,32.85504,0.9971592150692714,0.5427079553334164,2.0627537374897553,0.6717623935979675,0.2357911568273667,0.30267030831466313,0.27277012250833377,0.21632563363599125,0.11442598187311179,0.34171424323903005,0.6562721482136433,0.2200247262313213,1.93180348452944,0.28098356604473,0.2843373493975904,0.5054642558097839,0.3826717179553775,0.2455691554090021,0.11389601892395189,0.008226313449844314,1.4687279018107802,0.006468545500774487,0.009766077393721404
14.0,0.6440111435682646,0.36649495913086066,32.85504,32.85504,0.0,0.5174660230485003,2.2554928987531984,0.6850932526362848,0.2563170397961357,0.3178821637052421,0.29603830328654884,0.19217862826511656,0.11442598187311179,0.3028171575447208,0.6562721482136433,0.2200247262313213,1.93180348452944,0.28098356604473,0.2843373493975904,0.5054642558097839,0.3826717179553775,0.2455691554090021,0.11389601892395189,0.0,0.0,,
15.0,0.6418776869737428,0.3611087104461805,36.5056,36.5056,0.9971592150692714,0.5573453719766148,2.084705133230689,0.6751381284600082,0.2390094417591068,0.3038698332598155,0.27932255318854504,0.22014029090484866,0.11442598187311179,0.34753554852628726,0.6577976972157636,0.21846071901820532,1.9180715979552458,0.27851926466884913,0.2840236686390532,0.5024169683456421,0.38151364598206317,0.24481786602638098,0.11389601892395189,0.007448225391991983,1.412973215803504,0.005957754425935274,0.008782928460451705
16.0,0.6427517900038164,0.4233679974891782,36.5056,36.5056,0.0,0.5685458088561907,2.302101275906071,0.691337729528934,0.2622016658738471,0.32510666656636517,0.2969440087295544,0.20749827511946256,0.11442598187311179,0.3284366784199007,0.6577976972157636,0.21846071901820532,1.9180715979552458,0.27851926466884913,0.2840236686390532,0.5024169683456421,0.38151364598206317,0.24481786602638098,0.11389601892395189,0.0,0.0,,
17.0,0.6393666397800896,0.4066310719245715,40.15616,40.15616,0.9971592150692714,0.552746735181198,2.1139790530032343,0.6773763272507118,0.24218281853418222,0.3062083519064508,0.2824650301388637,0.21257784989226028,0.11442598187311179,0.33519938570533553,0.663791340466676,0.21488442407447195,1.8866719495959712,0.2797912847271189,0.28365615495437807,0.5032516717910767,0.37537271136864125,0.2399744803563965,0.11389601892395189,0.0075362401741947554,1.5127141627017409,0.005960037776966702,0.00898295852258237
18.0,0.6393996554194259,0.5152371451659593,40.15616,40.15616,0.0,0.5703402184445152,2.320571609075487,0.6929848978494991,0.26441444575102446,0.3245960626371004,0.29888296802632147,0.2054061691311576,0.11442598187311179,0.3269715138538933,0.663791340466676,0.21488442407447195,1.8866719495959712,0.2797912847271189,0.28365615495437807,0.5032516717910767,0.37537271136864125,0.2399744803563965,0.11389601892395189,0.0,0.0,,
19.0,0.6438651442377162,0.484939781331836,43.80672,43.80672,0.9971592150692714,0.546869438145336,2.129107164807966,0.6798152471761495,0.24451461804291433,0.30667458928271024,0.27993444782363847,0.21811074100218827,0.11442598187311179,0.34415880829862094,0.6648563371393144,0.20838120433087354,1.8295740825674442,0.2768315761016491,0.2812391228680821,0.4964701235294342,0.37389618905160943,0.23913551898767513,0.11389601892395189,0.007381773481179829,1.56716918037273,0.005562980683809231,0.00909125153124237
20.0,0.6420541269942497,0.5022994128037525,43.80672,43.80672,0.0,0.5611303229605233,2.360803374789038,0.6966062698722338,0.2690764015564659,0.3246496572587167,0.29615566488788125,0.2099048107978562,0.11442598187311179,0.3339363932832307,0.6648563371393144,0.20838120433087354,1.8295740825674442,0.2768315761016491,0.2812391228680821,0.4964701235294342,0.37389618905160943,0.23913551898767513,0.11389601892395189,0.0,0.0,,
21.0,0.6359213367052393,0.46181930767289314,47.45728,47.45728,0.9971592150692714,0.5662816383886221,2.1541032734982504,0.6822798925944001,0.247467988833669,0.3124289228644557,0.27803475536965266,0.22081135566465618,0.11442598187311179,0.3478120845409105,0.657927094612676,0.19066388672221546,1.6740171300414046,0.2773088381330685,0.2796934865900383,0.4955940246582031,0.37365611347148275,0.23908237210080627,0.11389601892395189,0.006440875434451227,1.4531106483191252,0.0050096222790986565,0.00780830610701535
22.0,0.6417341501404693,0.537454113668548,47.45728,47.45728,0.0,0.5665431115044748,2.384460828415063,0.696169705861063,0.2721985782806178,0.3311044913213425,0.30080873541015424,0.20632012118909343,0.11442598187311179,0.3283968703459746,0.657927094612676,0.19066388672221546,1.6740171300414046,0.2773088381330685,0.2796934865900383,0.4955940246582031,0.37365611347148275,0.23908237210080627,0.11389601892395189,0.0,0.0,,
23.0,0.6393104675874028,0.5262406113531681,51.10784,51.10784,0.9971592150692714,0.5479879569644925,2.187224807068363,0.6845371547816427,0.2515408006161285,0.3136886738928021,0.2904938065774373,0.21310896224692,0.11442598187311179,0.3391234513737021,0.6632643011418646,0.2036124786205278,1.7877049658467816,0.27730847655112145,0.2809213820731097,0.4963652193546295,0.36996846468964983,0.23615116990408755,0.11389601892395189,0.006396313196132871,1.5220079398714006,0.004697350647091562,0.008057726679040828
24.0,0.6398797538020695,0.5006560411530337,51.10784,51.10784,0.0,0.5489371529679975,2.408607903679145,0.7008293665180858,0.27579201368943784,0.33096143506453074,0.30971408011449797,0.1940430528354902,0.11442598187311179,0.31131288973267085,0.6632643011418646,0.2036124786205278,1.7877049658467816,0.27730847655112145,0.2809213820731097,0.4963652193546295,0.36996846468964983,0.23615116990408755,0.11389601892395189,0.0,0.0,,
