round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_f1_best,fed_f1,fed_brier,fed_ece,fed_auprc_lift,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.16172427087555072,0.04507155192697292,24.82176,24.82176,0.5412350858791136,0.11467774420946628,0.6841659036022262,0.3189312263218479,0.2926255940415404,0.23257625935092588,0.3690767481169041,2.3189288829590664,0.5217293510935667,0.2629845370089425,0.36037383361003206,0.08401178410369105,0.7376182670597602,0.0,0.2045002711006687,0.44483089447021484,0.3627526840408145,0.23292113311371912,0.11389601892395189,0.007035848740678282,0.6741599728120491,,0.007035848740678282
12.0,0.15923542272570265,0.04915929916549466,26.8032,26.8032,0.5412350858791136,0.11467774420946628,0.6961868414843029,0.33005574858455833,0.2926805697878058,0.23591150797516927,0.3745597478636323,2.444427063798679,0.5287281068253885,0.2761306922805591,0.3467338345115846,0.08132174382234769,0.7139998798083191,0.0,0.2045002711006687,0.4585686922073364,0.3644108641557997,0.23414797177887403,0.11389601892395189,0.007373971615942433,0.7304097767919302,,0.007373971615942433
13.0,0.15405271622734296,0.05184743059766853,28.78464,28.78464,0.5412350858791136,0.11467774420946628,0.7073059249658514,0.3380982679544742,0.29894469662911616,0.23685107896642404,0.37690199908968314,2.597840247567712,0.5411692447979135,0.2912940311953582,0.3406581554946344,0.08061702858701039,0.7078125236391115,0.0,0.2045002711006687,0.45161595940589905,0.36380181326090505,0.2338137736596151,0.11389601892395189,0.007141096897122348,0.7360461410135031,,0.007141096897122348
14.0,0.15157652310160505,0.06463094516398839,30.76608,30.76608,0.5412350858791136,0.11467774420946628,0.7185901635394545,0.3554287457459831,0.302692435531963,0.2338757331616181,0.37427385052626677,2.7476431827135634,0.5402585945869649,0.30762119482686856,0.3466791189019892,0.08284389229028037,0.727364249189386,0.0,0.20453723788864786,0.4590630829334259,0.36502858395365045,0.23462274114201997,0.11389601892395189,0.007962293021878415,0.8538511936785653,,0.007962293021878415
15.0,0.16218414849714363,0.06191383636660695,32.4352,32.4352,0.4559241291901578,0.11467774420946628,0.6739374654095743,0.31035911168541014,0.27278379583450074,0.23901386485324225,0.3772089925537416,2.204195754355265,0.5315480054715367,0.2510080935734784,0.34917802848012736,0.08388391681862915,0.7364956002073985,0.0,0.20450951154489178,0.4594523310661316,0.3649464796654285,0.23451708005343572,0.11389601892395189,0.011279943636179146,0.5942328283563256,0.011279943636179146,
16.0,0.16125658730868997,0.05070400585787156,34.41664,34.41664,0.5412350858791136,0.11467774420946628,0.6898407938770121,0.31882473956171165,0.2755845834085555,0.2422347242850964,0.3820094789536849,2.371128171280214,0.5299468926789027,0.2688555740246861,0.3399715247920192,0.08111362884737042,0.7121726432030061,0.0,0.20450951154489178,0.4465337097644806,0.3639353372753222,0.23395460880234487,0.11389601892395189,0.006190087419662665,0.6907894966425374,,0.006190087419662665
17.0,0.15775051445115001,0.06174604157717082,36.39808,36.39808,0.5412350858791136,0.11467774420946628,0.7023617673448656,0.3329488147879662,0.29495062540225414,0.23498819577517008,0.3736949134008417,2.533178324241008,0.5317486391195508,0.2849597266732266,0.3374989063152807,0.08048952625420645,0.7066930610449969,0.0,0.2045002711006687,0.45470061898231506,0.3654898930744302,0.235125673418294,0.11389601892395189,0.00576847502075046,0.6638324983650818,,0.00576847502075046
18.0,0.1525582965193402,0.0568925215467028,38.37952,38.37952,0.5412350858791136,0.11467774420946628,0.7141798551735421,0.34166668534323386,0.30228669520969453,0.2331715693375272,0.3726747543377519,2.665720625189177,0.5316332657197781,0.29822327102153606,0.3356367559185348,0.08040481315925664,0.7059492853120947,0.0,0.20450951154489178,0.4488663077354431,0.3651604165899009,0.23497203808403072,0.11389601892395189,0.006562110644945843,0.7815668950788677,,0.006562110644945843
19.0,0.15096810429577992,0.14633666215307964,40.36096,40.36096,0.5412350858791136,0.11467774420946628,0.7247169336485627,0.3521393446566943,0.310304876436443,0.2268122444333,0.36453394284181123,2.7934544657893694,0.5323287154297454,0.3113808498386416,0.3395837467331895,0.08087185871908131,0.7100499164336839,0.0,0.20450951154489178,0.44581905007362366,0.36550206380051475,0.2352866951556163,0.11389601892395189,0.007550244479215704,0.9351923938374966,,0.007550244479215704
20.0,0.1659874445899945,0.1293725135172832,44.01152,44.01152,0.9971592150692714,0.11467774420946628,0.6769541869107891,0.3133437819381785,0.2758413763850303,0.23964742440799913,0.3781065226223954,2.2241787349687385,0.5209394223717944,0.2546983095001419,0.3432133242649321,0.08150852741939146,0.7156398282350371,0.0,0.20450951154489178,0.4445483684539795,0.3659038395507027,0.23546078899553308,0.11389601892395189,0.007321035128885231,1.3506472429726273,0.010418995459513112,0.005948492793243945
