round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_f1,fed_auprc,fed_prevalence,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6408919828640698,0.4461198332615844,40.15616,40.15616,0.9971592150692714,0.33949837115413556,0.301960692017206,0.2801209663314046,0.24669304482428955,0.11406987724268176,0.67470199046744,2.1449826784750545,0.5388103774537971,0.21338197467196157,0.6179848502014613,0.15331310233531004,1.3460795538224812,0.22958771220695232,0.24947468958930277,0.4948689043521881,0.36907432535327167,0.2358987928299901,0.11389601892395189,0.007973487705299789,1.602879946352914,0.006493017783937165,0.00926746155236276
12.0,0.6407719352563772,0.4730605349142711,43.80672,43.80672,0.9971592150692714,0.3453884138747098,0.3024679555250927,0.2831205064806091,0.24791813335375174,0.11406987724268176,0.676027922760045,2.1565894182180845,0.5641460788673975,0.21855251916486063,0.6063168092025029,0.14772353371560817,1.2970034871389389,0.2174655285620486,0.24176832064569384,0.49406710267066956,0.3700628096416928,0.23679153137887463,0.11389601892395189,0.007275514188716355,1.550779648940079,0.005895391602621857,0.008518119565138833
13.0,0.6401650392662029,0.5523752031890304,47.45728,47.45728,0.9971592150692714,0.34020025184648306,0.3058890541832496,0.28014631980781773,0.25010180068929355,0.11406987724268176,0.6772091340567448,2.1743666602643588,0.5671964186446863,0.21556638255462027,0.6287441101030666,0.1587931478750208,1.394194014639323,0.2497486875907517,0.2589810876843725,0.49570026993751526,0.3700990206063486,0.23645811498695135,0.11389601892395189,0.007605693950169336,1.7132070523221046,0.005644522313847604,0.009415121767451176
14.0,0.6342136574392006,0.5397623306195999,51.10784,51.10784,0.9971592150692714,0.3517350809929466,0.3064892961140852,0.28095565917071463,0.25342485522009717,0.11406987724268176,0.6800011459266947,2.202491852772432,0.5676015568560011,0.2224979542650093,0.6216931127956269,0.15503814593523885,1.3612253299104111,0.2480343851556767,0.2538911381016644,0.49720752239227295,0.37338010257980814,0.2390811707435665,0.11389601892395189,0.0069013128751276714,1.6479988234350458,0.005306567323200351,0.008390224043727135
15.0,0.6374137362437001,0.6297509397101325,54.7584,54.7584,0.9971592150692714,0.3435812900752196,0.31205720127327224,0.28741966799361807,0.255699438339362,0.11406987724268176,0.6827444092452111,2.21927969702325,0.5578184617177323,0.21558184565392105,0.6392852981817502,0.1727855687288915,1.5170466040982524,0.2602910602910603,0.2641697877652934,0.4984712302684784,0.3709459515011264,0.237157218246643,0.11389601892395189,0.006461085072592832,1.6272908195387572,0.004813765018080721,0.008032514533255333
16.0,0.6343685267721438,0.6941475586055211,58.40896,58.40896,0.9971592150692714,0.33715242210647806,0.3125246685688552,0.2867061472413424,0.2602173924497123,0.11406987724268176,0.6850641182896507,2.258831640222501,0.5551462822696642,0.2124404811377968,0.633479005695895,0.16173029887224835,1.419982018688777,0.2562653562653563,0.2617621899059025,0.49470117688179016,0.3667225776509938,0.23385931464280307,0.11389601892395189,0.006705805747885869,1.7855546679347754,0.004803742571366181,0.00855170786716303
17.0,0.6334413270451872,0.685345780788688,62.05952,62.05952,0.9971592150692714,0.35336738208207386,0.3137121344757629,0.2835272851546141,0.26082958483898633,0.11406987724268176,0.6870848187154116,2.264795937688193,0.5713213622945265,0.22348878467802136,0.6325605991690556,0.16052772539905902,1.4094234979911195,0.25963808025177026,0.26403326403326405,0.49842724204063416,0.36850928292492147,0.23523043304818325,0.11389601892395189,0.006660081926552742,1.8759424298768863,0.004434028732382296,0.008845711213721434
18.0,0.636671277118596,0.9156218065076811,65.71008,65.71008,0.9971592150692714,0.33944369360457466,0.3158525657474579,0.289955871559805,0.26261397444069035,0.11406987724268176,0.6888855883092163,2.2805551861626396,0.5398337443613354,0.21307794003021885,0.6223837091249925,0.15509730908284797,1.3617447786863042,0.24843629979150664,0.25364836692147325,0.49503377079963684,0.3698910976867382,0.23641249140579954,0.11389601892395189,0.005868368421124833,1.7465561636490747,0.004034596047565794,0.007690976024876281
19.0,0.6350958881095397,0.7216120119557436,69.36064,69.36064,0.9971592150692714,0.3416155369397104,0.3172681536035015,0.2901449574997064,0.2668008722922027,0.11406987724268176,0.6925686399629817,2.3192192853456683,0.5686654911012743,0.21568726238216734,0.62160791456775,0.15560598194434255,1.3662108949412912,0.24813948543482883,0.2537868951787415,0.4956126809120178,0.36959331162449005,0.2361930184582645,0.11389601892395189,0.005463832992207762,1.7136762934969738,0.0037127384408442146,0.0072155193661874294
20.0,0.6360657837569357,0.8883242540107548,73.0112,73.0112,0.9971592150692714,0.33275870468835667,0.3214766361921107,0.29092327390762646,0.26948581426820084,0.11406987724268176,0.693553617980841,2.3412479518565097,0.5567629333483486,0.20963547261868698,0.6186004635566682,0.1542509593895553,1.3543138807384332,0.24929767974196235,0.25338253382533826,0.4978237450122833,0.36925041971655925,0.23596110520752014,0.11389601892395189,0.005130938792308364,1.6922247310867533,0.0034936973027490216,0.00678263634589669
