round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.1892304898232925,19.385111492337234,228.019968,228.019968,0.9991046702896288,0.9869565217391303,0.998978172580286,0.49505116382370823,0.3598071336746216,0.9251101321585903,0.2595331950191043,0.6407185628742516,1.0121805272839903,0.9934354485776805,0.5706315345304515,0.9778198800650024,1.0111030735071325,0.9832657200811359,0.9832657200811359,0.5076083540916443,0.45938200037972887,0.24286527315275777,0.9670822942643391,0.00028957152016873537,0.17510199652321035,0.00011289946186821306,0.0003186899975762418
12.0,0.17241067779564706,13.70522032931084,248.749056,248.749056,0.9991046702896288,0.9869565217391303,0.9992456487070301,0.2642758847578712,0.4326288104057312,0.9456681350954479,0.08730534086988642,0.9844097995545658,1.0124515383375194,0.9934354485776805,0.5870254895525653,0.9789990949876941,1.0123224267407565,0.9832657200811359,0.9832657200811359,0.507882297039032,0.4591006561705001,0.24260660986259977,0.9670822942643391,0.0001479375566430037,0.08949936141462445,3.824930166524777e-05,0.00016600448777747721
13.0,0.13858940282254611,16.36255294634885,269.478144,269.478144,0.9991046702896288,0.9869565217391303,0.9997093884250288,0.35384824327800585,0.3515121042728424,0.9779735682819385,0.15174386680260163,0.9033816425120773,1.0129214067742582,0.9934354485776805,0.5027075812274369,0.973677111795751,1.0068192930121098,0.9832657200811359,0.9832657200811359,0.508134663105011,0.4588616270674136,0.24238793798323505,0.9670822942643391,0.0002482846804706548,0.15027968424925575,9.533807338111015e-05,0.00027345991831370485
14.0,0.11657979718348487,9.241563232212352,290.207232,290.207232,0.9991046702896288,0.9869565217391303,0.9985742798969609,0.6280953854322433,0.2836379408836365,0.9045521292217328,0.4074800350386241,0.0,1.0117712968118988,0.9956140350877194,0.5587541219310173,0.97760507375957,1.0108809555894471,0.9832657200811359,0.9832657200811359,0.5084035992622375,0.45859101505350885,0.24213922443431785,0.9670822942643391,0.00023037232818862998,0.13950039079702492,9.193794759890117e-05,0.0002531433350154318
15.0,0.1472761966649122,21.654289478561438,310.93632,310.93632,0.9991046702896288,0.9869565217391303,0.9991465350798564,0.5075916423745777,0.28612107038497925,0.9383259911894274,0.27481237293486876,0.5856697819314641,1.012351114838621,0.9934354485776805,0.6254043790144874,0.980849133156483,1.0142354368121447,0.9832657200811359,0.9832657200811359,0.5084178447723389,0.4585813993824984,0.24213025912423555,0.9670822942643391,0.00018937649119348278,0.11475152435866676,8.686366394824581e-05,0.00020622647740277112
16.0,0.16009732386103157,19.991765774944234,331.665408,331.665408,0.9991046702896288,0.9869565217391303,0.9983670669443198,0.5110755407291909,0.24407047033309937,0.8913362701908957,0.28639208034489133,0.6073619631901841,1.0115613453620862,0.9934354485776805,0.5643607295231844,0.977771544901663,1.0110530931035762,0.9832657200811359,0.9832657200811359,0.5084882974624634,0.4584853773402454,0.2420423964834498,0.9670822942643391,0.00015009820821145886,0.09100341707608095,5.7044187428931416e-05,0.00016538404989345338
17.0,0.13535446706988746,16.06141029585704,352.394496,352.394496,0.9991046702896288,0.9869565217391303,0.999132412702332,0.08365425584108935,0.4692133367061615,0.9383259911894274,0.02092178790801416,0.9912280701754386,1.0123368058217461,0.9934354485776805,0.7043891728007252,0.9860195302794428,1.0195818247603314,0.9832657200811359,0.9832657200811359,0.5084874033927917,0.45850662852166,0.24206107385837844,0.9670822942643391,0.00015015256070288833,0.0910849832449685,4.864024871094082e-05,0.00016681716109023895
18.0,0.12672801058442074,10.061282617306894,373.123584,373.123584,0.9991046702896288,0.9869565217391303,0.9993217778446575,0.19437888601551884,0.413567990064621,0.9500734214390604,0.06225857082677948,0.9753914988814317,1.012528673587098,0.9934354485776805,0.6326363167518402,0.9819235951784497,1.0153464715486291,0.9832657200811359,0.9832657200811359,0.5086016058921814,0.45840012414794307,0.2419638843482977,0.9670822942643391,0.00017044286054317665,0.10344949011030735,6.531714365171139e-05,0.00018769067263298307
19.0,0.1136214472475465,11.338382860755182,393.852672,393.852672,0.9991046702896288,0.9869565217391303,0.9992806054368207,0.6340101644396782,0.19034664332866666,0.948604992657856,0.4209886299493522,0.19123505976095617,1.0124869570505233,0.9956140350877194,0.5967344929438793,0.9805190895686537,1.0138941591465451,0.9832657200811359,0.9832657200811359,0.5084651112556458,0.4585352703222907,0.24208803790522518,0.9670822942643391,0.0003605274671644367,0.21893539079496804,0.000127463146618357,0.0003987487117026706
20.0,0.1303586834704733,4.975852970640792,414.58176,414.58176,0.9991046702896288,0.9869565217391303,0.9993672716000577,0.4201281700445258,0.2623234689235687,0.9530102790014685,0.2008918617750995,0.8207792207792208,1.0125747685815563,0.9934354485776805,0.5205080719521152,0.9762168972544051,1.0094455281047356,0.9832657200811359,0.9832657200811359,0.5085704326629639,0.4583797442050943,0.24194586493030915,0.9670822942643391,0.00015063987275817857,0.09154386539694315,4.265101435345314e-05,0.0001683376740370769
