round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_f1,fed_brier,fed_f1_best_threshold,fed_auroc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6377550921531393,0.4378171606217136,40.27056,40.27056,1.0,2.212530427973194,0.11468496254799516,0.31348390480663785,0.2521610456323404,0.2788693313887666,0.22304110630653082,0.5682134645460323,0.6754757780451806,0.35199002027811743,0.6586048152045543,0.21380713580474006,1.8772134252339285,0.2749289368959636,0.2769624970882833,0.5047003030776978,0.3515066848542359,0.22439221820808203,0.11389601892395189,0.007498009923054602,1.509887160433209,0.006156622991528352,0.008720520596614564,0.0035822861300147395
12.0,0.6375826050901012,0.4523850713192828,43.93152,43.93152,1.0,2.2309687122317663,0.11468496254799516,0.31396745867709147,0.25415230168428055,0.28184593912354383,0.21877193808134338,0.5579461486184845,0.67678600842134,0.346479909485257,0.6563909162249302,0.21206797723518792,1.861943720585925,0.27358713643887445,0.2741685540588867,0.5014809370040894,0.3456795970931843,0.22006514607302619,0.11389601892395189,0.006855272456247285,1.466916280112855,0.00561534856180194,0.00800366958220441,0.0044277113024629566
13.0,0.6393584749257478,0.4565053176295863,47.59248,47.59248,1.0,2.2527636362212995,0.11468496254799516,0.31376380592984227,0.2566336886169647,0.28523438654760164,0.21085332016462807,0.5402274808090839,0.6777178776470565,0.33312853897434647,0.6555028793713066,0.21063974020521287,1.8494038878203156,0.2719546742209632,0.2736910781275485,0.5622269511222839,0.33195926063597087,0.21227428957057384,0.11389601892395189,0.006473564507572641,1.4660187592035072,0.005096151547951354,0.0077747370193717415,0.00465573772977145
14.0,0.6397267522120932,0.5427490261685582,51.25344,51.25344,1.0,2.2769361656698415,0.11468496254799516,0.3209917346577528,0.25956805680188283,0.28791556721197104,0.19898277653250473,0.546288751821247,0.6798588871394857,0.31124478999611827,0.6566107575205476,0.2118137489873986,1.8597116122981099,0.27229577816637524,0.2760261748958953,0.5383971333503723,0.30998615981610006,0.20070363517534098,0.11389601892395189,0.006755462257159095,1.6250366675303667,0.005118670134175948,0.008321788457161151,0.004993553266634834
15.0,0.6391010638559018,0.6754405627458542,54.9144,54.9144,1.0,2.2760176085292296,0.11468496254799516,0.32203786017358366,0.25948396400716056,0.28238257800358374,0.21641014674839634,0.5628894294790964,0.6832281493169835,0.3407454922633031,0.6556314861527592,0.21221115590441703,1.8632008204440396,0.27403737896870073,0.2755151711828655,0.5707274675369263,0.34019933960650495,0.21877296324047749,0.11389601892395189,0.0066045792322826195,1.687144876923412,0.004794288447126324,0.008365963190800388,0.0038858775171530086
16.0,0.635487526932472,0.6235039051040385,58.57536,58.57536,1.0,2.310648290417539,0.11468496254799516,0.323229012561239,0.26345354982145747,0.28522131483175983,0.21328227178528178,0.5594624368158618,0.6846841375513705,0.3365819876808505,0.6557279788872039,0.21169592927097158,1.8586771624767717,0.2713851008678012,0.2757656627271572,0.521452784538269,0.3359601101573922,0.21577108651069926,0.11389601892395189,0.006845194466398377,1.848175807381267,0.004467352049872398,0.009174459682811569,0.004973689131981414
17.0,0.6387247347405905,0.6678057948398106,62.23632,62.23632,1.0,2.3251118046546404,0.11468496254799516,0.32181029328828853,0.26504647683012605,0.28616905635504253,0.20817417290222875,0.5499479887209672,0.6859246499892344,0.3264617849043578,0.6545330953890353,0.21069066719075047,1.849851023602749,0.2691597414589104,0.27472527472527475,0.578100323677063,0.32585101172206504,0.21119753256191043,0.11389601892395189,0.006269020926760387,1.7812514828783605,0.004177374999123029,0.0083489242478683,0.005157694166719541
18.0,0.6377940433983394,0.751466729548586,65.89728,65.89728,1.0,2.3525510956694773,0.11468496254799516,0.3179988097800434,0.2681631654776842,0.2898057760290443,0.21235978694752977,0.5387057491904156,0.6876177393023019,0.3372292369139826,0.6537315995546251,0.20865485194914807,1.8319766917267446,0.26782567837425114,0.27217368281705057,0.5183732509613037,0.3367482393776034,0.21533477796987804,0.11389601892395189,0.006066548920645533,1.8098702637453243,0.003981372773177945,0.008161459104507328,0.00534346039655377
19.0,0.6388621848260134,0.6583740015303179,69.55824,69.55824,1.0,2.3792812311038274,0.11468496254799516,0.3237086664077189,0.2713841848331064,0.2861256257983965,0.2089737761145604,0.5530339333126706,0.6891948388299816,0.32923362304111187,0.6528467879100991,0.20911505777585482,1.8360172704146969,0.26656478550376594,0.27292241643667586,0.5532875061035156,0.3287424466014583,0.21225347912470863,0.11389601892395189,0.005226644804576436,1.636676572932629,0.003408095042947384,0.007073472095025385,0.0050431462655850315
20.0,0.638323053744547,0.828825462911136,73.2192,73.2192,1.0,2.4024108619369344,0.11468496254799516,0.3292923595214606,0.2741137745177097,0.29242027274316695,0.2015557164302902,0.5635433683647054,0.6915905556372326,0.31580771933700563,0.6518727245647837,0.20785230894076667,1.8249304137623035,0.2682175846732809,0.2712637850171124,0.5174705386161804,0.3150125323351409,0.20525841128680952,0.11389601892395189,0.005247539817622501,1.7222038291693025,0.0034867721530264357,0.007059234177682201,0.0041619534583783365
21.0,0.6441866213790399,0.9976424882171342,76.88016,76.88016,1.0,2.4240550829815706,0.11468496254799516,0.32861494547982395,0.276810305358028,0.2984602602008335,0.19699217318822815,0.5326887456497491,0.6940180533762399,0.31135426043266823,0.6508287733227168,0.20805381710784085,1.826699643002956,0.2697220135236664,0.27023629964806434,0.5005133152008057,0.3102943279184549,0.20087625885897004,0.11389601892395189,0.005049167607840491,1.7311817156733014,0.003232153217625305,0.006933827068028511,0.0043880295165365756
22.0,0.642477993201854,0.9823425419475887,80.54112,80.54112,1.0,2.442780307134071,0.11468496254799516,0.32756154155780315,0.27912001145384324,0.2950127658398284,0.20436816993548595,0.5303856997719687,0.6965556810960962,0.323691830437124,0.6503744204223956,0.20860616072049756,1.8315491857514652,0.2718423266434323,0.2736607695162687,0.5055184960365295,0.3230665058383736,0.2087773718173674,0.11389601892395189,0.004699865254534623,1.6876950716905412,0.0029480271057717297,0.006534651303689453,0.003644069659615066
23.0,0.6475852542249878,1.2149284817227881,84.20208,84.20208,1.0,2.4646112867567043,0.11468496254799516,0.32513542063025935,0.2815925260086765,0.2926578140997021,0.20471137743772677,0.5478469410577879,0.697303089250214,0.3247012272932053,0.6501480157635169,0.2068417097171543,1.8160574150994868,0.2705422023476803,0.271914941748671,0.5017145872116089,0.32402008347131894,0.20897101020254302,0.11389601892395189,0.004566626064276185,1.7114173907248187,0.002894452284634057,0.006330882706247505,0.004187695473265163
24.0,0.6420124298118639,0.9523642285710491,87.86304,87.86304,1.0,2.4663848162634636,0.11468496254799516,0.32445980455153756,0.2816726681366472,0.2946803035041122,0.20736082538158504,0.5336809311116733,0.6972741548554633,0.32675653221300804,0.6508073137602379,0.2084602784202897,1.8302683481806168,0.26877200954220154,0.27203423833088136,0.526002049446106,0.3258307913242435,0.2119436042392396,0.11389601892395189,0.004444799280729775,1.7376507973312982,0.0027222689689622667,0.006271923595577757,0.005560448975074856
25.0,0.6399260987056878,1.064057514259486,91.524,91.524,1.0,2.496505707727104,0.11468496254799516,0.33054067886675387,0.28548535587627877,0.2972996033151495,0.20585553547692725,0.5416919353374143,0.7002275744868011,0.3268200650714117,0.6469080485105583,0.20581100376682873,1.8070078806200265,0.2669914173045697,0.27056389032591827,0.5147683620452881,0.3262280726646101,0.21115404562003717,0.11389601892395189,0.004309416216094693,1.7580508539267612,0.0025900510805833238,0.006153149515072681,0.004617974513119828
26.0,0.64686711239697,1.1529310444836498,95.18496,95.18496,1.0,2.5195650762479946,0.11468496254799516,0.3301632729321929,0.2880790970971667,0.3008608632479969,0.1961187306728999,0.5615962568813312,0.7014120789386246,0.3094784533507375,0.6461792014522828,0.2063939780659539,1.812126358900768,0.26651566628916573,0.26993125075382945,0.4926496148109436,0.3088716563917718,0.20190796725741658,0.11389601892395189,0.00423988600899425,1.802819812432972,0.002482576844394206,0.006139872235195325,0.0034304124120454796
27.0,0.6462446515231007,1.374801758882406,98.84592,98.84592,1.0,2.535513487377214,0.11468496254799516,0.3330028337059515,0.2901680598425577,0.2993214544532584,0.20213950829408164,0.5401336079431823,0.7008221930638463,0.32081851818103857,0.6470816450765062,0.2043487708832298,1.7941695663627455,0.2692263478560754,0.27177347996460627,0.5140011310577393,0.3205090840565306,0.20762222607787192,0.11389601892395189,0.003923082953286695,1.7345565929099394,0.002366889296214279,0.005616517605120102,0.00421504168762925
28.0,0.6411317761017905,1.1021570128471527,102.50688,102.50688,1.0,2.553865816195363,0.11468496254799516,0.3335931164288704,0.29216317751748594,0.3025773182666326,0.20009891247914055,0.5493647221588627,0.7046923815285117,0.3177884764645691,0.6469317293259955,0.20464766925326316,1.796793875560356,0.26741145709531733,0.2702632602775256,0.5117344856262207,0.31699326434848135,0.2061113287101573,0.11389601892395189,0.0037997235367767186,1.7423672642489691,0.0021194712118137514,0.005641382265583023,0.003804390755306982
29.0,0.645432827955122,1.3881068626064594,106.16784,106.16784,1.0,2.5793315774517334,0.11468496254799516,0.33660210796197865,0.2950899657525853,0.3008813033078729,0.20321456282929296,0.5532622912602853,0.7073383917576332,0.32151274628200843,0.647575679343236,0.20407384834834574,1.7917557635144858,0.2645490640952921,0.27147669848399775,0.5290693640708923,0.32106999111351675,0.2100376782961112,0.11389601892395189,0.003922819975840281,1.8692198737662693,0.0020702181914710066,0.005943208885854945,0.0057571421789051865
30.0,0.6479454945812229,1.6785662421416627,109.8288,109.8288,1.0,2.578010445879163,0.11468496254799516,0.3381052790867927,0.2948330337200508,0.30086448482459915,0.20273724783907968,0.5677561360327105,0.7075089504747278,0.318897833662604,0.6465745217316095,0.2044956137411374,1.7954588375707727,0.2653129532522593,0.27095355866996423,0.534323513507843,0.3181739037669577,0.20966934428075787,0.11389601892395189,0.0034900545715997604,1.7268041033676127,0.00197558130487762,0.005144490146593803,0.004501338862196179
31.0,0.6497175796787144,1.6925440331171395,113.48976,113.48976,1.0,2.5974703973255884,0.11468496254799516,0.3374501214022558,0.29747480019862954,0.30094605505751587,0.20635128455002802,0.5585824808615482,0.7079091393714015,0.324634939963218,0.6457789994362284,0.2029451943924612,1.7818462516057496,0.2625324114088159,0.26996850844546233,0.5486149787902832,0.3238293143270563,0.21347388144567336,0.11389601892395189,0.0035218376904796035,1.8069242396395566,0.001931041826172076,0.00526497042009911,0.00418965335922432
32.0,0.6467745185923575,1.6825465414677794,117.15072,117.15072,1.0,2.5878585769908216,0.11468496254799516,0.33840544635175107,0.29646452434131976,0.30147653089028587,0.20233459439951787,0.5530950549382383,0.7092670854836939,0.3201756594867394,0.6472138033528019,0.20415180182570566,1.792440190223131,0.26660537807400597,0.2716141929035482,0.514008641242981,0.3193897394420455,0.20928125945720105,0.11389601892395189,0.003318172792245591,1.7614650764480757,0.0018339225757458078,0.004949626628855615,0.0038792874042571533
