round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,fed_brier,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.590305163534849,0.4868802342550955,24.82176,24.82176,0.5412350858791136,0.2516296288764023,0.060414606759016797,0.30139173452926216,0.1135662574756059,0.10766012914275744,0.07653602826232275,0.21239826508970952,2.231956038246401,0.6790747234696495,0.6595434765465054,0.20640269863580826,1.812202924964593,0.053082890975908535,0.2786771827867718,0.45910173654556274,0.3225974873412543,0.20239222415744834,0.11389601892395189,0.006853359686948322,0.6454441976966336,,0.006853359686948322
12.0,0.5746207062879164,0.4427219702336168,26.8032,26.8032,0.5412350858791136,0.26470781473629373,0.08934626199263901,0.3104835477545197,0.1135662574756059,0.10627218304122742,0.07269171976229614,0.24491030756486146,2.3530939817250975,0.6889316019262606,0.6592859492473064,0.2027503690170398,1.780135696862379,0.06428851430811447,0.2793928479547209,0.4592928886413574,0.3265541327144258,0.20506067308310227,0.11389601892395189,0.0074632011591117525,0.7266677344450727,,0.0074632011591117525
13.0,0.5655586823019817,0.6599764509953884,28.78464,28.78464,0.5412350858791136,0.27954300045434477,0.11753428396402567,0.32489334689326,0.1135662574756059,0.10546788588512869,0.07319251103036466,0.2519904670838781,2.492794767068252,0.6993251559756496,0.6588378083255975,0.20107149308681252,1.7653952700582756,0.09725776965265082,0.27804696235557214,0.4589380621910095,0.32712258767293295,0.20541019924221388,0.11389601892395189,0.00787972094397798,0.8002023971639574,,0.00787972094397798
14.0,0.5492528665658133,0.655781459417982,30.76608,30.76608,0.5412350858791136,0.2876119026720149,0.13538392357852505,0.3272949586208676,0.1135662574756059,0.10533213947430264,0.07538160530279829,0.23833073871594235,2.566308886120012,0.7074414634308472,0.6577040532068644,0.19690081258221537,1.7287769532461499,0.07660219946909366,0.27599851613701004,0.46083351969718933,0.32963657005215163,0.20716398208551778,0.11389601892395189,0.008836064251321512,0.9402611798141152,,0.008836064251321512
15.0,0.58995332934973,0.7189949339885241,32.4352,32.4352,0.4559241291901578,0.24272736265372447,0.07918178383891065,0.2984112106340524,0.1135662574756059,0.1090364845774843,0.08391845329310822,0.22733729600737518,2.1439291810423855,0.6679070077201952,0.658567706475753,0.20149394683836513,1.7691043878618986,0.09435364041604755,0.27640805247681516,0.4646308422088623,0.3378779218894521,0.21284741101835092,0.11389601892395189,0.011632441672644302,0.6147122748661786,0.011632441672644302,
16.0,0.5810937019916598,0.5455489440851428,34.41664,34.41664,0.5412350858791136,0.2590464220906549,0.08409660607205785,0.30920903162996427,0.1135662574756059,0.10809362140443099,0.07981349376842573,0.23526457919896607,2.2912805571694808,0.6846820140308538,0.6576120029783362,0.1979066491366088,1.7376081359678657,0.0701480904130943,0.2767250625670361,0.4710100293159485,0.3423110222464282,0.21600911153869254,0.11389601892395189,0.005737900078984887,0.634174476377666,,0.005737900078984887
17.0,0.5613724020659074,0.5179442111267971,36.39808,36.39808,0.5412350858791136,0.27412762328300583,0.11246586547311747,0.3190796026908786,0.1135662574756059,0.10820848495936874,0.08682856906755357,0.27043567508656086,2.4284481568529057,0.6949818068893373,0.6553954560643945,0.19266932597558065,1.6916247626198904,0.09067827348567284,0.2767386091127098,0.4712798297405243,0.34102838854555984,0.21506384721553098,0.11389601892395189,0.005863708652543539,0.665096596814692,,0.005863708652543539
18.0,0.5412750126026041,0.6385047302477675,38.37952,38.37952,0.5412350858791136,0.2921705539272662,0.11780126019063324,0.33071323897397886,0.1135662574756059,0.10549781083888626,0.07885343372730347,0.25773248963004053,2.595853637822816,0.7058099021504229,0.653218314428923,0.1891605540115,1.6608179618446723,0.04516129032258064,0.27452830188679245,0.4693085849285126,0.33879013190878327,0.21354830179011952,0.11389601892395189,0.007571232123214467,0.887852850719355,,0.007571232123214467
19.0,0.5305607053379691,0.7435134358006066,40.36096,40.36096,0.5412350858791136,0.3084002543996101,0.14528458904863928,0.34021619923772567,0.1135662574756059,0.10252320213720656,0.06988248579143402,0.26894254542143803,2.7480239479405295,0.7169007225415247,0.6530625380844487,0.18966213539796023,1.6652218153875704,0.016253207869974338,0.2722318553381224,0.4678803086280823,0.332213421751145,0.209024783159739,0.11389601892395189,0.007149910168737019,0.8769174489425495,,0.007149910168737019
20.0,0.5871477026804682,0.9075336697417198,44.01152,44.01152,0.9971592150692714,0.24162243100512248,0.08079331140075845,0.2954491806528357,0.1135662574756059,0.10875824162117576,0.0801907698006179,0.23253772488678257,2.1329193623172458,0.6671563349582305,0.654755546970615,0.19151510948210138,1.6814908132124933,0.0253592561284869,0.27529192931693713,0.4698079526424408,0.34191424086389216,0.2157674579599509,0.11389601892395189,0.007372092603083997,1.352391840191558,0.010620091953380541,0.005906681465259336
21.0,0.5831295646562115,0.8685530688461387,45.99296,45.99296,0.5412350858791136,0.26057535372071366,0.09205663492730858,0.3126957041118025,0.1135662574756059,0.10884874072530089,0.0799845033184252,0.2392455275737155,2.3090702168961794,0.681533515131562,0.6558217107422654,0.19320335748370998,1.6963135262235234,0.026811897779639715,0.27571168988491823,0.4720846712589264,0.3357691629896875,0.21143617283546245,0.11389601892395189,0.0053342380694247045,0.6888300623977557,,0.0053342380694247045
22.0,0.5621530281042688,0.6309848677286168,47.9744,47.9744,0.5412350858791136,0.28322855376900485,0.12547587396212243,0.32723801227201216,0.1135662574756059,0.108301853122634,0.08669753801323847,0.26764262498625807,2.511243696881394,0.6985481071635394,0.6560831660198596,0.1928229757255682,1.6929737979192727,0.018731375053214133,0.27619742280573795,0.4687637388706207,0.32980849681811814,0.20727912174951027,0.11389601892395189,0.00561793284639122,0.7487262613140047,,0.00561793284639122
23.0,0.5448161793141149,0.7081042972453403,49.95584,49.95584,0.5412350858791136,0.2941737035660783,0.11230821967372019,0.337575620610929,0.1135662574756059,0.10436920843945152,0.07643654757191924,0.24629852097947005,2.6140527199398376,0.7096851106972968,0.6588512236895098,0.19594918513791176,1.720421723157388,0.02288135593220339,0.2784932001444217,0.4659575819969177,0.3243221842568872,0.20352675526125266,0.11389601892395189,0.005864703822414015,0.8056009500287473,,0.005864703822414015
