round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_prevalence,fed_auprc_lift,fed_auprc,fed_brier,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6408884830300413,0.5694767530868811,34.41664,34.41664,0.5412350858791136,0.5631882195207057,0.31700549781531934,0.3434616778115075,0.11048158640226628,2.290980951364417,0.24066050236403602,0.2141377260000813,0.6936335451485093,0.2934006546384412,0.5194238657140394,0.17153018678511045,1.5060244282957842,0.20435246624286577,0.21291989664082686,0.5374605655670166,0.4041230362310846,0.2633424637322773,0.11389601892395189,0.005495585761747556,0.6511372969252989,,0.005495585761747556
17.0,0.6255255205057833,0.6945423159304369,36.39808,36.39808,0.5412350858791136,0.543458024092279,0.3289958589951393,0.3426364782113004,0.11048158640226628,2.426163104940172,0.25436850345950207,0.21202837034396776,0.7050728753379166,0.30298477034557797,0.5255526791096656,0.17799297226489813,1.5627672849895098,0.1972508958656469,0.23459037711313394,0.5252058506011963,0.3966313871129469,0.2572804003889949,0.11389601892395189,0.005819446478581845,0.7112720555160195,,0.005819446478581845
18.0,0.6102735395528476,0.675462842292071,38.37952,38.37952,0.5412350858791136,0.5666741739251459,0.33664200528492033,0.34936633400119516,0.11048158640226628,2.521385845507155,0.2643677839841765,0.2170958087830697,0.7140039494049203,0.3011766103546441,0.5309180842569186,0.17781125805621392,1.5611718454789723,0.19730258864476832,0.2295242766061795,0.5263798832893372,0.39731173368865613,0.25779301900341134,0.11389601892395189,0.008228235707524624,1.0456385893048719,,0.008228235707524624
19.0,0.5944919304945079,0.8024678837714104,40.36096,40.36096,0.5412350858791136,0.5601845639416884,0.354819802521235,0.32362876209639396,0.11048158640226628,2.668648883219281,0.2788846198931318,0.19931744308528185,0.7212961199901183,0.3153870578069095,0.5120959898528145,0.16443580206620578,1.44373616935636,0.2020221851379209,0.20465747230386613,0.4880433976650238,0.4026668893849342,0.26237361190795566,0.11389601892395189,0.009222066957247919,1.228655192651786,,0.009222066957247919
20.0,0.6485693996908235,0.7816803879343234,44.01152,44.01152,0.9971592150692714,0.5607871885771717,0.306927635517212,0.35310387657776465,0.11048158640226628,2.14755357210129,0.22837012299590076,0.22194162787683333,0.6818053416267628,0.27886832294635217,0.5053034108556472,0.1551844567399721,1.3625099297244834,0.20209651525167627,0.20459081836327345,0.4937465488910675,0.40493629453340496,0.2644439646066289,0.11389601892395189,0.007775551367052652,1.5236607819097117,0.010438631544131669,0.006672375677202949
21.0,0.6396849480584542,0.5809256295667811,45.99296,45.99296,0.5412350858791136,0.5362704439530177,0.3170446284979045,0.3587590783463922,0.11048158640226628,2.3140631538051424,0.24372363192361393,0.22343099156207993,0.697895887678303,0.29383321217744357,0.521831189393364,0.1704192518738488,1.496270488502652,0.20204675617312928,0.2115270350564468,0.5324084758758545,0.40400276469100765,0.2632158059647204,0.11389601892395189,0.005373618885296209,0.7604410951025784,,0.005373618885296209
22.0,0.6247233032373893,0.6076959076195055,47.9744,47.9744,0.5412350858791136,0.5732519076292267,0.3304129188721765,0.33989822780247336,0.11048158640226628,2.458251710389936,0.2580929645281034,0.21050151543425955,0.7075246688519342,0.30392562996417594,0.5146866861209941,0.1649211654087575,1.4479976294770671,0.20306249137812113,0.20454853732423023,0.48982590436935425,0.4079325798308522,0.26655756201503716,0.11389601892395189,0.0053396135034044,0.7757392167113721,,0.0053396135034044
23.0,0.6033153224401798,0.7193029848307814,49.95584,49.95584,0.5412350858791136,0.5894619716969833,0.3423128180948228,0.3519343299927823,0.11048158640226628,2.613011241496636,0.2738814047804035,0.21851680093430112,0.7186291377912445,0.3027596816386007,0.5128835432463394,0.15706346412432806,1.3790074983147478,0.2035911852725129,0.20461329715061058,0.49659550189971924,0.41181133675721654,0.2698878843493833,0.11389601892395189,0.005858454663244575,0.881703580613248,,0.005858454663244575
24.0,0.5887805971623726,0.8904809880370932,51.93728,51.93728,0.5412350858791136,0.5912413566225836,0.3535208887341832,0.3360722453826801,0.11048158640226628,2.7334772414972397,0.2866200954251486,0.20790129278941596,0.7287367220687664,0.3109497091040849,0.5179312464732904,0.15950410807974885,1.400436201253438,0.20363636363636364,0.2046389655016503,0.49395129084587097,0.4119876652507526,0.26995130893553076,0.11389601892395189,0.00687902759859645,1.0772723976988345,,0.00687902759859645
25.0,0.6484379461301718,1.0545772714660855,53.6064,53.6064,0.4559241291901578,0.5483387745285994,0.30779360785170995,0.35216193665188367,0.11048158640226628,2.2351123672688917,0.23570858153818217,0.219952941697121,0.6862918954723203,0.2805873503810201,0.5331104985751604,0.1709531451235835,1.5009580382061336,0.20399799644824917,0.20789939084299466,0.5381032824516296,0.4088838566074951,0.2670773603766435,0.11389601892395189,0.009693952311052044,0.6019041631370783,0.009693952311052044,
