round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,fed_brier,fed_auroc,fed_auprc_lift,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6363253190658583,0.5611170597894759,32.85504,32.85504,0.4559241291901578,0.24080675805235918,0.28692317628955233,0.3115503765885241,0.1142299704197873,0.22434551795885488,0.6796759093458858,2.1157819591378733,0.35508826430105067,0.5471925082219632,0.41173024361146315,0.0897245314316572,0.7877758351814392,0.2045002711006687,0.20456604457329225,0.5244247317314148,0.4416600879548186,0.2985656902990682,0.11389601892395189,0.00735413253979109,0.6068532946519554,0.00735413253979109,
17.0,0.6345284247832429,0.6657231028547965,32.85504,32.85504,0.0,0.25633186903812877,0.3030225397457561,0.32313521438004816,0.1142299704197873,0.2147496855305701,0.6978152804287491,2.265563463161008,0.33939135032178736,0.5763346056906211,0.41173024361146315,0.0897245314316572,0.7877758351814392,0.2045002711006687,0.20456604457329225,0.5244247317314148,0.4416600879548186,0.2985656902990682,0.11389601892395189,0.0,0.0,,
18.0,0.6325704741795255,0.661867847822387,34.52416,34.52416,0.4559241291901578,0.24722087953100813,0.29087387915889,0.3138721191823886,0.1142299704197873,0.21760650055193745,0.6856485046522179,2.1775281380838356,0.3419829406541956,0.5646000180323824,0.4081167795757572,0.08909568095190193,0.7822545668728853,0.2045002711006687,0.20454648167397296,0.5174978375434875,0.442589465937273,0.2995148041516307,0.11389601892395189,0.006532021704039286,0.5818001562729478,0.006532021704039286,
19.0,0.6377609429931594,0.5179173695575787,36.5056,36.5056,0.5412350858791136,0.24969480810885697,0.3011641560442035,0.3193115243811502,0.1142299704197873,0.1921436523443415,0.6908583493457062,2.204797106418674,0.30362235706441854,0.5082562259264819,0.3892940451496143,0.08638082283424435,0.7584182805539553,0.2045002711006687,0.20450951154489178,0.5174503922462463,0.44951496914616346,0.30721798902733555,0.11389601892395189,0.009695523985397159,0.9979787116171792,,0.009695523985397159
20.0,0.6119455895613004,0.5863586873870996,36.5056,36.5056,0.0,0.267022689237806,0.31149284239525,0.32955728048062644,0.1142299704197873,0.2085213213045075,0.7057467724437624,2.3654901217194944,0.33244145211399523,0.5478930079477072,0.3892940451496143,0.08638082283424435,0.7584182805539553,0.2045002711006687,0.20450951154489178,0.5174503922462463,0.44951496914616346,0.30721798902733555,0.11389601892395189,0.0,0.0,,
21.0,0.6044120878313286,0.7424422868774314,38.48704,38.48704,0.5412350858791136,0.27944956994359543,0.3143999027289522,0.34182346949215275,0.1142299704197873,0.20422246056774374,0.7162008720150869,2.489427214748961,0.32469125139442684,0.5538833398573334,0.40227212341592666,0.08813222632178755,0.7737954948243909,0.2045002711006687,0.2045043415340087,0.52475905418396,0.454127328685872,0.31157341121222676,0.11389601892395189,0.009509174323312976,1.0422171567333862,,0.009509174323312976
22.0,0.6404242511294547,0.8898189396821575,40.15616,40.15616,0.4559241291901578,0.24657673014617162,0.29109769750284287,0.3125878666565375,0.1142299704197873,0.21651186393021796,0.6846418981483403,2.167000310480273,0.3419108276319143,0.5528543953332423,0.3984082978179666,0.08757108659007318,0.7688687226947255,0.2045002711006687,0.20465875101966827,0.5256839394569397,0.45342521943709546,0.3109180121455358,0.11389601892395189,0.0062373826313429645,0.5953982407227159,0.0062373826313429645,
23.0,0.6343464734380536,0.7887605721818017,42.1376,42.1376,0.5412350858791136,0.2592817284702586,0.3046481714859524,0.32625811942817495,0.1142299704197873,0.2112094811566056,0.6997648744450208,2.2905551429225253,0.3356632157739125,0.5716902534487086,0.3996066951626231,0.0877231821206371,0.77020411204372,0.2045002711006687,0.20475435816164816,0.5255889892578125,0.4518501065812814,0.3092613499167996,0.11389601892395189,0.007472191843766006,0.8612925326451659,,0.007472191843766006
24.0,0.6106222516980581,0.8914550224786639,42.1376,42.1376,0.0,0.2778732987763995,0.31376207994783045,0.3365122825244001,0.1142299704197873,0.2035686802763754,0.7114062310420194,2.4680332176988755,0.3236923583897098,0.5558391285911217,0.3996066951626231,0.0877231821206371,0.77020411204372,0.2045002711006687,0.20475435816164816,0.5255889892578125,0.4518501065812814,0.3092613499167996,0.11389601892395189,0.0,0.0,,
25.0,0.5994536603319784,0.96615300063005,44.11904,44.11904,0.5412350858791136,0.28844341070082175,0.3215058890335189,0.3451692248217201,0.1142299704197873,0.19981996691270862,0.7231099323298471,2.567628397562984,0.3187646519921606,0.5550720555076771,0.4079367325916139,0.0889236127261637,0.7807438184958667,0.2045002711006687,0.20479579348170981,0.527148425579071,0.45534071530697723,0.312579097266249,0.11389601892395189,0.008207224384314845,0.9910959345288575,,0.008207224384314845
