round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_ece,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6442857488685547,0.3336850401737478,40.27056,40.27056,1.0,0.27248204498773293,0.11544029709825639,2.0081748469752294,0.5574815904823267,0.6644647520424858,0.22845351449451587,0.3543575941595262,0.3047663120841544,0.22742726166554836,0.6582283191028407,0.2151043370663709,1.8886027720599747,0.2671954910760881,0.2746285085305448,0.5543045401573181,0.35466724048218684,0.2273392272003188,0.11389601892395189,0.003232688528203453,0.3824313751174486,0.0036906142901727322,0.002915552764414143,0.002918572722645921
12.0,0.6391427521228086,0.3703832285459608,43.93152,43.93152,1.0,0.27919756954977715,0.11544029709825639,2.0090009662564627,0.5437055116348977,0.6640806357121531,0.22880290110378593,0.34347834696443,0.30616664046414954,0.21954719693246758,0.6580003206635909,0.2146966596701726,1.8850233897422268,0.2692920555429092,0.27431141090500283,0.5432775616645813,0.343307678885426,0.2192267909652155,0.11389601892395189,0.0033383404042736063,0.39870797461117036,0.0038795665755131533,0.0029637319975881846,0.0026959520627471765
13.0,0.640072614528694,0.3727014763726603,47.59248,47.59248,1.0,0.2793231114974418,0.11544029709825639,2.0340033741422263,0.5499406881837239,0.6645421510308359,0.23147070618847534,0.3410505880095505,0.30864659515421167,0.21808001292689708,0.6584700340928447,0.21435524033070463,1.8820257490635308,0.26898697706580615,0.2738448495125053,0.5426832437515259,0.3407370351186318,0.21768918602961254,0.11389601892395189,0.0032419270992697508,0.39052406951213925,0.0037654277765491084,0.002877564301499025,0.0024757915060951165
14.0,0.6408185774425841,0.3791511316047822,51.25344,51.25344,1.0,0.28395037423257463,0.11544029709825639,2.027225917493689,0.5363241493900779,0.6637550588642643,0.2309522362614922,0.3147506629264384,0.30814392576393457,0.20241674462894155,0.6582279677181919,0.213823045331536,1.8773531098949574,0.27105230617039694,0.273720529039678,0.5313449501991272,0.3141521720318892,0.20198856969366524,0.11389601892395189,0.003187335021621306,0.38714394301132415,0.003560856050374421,0.0029179328808217014,0.003225093398387354
15.0,0.6427601885041941,0.415347131255105,54.9144,54.9144,1.0,0.27746274766235524,0.11544029709825639,2.0478761795788345,0.5580182632603383,0.6674102794336085,0.2331770186252537,0.3476197663053298,0.3081330968436498,0.22286639596999663,0.6592219093950668,0.21458441931917682,1.8840379264042086,0.26891464699683876,0.2748590086078956,0.5633700489997864,0.34763876061532745,0.22293757075673065,0.11389601892395189,0.003245921552900685,0.3975746769201578,0.003597986934586357,0.002991501529343774,0.0031374344433216447
16.0,0.6381636197283697,0.39567605235982317,58.57536,58.57536,1.0,0.2781251773731841,0.11544029709825639,2.0778363069482033,0.5443315632998202,0.6677109574049905,0.23656655917604943,0.33560626256992654,0.31089642468682654,0.21460882364473874,0.6591727657420449,0.21463739058835016,1.8845030108704945,0.26976642175677157,0.27529691211401425,0.5149283409118652,0.33557674112281677,0.21484617359158537,0.11389601892395189,0.0033283086645492293,0.4111464429588523,0.0037046599002624214,0.00305695092588764,0.002986146385246171
17.0,0.6427887994623478,0.38744546146687625,62.23632,62.23632,1.0,0.2830343806446371,0.11544029709825639,2.069494138585518,0.534172476187762,0.6687843602369015,0.23544702310755042,0.33316790986396505,0.3114186942098641,0.21266727070326322,0.6595270242152715,0.2149367426159799,1.8871313031537358,0.27315801942667617,0.2771564468440674,0.5173961520195007,0.33333957776958995,0.21297072427044245,0.11389601892395189,0.0032869124111027026,0.4097913070099821,0.0036325067822410386,0.003036349811118037,0.002896758215095847
18.0,0.6390992140785107,0.3942572782516444,65.89728,65.89728,1.0,0.2899145209395657,0.11544029709825639,2.0827555381023175,0.5311776090296322,0.6689143450996203,0.23693261853123787,0.33288893769166605,0.3112384691529606,0.2115431938120601,0.6601707106940253,0.21496151655485157,1.887348816804395,0.2745387453874539,0.2770806658130602,0.5078616738319397,0.3327243277246492,0.21175432387303125,0.11389601892395189,0.0031954400537351152,0.4019195541204681,0.003588485526732016,0.0029102462854347266,0.002560437513109252
19.0,0.6413879520981911,0.39220300705167044,69.55824,69.55824,1.0,0.28209275508961523,0.11544029709825639,2.110855985436796,0.5606664344363556,0.6706293104568842,0.24024242226607212,0.3332042043503741,0.3143099801734982,0.21301974111091243,0.6595839359789217,0.21460026654344103,1.8841770640528632,0.27006087437742116,0.27752176139272916,0.5308630466461182,0.3331862710901173,0.21345101131739871,0.11389601892395189,0.003141437932464312,0.3986422627567663,0.003548492767649494,0.00284128590870617,0.0026217407900176394
20.0,0.6397459483224873,0.38696101453674625,73.2192,73.2192,1.0,0.2886558760915817,0.11544029709825639,2.1243223264582936,0.5447550131100768,0.6702490312086943,0.24178985458437444,0.3176872106567386,0.31473873004699193,0.203605705032559,0.6600715574758114,0.2144965255979998,1.8832662249698002,0.2735533237685318,0.27592095633081243,0.5039137005805969,0.3171094662890328,0.20391812622452213,0.11389601892395189,0.003312857062764861,0.424808162928457,0.0036830617466323385,0.003038862497149227,0.0027000554458855887
