round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auprc_lift,fed_f1_best,fed_f1,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6424363796329405,0.2778676766996477,3.16197,21.90336,0.0,0.6897998187497569,0.501064562663616,0.25024546705352163,0.19814373159945023,2.198539540988185,0.3155656170912253,0.2955858567064545,0.11524420946626383,0.31333326077987206,0.5763923152378103,0.13560199284176475,1.1905771081630683,0.17272727272727273,0.22876423450021086,0.49515801668167114,0.38023196615800325,0.24522807197628824,0.11389601892395189,0.0,0.0,,
12.0,0.6285265079065121,0.3436912286291828,3.16197,21.90336,0.0,0.6981309161750914,0.5093415257448756,0.2604521025079916,0.2137352794208239,2.298784786593244,0.32053790675194743,0.2995345524345914,0.11524420946626383,0.33391574636821086,0.5763923152378103,0.13560199284176475,1.1905771081630683,0.17272727272727273,0.22876423450021086,0.49515801668167114,0.38023196615800325,0.24522807197628824,0.11389601892395189,0.0,0.0,,
13.0,0.6582770598456341,0.16064324358642113,3.688965,25.55392,0.9971592150692714,0.6707209072505548,0.5048179302086974,0.23274758974482201,0.21444062208766201,2.032184704250827,0.2975693406234381,0.2815239480850055,0.11524420946626383,0.34198664273777823,0.5659184424182714,0.13313987253757087,1.1689598442107803,0.16077907198777927,0.2251826385904598,0.4906269311904907,0.3783650152204117,0.2438024156909343,0.11389601892395189,0.015200426675440241,0.6102139287977479,0.010291266769741785,0.02052630281616019
14.0,0.6538557450291912,0.1784877617720443,3.688965,25.55392,0.0,0.6794966979500805,0.5163847366544865,0.24104750977764974,0.2098213738072298,2.1046395686618697,0.3033632354502445,0.287689163958662,0.11524420946626383,0.33370138257310494,0.5659184424182714,0.13313987253757087,1.1689598442107803,0.16077907198777927,0.2251826385904598,0.4906269311904907,0.3783650152204117,0.2438024156909343,0.11389601892395189,0.0,0.0,,
15.0,0.6395441853823093,0.2672322142053511,3.688965,25.55392,0.0,0.6888429143538501,0.5475680650796174,0.2518417530321585,0.22271101302788598,2.2117162284499607,0.3165318306005698,0.2887895855326232,0.11524420946626383,0.3491316797504387,0.5659184424182714,0.13313987253757087,1.1689598442107803,0.16077907198777927,0.2251826385904598,0.4906269311904907,0.3783650152204117,0.2438024156909343,0.11389601892395189,0.0,0.0,,
16.0,0.6214463305786392,0.3248452906114968,3.688965,25.55392,0.0,0.6997238796486223,0.53626076622762,0.2631295990254338,0.2146097417017437,2.316075982314797,0.32633153891059385,0.3022176899217178,0.11524420946626383,0.3398288942356233,0.5659184424182714,0.13313987253757087,1.1689598442107803,0.16077907198777927,0.2251826385904598,0.4906269311904907,0.3783650152204117,0.2438024156909343,0.11389601892395189,0.0,0.0,,
17.0,0.6529106768289596,0.208354256929303,4.21596,29.20448,0.9971592150692714,0.6714685444327048,0.5084429515820196,0.23272040540630431,0.21547814520768713,2.0320006522099727,0.29908076008093837,0.281728582319452,0.11524420946626383,0.34351932110446853,0.5997621427114617,0.1417916328859979,1.2449217648307078,0.18922155688622755,0.24075829383886257,0.49290597438812256,0.3784071197821874,0.24360613418003974,0.11389601892395189,0.014249924445087114,0.6314370231702924,0.009849673242044039,0.019100939424818497
18.0,0.6508391830255122,0.21139530811575563,4.21596,29.20448,0.0,0.6812896514797786,0.5233413553013573,0.24064510423723784,0.20375987467070017,2.104463219390745,0.3060945480725161,0.2894506781260474,0.11524420946626383,0.3157969262199579,0.5997621427114617,0.1417916328859979,1.2449217648307078,0.18922155688622755,0.24075829383886257,0.49290597438812256,0.3784071197821874,0.24360613418003974,0.11389601892395189,0.0,0.0,,
19.0,0.6371430104992929,0.2739730025722856,4.21596,29.20448,0.0,0.6901973783969195,0.529324330387624,0.25384900063490057,0.21337241314528968,2.234573233447622,0.3171351613612227,0.29530508353452,0.11524420946626383,0.3390631257124482,0.5997621427114617,0.1417916328859979,1.2449217648307078,0.18922155688622755,0.24075829383886257,0.49290597438812256,0.3784071197821874,0.24360613418003974,0.11389601892395189,0.0,0.0,,
20.0,0.6221073841400182,0.36236141388116894,4.21596,29.20448,0.0,0.7009436316073627,0.5468210785950779,0.263719205627053,0.2182150999137482,2.325298268823383,0.32347367852082015,0.2979870243362636,0.11524420946626383,0.345450003568809,0.5997621427114617,0.1417916328859979,1.2449217648307078,0.18922155688622755,0.24075829383886257,0.49290597438812256,0.3784071197821874,0.24360613418003974,0.11389601892395189,0.0,0.0,,
21.0,0.6501136057563677,0.22053083581746197,4.742955,32.85504,0.9971592150692714,0.6719856904133112,0.5132959792231024,0.23324026288542493,0.2152187524291652,2.036073542852779,0.29883428975658005,0.28078601362552275,0.11524420946626383,0.34306157388314534,0.5959773033627661,0.1394298528538863,1.224185482259773,0.2156257421040133,0.24006475111290976,0.4953783452510834,0.3810292394044589,0.24571457379278874,0.11389601892395189,0.012942253250349287,0.6273095502983779,0.008935136904649208,0.017514412727400338
22.0,0.6487520198949009,0.2274096189083143,4.742955,32.85504,0.0,0.6827797997971529,0.5614758197458279,0.24744674807509914,0.21605636215207263,2.1700708314449124,0.3097648852819845,0.28667915284046613,0.11524420946626383,0.34053951109293373,0.5959773033627661,0.1394298528538863,1.224185482259773,0.2156257421040133,0.24006475111290976,0.4953783452510834,0.3810292394044589,0.24571457379278874,0.11389601892395189,0.0,0.0,,
23.0,0.637905979100538,0.36668666173255626,4.742955,32.85504,0.0,0.6913847957299011,0.5374174008271605,0.25541887049425793,0.20971221516171482,2.2494550414759766,0.3178238488443147,0.29327077117413364,0.11524420946626383,0.3318291440979397,0.5959773033627661,0.1394298528538863,1.224185482259773,0.2156257421040133,0.24006475111290976,0.4953783452510834,0.3810292394044589,0.24571457379278874,0.11389601892395189,0.0,0.0,,
24.0,0.626473091269041,0.385209523024694,4.742955,32.85504,0.0,0.70058809284931,0.5538976617450081,0.26586333742764956,0.20767945149412695,2.3422968180650185,0.3250359609860152,0.300667938266056,0.11524420946626383,0.3272598400090194,0.5959773033627661,0.1394298528538863,1.224185482259773,0.2156257421040133,0.24006475111290976,0.4953783452510834,0.3810292394044589,0.24571457379278874,0.11389601892395189,0.0,0.0,,
25.0,0.6496846439558277,0.23037323410050417,5.26995,36.5056,0.9971592150692714,0.6723267577367834,0.5126869979915691,0.2342006099996304,0.21252558487545048,2.0446901048324144,0.30007971791821203,0.28099814948481794,0.11524420946626383,0.33854594035214797,0.5983549601381725,0.13921463297235268,1.2222958650144389,0.2124550898203593,0.2410196987253766,0.49397721886634827,0.37897589674497073,0.24400911036177483,0.11389601892395189,0.011203313621149865,0.5865737296408042,0.007041589871318031,0.01609543106062859
26.0,0.6446426544471981,0.2722989309936592,5.26995,36.5056,0.0,0.6830450642279268,0.5353852781614388,0.24570488112053773,0.2233522917812063,2.152136472217537,0.3092688483959132,0.2937805769742135,0.11524420946626383,0.3501403593038061,0.5983549601381725,0.13921463297235268,1.2222958650144389,0.2124550898203593,0.2410196987253766,0.49397721886634827,0.37897589674497073,0.24400911036177483,0.11389601892395189,0.0,0.0,,
27.0,0.6398974047228109,0.3483794920634183,5.26995,36.5056,0.0,0.692611044975743,0.5260649603985678,0.25934343492294937,0.22043507793258904,2.285972912253073,0.3166728282188307,0.29909710433362957,0.11524420946626383,0.34915481634439904,0.5983549601381725,0.13921463297235268,1.2222958650144389,0.2124550898203593,0.2410196987253766,0.49397721886634827,0.37897589674497073,0.24400911036177483,0.11389601892395189,0.0,0.0,,
28.0,0.6250124713323851,0.36424130274279254,5.26995,36.5056,0.0,0.7010110818070167,0.5538666973758981,0.26381802825080597,0.2086511010228412,2.3217401757180776,0.32360519282619793,0.30309560827661686,0.11524420946626383,0.33076275275255307,0.5983549601381725,0.13921463297235268,1.2222958650144389,0.2124550898203593,0.2410196987253766,0.49397721886634827,0.37897589674497073,0.24400911036177483,0.11389601892395189,0.0,0.0,,
29.0,0.6497872063694228,0.27594170581754995,5.796945,40.15616,0.9971592150692714,0.6725545638257729,0.5165913699069111,0.23443371546014918,0.21024413052895524,2.0486256584582256,0.3000192974113989,0.27961910358193937,0.11524420946626383,0.334199424910904,0.6074196299226919,0.14266728987381813,1.2526099790114416,0.22091954022988505,0.24632352941176472,0.4899498522281647,0.37627082127012595,0.24167676155205614,0.11389601892395189,0.00949806120741736,0.5418026266270317,0.005627510028179184,0.014147174809362072
30.0,0.6426639508675852,0.283514509009494,5.796945,40.15616,0.0,0.6827680852803255,0.5221723527342742,0.24689944634721278,0.20709447124364197,2.1663970847743648,0.30995087086463324,0.29129055358649897,0.11524420946626383,0.3287037895773871,0.6074196299226919,0.14266728987381813,1.2526099790114416,0.22091954022988505,0.24632352941176472,0.4899498522281647,0.37627082127012595,0.24167676155205614,0.11389601892395189,0.0,0.0,,
31.0,0.6335906544593591,0.34773807497639914,5.796945,40.15616,0.0,0.6919242804378257,0.5258037553141635,0.25845267672568517,0.19924456791592363,2.268033792326346,0.32095916124884816,0.29964817009457617,0.11524420946626383,0.3136029775047624,0.6074196299226919,0.14266728987381813,1.2526099790114416,0.22091954022988505,0.24632352941176472,0.4899498522281647,0.37627082127012595,0.24167676155205614,0.11389601892395189,0.0,0.0,,
32.0,0.6282180024099608,0.4326414492542844,5.796945,40.15616,0.0,0.7006524974468467,0.5508164003648967,0.2663500638468106,0.20930441148744322,2.348177996025804,0.3258003409660874,0.29951537396227174,0.11524420946626383,0.3320785153280636,0.6074196299226919,0.14266728987381813,1.2526099790114416,0.22091954022988505,0.24632352941176472,0.4899498522281647,0.37627082127012595,0.24167676155205614,0.11389601892395189,0.0,0.0,,
33.0,0.6438405474355235,0.2794255947563535,6.32394,43.80672,0.9971592150692714,0.6732569448959692,0.5216480220976584,0.2354207686434808,0.21256132797718247,2.057323526262331,0.29927104558529377,0.28118189165612517,0.11524420946626383,0.33731018388146783,0.589054373210354,0.13786714490538085,1.2104650031484807,0.20401546327472253,0.23641110847377167,0.48862239718437195,0.3748919239920275,0.2407991956059541,0.11389601892395189,0.007988951588856878,0.4900048456474906,0.00520860435798858,0.01144891175433202
34.0,0.6439184104171282,0.3167966370154259,6.32394,43.80672,0.0,0.6838121400424824,0.49756070386434553,0.24517735417650482,0.2073962218040998,2.1516051654248796,0.3129949869446054,0.2856324905203742,0.11524420946626383,0.32829880067602196,0.589054373210354,0.13786714490538085,1.2104650031484807,0.20401546327472253,0.23641110847377167,0.48862239718437195,0.3748919239920275,0.2407991956059541,0.11389601892395189,0.0,0.0,,
35.0,0.6335370090495502,0.36284376383003675,6.32394,43.80672,0.0,0.6919181728379571,0.5720573190378337,0.25460342643300726,0.2069676398392297,2.2324455697280836,0.3174923961899832,0.29652231526160394,0.11524420946626383,0.32616294963587333,0.589054373210354,0.13786714490538085,1.2104650031484807,0.20401546327472253,0.23641110847377167,0.48862239718437195,0.3748919239920275,0.2407991956059541,0.11389601892395189,0.0,0.0,,
36.0,0.6233124494476731,0.40396833752959377,6.32394,43.80672,0.0,0.7007622261077138,0.567270573149815,0.2681702968347385,0.22496730316628805,2.3649038687189625,0.32681304112190157,0.2959412165235584,0.11524420946626383,0.3536890785488623,0.589054373210354,0.13786714490538085,1.2104650031484807,0.20401546327472253,0.23641110847377167,0.48862239718437195,0.3748919239920275,0.2407991956059541,0.11389601892395189,0.0,0.0,,
37.0,0.6475112642216587,0.31181360789593937,6.850935,47.45728,0.9971592150692714,0.6737334586299326,0.512654969418067,0.2363952950261513,0.211970399963845,2.0684641848978176,0.2995736032361877,0.2819932025922715,0.11524420946626383,0.33695615301976006,0.5800188432527797,0.13654422089849175,1.1988498122103988,0.20173127587504705,0.2320681642137878,0.4881887137889862,0.3756212840275133,0.2414764506838744,0.11389601892395189,0.009381413349157087,0.6171154613257386,0.00594000694939115,0.013777674602430488
38.0,0.6441623022238181,0.31632720034972334,6.850935,47.45728,0.0,0.6842249223033624,0.5278034393712203,0.24725679714475035,0.2135450885353915,2.16883190452102,0.31112990800270346,0.29013751096872187,0.11524420946626383,0.33809507870202565,0.5800188432527797,0.13654422089849175,1.1988498122103988,0.20173127587504705,0.2320681642137878,0.4881887137889862,0.3756212840275133,0.2414764506838744,0.11389601892395189,0.0,0.0,,
