round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_prevalence,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6420905390439386,0.780434229997172,40.27056,40.27056,1.0,0.06555744619937251,0.6801814573875252,0.02128062337951033,0.21382600848100375,0.09941363735765416,2.181265804480853,0.11429290704260812,0.24837862613054731,0.3068423939691321,0.6605587397418899,0.2253280729408973,1.978366540549133,0.01912212081703607,0.2802566345873433,0.20571954548358917,0.06134584288830588,0.1002676943528492,0.11389601892395189,0.007399520175827615,1.4140080592478625,0.00579291885751415,0.008959189417380498,0.006427267619062349
12.0,0.6400720293159996,0.8469777566571602,43.93152,43.93152,1.0,0.05586319851234019,0.6816428963108546,0.050685829920691504,0.20884504936416515,0.09827965958761217,2.1932270618548473,0.11429290704260812,0.2495502018508829,0.31094180823389933,0.6617982992882603,0.22651344243156893,1.9887740113446057,0.04882154882154882,0.2841409691629956,0.20347101986408234,0.05156557688255097,0.09937878650954327,0.11389601892395189,0.007832241063924827,1.590919844864402,0.005605351374363262,0.010058017800355014,0.005192693190219138
13.0,0.6491205429925067,1.0663980409529548,47.59248,47.59248,1.0,0.06582009607352882,0.6828009154340051,0.07336471546795063,0.20476220909029433,0.09950686619358849,2.20586255762634,0.11429290704260812,0.2509536642753723,0.30861963918965174,0.6594731745178463,0.22621068790047005,1.9861158452914005,0.08022690437601297,0.28349573690621194,0.21115447580814362,0.062393981452572495,0.1009375403104131,0.11389601892395189,0.007029111529687252,1.514467971661361,0.005123645529709595,0.00896434287005032,0.005705499085510241
14.0,0.6323255095761614,1.3651058125097186,51.25344,51.25344,1.0,0.0614202683421662,0.6830473030522353,0.050572500912028924,0.21316469810676592,0.09853751220926636,2.22616760870412,0.11429290704260812,0.25362961857781474,0.3106151865713552,0.6593729922445893,0.2267423529933274,1.9907838319153432,0.05771643663739021,0.2813983599482089,0.19889451563358307,0.05681416332206855,0.09998238136534938,0.11389601892395189,0.007040834933390764,1.6020973647828214,0.004913653939835599,0.00924677363313056,0.00530161275831474
15.0,0.6428386228334041,1.1846024750284578,54.9144,54.9144,1.0,0.05437751526555903,0.6854352837106805,0.052916085570768025,0.2084903621401239,0.09753467894855765,2.2606513166854634,0.11429290704260812,0.25746858827078845,0.3143829217442824,0.6591541047073044,0.22521483275142845,1.9773722986911761,0.059414225941422594,0.28297074268567146,0.19446755945682526,0.049333865203312455,0.0991462560650099,0.11389601892395189,0.006506922075919135,1.5589751966763288,0.0045364501945178,0.008591027443195547,0.004709465323914711
16.0,0.6491508049293448,1.2527729392001943,58.57536,58.57536,1.0,0.06818123406167487,0.6879093647149326,0.06905624449714308,0.2270043448651893,0.09903245370950847,2.2890048461201182,0.11429290704260812,0.26043021708644726,0.31801052123150425,0.6576586869388168,0.22547454667976918,1.9796525709148625,0.07468198604842019,0.2805712585540018,0.20837947726249695,0.06415572273152405,0.10091821813533837,0.11389601892395189,0.006377135630588775,1.608185755671002,0.0042663171733773285,0.008660570644693855,0.003735904422302644
17.0,0.6442939568098752,1.27132063903345,62.23632,62.23632,1.0,0.062403121538013855,0.6896213255160639,0.101462247864744,0.22343531249922063,0.09819722049813795,2.317606454865268,0.11429290704260812,0.2632487852448549,0.3216321395856451,0.6589965212417792,0.2265824807222705,1.9893801632659267,0.10007880220646179,0.28147748719331356,0.1932832896709442,0.05750681032617475,0.10041519547565081,0.11389601892395189,0.005975877058968994,1.5859569127496798,0.003892162057909251,0.008234274147706921,0.0053968897016834
18.0,0.6407158742320809,1.6550289388953126,65.89728,65.89728,1.0,0.06323668085011935,0.6883786850177424,0.09441660970720755,0.22029695356441376,0.09814374327615587,2.315361132788219,0.11429290704260812,0.26342815975719147,0.31913237237150466,0.659197375216911,0.22320808859834007,1.9597532091738483,0.08862275449101796,0.2820112429731418,0.2086927890777588,0.05763910332779678,0.10045305151780902,0.11389601892395189,0.006079038356400784,1.6957964544999413,0.003871160056197251,0.00850569260913475,0.005409963344401794
19.0,0.6392252517325443,1.3622232599444195,69.55824,69.55824,1.0,0.04631051436645502,0.691368390871769,0.06997319896835517,0.19804299308179468,0.0961159272317062,2.353962362389067,0.11429290704260812,0.26805685919378447,0.32215374656177337,0.660777577081368,0.22410752410835102,1.9676501973083633,0.06587072869493618,0.28223201174743023,0.18411247432231903,0.038679412636388244,0.09839819841435024,0.11389601892395189,0.005423950676257738,1.5869186848867685,0.0035567273142904413,0.007507942195336343,0.0044485680102324
20.0,0.6557591680075634,1.765351387296128,73.2192,73.2192,1.0,0.060285413911193006,0.6956515836356688,0.08929037601499937,0.1990067371732226,0.09717428911098747,2.3990953237795942,0.11429290704260812,0.27309789671362544,0.3265424343365316,0.6562765279723014,0.22178956518102388,1.9472986613264531,0.08420208500400962,0.2775619958171497,0.19446325302124023,0.05468860378374433,0.09993462318986483,0.11389601892395189,0.005154417724363373,1.5815353612269973,0.0033387586806283565,0.007211987941632315,0.00326828840317083
