round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_f1,fed_f1_best,fed_auprc,fed_auprc_lift,fed_brier,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.17816913132407738,6.525966175240735,104.26176,104.26176,0.035646615445478584,0.9285210233615343,0.017598415019808838,0.9762145954050002,0.9793407210439292,0.9968109755569698,1.0418673710084732,0.03329028872061914,0.9580209895052474,0.35994971969138384,0.26361995405316707,0.9427585698303074,0.9748483406445417,0.9832657200811359,0.9832657200811359,0.5116139054298401,0.4551511454463302,0.23899984775006558,0.9670822942643391,0.00019438247394577954,0.01697810752375517,0.00019438247394577954,
12.0,0.13203383936360277,3.801406352712336,104.26176,104.26176,0.0,0.8934582691238845,0.022551595807254174,0.9730239612544387,0.9790910996114845,0.9936583929905386,1.037145569463509,0.03767138839213111,0.9580209895052474,0.1568515669370162,0.26361995405316707,0.9427585698303074,0.9748483406445417,0.9832657200811359,0.9832657200811359,0.5116139054298401,0.4551511454463302,0.23899984775006558,0.9670822942643391,0.0,0.0,,
13.0,0.22105822931373784,7.292474243067081,120.91968,120.91968,0.9634580548441501,0.8835500396788719,0.33317625481283464,0.8788898233809924,0.9793407210439292,0.9942326607673182,1.0391799425835229,0.16397267265201276,0.9580209895052474,0.09432146392170636,0.1748284807851595,0.9331104137253824,0.9648717790197998,0.9832657200811359,0.9832657200811359,0.5108642578125,0.4554524236189159,0.23928016815994094,0.9670822942643391,0.0011112162904003114,0.5844827508883839,,0.0011112162904003114
14.0,0.18773345557205437,5.3392246225408275,120.91968,120.91968,0.0,0.889569321922111,0.4277000779752387,0.6932116763704037,0.9793407210439292,0.9947395805044396,1.0397083150367923,0.32188532834350025,0.9580209895052474,0.011728477278917,0.1748284807851595,0.9331104137253824,0.9648717790197998,0.9832657200811359,0.9832657200811359,0.5108642578125,0.4554524236189159,0.23928016815994094,0.9670822942643391,0.0,0.0,,
15.0,0.16445714449952062,4.129447626810794,121.536,121.536,0.035646615445478584,0.8966882807290191,0.0527352511078521,0.9697184246031794,0.9793407210439292,0.9951592526759655,1.04014574762937,0.04181262704102904,0.9580209895052474,0.2477538213022109,0.18519777454795505,0.9340460228660455,0.9658392345778346,0.9832657200811359,0.9832657200811359,0.510828971862793,0.45535196978552384,0.2391911924974142,0.9670822942643391,0.00013738623091026948,0.012031704674882349,0.00013738623091026948,
16.0,0.10528253967067314,3.322636741323161,121.536,121.536,0.0,0.9078008017934607,0.24593103808564493,0.8790952349912,0.9793407210439292,0.9956595924918161,1.0406672617007504,0.13264427365341772,0.9580209895052474,0.031886933555734395,0.18519777454795505,0.9340460228660455,0.9658392345778346,0.9832657200811359,0.9832657200811359,0.510828971862793,0.45535196978552384,0.2391911924974142,0.9670822942643391,0.0,0.0,,
17.0,0.16877395170173679,5.297503454659835,138.19392,138.19392,0.9634580548441501,0.8644503940993626,0.22024216671576208,0.9124530933525681,0.9793407210439292,0.9933763381026159,1.038287380558402,0.11672413150152058,0.9580209895052474,0.05528306586854998,0.26569068717083155,0.9474300391100798,0.9796788181617897,0.9832657200811359,0.9832657200811359,0.5122368335723877,0.4544916147305781,0.2384014105373293,0.9670822942643391,0.0006222769332147296,0.3292667088191763,,0.0006222769332147296
18.0,0.13848448700865107,6.668828804035473,138.19392,138.19392,0.0,0.8602831987001971,0.031493876514763715,0.9723841782812298,0.9793407210439292,0.993332227746769,1.038241403463358,0.040088403810587016,0.9580209895052474,0.3445412632764905,0.26569068717083155,0.9474300391100798,0.9796788181617897,0.9832657200811359,0.9832657200811359,0.5122368335723877,0.4544916147305781,0.2384014105373293,0.9670822942643391,0.0,0.0,,
19.0,0.1393089916442057,20.7361213076404,138.81024,138.81024,0.035646615445478584,0.935061205029669,0.07616036373010461,0.9620189905047477,0.9800292457777277,0.9971063257072738,1.042175220303069,0.048709738049982715,0.9580209895052474,0.1757844842221962,0.25450091424820664,0.9472787745752227,0.9795224048598874,0.9832657200811359,0.9832657200811359,0.5121574401855469,0.45455167947564634,0.2384572776276152,0.9670822942643391,0.00016817495844078065,0.014761223610548768,0.00016817495844078065,
20.0,0.10233096520988248,4.395529558002012,138.81024,138.81024,0.0,0.8825661185429577,0.1748273558188593,0.89644921129179,0.9793407210439292,0.9945945932837742,1.0395571919933084,0.1264978232570819,0.9580209895052474,0.051941847185725754,0.25450091424820664,0.9472787745752227,0.9795224048598874,0.9832657200811359,0.9832657200811359,0.5121574401855469,0.45455167947564634,0.2384572776276152,0.9670822942643391,0.0,0.0,,
21.0,0.1517442632714471,5.835418816348775,155.46816,155.46816,0.9634580548441501,0.9209390428436077,0.25100181267402694,0.9162998601879498,0.9793407210439292,0.9964113894076173,1.0414508744734898,0.11694972415099943,0.9580209895052474,0.10098607122138524,0.2937823307859409,0.9537225244589209,0.9861854881589152,0.9832657200811359,0.9832657200811359,0.5127759575843811,0.4535574190337164,0.23755848234110788,0.9670822942643391,0.0018129732159346396,0.9634210624873845,,0.0018129732159346396
22.0,0.14228044674946158,3.072743368732256,155.46816,155.46816,0.0,0.9025918075445035,0.3816154655487999,0.7617322866613115,0.9793407210439292,0.995354622649362,1.040349385611045,0.27460730880075357,0.9580209895052474,0.010407069171576397,0.2937823307859409,0.9537225244589209,0.9861854881589152,0.9832657200811359,0.9832657200811359,0.5127759575843811,0.4535574190337164,0.23755848234110788,0.9670822942643391,0.0,0.0,,
23.0,0.12826524104170134,3.0918376870950413,156.08448,156.08448,0.035646615445478584,0.9220387194072763,0.03587375913580497,0.9712371691992687,0.9793407210439292,0.9964685542307985,1.0415104584976522,0.03872694852812431,0.9580209895052474,0.08650286262226606,0.3230968790535578,0.9526035363212112,0.9850284117194578,0.9832657200811359,0.9832657200811359,0.5133118629455566,0.4531782758503483,0.2372089381464547,0.9670822942643391,0.00011450588025224866,0.010070527809148189,0.00011450588025224866,
24.0,0.12908717873577896,4.178164790207903,156.08448,156.08448,0.0,0.9220387194072766,0.2915969179465675,0.8218154032459392,0.9793407210439292,0.9964287991064353,1.041469020946396,0.1961104799959988,0.9580209895052474,0.018666004055532915,0.3230968790535578,0.9526035363212112,0.9850284117194578,0.9832657200811359,0.9832657200811359,0.5133118629455566,0.4531782758503483,0.2372089381464547,0.9670822942643391,0.0,0.0,,
25.0,0.14881890758438904,4.876812035963152,172.7424,172.7424,0.9634580548441501,0.9118522417648717,0.33460170983419246,0.8338557993730408,0.9807825462750507,0.9958984516140262,1.0409162292811105,0.18848208286823698,0.9580209895052474,0.09504852191485029,0.4815665682091675,0.9673593802462856,1.0002865174800426,0.9832657200811359,0.9832657200811359,0.5134273171424866,0.4531761839205487,0.23720332495057084,0.9670822942643391,0.0010028582535263775,0.537622950243076,,0.0010028582535263775
26.0,0.14230944231126116,6.52973317591707,172.7424,172.7424,0.0,0.9165403365889329,0.13968223494210888,0.9183788977994225,0.9793407210439292,0.9962151563830831,1.0412463369165694,0.09878218658965922,0.9580209895052474,0.0500831398023837,0.4815665682091675,0.9673593802462856,1.0002865174800426,0.9832657200811359,0.9832657200811359,0.5134273171424866,0.4531761839205487,0.23720332495057084,0.9670822942643391,0.0,0.0,,
27.0,0.13588644630697172,5.609288805628809,173.35872,173.35872,0.035646615445478584,0.9232541513986997,0.24039007387105854,0.8654220276929737,0.9793407210439292,0.9965557144912244,1.0416013073584407,0.16828953649064718,0.9580209895052474,0.025348757878169304,0.41039586165939956,0.9642517098362934,0.9970730676749707,0.9832657200811359,0.9832657200811359,0.5133295655250549,0.45322103521175805,0.2372455296061777,0.9670822942643391,0.00013872079870444582,0.012218918392136402,0.00013872079870444582,
