round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_brier,fed_f1_best,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6439903856663928,0.41230493956720854,24.82176,24.82176,0.5412350858791136,0.28663008494535713,0.20468854770927855,0.30254825323251006,0.6726968466906713,0.2384312761185188,0.5085121421224293,2.1842624682776965,0.11195720578980486,0.3252807445631902,0.3935939265472558,0.08685685437141519,0.7625978080007284,0.11941618752764263,0.20453723788864786,0.4703056216239929,0.391680712425461,0.2575422465600564,0.11389601892395189,0.00663644205545265,0.6561006563715637,,0.00663644205545265
12.0,0.631299405726152,0.5146306208541036,26.8032,26.8032,0.5412350858791136,0.29473491475421604,0.21453433170072458,0.31625638700180075,0.687443003492332,0.25306853451659733,0.537109854639214,2.3314510331524936,0.11195720578980486,0.34229015428795606,0.3997278726686444,0.08764767793945738,0.7695411900040118,0.11911711054359722,0.20451875282422052,0.46894896030426025,0.39057509015614317,0.2566309356748305,0.11389601892395189,0.006907819516030504,0.7052369588054717,,0.006907819516030504
13.0,0.6092345026566701,0.613894405138611,28.78464,28.78464,0.5412350858791136,0.29909322829454027,0.20984695099160522,0.3221489976688113,0.6942632646813419,0.2596497758638197,0.5838288691900598,2.4146658267946473,0.11195720578980486,0.3355656397258751,0.41409855104532156,0.08997428711767742,0.7899686746536159,0.13073065902578795,0.20452799493876814,0.4704819917678833,0.39114310070921054,0.2567148607610993,0.11389601892395189,0.00666292434357617,0.7101751937298104,,0.00666292434357617
14.0,0.5972189956721652,0.6188475672713676,30.76608,30.76608,0.5412350858791136,0.3033662913875083,0.21008827705112604,0.33157975316131816,0.706795714569716,0.27156509784044564,0.5724828897818893,2.526637489519124,0.11195720578980486,0.3374379382670966,0.42050995299527555,0.09122737279753601,0.8009706894009028,0.13318514402148746,0.20460404323639816,0.4714154005050659,0.38950993586476906,0.2551973264559044,0.11389601892395189,0.007859132244055593,0.8733226284384727,,0.007859132244055593
15.0,0.6403969775754582,0.6109892243623344,32.4352,32.4352,0.4559241291901578,0.2857519058730122,0.2077494489730195,0.29875624214026986,0.6677557581502399,0.232735548290804,0.5267987422049608,2.1109102324445526,0.11195720578980486,0.3293980196884982,0.4069233392645389,0.08888192746071519,0.7803778244440787,0.1339858251771853,0.20454236366109071,0.4734053313732147,0.3935187138064685,0.2587412388204037,0.11389601892395189,0.010701267267829384,0.5828086857218295,0.010701267267829384,
16.0,0.6384823782999708,0.5652690979348434,34.41664,34.41664,0.5412350858791136,0.2861374403797646,0.22186068180326748,0.30176776267647903,0.6789633985308149,0.24317883961839742,0.5400169754699764,2.2207442747532062,0.11195720578980486,0.35311827430838,0.39786203273308635,0.0872807630003187,0.7663196995374866,0.12365452510117972,0.20455572629485672,0.46940740942955017,0.39311795574506747,0.25865246109214185,0.11389601892395189,0.005645994734643083,0.6488779122009873,,0.005645994734643083
17.0,0.6228198508244208,0.6065039317197651,36.39808,36.39808,0.5412350858791136,0.29445941920137925,0.21452303652835272,0.3205707751885587,0.6936496653681751,0.2595764251725467,0.5426700324213977,2.395376011524095,0.11195720578980486,0.34307321419316944,0.3945356123070767,0.08682614317231141,0.7623281655725388,0.1273031825795645,0.2045649717514124,0.47054800391197205,0.39561844320852585,0.2608583467929933,0.11389601892395189,0.006747728938782239,0.7977752108126879,,0.006747728938782239
18.0,0.6054083400594671,0.6742710192112101,38.37952,38.37952,0.5412350858791136,0.30723796638939754,0.2070896192772937,0.3311385938525199,0.7039196171824291,0.27196729990960944,0.5675360809751394,2.532798447993025,0.11195720578980486,0.33192138948001304,0.4015468905997529,0.08803738837017415,0.7729628234763545,0.13754465735628452,0.20451875282422052,0.47073599696159363,0.3977267714933058,0.2623642784437726,0.11389601892395189,0.006245889830328771,0.7681689979508519,,0.006245889830328771
19.0,0.5889030319406079,0.7922694044423494,40.36096,40.36096,0.5412350858791136,0.3142483384921267,0.19193771239902335,0.3344558508928507,0.7109445702534956,0.2847464279037231,0.5286488232483572,2.673099977513448,0.11195720578980486,0.3066797908038004,0.41025206878966913,0.08938214742543513,0.784769724788321,0.14338829615260265,0.20450951154489178,0.47218605875968933,0.398314985264061,0.262740979773763,0.11389601892395189,0.007379737396246422,0.9484566701576114,,0.007379737396246422
20.0,0.6466433035344046,0.850165677364901,44.01152,44.01152,0.9971592150692714,0.2812493750343873,0.22662698665075898,0.2974245340345307,0.6689613148272352,0.23452970075021398,0.5229623639542326,2.1267030342196964,0.11195720578980486,0.3601259704226776,0.431175355547302,0.09403758391776787,0.8256441691834422,0.13128861429832303,0.20454648167397296,0.4733758568763733,0.38524345274306104,0.25083222309875,0.11389601892395189,0.007942845520233452,1.5293549841735512,0.010598012851627328,0.006769046038907934
21.0,0.6395115466495639,0.5616606256974651,45.99296,45.99296,0.5412350858791136,0.29266778682245137,0.21050931081856164,0.31359798554714235,0.6835639136457298,0.24754635974636535,0.526613602702388,2.2747456750516224,0.11195720578980486,0.33570983270997884,0.4364961975914189,0.09537482539989722,0.8373850666683862,0.13248782697316272,0.20450951154489178,0.471327006816864,0.38433982313618253,0.24998533017770228,0.11389601892395189,0.005233695891447258,0.718293963582255,,0.005233695891447258
22.0,0.6175771708438115,0.7277854748466482,47.9744,47.9744,0.5412350858791136,0.2930462331178858,0.211919347065209,0.3232544806142369,0.6942698129443972,0.26231001896640826,0.5756817410020725,2.423659082170644,0.11195720578980486,0.3366081599263349,0.42852610353729387,0.09308884188117197,0.8173142727958488,0.13614163614163613,0.20451875282422052,0.47149917483329773,0.38777025191483555,0.2530849594253977,0.11389601892395189,0.005464693529090912,0.7748362926067784,,0.005464693529090912
