round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_auroc,fed_auprc,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_ece,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6273480576920538,0.34893833956770515,3.688965,25.55392,0.0,0.31225504171895596,0.11341893252769385,0.6858992469323478,0.24995282951677356,2.2492468922768514,0.20636279077099842,0.5358996641543607,0.3253964929741104,0.289134137601074,0.6683940777832086,0.2223616169145234,1.9523212401567236,0.16363636363636364,0.2828042328042328,0.4849860668182373,0.3692243899236034,0.23635668281707553,0.11389601892395189,0.0,0.0,,
17.0,0.6537011642173753,0.19935822258749863,4.21596,29.20448,0.9971592150692714,0.2858387034813531,0.11341893252769385,0.6553265282436054,0.2169388377144191,1.9412211560727286,0.21652969446294262,0.5047657073410707,0.3454853062792742,0.2683636716942903,0.6688331454513081,0.22328846260110569,1.9604588879458102,0.17934606668824862,0.28372302158273377,0.48304563760757446,0.36756911475733167,0.23492294980567993,0.11389601892395189,0.012690524682781897,0.570819876564201,0.008977368582914648,0.01708342845646975
18.0,0.6497551527494227,0.21804491614232177,4.21596,29.20448,0.0,0.30468585839257645,0.11341893252769385,0.6679446551121474,0.2292409165736645,2.0541410430161657,0.2147405326785689,0.5416942889776836,0.33938259111242763,0.2820921140589771,0.6688331454513081,0.22328846260110569,1.9604588879458102,0.17934606668824862,0.28372302158273377,0.48304563760757446,0.36756911475733167,0.23492294980567993,0.11389601892395189,0.0,0.0,,
19.0,0.6382534342158925,0.30876819183113274,4.21596,29.20448,0.0,0.30802700413681405,0.11341893252769385,0.6786995319286336,0.24191543547747135,2.168032071139369,0.2171176360832662,0.5434959691509318,0.34188057380716225,0.2861050471524213,0.6688331454513081,0.22328846260110569,1.9604588879458102,0.17934606668824862,0.28372302158273377,0.48304563760757446,0.36756911475733167,0.23492294980567993,0.11389601892395189,0.0,0.0,,
20.0,0.6334762158661424,0.5103667733029236,4.21596,29.20448,0.0,0.3123856698699868,0.11341893252769385,0.685845415163151,0.25279692393177633,2.274231100265315,0.21256171218796144,0.5723999452956344,0.33486854542616085,0.28734285831030326,0.6688331454513081,0.22328846260110569,1.9604588879458102,0.17934606668824862,0.28372302158273377,0.48304563760757446,0.36756911475733167,0.23492294980567993,0.11389601892395189,0.0,0.0,,
21.0,0.6524595153690821,0.24196010515459757,4.742955,32.85504,0.9971592150692714,0.2862841684523666,0.11341893252769385,0.6557399469711921,0.2170586841942468,1.943145256678093,0.21926087584957715,0.5038948456202479,0.3489129705521516,0.26607690429743025,0.6689701980137833,0.22300446507806743,1.957965407262979,0.198468606431853,0.28507795100222716,0.48542240262031555,0.36820961770992633,0.2352655730800038,0.11389601892395189,0.012628541674721605,0.6242370120016858,0.008018849905565088,0.018288774724417367
22.0,0.6541331739363958,0.2577008880423633,4.742955,32.85504,0.0,0.30318614444329106,0.11341893252769385,0.6681496709747,0.23147971734421574,2.072359869263691,0.2128869377766631,0.5384733362042713,0.33704368860816275,0.2831752249306777,0.6689701980137833,0.22300446507806743,1.957965407262979,0.198468606431853,0.28507795100222716,0.48542240262031555,0.36820961770992633,0.2352655730800038,0.11389601892395189,0.0,0.0,,
23.0,0.6390956018614216,0.3005786866158795,4.742955,32.85504,0.0,0.30936784896385006,0.11341893252769385,0.6811683204528934,0.24107312314106674,2.165581231823097,0.21359792637553146,0.538647339978487,0.3390422494991045,0.2858248892783262,0.6689701980137833,0.22300446507806743,1.957965407262979,0.198468606431853,0.28507795100222716,0.48542240262031555,0.36820961770992633,0.2352655730800038,0.11389601892395189,0.0,0.0,,
24.0,0.6265838552975382,0.4116121360061199,4.742955,32.85504,0.0,0.3182596676319593,0.11341893252769385,0.6874805438590164,0.2527145542732639,2.2728085506112676,0.20028891821422154,0.5304712932313017,0.3186836181485638,0.29159997569782253,0.6689701980137833,0.22300446507806743,1.957965407262979,0.198468606431853,0.28507795100222716,0.48542240262031555,0.36820961770992633,0.2352655730800038,0.11389601892395189,0.0,0.0,,
25.0,0.6510580383200655,0.2954932299292484,5.26995,36.5056,0.9971592150692714,0.2870376772485441,0.11341893252769385,0.6559929307362232,0.21787802658884448,1.9512848104569047,0.21281855828143245,0.5019373242374723,0.3396362864364534,0.2680115608293402,0.6689296130868494,0.2236217618873173,1.9633852350592609,0.2012084592145015,0.283766400823257,0.48483893275260925,0.3699314922650823,0.23648518847413083,0.11389601892395189,0.011453646283275552,0.6176921050355304,0.007164665160306307,0.016876915231315244
