round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_prevalence,fed_f1,fed_brier,fed_f1_best,fed_auprc,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6394315621716911,0.35206771398280706,25.55392,25.55392,0.5412350858791136,2.2867738680723533,0.564317932273641,0.11398539778449143,0.2922415008532958,0.2186520332146627,0.3213687116822396,0.2562201849934378,0.34839263729083325,0.6888279009312612,0.6457318636954852,0.2209700722350083,1.9401035639581883,0.27835926449787834,0.2840570102751077,0.5046678185462952,0.38235891217962,0.2452450164842332,0.11389601892395189,0.009950156651554881,0.8630345305427909,,0.009950156651554881
12.0,0.6226699295922227,0.4223109176978287,25.55392,25.55392,0.0,2.448876464120685,0.5853036418388348,0.11398539778449143,0.2983436340551283,0.21769537148071585,0.33198588464895895,0.27398422769008296,0.3468135684782082,0.7012720592411261,0.6457318636954852,0.2209700722350083,1.9401035639581883,0.27835926449787834,0.2840570102751077,0.5046678185462952,0.38235891217962,0.2452450164842332,0.11389601892395189,0.0,0.0,,
13.0,0.6456646298922073,0.3891941922841433,29.20448,29.20448,0.9971592150692714,2.061253954659813,0.53286612680799,0.11398539778449143,0.27328385558301116,0.21463880583116066,0.29989710744889203,0.23284677256234243,0.3386762592330019,0.666717259700515,0.6641168355965098,0.2224464776199815,1.9530663119007565,0.27766233766233767,0.28205489092188596,0.5019060969352722,0.38260994568775375,0.24549039997831337,0.11389601892395189,0.008006486837834803,1.3410354714142159,0.006850100153460117,0.008979198970755697
14.0,0.6452790269971942,0.36198272678714244,29.20448,29.20448,0.0,2.2239476238722045,0.5171240713233493,0.11398539778449143,0.29053951487236723,0.19156345872649827,0.31235249476628724,0.24996848526138818,0.3019088435062739,0.6799860195927706,0.6641168355965098,0.2224464776199815,1.9530663119007565,0.27766233766233767,0.28205489092188596,0.5019060969352722,0.38260994568775375,0.24549039997831337,0.11389601892395189,0.0,0.0,,
15.0,0.6318001901702692,0.4006903511656993,31.18592,31.18592,0.5412350858791136,2.350608420835958,0.5743112175088573,0.11398539778449143,0.2932342927806188,0.2149800344969284,0.32368347029071587,0.26374930871299923,0.34266062420328625,0.6936173002480209,0.6629679332895241,0.22023701999419598,1.9336674106339724,0.2766887251841678,0.2827748383303939,0.5036015510559082,0.3823088422725879,0.24533622508761901,0.11389601892395189,0.009106303900058439,0.8686045162612572,,0.009106303900058439
16.0,0.6129598795021854,0.45742194664215063,31.18592,31.18592,0.0,2.5393906086433295,0.58395517042914,0.11398539778449143,0.3024594310925467,0.20104836323462094,0.33701016984970206,0.2830139065590326,0.31834632507103333,0.7040473120692675,0.6629679332895241,0.22023701999419598,1.9336674106339724,0.2766887251841678,0.2827748383303939,0.5036015510559082,0.3823088422725879,0.24533622508761901,0.11389601892395189,0.0,0.0,,
17.0,0.6428890353928718,0.45731846066597964,34.83648,34.83648,0.9971592150692714,2.102623272767243,0.5460312882755309,0.11398539778449143,0.27871644639820226,0.21392187097676768,0.30049802265995323,0.23770965259456223,0.33558696942016564,0.6706358773968725,0.644437023814191,0.2163764057641425,1.8997714565301578,0.27638712654285386,0.28095383674717217,0.5072416067123413,0.38441350203382635,0.24705240223283967,0.11389601892395189,0.006921706612498228,1.2624084637500346,0.006321509956914009,0.00741632387607205
18.0,0.641251289301367,0.525990214301721,34.83648,34.83648,0.0,2.298163567904139,0.5807978074720049,0.11398539778449143,0.29523572473202986,0.20844424974162254,0.319341544385542,0.25857806116655574,0.33161490383297243,0.6877796653670278,0.644437023814191,0.2163764057641425,1.8997714565301578,0.27638712654285386,0.28095383674717217,0.5072416067123413,0.38441350203382635,0.24705240223283967,0.11389601892395189,0.0,0.0,,
19.0,0.639269356453853,0.43664899442672056,36.5056,36.5056,0.4559241291901578,2.1856358423778257,0.5631681761881645,0.11398539778449143,0.28067539503814454,0.2179952825009023,0.3072265772452595,0.24689592925256168,0.3432538262012715,0.6763749213375008,0.6460996504776899,0.21678863218717048,1.9033907790220461,0.2742027011689933,0.28100053219797766,0.504459798336029,0.3842624854961107,0.24690648624258812,0.11389601892395189,0.005931120368597015,0.5233518965542316,0.005931120368597015,
20.0,0.6403554858256527,0.42993941590834106,38.48704,38.48704,0.5412350858791136,2.288534426479481,0.5598483925323262,0.11398539778449143,0.2875494456759729,0.2122457417102499,0.31503140983187616,0.25800707117344335,0.33726831514426786,0.685927571198844,0.6122053633445272,0.20491833771633297,1.7991703279212636,0.23924755730070313,0.2651567944250871,0.5093313455581665,0.387614071019685,0.24994744877650343,0.11389601892395189,0.008233403341724774,0.8474150410620496,,0.008233403341724774
