round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1_best,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.1597716130290565,0.03713545514462444,21.90336,21.90336,0.0,0.23675583563078295,0.6979985866209939,0.33030197918944876,0.26646873604926363,0.37621244277583754,0.5366801050419414,2.367559829532114,0.2977163777865195,0.11392245720040282,0.39459602536776295,0.09603034824784104,0.8431405167195553,0.1228776474706809,0.2045002711006687,0.41493403911590576,0.3818762216332082,0.24732256147013945,0.11389601892395189,0.0,0.0,,
12.0,0.15442808605660632,0.043122610270482,21.90336,21.90336,0.0,0.23472258313459202,0.7128913227684867,0.3425266439535742,0.2812063014232326,0.3746970125257384,0.5380243730449005,2.5026264961887037,0.30421883435398456,0.11392245720040282,0.39459602536776295,0.09603034824784104,0.8431405167195553,0.1228776474706809,0.2045002711006687,0.41493403911590576,0.3818762216332082,0.24732256147013945,0.11389601892395189,0.0,0.0,,
13.0,0.16284182262220823,0.03892560219807272,25.55392,25.55392,0.9971592150692714,0.23216023787988482,0.6767959309483096,0.31213092981812623,0.24509362842271912,0.3681630109008195,0.5212112023792448,2.1693828785744254,0.28399384329200433,0.11392245720040282,0.39499740703228103,0.09553461062563909,0.8387879710653217,0.10554973821989529,0.20450951154489178,0.42301174998283386,0.38171492142984254,0.24711384003896528,0.11389601892395189,0.009113536023978899,1.3253087913617492,0.006762540324311523,0.010953564110549855
14.0,0.16367851371699005,0.050119275957398714,25.55392,25.55392,0.0,0.236033713983284,0.6927018838685322,0.3245884879240178,0.26214517551112815,0.374678159899792,0.5250453364407908,2.3262663646488035,0.29575269245538294,0.11392245720040282,0.39499740703228103,0.09553461062563909,0.8387879710653217,0.10554973821989529,0.20450951154489178,0.42301174998283386,0.38171492142984254,0.24711384003896528,0.11389601892395189,0.0,0.0,,
15.0,0.15710464323873025,0.040866963223174374,25.55392,25.55392,0.0,0.23781903630937531,0.70396721036197,0.33613706500769436,0.2744312165534066,0.3784555269185779,0.5434881087658928,2.4418060050068573,0.2941374000351672,0.11392245720040282,0.39499740703228103,0.09553461062563909,0.8387879710653217,0.10554973821989529,0.20450951154489178,0.42301174998283386,0.38171492142984254,0.24711384003896528,0.11389601892395189,0.0,0.0,,
16.0,0.1567464074716567,0.09215483609294925,25.55392,25.55392,0.0,0.22517208491765273,0.7145351265138555,0.3499587010515256,0.2865562594934499,0.3618886346233801,0.5252986104121621,2.5540801467956906,0.31464674924215846,0.11392245720040282,0.39499740703228103,0.09553461062563909,0.8387879710653217,0.10554973821989529,0.20450951154489178,0.42301174998283386,0.38171492142984254,0.24711384003896528,0.11389601892395189,0.0,0.0,,
17.0,0.16360064296118948,0.0567149189405801,29.20448,29.20448,0.9971592150692714,0.23815684213180655,0.6792811981068085,0.3128777626026836,0.2481696119348659,0.37626237312494987,0.5288599737997712,2.1941415086643445,0.2800551066219389,0.11392245720040282,0.3748133708284179,0.08950722804311204,0.7858679248734393,0.095112285336856,0.2045002711006687,0.4233689606189728,0.38201682842925555,0.2473447173808476,0.11389601892395189,0.008302204051443596,1.2816957918694243,0.006520825902873079,0.009720481354464235
18.0,0.16290967544819432,0.05005336686449182,29.20448,29.20448,0.0,0.2379644765330336,0.6946834300656173,0.3264915089964973,0.26123148071614344,0.3774225838681213,0.5365361072899623,2.3188588041956337,0.2894788885591469,0.11392245720040282,0.3748133708284179,0.08950722804311204,0.7858679248734393,0.095112285336856,0.2045002711006687,0.4233689606189728,0.38201682842925555,0.2473447173808476,0.11389601892395189,0.0,0.0,,
19.0,0.1574953936880451,0.05164130016279088,29.20448,29.20448,0.0,0.231112955737763,0.7045923108253899,0.3373730617277052,0.27789582187711787,0.36888442809476857,0.520624360215943,2.474359544899113,0.3068056069655324,0.11392245720040282,0.3748133708284179,0.08950722804311204,0.7858679248734393,0.095112285336856,0.2045002711006687,0.4233689606189728,0.38201682842925555,0.2473447173808476,0.11389601892395189,0.0,0.0,,
20.0,0.15436454310381248,0.07016390178758247,29.20448,29.20448,0.0,0.2304872386907137,0.7199119335397741,0.35399219245963354,0.2917055230623602,0.36948054451833046,0.5333201263778939,2.6062905410444723,0.31159875086573385,0.11392245720040282,0.3748133708284179,0.08950722804311204,0.7858679248734393,0.095112285336856,0.2045002711006687,0.4233689606189728,0.38201682842925555,0.2473447173808476,0.11389601892395189,0.0,0.0,,
