round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_f1,fed_prevalence,fed_auroc,fed_auprc,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6423155548041559,0.38960291099867045,24.82176,24.82176,0.5412350858791136,2.125675383896854,0.2193036696173388,0.5196820690255385,0.2887596695599463,0.11378941406004155,0.681970189393655,0.23957865902883738,0.30646138148521107,0.348734670825501,0.3663472847930914,0.08382384435690883,0.7359681677098636,0.2045002711006687,0.20458346517199294,0.5100963711738586,0.4194995243618105,0.27817712844549275,0.11389601892395189,0.006813795613234984,0.6703399430261925,,0.006813795613234984
12.0,0.6228869099533948,0.49024805717323583,26.8032,26.8032,0.5412350858791136,2.2513507629094343,0.208359239422638,0.5430972742005753,0.300030417261282,0.11378941406004155,0.6941783983496742,0.2530655765883256,0.3168060954657783,0.3306430650350844,0.3762856223089897,0.08496124333298133,0.7459544603548414,0.2045002711006687,0.2045649717514124,0.5098848938941956,0.42262117215267003,0.28100666582639633,0.11389601892395189,0.007350871977501812,0.7515119600575417,,0.007350871977501812
13.0,0.6106795720046855,0.634050750006946,28.78464,28.78464,0.5412350858791136,2.390415265263679,0.21275362474859008,0.5673338749821516,0.2986468142437438,0.11378941406004155,0.7049879574222285,0.2681599792454217,0.32716320739033544,0.33873050578678987,0.41633269229060577,0.09126977995901545,0.8013430216551825,0.2045002711006687,0.20455572629485672,0.509739100933075,0.4220408726616891,0.27997853126327255,0.11389601892395189,0.008034668291964883,0.8597253991756588,,0.008034668291964883
14.0,0.5935941043372138,0.8467743061565767,30.76608,30.76608,0.5412350858791136,2.569625473723122,0.20423445305637666,0.5681449723510809,0.3120580696255691,0.11378941406004155,0.7158744625880752,0.28695579112026404,0.33883759456659557,0.3272945679273121,0.41775933906354684,0.09180432974093797,0.8060363356706568,0.2045002711006687,0.20455572629485672,0.5101797580718994,0.4245061353880215,0.2821209554330423,0.11389601892395189,0.008376137953625188,0.9449600789230317,,0.008376137953625188
15.0,0.6391699482573149,0.8017841545105092,32.4352,32.4352,0.4559241291901578,2.06594650317852,0.20401567991408995,0.5377188021897055,0.2829898409302738,0.11378941406004155,0.6736732388297975,0.23362587548610772,0.3031488070432365,0.3214681092822025,0.39863220513594844,0.08803155106730853,0.7729115723183178,0.2045002711006687,0.2045649717514124,0.5101832151412964,0.42503998092558926,0.28283034994213757,0.11389601892395189,0.011542038830141647,0.6240106951445341,0.011542038830141647,
16.0,0.6332893036643462,0.6589644691937788,34.41664,34.41664,0.5412350858791136,2.1974866120550858,0.22072183574461374,0.5433072149322169,0.2872150439980474,0.11378941406004155,0.6875388306503496,0.24771773128206587,0.31185710498708447,0.3515537106831478,0.4263590391115711,0.09471606418036638,0.831601183915024,0.20455572629485674,0.20469449595224098,0.509574830532074,0.421319538420571,0.27918026744787283,0.11389601892395189,0.006062097484201077,0.7123786882148124,,0.006062097484201077
17.0,0.6202454935940708,0.5895465831071872,36.39808,36.39808,0.5412350858791136,2.3287855168824727,0.21401221168465576,0.5646400686248645,0.2998440807685404,0.11378941406004155,0.7016791428883417,0.2619619638272639,0.32625660976551685,0.34008375322390544,0.46201280957677776,0.11294713187477716,0.9916688304109356,0.20456497175141242,0.20475020475020475,0.5200469493865967,0.42435677972417796,0.28127958295190253,0.11389601892395189,0.00625536415156003,0.7610294590704143,,0.00625536415156003
18.0,0.6000901145011106,0.9018015900424254,38.37952,38.37952,0.5412350858791136,2.438170731864748,0.2160737306977438,0.5807037502048945,0.30302573210017164,0.11378941406004155,0.709074941871771,0.2732910093035585,0.3319879214750093,0.342534425805869,0.437890830712966,0.09641373754191933,0.8465066510032678,0.20450951154489178,0.20467598245376023,0.5137875080108643,0.4297300711093405,0.2865913362430923,0.11389601892395189,0.006839341757496391,0.8661100666504353,,0.006839341757496391
19.0,0.5869434087329567,0.8819948260356545,40.36096,40.36096,0.5412350858791136,2.5190436673293157,0.1891733162632169,0.5461956281270052,0.3164493158390675,0.11378941406004155,0.7166781536424297,0.28261281710696995,0.33835962346952053,0.3017691262763289,0.4188023365472814,0.09133251587429403,0.8018938391101847,0.2045002711006687,0.20452799493876814,0.5101231336593628,0.434509300424838,0.29132054362917603,0.11389601892395189,0.007958483904165304,1.0561163944657892,,0.007958483904165304
20.0,0.638578388950251,1.1407377134429342,44.01152,44.01152,0.9971592150692714,2.0935510824579424,0.21580138680485828,0.53398429117574,0.2815030161214337,0.11378941406004155,0.6752114590942668,0.23752167517173292,0.3035816244703573,0.34192025978173285,0.4176052819939613,0.09096020716270832,0.7986249916552592,0.20451875282422052,0.2046225519019404,0.511430025100708,0.4272523453919718,0.28479429387610966,0.11389601892395189,0.00676948875269966,1.3307145552244037,0.010078783746412814,0.005369672266942974
21.0,0.6391222964683794,0.8205511387584343,45.99296,45.99296,0.5412350858791136,2.2353746077443555,0.21230350261367462,0.5436702293422796,0.2957856605184825,0.11378941406004155,0.6913182000473939,0.25253117110331835,0.31654822331327825,0.33683509401136774,0.4417747479831651,0.09696504353942728,0.8513470835549627,0.2045002711006687,0.20458346517199294,0.5099875330924988,0.4277623563283427,0.28490743760006493,0.11389601892395189,0.004748258255317476,0.6665405235253274,,0.004748258255317476
22.0,0.6162587618103517,0.753863159952308,47.9744,47.9744,0.5412350858791136,2.3954648926366087,0.21722996931989333,0.5520385247085189,0.29715089494889874,0.11378941406004155,0.7047464562964262,0.2698125255931581,0.3290636948648772,0.34729248999837037,0.42827101083173297,0.09312420581076904,0.8176247659099293,0.20451875282422052,0.2046019619366213,0.5100293755531311,0.4251480715444845,0.28276492235205514,0.11389601892395189,0.006378525317895067,0.923290612292476,,0.006378525317895067
23.0,0.5988401105017678,0.9315753300099221,49.95584,49.95584,0.5412350858791136,2.5209136274062565,0.2045309668727214,0.569548083200232,0.30917909634443763,0.11378941406004155,0.7128671204100592,0.2829959869487529,0.33680386951985114,0.3276436986103096,0.41630995268404913,0.0905766782239544,0.7952576312999338,0.2045002711006687,0.20468021545285836,0.5159176588058472,0.4298354952670985,0.2872529726565564,0.11389601892395189,0.006321858634897055,0.9533394076861441,,0.006321858634897055
24.0,0.5825365411498027,1.1100714726506724,51.93728,51.93728,0.5412350858791136,2.685317369114749,0.20566873507105343,0.5762106485548085,0.3142719849335357,0.11378941406004155,0.7248893205957346,0.3013582220564652,0.34947678737743365,0.33061031845269706,0.42396455352137863,0.09249048769287525,0.8120607600396546,0.2045002711006687,0.2045649717514124,0.5130004286766052,0.4269859582850219,0.2844238414844931,0.11389601892395189,0.006301522996381132,0.9915722025325522,,0.006301522996381132
25.0,0.6457490335670625,1.5782439809024331,53.6064,53.6064,0.4559241291901578,2.1385234987103288,0.21197731324098543,0.5471422132419982,0.28493512631021595,0.11378941406004155,0.6811087443880607,0.24257622545168875,0.30965965260893247,0.335047147172699,0.42467654666596455,0.09227799444210275,0.8101950824437204,0.2045002711006687,0.20463215258855588,0.5195302963256836,0.4269386272562654,0.28436142627383254,0.11389601892395189,0.008607683757541252,0.5429615043103695,0.008607683757541252,
26.0,0.6332362850008446,1.0137729413395529,55.58784,55.58784,0.5412350858791136,2.274022618857407,0.20415684253440242,0.5523687036760399,0.29446251003655416,0.11378941406004155,0.694071646769358,0.2568392232809122,0.31567059479947446,0.3257425703743456,0.42575606305426844,0.09243965812328503,0.8116144795632126,0.2045002711006687,0.20462883282757371,0.5189965963363647,0.4275660704664042,0.28485843173638264,0.11389601892395189,0.005824038895649359,0.9444938550004736,,0.005824038895649359
27.0,0.6144369274554122,1.1689770270444502,57.56928,57.56928,0.5412350858791136,2.441103099190799,0.2061442585666331,0.5442272985425693,0.30046556568448596,0.11378941406004155,0.7077966374842911,0.27423755774728037,0.3306353091186164,0.3280328739979828,0.43992568666458615,0.09525919433197272,0.8363698330454997,0.2045002711006687,0.20466672696029664,0.5161659121513367,0.42790503398156193,0.2850371008688763,0.11389601892395189,0.005355770307471125,0.8938651804346591,,0.005355770307471125
28.0,0.6033886561974562,1.106147987648938,59.55072,59.55072,0.5412350858791136,2.654864765055922,0.20291833504148946,0.549544966812063,0.31140132809096494,0.11378941406004155,0.7209793979068204,0.29717897945288446,0.34438485632375865,0.3269062243475624,0.4276151011869823,0.09238259007105355,0.8111134255951228,0.2045002711006687,0.2046503211797702,0.5190872550010681,0.43677488798415737,0.2934822382469492,0.11389601892395189,0.005948159911012266,1.0274621793068945,,0.005948159911012266
29.0,0.5782044011448897,1.1605248694048511,61.53216,61.53216,0.5412350858791136,2.774660638983481,0.20536048591486003,0.5928805219353586,0.3200950528469864,0.11378941406004155,0.7305692835309184,0.309484113964754,0.3565637389334269,0.3316103616839046,0.43077638337751833,0.09323368022192324,0.8185859444672527,0.2045002711006687,0.20460404323639816,0.521346390247345,0.43878143043041445,0.2951053652554169,0.11389601892395189,0.006490825681465929,1.16482150380034,,0.006490825681465929
30.0,0.6439615513951888,1.3587067459552862,65.18272,65.18272,0.9971592150692714,2.168806055857392,0.21555901432202285,0.5460206783172715,0.28733865629238675,0.11378941406004155,0.6812177896101945,0.2456367295481294,0.30808639094554485,0.339283777562275,0.4292355365937244,0.09273397412975569,0.8141985558922297,0.2045002711006687,0.2048793760203156,0.5247741341590881,0.43694747880838425,0.293384664868662,0.11389601892395189,0.005194668732608536,1.3156630838057026,0.007188244534139433,0.004462769641156692
31.0,0.6347528042216617,1.0065618429336538,67.16416,67.16416,0.5412350858791136,2.3366249238247376,0.20852354502943926,0.5451490700102354,0.29869151857603515,0.11378941406004155,0.6993330939658848,0.26339855296783465,0.32312923269442156,0.3327065097075829,0.44530454482410664,0.09603284959787423,0.8431624784181012,0.2045002711006687,0.2047450873856742,0.5229476094245911,0.4360355900148602,0.29230157451212335,0.11389601892395189,0.004581670093841764,0.8613934217719361,,0.004581670093841764
32.0,0.6125909326987149,1.1635177617958687,69.1456,69.1456,0.5412350858791136,2.481319939498542,0.20606112809055183,0.5648291066801943,0.30248088764040004,0.11378941406004155,0.7084573773432182,0.2780619937935094,0.33503579701977665,0.328454207845897,0.4250599700650398,0.09187285825758146,0.806638011807285,0.2045002711006687,0.20470225127087874,0.522627592086792,0.4349300690005414,0.291673471609328,0.11389601892395189,0.0046173541470452585,0.8894651884911582,,0.0046173541470452585
33.0,0.5917850954415204,0.9927826062909839,71.12704,71.12704,0.5412350858791136,2.6459275680675276,0.19782016672629268,0.580819145380509,0.31867011663191497,0.11378941406004155,0.7211567028394358,0.29569091879362,0.34374174143531,0.3146999546164806,0.4248212292950988,0.09200467688176679,0.8077953711727018,0.2045002711006687,0.20481818181818182,0.5256664752960205,0.43645686369260484,0.2929815831156597,0.11389601892395189,0.004559565909717406,0.9073397961910814,,0.004559565909717406
34.0,0.5746866789000076,1.5132015652575534,73.10848,73.10848,0.5412350858791136,2.7892352727765304,0.19268540948588672,0.5749745164210744,0.31956392135391615,0.11378941406004155,0.7323158917494589,0.3110954856599542,0.351617085859321,0.3096729233865425,0.42592727522438545,0.09260900134101085,0.8131013025384642,0.2045002711006687,0.20474304702080207,0.5269820094108582,0.4365227460723212,0.29296997900762595,0.11389601892395189,0.005538499313982013,1.1439427176956087,,0.005538499313982013
35.0,0.6373160927394877,1.732022516639613,74.7776,74.7776,0.4559241291901578,2.201800709774785,0.22344358294902342,0.5647325080069343,0.28528287879835035,0.11378941406004155,0.6861439493847499,0.24894192682846475,0.31126416991953143,0.35028554721215455,0.4382667871882546,0.09554746550997309,0.8389008361545096,0.2045002711006687,0.2046112115732369,0.5177866220474243,0.43379530725364407,0.2902222180796491,0.11389601892395189,0.0069755328553281135,0.5087152484338731,0.0069755328553281135,
36.0,0.6365898731224785,1.5643937466598987,76.75904,76.75904,0.5412350858791136,2.393455249642119,0.2080356182313884,0.5601576042281082,0.2978688324020887,0.11378941406004155,0.7018976545253801,0.26950722745065664,0.32497804920779627,0.3316216707535933,0.48708882286092464,0.12100635703284207,1.062428328716544,0.2045002711006687,0.20488121150372807,0.5287467241287231,0.42891075013058133,0.2849854063361083,0.11389601892395189,0.00368623797473143,0.7828885869821534,,0.00368623797473143
37.0,0.6059001901911684,1.0808786747844865,78.74048,78.74048,0.5412350858791136,2.5839407030889823,0.205266606126483,0.5564484652372115,0.3081655277928663,0.11378941406004155,0.7149557202511183,0.2893999707818356,0.3351958356986081,0.3294959860762472,0.47110576582552377,0.10524312607211184,0.9240281360701679,0.2045002711006687,0.20505475211384744,0.5275106430053711,0.4292858701490469,0.2856961489605341,0.11389601892395189,0.004058662502475925,0.8824556279578246,,0.004058662502475925
38.0,0.5861741277310396,1.3247221213052998,80.72192,80.72192,0.5412350858791136,2.7243464073183756,0.19966742999977988,0.5531318346375493,0.31863716501800704,0.11378941406004155,0.7309404583796426,0.30460535986559795,0.34990811186113496,0.32198595288205817,0.4740813286797289,0.10399068034982815,0.9130317401107978,0.2045002711006687,0.2051092870976667,0.5280875563621521,0.43092739381069706,0.28727017591820264,0.11389601892395189,0.004336349244915025,0.974331273813732,,0.004336349244915025
39.0,0.5735997993779315,1.7191938100690962,82.70336,82.70336,0.5412350858791136,2.8511312755395726,0.20680198220010634,0.5679797702922313,0.32160479943075065,0.11378941406004155,0.7388342374278299,0.31834300310373664,0.3577481759485799,0.33373463126941016,0.4724591112508395,0.10285371855986872,0.9030492859328464,0.2045002711006687,0.20489282599715428,0.529788076877594,0.43491290613871664,0.2909496610362048,0.11389601892395189,0.005152757644082055,1.1977181524271145,,0.005152757644082055
40.0,0.642506633357164,2.090005995681992,86.35392,86.35392,0.9971592150692714,2.22819807578862,0.22778388881722772,0.5967992742637518,0.2841408263162127,0.11378941406004155,0.6857776194288792,0.252803406799314,0.31141942644927556,0.3587417859313061,0.4686009580050669,0.10209347570124469,0.8963744006663856,0.2045002711006687,0.2047651463580667,0.5258359909057617,0.4295621091097097,0.2860328085246708,0.11389601892395189,0.004696061451826968,1.486743469722569,0.006616859432943896,0.004067907810135621
41.0,0.6367034589910219,1.320759128656372,88.33536,88.33536,0.5412350858791136,2.4568186147623146,0.21964735814663763,0.5776885773230923,0.2919314549567587,0.11378941406004155,0.7060925381929687,0.27668989440642866,0.3311774696491654,0.3493276289747148,0.47538960902383887,0.1038363494943326,0.9116767247471915,0.2045002711006687,0.20469859770533602,0.5279428362846375,0.4327718144820521,0.28884574586944006,0.11389601892395189,0.00417346950674582,1.0111422867048532,,0.00417346950674582
42.0,0.6136062064551278,1.7760679030917559,90.3168,90.3168,0.5412350858791136,2.6178759500224777,0.2096821958715694,0.6052398243093141,0.3105160203698157,0.11378941406004155,0.7202055842909834,0.29363593339038246,0.3431982191814424,0.3354346271949774,0.4726240863434406,0.10475641862961116,0.9197548748350615,0.2045002711006687,0.2045002711006687,0.5141451954841614,0.43269430280685717,0.2887120079384421,0.11389601892395189,0.0045094715739710115,1.122863698983565,,0.0045094715739710115
43.0,0.5848717227624926,1.3535304181613037,92.29824,92.29824,0.5412350858791136,2.750806294606734,0.20394622230919002,0.5572392634357664,0.3157640176804389,0.11378941406004155,0.7289547826445741,0.3073008919673723,0.3479052380508952,0.3294083720519277,0.49716610790651095,0.11511293130556516,1.0106844154265462,0.2045002711006687,0.20455265420645338,0.5229429602622986,0.43147170995152806,0.287276201481033,0.11389601892395189,0.004235291722183394,1.0857847966253757,,0.004235291722183394
44.0,0.5648067284929766,1.6584021932900366,94.27968,94.27968,0.5412350858791136,2.9461616865951727,0.20418087805648802,0.5840146247417336,0.3213127869146373,0.11378941406004155,0.7424349758142704,0.3276809564867259,0.36177719022201943,0.32968043944974496,0.48483589508638264,0.10895737150036938,0.9566389811492881,0.2045002711006687,0.20458968904177796,0.5218490362167358,0.4320225862781393,0.287933285790317,0.11389601892395189,0.004575809996356997,1.2092409904580563,,0.004575809996356997
45.0,0.6443362752941237,2.0476666387352034,95.9488,95.9488,0.4559241291901578,2.235273193198611,0.22531986357464423,0.5868974220603415,0.2864951447175213,0.11378941406004155,0.6903802835223303,0.25334362619208084,0.31584330695355023,0.35506422136497556,0.49160380186142505,0.1114621652598835,0.9786309153993041,0.2045002711006687,0.20460404323639816,0.5211796164512634,0.4305887270168148,0.2865867700069869,0.11389601892395189,0.006639540223743188,0.554249825887382,0.006639540223743188,
46.0,0.6347908970589458,1.9285384010772966,97.93024,97.93024,0.5412350858791136,2.4717403306113797,0.21485670406843088,0.5547149153662506,0.3024722774900944,0.11378941406004155,0.7115327003845145,0.27808644373758545,0.3327078865081467,0.3429476966601611,0.47728261852241854,0.10636428905975338,0.9338718777411578,0.2045002711006687,0.20456703594845127,0.5216711759567261,0.43340168604523666,0.2892506891586112,0.11389601892395189,0.0033183227526782147,0.9015357007738203,,0.0033183227526782147
47.0,0.6090226539394454,2.4154432620908213,99.91168,99.91168,0.5412350858791136,2.6449427584169505,0.20022059420903338,0.5572808241913952,0.31893799938401235,0.11378941406004155,0.7225358471308545,0.29625931238268816,0.34686104420403113,0.3221468690047646,0.43610287267491915,0.09457414052504502,0.8303551030013785,0.2045002711006687,0.2045002711006687,0.5154070854187012,0.4338654665883603,0.2903960807695966,0.11389601892395189,0.003781828760414808,1.0542721396777779,,0.003781828760414808
48.0,0.5828322414967799,1.7292015896647484,101.89312,101.89312,0.5412350858791136,2.829834453253553,0.19810617970208658,0.567166009354572,0.3204359214586688,0.11378941406004155,0.733119595852433,0.31566721210829435,0.3582052487788854,0.3191094383902256,0.4677415840992222,0.10318758618511924,0.9059806230278984,0.2045002711006687,0.2045947901591896,0.5201995372772217,0.43364006206202,0.2897011501187238,0.11389601892395189,0.004169593647188407,1.1972312428988516,,0.004169593647188407
49.0,0.569948686001736,1.9047937067486813,103.87456,103.87456,0.5412350858791136,2.9422577408760553,0.2112170405849991,0.5855123700005601,0.3212488073521919,0.11378941406004155,0.7465894627439738,0.32719937130260945,0.366222792792945,0.3392833427896016,0.4772847770281181,0.10487162605657455,0.9207663889165177,0.2045002711006687,0.204587612541284,0.5197685956954956,0.4319313906916519,0.2881320592146622,0.11389601892395189,0.004584250473049725,1.359387273201719,,0.004584250473049725
50.0,0.6395466511712647,3.586351547234057,107.52512,107.52512,0.9971592150692714,2.3000547803300533,0.2117001953194901,0.5662697438300462,0.2941950966323319,0.11378941406004155,0.6907026768029596,0.2608214308825909,0.31508981456805735,0.33467220424589933,0.4672628225152625,0.10188696188635787,0.8945612221476114,0.20456497175141242,0.2047707418639388,0.5150998830795288,0.43095381367373964,0.2874451287476298,0.11389601892395189,0.003782024162623578,1.4909525979310274,0.005501569463832958,0.003276138104410744
51.0,0.6392415683657017,2.166898167599342,109.50656,109.50656,0.5412350858791136,2.513639979686536,0.21085450901044822,0.570844548262796,0.30624609485364995,0.11378941406004155,0.7109812131484308,0.28326943962158024,0.3326760237778657,0.33773980284807764,0.47256425055753454,0.1035040504148652,0.9087591593870775,0.20451875282422052,0.2046596619460941,0.5251868963241577,0.43310153551691827,0.28925729919884907,0.11389601892395189,0.0031237468843311905,0.969426705269143,,0.0031237468843311905
