round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_ece,fed_auroc,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
15.0,0.6353022939323709,0.7429712812710784,54.9144,54.9144,1.0,0.259064648628828,0.284973234922371,0.34959802888955266,0.6850156977367998,0.5750093156712814,0.2195595753408065,0.3116189464419743,0.11344035253383694,2.2676354993804,0.6609279195132378,0.2277855693684171,1.999943207150278,0.28030644434429924,0.28225175918686474,0.525620698928833,0.3487759364422095,0.22201753424989198,0.11389601892395189,0.006563453463541545,1.681268700689543,0.004690770042633815,0.008392845001215432,0.003558918335357566
16.0,0.6342877790627846,0.7016177266521992,58.57536,58.57536,1.0,0.262233300307126,0.28570691695028994,0.33571454692218045,0.6875600298712575,0.544053844481397,0.2112631289429234,0.31400270291978644,0.11344035253383694,2.293721247358838,0.6600099145688543,0.2266242653685801,1.989747029875527,0.2795649155288128,0.2812692925052475,0.5104913115501404,0.33483358625823373,0.21437756057674962,0.11389601892395189,0.006708811477015832,1.8214647043823788,0.0044133156181592565,0.008968132138016532,0.005664884682464697
17.0,0.6354680491570923,0.8503048593043875,62.23632,62.23632,1.0,0.2641602905738678,0.28277959154452903,0.35196754805155056,0.6902952800557098,0.5870039517844965,0.22196463232961844,0.3163003303160865,0.11344035253383694,2.311877426729738,0.6598945851073449,0.22704661915991387,1.9934552700346126,0.2750507967062346,0.28022936923460484,0.5230387449264526,0.3510900385842995,0.22514388044292466,0.11389601892395189,0.006658214625615986,1.9159579030056193,0.004281557099550236,0.00901835346387427,0.0041952988547765005
18.0,0.6379851522024867,0.8030207585730708,65.89728,65.89728,1.0,0.26499595346719723,0.28741354501641225,0.34156446889263303,0.6918306563547564,0.5648150759952264,0.2142062183597156,0.31622971870101496,0.11344035253383694,2.3183118766055593,0.6570151259545803,0.22589649531239747,1.983357253805579,0.276165744608784,0.27714182431618267,0.5095836520195007,0.340436889567023,0.21766876981385586,0.11389601892395189,0.006130788392022128,1.8568532999142917,0.0039822874327092896,0.008288477760303656,0.00411426623840518
19.0,0.6436472068551303,2.98290171356489,69.55824,69.55824,1.0,0.2680142799805164,0.2853748372444265,0.33796445749557014,0.6941649085037781,0.5640752693730253,0.21243886025880732,0.3208101789668135,0.11344035253383694,2.342709311343629,0.6584378071007709,0.2255010555362361,1.9798853170346773,0.2754142409314823,0.2775356343503357,0.5071718096733093,0.3369573558931437,0.21625245132898682,0.11389601892395189,0.005274253147340718,1.6741404409058305,0.0035171851661312983,0.00705473074405007,0.003956972171947318
20.0,0.6439508593030724,1.2337580380330846,73.2192,73.2192,1.0,0.27066433051089017,0.2905248964303989,0.32944418096801725,0.6959077443394356,0.5599684113239695,0.20764603744627655,0.32247576991509236,0.11344035253383694,2.36323660937226,0.6568079972535776,0.225286474568268,1.9780013094109221,0.2756022376983674,0.27828083152659105,0.5171522498130798,0.3291657364740467,0.21253886203796454,0.11389601892395189,0.00545421342518261,1.8101189995522873,0.0033044856872690128,0.00765524190245049,0.004930859548018091
21.0,0.6431087130753993,1.5723425068695316,76.88016,76.88016,1.0,0.2708156865322788,0.2820409795211292,0.34419466378445757,0.6962378293455026,0.5887991482614157,0.21788449947049426,0.3223097522052785,0.11344035253383694,2.3663278421596323,0.6569527300805189,0.22569082891146253,1.981551515528877,0.27100665557404324,0.2779968925540815,0.5239956378936768,0.3438300629958428,0.22275320079875813,0.11389601892395189,0.004928864451250653,1.7173588622335956,0.00323654277742808,0.0066723972882474355,0.004532519088405316
22.0,0.6426971594859314,1.5769830940232032,80.54112,80.54112,1.0,0.2736794917524538,0.2866637414588466,0.34939701887797986,0.6990207678631692,0.5926155930556776,0.22006379436423898,0.3248934888909688,0.11344035253383694,2.3924605570177273,0.6548197123173722,0.2240727361756958,1.9673447614117985,0.27197658618166615,0.275233700153828,0.5176361799240112,0.3491646309946254,0.22534743275745187,0.11389601892395189,0.004514008305548505,1.6437513455111912,0.002908902160083333,0.006182980428253255,0.004477008238182673
23.0,0.6392173953538396,1.1963991503097304,84.20208,84.20208,1.0,0.2748944387778361,0.29499239544697886,0.32543106858862164,0.700396347486656,0.564070583395437,0.20385731405676943,0.3233290704750042,0.11344035253383694,2.3970575338777302,0.6526021112494842,0.2217212415576157,1.9466987841397552,0.2732682694596525,0.2756466325128077,0.5072619915008545,0.3252043880969972,0.2096527038095926,0.11389601892395189,0.004303103571210228,1.635196758847087,0.0027619175004719217,0.005921888937547157,0.003567439681745602
24.0,0.6465521112042609,1.6427889586869096,87.86304,87.86304,1.0,0.2770315236467489,0.291712070712841,0.3394378931228474,0.7020758721298918,0.5615580363959534,0.21288308664500627,0.32566927883816327,0.11344035253383694,2.4162085897799206,0.6521519373165929,0.2230617143600011,1.9584680524166425,0.2718787745690128,0.2737151248164464,0.5495160818099976,0.3390550348684405,0.21864964757392275,0.11389601892395189,0.004177627167895805,1.6522206948084204,0.0026365062326947873,0.005810509987927874,0.0038382677034790326
25.0,0.6413149933968463,1.1473559769867716,91.524,91.524,1.0,0.27878298916723365,0.3018983211056514,0.3127628587436096,0.7032294522391637,0.5587593370145095,0.19759998752866012,0.32727607901769795,0.11344035253383694,2.4333058328752895,0.6496873253900659,0.22213284419880028,1.9503126298656486,0.26593252108716026,0.2737071906126347,0.5249491333961487,0.3125977785001574,0.2045678961955374,0.11389601892395189,0.0038210666230892587,1.571641933724095,0.002365002955704443,0.005373068071703497,0.004167324310769792
26.0,0.6528971946958515,1.9683480481060123,95.18496,95.18496,1.0,0.2829334375931945,0.2970635100457594,0.33869323300036197,0.7068196863587402,0.5803541132515995,0.2127572808366341,0.3342323808635878,0.11344035253383694,2.471463454433673,0.6512850588386065,0.22052825619850436,1.936224446490536,0.26962025316455696,0.2728869374313941,0.5055879354476929,0.3385014471616508,0.2191343845088093,0.11389601892395189,0.004056444735814301,1.7323564898442783,0.0024041675023200324,0.0058266742689387745,0.0034133727679231188
27.0,0.6487756614833554,1.4181072736275908,98.84592,98.84592,1.0,0.28746260808457924,0.30072302299073683,0.31633881851292767,0.7086298785216099,0.5576133532816034,0.19921188219713398,0.33322756622778,0.11344035253383694,2.511544205716075,0.6490936108281489,0.21974993582341662,1.9293908417478853,0.2724947686584515,0.2744665194996321,0.5080551505088806,0.3163670757766743,0.20685581808276596,0.11389601892395189,0.004038962195159751,1.7916475538550003,0.0022602773934842185,0.005955387014786664,0.004423411776775764
28.0,0.654457631069732,2.22748036006589,102.50688,102.50688,1.0,0.2870793549144479,0.29668388286760217,0.3209075402641619,0.7091038621410185,0.5682453698038041,0.20228138810918658,0.3319288094873004,0.11344035253383694,2.5069296108478314,0.6501737421395882,0.2202030431166366,1.9333690957509733,0.2698756701266112,0.2720164081528009,0.5174941420555115,0.320581669266162,0.2098059621337529,0.11389601892395189,0.0038249095585407033,1.7626851988661656,0.0022022041208078127,0.005581888592779908,0.004031984956282966
29.0,0.6446162828209127,1.628069301107994,106.16784,106.16784,1.0,0.29072958954904793,0.29347433361397973,0.3217291488286095,0.7099828783234963,0.5727913225563886,0.20366486017818627,0.33293538072114576,0.11344035253383694,2.53695262489897,0.6489906927744122,0.21818731995061347,1.915671171055563,0.2691051600261267,0.2714776632302406,0.5302762389183044,0.3217655118528709,0.21205173316172185,0.11389601892395189,0.003634237963965535,1.7358997408791765,0.00208308451722648,0.0053234005617200965,0.00392245451529254
30.0,0.6501430053703744,1.952336927046129,109.8288,109.8288,1.0,0.29151236303109934,0.29766269431555453,0.33100341105473025,0.7115446744957429,0.5577073056479465,0.20820420464989853,0.3365177371534865,0.11344035253383694,2.5420966753318344,0.6470473976227022,0.21760148208094549,1.9105275508026096,0.2674344209852847,0.2735739231664726,0.5474643111228943,0.33066194038401714,0.2161153175581445,0.11389601892395189,0.0035806067533216456,1.7740066195797226,0.0019930840236833253,0.005313546311545861,0.005203469096624068
31.0,0.6554995207144574,2.3280695224585353,113.48976,113.48976,1.0,0.29437730772802556,0.29969515591504575,0.32064181890070864,0.7125289186865086,0.5618231563775239,0.20178402935470138,0.337625531622608,0.11344035253383694,2.5705331550317085,0.6485241418069977,0.21909574013167982,1.9236470440461098,0.26840022611645,0.27591502431533144,0.5196507573127747,0.3206989581273624,0.21008496342914554,0.11389601892395189,0.003325954752848971,1.705149537116995,0.0018843985867436916,0.004905036704324135,0.004437024854251184
