round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.6398805002640727,0.30261594230433697,0.95964,40.15616,0.0,0.2819121525970863,2.106913735370356,0.30218086920530585,0.5164568155872663,0.6708013368230037,0.1122718691000629,0.20386176317774124,0.32334894097361483,0.2340426058350696,0.34264868678270155,0.08082705515174413,0.7096565438842263,0.0,0.2045002711006687,0.4499609172344208,0.36212669969703,0.2331792899373993,0.11389601892395189,0.0,0.0,,
32.0,0.6251953685517908,0.43223864258483485,0.95964,40.15616,0.0,0.2861602402025961,2.164132937777713,0.3095548371356602,0.5793746262001044,0.6804185790222751,0.1122718691000629,0.22353273050886344,0.34913844347206424,0.23989053552786802,0.34264868678270155,0.08082705515174413,0.7096565438842263,0.0,0.2045002711006687,0.4499609172344208,0.36212669969703,0.2331792899373993,0.11389601892395189,0.0,0.0,,
33.0,0.6384696172275338,0.2545461258296313,1.00516,42.1376,0.5412350858791136,0.2792971349099095,2.149579834833711,0.30999211442164676,0.5092693100454222,0.6780558849270446,0.1122718691000629,0.2298478350197316,0.3658381316695969,0.2387963244498838,0.3427136050965633,0.08083221026629514,0.7097018054710641,0.0,0.2045002711006687,0.45440369844436646,0.36183971114712765,0.23289800877585815,0.11389601892395189,0.061184148082986764,0.6024319160569576,,0.061184148082986764
34.0,0.6290528100558623,0.31354847377649875,1.00516,42.1376,0.0,0.297003997953177,2.2553681212104326,0.3183485568441227,0.5351466308099957,0.6894584049526736,0.1122718691000629,0.2085199559224738,0.33091806362824405,0.24911552657096106,0.3427136050965633,0.08083221026629514,0.7097018054710641,0.0,0.2045002711006687,0.45440369844436646,0.36183971114712765,0.23289800877585815,0.11389601892395189,0.0,0.0,,
35.0,0.6105127200409908,0.5769479139132748,1.00516,42.1376,0.0,0.2928524795531317,2.344706723046123,0.3272578021391201,0.5719140937862491,0.6971949414545626,0.1122718691000629,0.21493303540852415,0.3403750177226079,0.25884394490721063,0.3427136050965633,0.08083221026629514,0.7097018054710641,0.0,0.2045002711006687,0.45440369844436646,0.36183971114712765,0.23289800877585815,0.11389601892395189,0.0,0.0,,
36.0,0.5920039649691491,0.8667785795209125,1.00516,42.1376,0.0,0.3083910207264124,2.4543555412021116,0.3376699229601061,0.5875478852913016,0.707118883565487,0.1122718691000629,0.21263325985486486,0.33696535651059495,0.26864924130758167,0.3427136050965633,0.08083221026629514,0.7097018054710641,0.0,0.2045002711006687,0.45440369844436646,0.36183971114712765,0.23289800877585815,0.11389601892395189,0.0,0.0,,
37.0,0.6578220946675237,0.21271874918852324,1.0924,45.78816,0.9971592150692714,0.2639752573554998,1.9433252972275612,0.2856225971672581,0.4958421647980049,0.6507366027738296,0.1122718691000629,0.22472366403710542,0.35767766023822517,0.21661417732531524,0.34263704089148495,0.08080072551233422,0.7094253712790847,0.0,0.20450951154489178,0.4537699818611145,0.3603885507759411,0.23178738626529266,0.11389601892395189,0.023060252329090883,0.7256266228941968,0.005103252909972679,0.06278267365549586
38.0,0.657727358849932,0.2734255240811308,1.0924,45.78816,0.0,0.274139283665255,2.022596031668652,0.29484748432923563,0.5071878072392497,0.6616361588714517,0.1122718691000629,0.20662558585292423,0.32660124996797774,0.22530948769992507,0.34263704089148495,0.08080072551233422,0.7094253712790847,0.0,0.20450951154489178,0.4537699818611145,0.3603885507759411,0.23178738626529266,0.11389601892395189,0.0,0.0,,
39.0,0.6384193452343634,0.29785962799002164,1.0924,45.78816,0.0,0.2861021832092352,2.0965515937439747,0.3016285742496863,0.5305868469595982,0.6714192913520668,0.1122718691000629,0.21104830381242748,0.331460487393368,0.2326281007356936,0.34263704089148495,0.08080072551233422,0.7094253712790847,0.0,0.20450951154489178,0.4537699818611145,0.3603885507759411,0.23178738626529266,0.11389601892395189,0.0,0.0,,
40.0,0.6272492770644472,0.47407426035242856,1.0924,45.78816,0.0,0.2852784224260136,2.1766631190276367,0.311129809037858,0.5322229703467471,0.6804266691779275,0.1122718691000629,0.218409905156633,0.345729781808232,0.24089435602695472,0.34263704089148495,0.08080072551233422,0.7094253712790847,0.0,0.20450951154489178,0.4537699818611145,0.3603885507759411,0.23178738626529266,0.11389601892395189,0.0,0.0,,
