round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,fed_ece,fed_brier,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.648425266338774,0.4228198362729268,40.27056,40.27056,1.0,0.23857912434078327,0.30520011565414057,2.088756421132099,0.5457390936491083,0.34690687457364044,0.2198288282115198,0.11448892245720041,0.6752939047436602,0.2812524391390852,0.6672959380085195,0.2230259097330001,1.958153690006619,0.2756903576278859,0.28168234643054785,0.5409445762634277,0.3457503928077546,0.2197418196328625,0.11389601892395189,0.007466529195234326,1.4922535337063891,0.0056641776745985336,0.009129259068555435,0.003336026053971573
12.0,0.643403036987176,0.4292497962488787,43.93152,43.93152,1.0,0.2422061150679415,0.30541420179517587,2.1153613987877335,0.5510701255878473,0.35160659764839886,0.22250311033722853,0.11448892245720041,0.6768809946119029,0.280055657681259,0.665350860834662,0.22041091840051438,1.9351942278832612,0.27226436662163567,0.27939464493597205,0.5586691498756409,0.35039050929142207,0.2227786213479376,0.11389601892395189,0.007366322314982182,1.561424662319041,0.00554486392115131,0.009081855081673472,0.0035301318892493458
13.0,0.6411237746159217,0.4440215289594513,47.59248,47.59248,1.0,0.2427161034306023,0.30598446770191073,2.1172664238087244,0.5603368955121301,0.3367692487195231,0.21397075696550208,0.11448892245720041,0.676690678548023,0.279969423811843,0.6663655593047182,0.2214701360356327,1.9444940931913328,0.2753842823121888,0.2793121417404898,0.5355567932128906,0.3354516891205105,0.21432618420443234,0.11389601892395189,0.007272163314823286,1.6323983022903121,0.005263801855751144,0.009198448006649557,0.0030064314381851595
14.0,0.6423880094332138,0.5255701611383505,51.25344,51.25344,1.0,0.2471674486652499,0.3107621222831519,2.162637328534589,0.5399578415412617,0.30926872724676563,0.19658245941497024,0.11448892245720041,0.6791299445391767,0.2856507547721899,0.666359924600886,0.22133747557162625,1.9433293425243667,0.282367758186398,0.28388814913448734,0.5110906958580017,0.30760521706737604,0.19709115413953435,0.11389601892395189,0.006732741487839268,1.605076753206049,0.005061126612737238,0.008353589735248083,0.0033917804095711292
15.0,0.6471076808895202,0.5843742882383611,54.9144,54.9144,1.0,0.25074338164052384,0.31008909161894355,2.1905741110566757,0.5754968330399147,0.34321793098300923,0.2173128418129598,0.11448892245720041,0.682905603504351,0.2837809538469555,0.6652984166758319,0.21989097949159658,1.9306291964288698,0.2773391022174148,0.2810348920009495,0.51689213514328,0.34169647523533253,0.2180520475271506,0.11389601892395189,0.0063268012870836676,1.5902124099566208,0.00469748196803449,0.007930690650533576,0.0032887997166372845
16.0,0.6400176752312314,0.5325774747557892,58.57536,58.57536,1.0,0.2535740336137588,0.31191722963696605,2.214002696781734,0.5691532332090001,0.3370386842283733,0.21358810727059674,0.11448892245720041,0.6849321149507079,0.28403157025208875,0.6643630809385925,0.22065113947633053,1.9373033540677027,0.2780580782598946,0.2797450424929178,0.511466920375824,0.33581947384419875,0.21505705138147066,0.11389601892395189,0.006260424227357888,1.6597073031807668,0.00458851345491966,0.00792846842023429,0.003459606192530021
17.0,0.642359427184751,0.6340340646434458,62.23632,62.23632,1.0,0.25375667499509824,0.31478401260589983,2.218142907409327,0.5640261257358068,0.3245547471299753,0.20614503619972835,0.11448892245720041,0.6856678867790239,0.28785381562863754,0.6655358272038884,0.22214557802702453,1.950424432089682,0.28017641597028786,0.282442748091603,0.5063214302062988,0.32276375488558995,0.2073369161846596,0.11389601892395189,0.005856463266180652,1.636649724052404,0.004179409387227811,0.007552307812764736,0.003164985351873177
18.0,0.6397309433861821,0.7349111802913921,65.89728,65.89728,1.0,0.2577773157156066,0.315161510903041,2.2519382345292276,0.5629299726442237,0.3315304299419763,0.209701427469728,0.11448892245720041,0.6897785190632111,0.2895693362142242,0.664213403627665,0.22107978218156604,1.9410668105017832,0.27925225017309024,0.28155702027111057,0.5147028565406799,0.32990418283042044,0.21123648046490906,0.11389601892395189,0.006019168205560212,1.7698760786261118,0.004205604407484126,0.007870887768534632,0.0032819174978597422
19.0,0.6444655474688152,0.7288973560435144,69.55824,69.55824,1.0,0.26196545669497207,0.3152091932682151,2.286448952792178,0.5662886181326671,0.33548852149889524,0.2120178715123439,0.11448892245720041,0.6914108036770874,0.29052481132600655,0.6637012228537162,0.21938796401282118,1.9262127516441643,0.2769299820466786,0.27970529135967853,0.5355145335197449,0.33417281166196755,0.21416696643550992,0.11389601892395189,0.005340927068103804,1.652986577023512,0.003746322907551739,0.006980692015380212,0.0033428642988865493
20.0,0.6440534729825037,0.7519470124186585,73.2192,73.2192,1.0,0.2641480111748152,0.3203827138147749,2.3042549868591924,0.559293505905453,0.33155614153335705,0.20954122244837847,0.11448892245720041,0.6927310069150953,0.29244673708572283,0.6608553585832652,0.21646355921185892,1.900536658409379,0.273442770407016,0.2765281820587457,0.5333361625671387,0.32987446544011406,0.2122202502297171,0.11389601892395189,0.005366360797813468,1.7431024379657174,0.0034517570581489463,0.00735211724170671,0.004208396157577
21.0,0.646568830031783,0.9948152569441918,76.88016,76.88016,1.0,0.26721422396149463,0.3217993299868054,2.3317527938263085,0.5750467658196721,0.3331011351550135,0.21146543751286692,0.11448892245720041,0.6948377379605138,0.2871511520550421,0.6600115961953876,0.21782831782048878,1.9125191545626563,0.2702646166718962,0.27609055770292656,0.5515283942222595,0.33176853759044134,0.21460173938121532,0.11389601892395189,0.005173210268920355,1.7606212683804188,0.0034178047548593855,0.0070140415909874364,0.0027023874773596953
22.0,0.6487684308921139,1.1121259232359852,80.54112,80.54112,1.0,0.2681132041152239,0.32126021789167813,2.3412416576410164,0.5834227324147359,0.33852628061713413,0.2151822315194676,0.11448892245720041,0.696492999342079,0.28744167608816273,0.6598600992139575,0.21804727013342123,1.9144415423247665,0.27239995885196994,0.2764227642276423,0.5450639128684998,0.337213782140157,0.21860215866612426,0.11389601892395189,0.004952181411673683,1.7618418136007676,0.0032036937737863185,0.006810711443326764,0.002276856690098064
