round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
26.0,0.6407594104588203,1.1762043327058422,190.36992,95.18496,1.0,0.33631984972031026,0.33259988387708334,0.21100338957199305,0.2718809116251974,0.5671699827313047,2.39798474283098,0.29927439800704797,0.11271239773442412,0.7013323155493193,0.6490007072369024,0.2075305408982987,1.8221053102555442,0.267403060637441,0.27173229337023524,0.5188733339309692,0.3352029733326066,0.21725715323045044,0.11389601892395189,0.004536827470150349,1.9411520234152704,0.0022777344632348346,0.007215670098611947,0.005317947750567404
27.0,0.637441401019317,1.450044105649892,197.69184,98.84592,1.0,0.3305020472082286,0.33840352386493405,0.20821639755048046,0.2731421507588563,0.5620555319975126,2.4135181621176067,0.30014846329884104,0.11271239773442412,0.7039362568719323,0.6464558666653883,0.20493175578516756,1.7992881377355254,0.2662788095770866,0.26980352897009136,0.5203008055686951,0.32947228102997833,0.2149133559472734,0.11389601892395189,0.00383402915909613,1.70667715372565,0.0022094068779723915,0.005762262424991792,0.005728022452971554
28.0,0.6410632051114649,1.4349249983778212,205.01376,102.50688,1.0,0.31577997384660283,0.3386052792699138,0.19832446529406142,0.2740681312981359,0.5391874493762633,2.4150687172056977,0.30522615186481755,0.11271239773442412,0.7033556910730578,0.6472614787199699,0.20633531409605893,1.8116112928743238,0.2681105302464526,0.269240538481077,0.5040122270584106,0.31452043506681415,0.20508575392805306,0.11389601892395189,0.0038087479547382124,1.7614814208318421,0.002122882029816251,0.005831385391394141,0.0040749767597145145
29.0,0.6430090939207385,1.4455721977071736,212.33568,106.16784,1.0,0.3118286218069688,0.33916282563185607,0.19746344261707455,0.2750258884496504,0.5472488168315215,2.427422702498743,0.30594753630984944,0.11271239773442412,0.7028997816419023,0.6466517134092749,0.20654977663998886,1.81349426074235,0.26741765642218684,0.2683769116921559,0.5015968084335327,0.31058348188131085,0.2046863925456796,0.11389601892395189,0.003431855470208543,1.644944875723013,0.001965143949070424,0.005200614737682062,0.004062839343377713
30.0,0.6430859379012632,1.7860452497261778,219.6576,109.8288,1.0,0.3201687894627344,0.3392637105138943,0.20000550150420537,0.277706816542663,0.5289789804896892,2.4470198031467705,0.30889283760710023,0.11271239773442412,0.7064468960791479,0.6456353207632335,0.20671658242427055,1.81495880520894,0.26601844926452256,0.26874657909140665,0.5186472535133362,0.31906059221100314,0.20690751152250533,0.11389601892395189,0.0036723954752124308,1.8236168170824385,0.0019404808797805222,0.005770973724150515,0.0035936901169377872
31.0,0.6476420921220832,1.4846877922764923,226.97952,113.48976,1.0,0.31261024416873867,0.3381393974054548,0.19723941224012595,0.28095559578274715,0.5372680269448992,2.471336358005581,0.30532929600826497,0.11271239773442412,0.7063375279507517,0.6425224167091634,0.20637783592348655,1.8119846318885346,0.2618726224076574,0.2704881325570981,0.5401719808578491,0.31115524862279303,0.20475760062902168,0.11389601892395189,0.00331525551943079,1.7023179749121482,0.0017750451954138312,0.005184676802148689,0.0031647084999109325
32.0,0.6456556461554785,1.9556366117495734,234.30144,117.15072,1.0,0.3298513186235998,0.3386468392575128,0.20940856094912205,0.2792177845201303,0.5776427084860221,2.4571348487295426,0.29770976674909255,0.11271239773442412,0.7064490215823848,0.6458902503259217,0.20802560596799133,1.8264519509403534,0.26491361512550254,0.2734065934065934,0.5584806203842163,0.32895656523276445,0.21713963556188234,0.11389601892395189,0.003493315979504719,1.8549007198553227,0.0018354010553324974,0.0055158327790563655,0.0032825317392640423
33.0,0.6451960851847345,1.7578123642364214,241.62336,120.81168,1.0,0.32859825084661115,0.33918652917101366,0.2059962583811954,0.2852949254491295,0.5676289064281012,2.5102924648493876,0.3030982242133461,0.11271239773442412,0.7104401632964313,0.6423861673115998,0.20599594001337737,1.8086316094236832,0.2634224354580763,0.2717182181441468,0.5476623177528381,0.3275681965945533,0.21389470256492865,0.11389601892395189,0.003069854579378522,1.6840274272108218,0.0016310037786667563,0.004824013284289872,0.003805027053183952
34.0,0.6476881166531194,1.7525728201605304,248.94528,124.47264,1.0,0.32817387945323334,0.3426208900501287,0.20648167212854807,0.28420906379106187,0.5619939627157508,2.4973055829366326,0.29844148358950257,0.11271239773442412,0.7089457018118778,0.6419386162141226,0.20700386889431954,1.8174811626430556,0.26224328593996843,0.26843302555867793,0.531703531742096,0.32739345307899925,0.2145719074443465,0.11389601892395189,0.0029527049709247868,1.6683989477078285,0.0015576301753811692,0.004659247763068309,0.003959640476872341
35.0,0.6513042801355059,1.8633663666458637,256.2672,128.1336,1.0,0.3231877074678255,0.3388599617170504,0.20278067746083975,0.2919894988046949,0.5506726180873177,2.5651638728577857,0.3023478525204504,0.11271239773442412,0.7109430917324379,0.6428455650915215,0.20481308260690573,1.7982461945720767,0.26540954625810254,0.26933719857688754,0.5227516293525696,0.32227191228816154,0.21122650003410945,0.11389601892395189,0.0028189869207760508,1.6448903793834688,0.001467760477946288,0.00447826925916824,0.002380941982502927
36.0,0.6465839994894244,1.7903394748018802,263.58912,131.79456,1.0,0.3248357755515919,0.3420228795350092,0.2043186432426481,0.28844588430409496,0.5539111733905467,2.532549529817111,0.3015244855129059,0.11271239773442412,0.7130556701229155,0.643159690418077,0.20567700861668353,1.8058314114913323,0.2686532417646374,0.27312883435582824,0.5102762579917908,0.32393520363781075,0.21312466380723652,0.11389601892395189,0.0027428399902974924,1.648128516457291,0.0014055638805731273,0.00438863412069361,0.0037793912991599004
37.0,0.643301713099045,2.041904697408742,270.91104,135.45552,1.0,0.32096044504483484,0.33794217365737206,0.20119595548285085,0.289856894539034,0.5750055002858608,2.5445079665128283,0.304726778740258,0.11271239773442412,0.7106754323623184,0.6425243242258281,0.204411835502448,1.7947232698180025,0.2650946766702394,0.2677749740240463,0.5467712879180908,0.32011041343546676,0.20979223004939884,0.11389601892395189,0.0028632083361454933,1.7738302423640562,0.0013755515023895371,0.004689604625673307,0.005643457884091854
38.0,0.648460342042313,1.8890939506504592,278.23296,139.11648,1.0,0.30457641591906515,0.33874118354230154,0.1924204183095302,0.2899859845897529,0.5523399123179977,2.5411633125078796,0.3086932786491162,0.11271239773442412,0.7101492072550406,0.6395393367333646,0.2027543541275267,1.780170685885916,0.26235354049923587,0.26395812562313065,0.49551668763160706,0.3036909964743206,0.20159216082016168,0.11389601892395189,0.002663400076960434,1.6989142531147081,0.0012683022451761142,0.004377380393830501,0.004988718849431832
39.0,0.6483842082091184,2.0250327384415936,285.55488,142.77744,1.0,0.31664264297335476,0.3397135814821629,0.2009523477302276,0.29226515244134993,0.5743790395328126,2.5656672977603807,0.2989349372900931,0.11271239773442412,0.713160856751902,0.639040822312363,0.20233757244087097,1.7765113684611866,0.2623024324627284,0.26551117809595576,0.5215950608253479,0.3160248657616263,0.21080590752277156,0.11389601892395189,0.0025944378340463335,1.7036440973643039,0.0012718635251651432,0.004227874988865925,0.0034726203025873432
40.0,0.6518662824589404,2.620673622879355,292.8768,146.4384,1.0,0.3377436348523931,0.3406580520851228,0.21208280755808806,0.2926407926326959,0.5836285994216434,2.572503536159969,0.29902282556376536,0.11271239773442412,0.7127485438673842,0.6376434157619808,0.20282479367979434,1.7807891407970984,0.26299092003063124,0.26580443750696847,0.5031052231788635,0.33627058191428233,0.22122375927055668,0.11389601892395189,0.0024076409962649585,1.6230462486564647,0.0012630973853888655,0.00383045138375219,0.003242389985101225
41.0,0.6487501842559423,1.986108557239379,300.19872,150.09936,1.0,0.3201809426713507,0.34420251957425685,0.20047149400450898,0.29708791703580884,0.5633038409649761,2.608804074847615,0.30407350727760424,0.11271239773442412,0.713154558036568,0.6413994541189283,0.20419509258064084,1.7928202803732889,0.26763932073666585,0.2684527796383121,0.5214053988456726,0.3189127761748885,0.20929386419263402,0.11389601892395189,0.0023933729420052394,1.655741116246645,0.001208261204099881,0.0038645420646680802,0.0034523512979137447
42.0,0.6492629810801105,1.8628366046354994,307.52064,153.76032,1.0,0.32423019158981076,0.3490889613650246,0.20396764054868535,0.2977517881878351,0.5957061821912503,2.6099413853888342,0.3040617836250557,0.11271239773442412,0.7140758646106764,0.6381289665993329,0.2037245149478743,1.788688637869781,0.2641112539441393,0.2658670664667666,0.512081503868103,0.3229771159774531,0.21359106628238853,0.11389601892395189,0.002489082070839474,1.7693937474823542,0.0010894882557179865,0.004224200461988922,0.004205437184172579
43.0,0.6582641644660226,3.113602547843092,314.84256,157.42128,1.0,0.32153327314659397,0.3493358809733697,0.20201164744950068,0.3023164727922472,0.5850466464715907,2.6506130073192793,0.3053362993000651,0.11271239773442412,0.7165606370896371,0.6381654604049989,0.20342262291953084,1.7860380445374098,0.26513035381750466,0.26765074502158476,0.5360750555992126,0.32033290683139204,0.2118853489561422,0.11389601892395189,0.00251454702039224,1.833679843362006,0.001107317850399378,0.004257135783922845,0.004075133980387048
44.0,0.6549369070200779,2.7543418223043106,322.16448,161.08224,1.0,0.31328360094250757,0.34803975867545794,0.19767696826794495,0.30116534965681097,0.5755222864875708,2.6391865740019154,0.30781707833384914,0.11271239773442412,0.7156746925851089,0.6370757789607839,0.20259738075769476,1.7787924694099146,0.2622722525240803,0.26513718070009457,0.5036840438842773,0.3121333106086364,0.2076947313008854,0.11389601892395189,0.0024991053981358712,1.8708545764920927,0.0010733391918574735,0.0042597889994943836,0.00630109358085301
45.0,0.6491748273809963,2.762998827253866,329.4864,164.7432,1.0,0.3288996889719051,0.35029468385685625,0.2066836801348375,0.3020358271064796,0.5725489532857513,2.6474427560194917,0.3057062554185868,0.11271239773442412,0.7167955623617156,0.6359740374934448,0.20227759451558708,1.7759847659877153,0.2608994164092001,0.26604241255852384,0.5403209924697876,0.3282525619891761,0.2173485788542549,0.11389601892395189,0.0024906938462391005,1.9104581745959877,0.0010869457654733065,0.004227230236712434,0.005327314019253184
46.0,0.6544334437762117,2.668208569106773,336.80832,168.40416,1.0,0.3205882161126033,0.35599816904770376,0.20091448872043183,0.3048295076307359,0.5817874517303505,2.6688742961308214,0.30580858133084315,0.11271239773442412,0.7173766243221565,0.6338940286144567,0.20070603561829234,1.7621865760936148,0.2597281914275758,0.2665207278697496,0.5331420302391052,0.3203172563079854,0.21187719785390102,0.11389601892395189,0.002328921205710969,1.8336944624934404,0.0009953634055948793,0.003981172981875693,0.0035205184118274504
47.0,0.6621599386182385,2.7411560986679455,344.13024,172.06512,1.0,0.3221663937539813,0.35400113077296863,0.20242213918821636,0.3014819608871888,0.5793921395151624,2.642393264286169,0.3099042606270799,0.11271239773442412,0.7180203918204298,0.6343698159783535,0.20136609488570004,1.7679818556270321,0.26284127718648775,0.2644259019861323,0.5036360025405884,0.3211311179860013,0.2134162670738756,0.11389601892395189,0.002096795461648206,1.6898383617499348,0.0009408931549827879,0.003522949327898119,0.0038315091350322383
48.0,0.6569444543979734,2.7030964951955623,351.45216,175.72608,1.0,0.30461958124661687,0.35205897976268113,0.19170617950175978,0.3045928217126385,0.5811529928854683,2.6647176062994555,0.3110287487170784,0.11271239773442412,0.7195630256155974,0.6327149323265795,0.19891942728620599,1.7465002654660302,0.26179159049360146,0.26334617501375895,0.5239455103874207,0.3032738570962745,0.20250827549338876,0.11389601892395189,0.0019557230768942847,1.6120940257878829,0.0008898034828900308,0.0032670778109928607,0.0037644558287962195
49.0,0.6613798269321384,3.3966802888738634,358.77408,179.38704,1.0,0.316409318726573,0.3570925932164136,0.1994071698370969,0.3031170163954056,0.5870808144347932,2.656113696576665,0.30670205729353034,0.11271239773442412,0.722341790131533,0.6337717091083268,0.20242185641838495,1.7772513765695495,0.2643731239898407,0.2650118203309693,0.5044569969177246,0.31579234718729354,0.21068622466981837,0.11389601892395189,0.0019064738475392117,1.6060603984469708,0.0009090249472063811,0.0031327968091271795,0.004340514087387551
50.0,0.6650487158004326,3.490486728303053,366.096,183.048,1.0,0.32484153318155057,0.35573599877375045,0.20453517938644133,0.30545207461609575,0.5778207070164291,2.684418985955324,0.3031556891842435,0.11271239773442412,0.722978470404783,0.6354614300381368,0.20252310818065775,1.7781403607783866,0.2611171960569551,0.268547402685474,0.540128231048584,0.32430377501581986,0.21539831661179112,0.11389601892395189,0.002021347369660295,1.7421238939678005,0.0009559006698613702,0.003332889488800189,0.0036684370087179496
