round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
12.0,0.6282217054105657,0.5031493100418866,6.7088,26.8032,0.5412350858791136,0.31787261436168734,0.21842273850398577,0.11271239773442412,0.28758513121016344,0.5669608548836859,2.32171632813825,0.2530009346252461,0.3472263914021288,0.6872963963791082,0.4053109606058153,0.08848645129621013,0.7769055681857707,0.13257257929182747,0.2045115501107545,0.47089043259620667,0.395953131048133,0.26121783775313956,0.11389601892395189,0.007237861491656821,0.747746055945754,,0.007237861491656821
13.0,0.6071838276296406,0.5349586753264929,7.2048,28.78464,0.5412350858791136,0.3277443303623102,0.21133558388394297,0.11271239773442412,0.29527100712804,0.589981897065593,2.4301416098275372,0.26306239403799514,0.33742697277323785,0.6961352736944763,0.42188214769710786,0.09206291572253679,0.8083067045917293,0.15293930221443364,0.2047058823529412,0.4741670787334442,0.3977195189138851,0.26206026351419465,0.11389601892395189,0.008375906024391375,0.8999749107751995,,0.008375906024391375
14.0,0.5941142658028908,0.6566797012264021,7.7008,30.76608,0.5412350858791136,0.33683270387487607,0.21297968011905896,0.11271239773442412,0.30230785374227903,0.5806661845416373,2.5488638186037065,0.27525090697804855,0.34091131237913985,0.7079281112281658,0.4358947149188736,0.09573868395836901,0.8405797223017384,0.1569645698969763,0.20461657067706682,0.4748670160770416,0.3948708614745542,0.2592456094955394,0.11389601892395189,0.008915485404011294,1.010444071260281,,0.008915485404011294
15.0,0.6365139610503953,0.632722639668328,8.1184,32.4352,0.4559241291901578,0.30393410427468737,0.2052957627095249,0.11271239773442412,0.2879864658892999,0.50695525786275,2.1365455893755194,0.23605611845004645,0.3246282923371162,0.6701423089792837,0.4221355713255871,0.09198494948228413,0.8076221658256754,0.15175066100472717,0.20458457914288303,0.4741174578666687,0.3973440463283508,0.26167570892041164,0.11389601892395189,0.01130248308480814,0.618618527892977,0.01130248308480814,
16.0,0.6381124030956684,0.616270910761439,8.6144,34.41664,0.5412350858791136,0.30676407510032905,0.22454407594005255,0.11271239773442412,0.28381800507302374,0.5673792741972367,2.2837512202876944,0.24841794481258708,0.35650872091608565,0.6815010038475342,0.41196519444697804,0.08941981920421367,0.7851004806754402,0.13684392863329292,0.2045649717514124,0.4709985554218292,0.39395302853590775,0.2591200367786294,0.11389601892395189,0.007097422070297466,0.8387044674018398,,0.007097422070297466
17.0,0.6206736641627885,0.5399516409266358,9.1104,36.39808,0.5412350858791136,0.32195181080713536,0.2118181026727928,0.11271239773442412,0.29730110632454354,0.5352275339142192,2.4304455929268793,0.26349755246480805,0.33954990366514815,0.6946955023906206,0.40193520828500745,0.08794801718667085,0.7721781500141242,0.13810948491954395,0.2045649717514124,0.47215890884399414,0.39799334964020705,0.26262050626520755,0.11389601892395189,0.007327282492489317,0.894344171625562,,0.007327282492489317
18.0,0.6066708252973076,0.6709211447211432,9.6064,38.37952,0.5412350858791136,0.33481722122673224,0.20955198200337247,0.11271239773442412,0.3044142086436824,0.577268330669388,2.547978133093954,0.2753251976340993,0.3350740990140213,0.704336581099056,0.41767043874740606,0.09058608268080456,0.7953402018492735,0.14508463270240973,0.20450951154489178,0.4686323404312134,0.3962827546378495,0.26089630122878976,0.11389601892395189,0.007730444306397275,0.9821285152575001,,0.007730444306397275
19.0,0.5831979299660548,0.8055994668368729,10.1024,40.36096,0.5412350858791136,0.34060045384464727,0.19603914077122006,0.11271239773442412,0.31263554865546267,0.5638215202441974,2.663659693554772,0.2860075500840658,0.31311037609461495,0.7110854110795352,0.43323883679834574,0.09464106931053301,0.8309427335974283,0.15362989912353234,0.2045300420453004,0.46944287419319153,0.3957137709292356,0.26003907941713567,0.11389601892395189,0.007949735965411762,1.0579872214002535,,0.007949735965411762
20.0,0.6436521059038823,0.8560861645586202,11.016,44.01152,0.9971592150692714,0.3005209609680296,0.22333698485995815,0.11271239773442412,0.28482788015434496,0.5429640241093872,2.1398137954803627,0.23648658275023218,0.3549873612985211,0.670341442927845,0.45272856203512757,0.1018530830031747,0.8942637676491727,0.1486445324398416,0.20452799493876814,0.4667307138442993,0.38634277245191895,0.2514791494573236,0.11389601892395189,0.007356278611019767,1.4526527635753155,0.010073686812627268,0.006188779517019521
21.0,0.6378775181099979,0.5533169211981398,11.512,45.99296,0.5412350858791136,0.3144318465710525,0.21517845226389173,0.11271239773442412,0.2886305167634705,0.5376742938241542,2.2996563579262457,0.2505223470771118,0.3431053093081847,0.683773076095669,0.4717462647435351,0.11107502646358408,0.9752318607180521,0.15159974232338416,0.2045649717514124,0.4654102921485901,0.3837652304757012,0.24892911418881625,0.11389601892395189,0.005814848263618395,0.8191647732164711,,0.005814848263618395
