round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_brier,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
22.0,0.6400198091918732,0.4353129697881374,32.85504,32.85504,0.0,0.3250688474117969,0.11430010070493454,0.21408103482008983,2.327261920966881,0.3397010700607885,0.6938576196319842,0.2931560782821099,0.2622200618685621,0.5721611957040438,0.32588698646451275,0.07891092279302042,0.6928330203157413,0.1183328475663072,0.2045002711006687,0.3254883289337158,0.3867943526916267,0.25328199828451997,0.11389601892395189,0.0,0.0,,
23.0,0.6232012910153661,0.5153277779259848,32.85504,32.85504,0.0,0.34061770744527603,0.11430010070493454,0.21964582786996234,2.4680693822517963,0.34730613009168515,0.7063680422597481,0.3011807240012614,0.2772086428268521,0.5930076758288155,0.32588698646451275,0.07891092279302042,0.6928330203157413,0.1183328475663072,0.2045002711006687,0.3254883289337158,0.3867943526916267,0.25328199828451997,0.11389601892395189,0.0,0.0,,
24.0,0.6131981973680478,0.716779802327809,32.85504,32.85504,0.0,0.35164460154650207,0.11430010070493454,0.2083088268164882,2.611215259183986,0.3318652627209562,0.7175474125464949,0.3115096029798765,0.2929959091869909,0.5980562322471978,0.32588698646451275,0.07891092279302042,0.6928330203157413,0.1183328475663072,0.2045002711006687,0.3254883289337158,0.3867943526916267,0.25328199828451997,0.11389601892395189,0.0,0.0,,
25.0,0.6421254632853239,0.49040737328132167,36.5056,36.5056,0.9971592150692714,0.3197399833297684,0.11430010070493454,0.20923847932864106,2.2415905284843682,0.3326842444207921,0.6832874017990626,0.288013581011963,0.2531242666022874,0.5522058838368783,0.3266502692183684,0.07908385038077723,0.6943513138381188,0.1317372854518969,0.2045002711006687,0.3317824602127075,0.3916637244042275,0.25717474168306376,0.11389601892395189,0.007226700136072883,1.3140934952534735,0.005434988088679999,0.008793609915306906
26.0,0.6414733011343365,0.5141826112157033,36.5056,36.5056,0.0,0.33168716034511864,0.11430010070493454,0.20147832710762228,2.420768131690026,0.3222230804858078,0.6976164024230824,0.3039200685436982,0.2726539302264039,0.5638374057368631,0.3266502692183684,0.07908385038077723,0.6943513138381188,0.1317372854518969,0.2045002711006687,0.3317824602127075,0.3916637244042275,0.25717474168306376,0.11389601892395189,0.0,0.0,,
27.0,0.6247595975445674,0.5928824284175345,36.5056,36.5056,0.0,0.34471555448783653,0.11430010070493454,0.20214046843294642,2.5146019477943535,0.3240040064895337,0.7095269776168202,0.31246399015905335,0.2816736881358741,0.5559739938093967,0.3266502692183684,0.07908385038077723,0.6943513138381188,0.1317372854518969,0.2045002711006687,0.3317824602127075,0.3916637244042275,0.25717474168306376,0.11389601892395189,0.0,0.0,,
28.0,0.6048866884291112,0.5667167830257439,36.5056,36.5056,0.0,0.3514359061431164,0.11430010070493454,0.21696729220836505,2.669154814831873,0.34219910221890426,0.718635860616306,0.3095460386926989,0.2955390258493565,0.6282026082772503,0.3266502692183684,0.07908385038077723,0.6943513138381188,0.1317372854518969,0.2045002711006687,0.3317824602127075,0.3916637244042275,0.25717474168306376,0.11389601892395189,0.0,0.0,,
29.0,0.6427548360984973,0.540013840170147,40.15616,40.15616,0.9971592150692714,0.31908125475231097,0.11430010070493454,0.21093784103602597,2.261954857540243,0.33636930063348125,0.6850562869605428,0.2886767471497229,0.25530887417141773,0.555935051778007,0.32783897838628007,0.07931542404667169,0.6963845162984179,0.1255599294149586,0.2045002711006687,0.3336181938648224,0.38706812543473995,0.2532405453893259,0.11389601892395189,0.007200553974575754,1.3868477446958423,0.00541147022723237,0.008792409318803474
30.0,0.6432671310202214,0.5556773677106899,40.15616,40.15616,0.0,0.33753730149290145,0.11430010070493454,0.2102688234150937,2.4456406444144796,0.3352658095392553,0.7019225826593998,0.29908085577062665,0.274391908061023,0.5762773279929749,0.32783897838628007,0.07931542404667169,0.6963845162984179,0.1255599294149586,0.2045002711006687,0.3336181938648224,0.38706812543473995,0.2532405453893259,0.11389601892395189,0.0,0.0,,
31.0,0.621773446443535,0.5453175961859118,40.15616,40.15616,0.0,0.3426113678561268,0.11430010070493454,0.20933547692615256,2.573054430277506,0.33369669486643794,0.7112015165160958,0.30936145413717314,0.2876563138447585,0.5736841255703271,0.32783897838628007,0.07931542404667169,0.6963845162984179,0.1255599294149586,0.2045002711006687,0.3336181938648224,0.38706812543473995,0.2532405453893259,0.11389601892395189,0.0,0.0,,
