round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc,fed_prevalence,fed_auprc_lift,fed_auroc,fed_ece,fed_f1_best,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6543851039118467,0.22104781422714645,5.8107225,40.27056,1.0,0.20849094458494152,0.22707752744579007,0.11246066708621771,2.045852746458236,0.6601763040826651,0.33558815470125936,0.2941857609136409,0.2708084827314308,0.48347885008687996,0.6611494549848406,0.21232379026213416,1.8641897431366963,0.2683302526186075,0.276965379327584,0.4775046110153198,0.33395374895816077,0.20875577794360675,0.11389601892395189,0.00698219554776329,0.44445300910774677,0.005611172018160157,0.008779718000501386,0.0006859929026154447
12.0,0.6510367028570465,0.23300319256164115,6.33897,43.93152,1.0,0.2105615881632794,0.22757304654822694,0.11246066708621771,2.050266394876059,0.6606262706076591,0.3387044614819778,0.2945075627039955,0.2727386981633131,0.4841497762875409,0.6615928271148875,0.21269497071840712,1.867448684579775,0.2694377990430622,0.27824640608292744,0.4756094515323639,0.3369988789810521,0.21081414416229527,0.11389601892395189,0.006828760762905733,0.4709818012670439,0.005389396847591809,0.008792216270379868,0.0009959709159676846
13.0,0.650665245566742,0.25599611320942045,6.8672175,47.59248,1.0,0.21136720437298215,0.22797635402779629,0.11246066708621771,2.0561054288583316,0.6608562591541703,0.3397759804810421,0.29492321374328134,0.2709697138049614,0.48358166332586955,0.6617496952616634,0.21294469863395715,1.8696412802289415,0.26804733727810653,0.27920088246108593,0.47828909754753113,0.33810841815509685,0.2116324517073172,0.11389601892395189,0.00572130875258614,0.423235815096632,0.004353560962204273,0.007665703940705781,0.0007423412293767554
14.0,0.6525881873432298,0.2636908874640901,7.395465,51.25344,1.0,0.2127625327674591,0.22781018109921636,0.11246066708621771,2.0524550557310155,0.6611373174567597,0.34192791994897875,0.2949312234635984,0.2724061533364935,0.48469779577324257,0.6619947107574754,0.21343239818991566,1.8739232521588307,0.268603084294056,0.2792495736213758,0.4730066657066345,0.34029132404650897,0.21302873091599842,0.11389601892395189,0.0053301512577450345,0.4212690779222612,0.004137007093690447,0.0070945449608864454,0.0006840291050606382
15.0,0.6499920914237844,0.23813758478512348,7.9237125,54.9144,1.0,0.21199710311809616,0.22774989589213449,0.11246066708621771,2.0503422086281553,0.6615514645905911,0.34057602942965176,0.29564389258484697,0.2737639665714214,0.48873546783319416,0.662254195771146,0.21388080727951472,1.8778602562247804,0.26844444444444443,0.27915726109857036,0.481781005859375,0.33898874920659716,0.2122112059334216,0.11389601892395189,0.005066782512861068,0.4260348939769756,0.0037555016487319003,0.007077873546578338,0.0006104055322693754
16.0,0.650793952908804,0.2560787678233828,8.45196,58.57536,1.0,0.21333621648007062,0.22775475884399596,0.11246066708621771,2.049619822111076,0.6618493464481303,0.34255068722650495,0.2950684574600024,0.2742222471845,0.49195675022051416,0.6626401039616662,0.21401824314566595,1.8790669346271482,0.2696921520450932,0.27835288704853917,0.478181928396225,0.3409986994896965,0.21354456748104703,0.11389601892395189,0.004773395216177439,0.42704876186417096,0.0033229155637516682,0.007048867051332124,0.0008165951528734239
17.0,0.6522534450696202,0.2521963883747055,8.9802075,62.23632,1.0,0.2108332818456045,0.2273545882125649,0.11246066708621771,2.0425341575152784,0.6623144901660404,0.33861893877208865,0.295626139545736,0.27631120818154525,0.4888987152024287,0.6624603707138164,0.2142083460780648,1.8807360266129338,0.2697119581029968,0.2785046728971962,0.47904980182647705,0.3371280072826619,0.21107007742819955,0.11389601892395189,0.004092682811257203,0.38840666446503747,0.0028609823636328276,0.00609956341664554,0.0006670248343928567
18.0,0.65142765072397,0.2701353742812437,9.508455,65.89728,1.0,0.21085055621929513,0.22789083126786286,0.11246066708621771,2.0473877420582136,0.6625490939708777,0.33876724142822695,0.29565129980912136,0.2759815648782002,0.49012726946324187,0.6625203821920469,0.21423976457489396,1.8810118790713954,0.27077195050088393,0.2770316412474391,0.4760831892490387,0.3372585893493275,0.21113224772993688,0.11389601892395189,0.003919814968257368,0.3925606495840839,0.002693172640512011,0.0060020456854072484,0.0006257304096141432
19.0,0.6484704227388419,0.2430375537805356,10.0367025,69.55824,1.0,0.20778485817439818,0.22833821495114756,0.11246066708621771,2.0516782951573385,0.6627280733040255,0.33381944950212833,0.2959753358020624,0.2755393638607139,0.48346497837929986,0.6624940534422921,0.21423529446163098,1.880972631753489,0.2692307692307692,0.2781271837875611,0.4760752320289612,0.3323489228486895,0.20809304374193296,0.11389601892395189,0.0034810664633911363,0.36867134096064547,0.0023075613534220166,0.005547326834908506,0.000648307086350985
20.0,0.6504049244560358,0.28500534864071,10.56495,73.2192,1.0,0.2115405595176105,0.22836434314951767,0.11246066708621771,2.052419632667618,0.6628463382885635,0.33986146241670284,0.29623865168111896,0.2754015166605911,0.4865328021999271,0.6625874966599634,0.21420768744990581,1.880730243898444,0.26702111948013585,0.27743655116467725,0.4770160913467407,0.3383398274706632,0.2118444443861964,0.11389601892395189,0.0037965191356816603,0.4252802491882903,0.0022900462627268438,0.0065178406334828985,0.0009352349241330094
