round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1_best,fed_ece,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_f1,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.16232250407993187,0.05051409248727847,40.27056,40.27056,1.0,0.6842014178231342,0.25712188033850236,0.3211299818402026,0.37912869321188,2.2398462338240295,0.24048251178242058,0.5300251985454606,0.27907301722902095,0.11530715005035247,0.674119451404231,0.22665256135256126,1.989995466864357,0.27687518241074033,0.2873878821160535,0.5394783020019531,0.3795357545141881,0.24087245626642292,0.11389601892395189,0.007684619811407223,1.4024112676438563,0.006099757337456737,0.009114558064116266,0.00668685936352422
12.0,0.16177734137133984,0.041304446534855085,43.93152,43.93152,1.0,0.6850028612018765,0.25951522092246293,0.3213293124653424,0.3772993111928545,2.264847560710754,0.23898001127756474,0.53055188559701,0.2811138620995929,0.11530715005035247,0.6743078437737828,0.22807531525263613,2.0024871580886554,0.27586876334692295,0.2899543378995434,0.5274162292480469,0.3778735303355004,0.23946818146996487,0.11389601892395189,0.0071430279863921265,1.3803458601050806,0.005546412671898137,0.008624469133649707,0.006611643865807039
13.0,0.16361565832168218,0.05035510756449951,47.59248,47.59248,1.0,0.6868800832069203,0.2626594959181506,0.32538827899714257,0.36436136702426375,2.2982365723711125,0.2292182631780276,0.5274856559208183,0.2900338296220245,0.11530715005035247,0.6747748214225566,0.2281408394260522,2.00306245627761,0.2800749807034954,0.28953556731334507,0.521621584892273,0.3648225403007825,0.22974530732143925,0.11389601892395189,0.007171444224787355,1.4705967645859346,0.00548233857691216,0.008772261139764127,0.006164864139208076
14.0,0.16469093324388542,0.070038382191853,51.25344,51.25344,1.0,0.68979868363816,0.26694409502352606,0.32465920461228603,0.37586342503784703,2.334138410442545,0.23783081788829777,0.5219719936454075,0.28813044581331304,0.11530715005035247,0.6734939490810514,0.22771914275006822,1.999359985550643,0.2749580536912752,0.2885003362474782,0.5273288488388062,0.37628317117613047,0.23844127305758053,0.11389601892395189,0.006898999489777538,1.4906465562617086,0.005193007620240916,0.008547240724013343,0.007844729756568965
15.0,0.16335780566970176,0.05260335388695773,54.9144,54.9144,1.0,0.6923716773263434,0.26939243030418586,0.3244488981407117,0.37590426879617017,2.352770597625851,0.23740126661474775,0.5261048734702043,0.2857007315519033,0.11530715005035247,0.673040763279742,0.2277396597479137,1.9995401235224466,0.2747747747747748,0.28770517187983896,0.5321723222732544,0.37638617246912576,0.23830099410597702,0.11389601892395189,0.0060417470981534785,1.3806057984402287,0.004409925152957168,0.007655179396976426,0.005177663193216536
16.0,0.16028028723506887,0.046017745322289166,58.57536,58.57536,1.0,0.6931838336510744,0.2716038404976445,0.32901219898662176,0.36523237833631306,2.3777156848269416,0.22985960402798597,0.5206288356120132,0.29776353259954264,0.11530715005035247,0.6730674183152421,0.23032324066116505,2.0222238041081257,0.27772578380907814,0.28959672706019873,0.5147973299026489,0.36591647165855623,0.23066611694895423,0.11389601892395189,0.005791865073364582,1.395705918137537,0.004259527458433611,0.00733897813071576,0.005629698886718971
17.0,0.16377462933917858,0.0703962863046658,62.23632,62.23632,1.0,0.6955184034207091,0.2748476830645627,0.32920125811465356,0.36934438673638686,2.4045388568053028,0.23268723160953816,0.523906562696816,0.2956086389671941,0.11530715005035247,0.6718825618290153,0.22720208252938273,1.9948202288008419,0.27397547426894453,0.287448275862069,0.5179242491722107,0.37004531861833495,0.23371011089689223,0.11389601892395189,0.0060210590442157435,1.5214124424728652,0.004072981457905883,0.008032541075234018,0.006154692115581238
18.0,0.1613602727986095,0.06402649507284189,65.89728,65.89728,1.0,0.6963377156114057,0.2798967741690918,0.3329924315558666,0.3719729378496832,2.4481391574381646,0.23408169187107636,0.5365227443097611,0.29243024456507366,0.11530715005035247,0.6719464008900272,0.22999496877668862,2.019341597270891,0.275375651640601,0.288064403220161,0.5378482341766357,0.372186036093785,0.23513010323906958,0.11389601892395189,0.0055255516375134935,1.4661873433651635,0.003847124556220533,0.007284862800990589,0.0066361003728434885
19.0,0.16142791890307842,0.0689548561502677,69.55824,69.55824,1.0,0.6982921810288722,0.28300280460087524,0.33320692431100174,0.36825773052304744,2.471210999952797,0.2313293437403399,0.5244091813624177,0.300772737590805,0.11530715005035247,0.6705476389988569,0.22898958819014653,2.0105144179187016,0.2809014869888476,0.28921722728701665,0.5217816829681396,0.3684733184380263,0.23249924239090364,0.11389601892395189,0.005319239708981875,1.4874460778464709,0.003606443664424828,0.007143251675280316,0.0051924919137173045
20.0,0.16335972064281384,0.07055625411546818,73.2192,73.2192,1.0,0.6991003993776584,0.2851918843317772,0.3339655618440604,0.3662487575005879,2.4846835480465796,0.22992172690886223,0.5238178651104611,0.30000585722600526,0.11530715005035247,0.6699585677340845,0.22758886056688157,1.998216116042143,0.27697299802989916,0.2876595744680851,0.5263001918792725,0.3666759835176196,0.2312207539283247,0.11389601892395189,0.006070620756759788,1.7809840694585546,0.0036374306490011697,0.008689268968514748,0.0067908786133327
21.0,0.16467327581307342,0.07486845431334117,76.88016,76.88016,1.0,0.7015511992374842,0.28439363117626465,0.33652027579248894,0.3761653422967935,2.4711185511631966,0.2370015007213239,0.5247264053627533,0.2953443126429384,0.11530715005035247,0.6693079665074207,0.22832525077766763,2.0046815765362256,0.276890756302521,0.2861440748788234,0.5317766666412354,0.3765728590553711,0.23849395355483846,0.11389601892395189,0.005728076877972266,1.7662270668715792,0.0034472352238396806,0.008201384232241123,0.00669698296615535
