round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
13.0,0.6424530550202101,0.4473174819472326,29.20448,29.20448,0.9971592150692714,0.3131155212395072,0.5727903694345896,0.22947224335399305,0.3584819747735132,0.11469218179529145,0.23896314685143075,0.6777880850018086,2.1247154573974716,0.28021504594254837,0.661572371508548,0.2262195229956906,1.9861934168808555,0.26817878585723814,0.281585220500596,0.51945561170578,0.38595587088649075,0.24636537511349835,0.11389601892395189,0.008471606717484663,1.4211154060903937,0.007551324795443098,0.009207071610455517
14.0,0.6403181581593526,0.4019572136611753,29.20448,29.20448,0.0,0.33114590229238716,0.5770376322796373,0.21039617798521276,0.3315565278199042,0.11469218179529145,0.2576567440164363,0.6944466909946585,2.306836570007896,0.30408864298463895,0.661572371508548,0.2262195229956906,1.9861934168808555,0.26817878585723814,0.281585220500596,0.51945561170578,0.38595587088649075,0.24636537511349835,0.11389601892395189,0.0,0.0,,
15.0,0.6240676224130153,0.44083644164322405,31.18592,31.18592,0.5412350858791136,0.3465565773015856,0.5628069273364885,0.2122627129833351,0.3392897708148953,0.11469218179529145,0.27050942377968634,0.706257676749394,2.425137493151977,0.3089545975280013,0.6619826381848994,0.22691213335770866,1.9922744930111858,0.26498075865860365,0.28055489117436017,0.5123834609985352,0.3873973562649761,0.2474319829105836,0.11389601892395189,0.010240817239121408,0.9988280975958332,,0.010240817239121408
16.0,0.6086499675265082,0.48892739291675413,31.18592,31.18592,0.0,0.3561173957044168,0.6063494436516954,0.20849609218353515,0.3279076691091495,0.11469218179529145,0.2863014902272194,0.7156813727725246,2.569906075379549,0.31571036732456315,0.6619826381848994,0.22691213335770866,1.9922744930111858,0.26498075865860365,0.28055489117436017,0.5123834609985352,0.3873973562649761,0.2474319829105836,0.11389601892395189,0.0,0.0,,
17.0,0.6377302021523352,0.46968050014417695,34.83648,34.83648,0.9971592150692714,0.3155700522766295,0.548890350738956,0.2177632288116967,0.3439242128560904,0.11469218179529145,0.24346014071097954,0.6808787175537961,2.1590612399107916,0.2886863027295968,0.6620510452463455,0.2279369078271209,2.0012719494551767,0.26962230044715063,0.2806593074247694,0.5169744491577148,0.3824926255270557,0.24410948782239214,0.11389601892395189,0.007156420799674393,1.3100397310918197,0.006476862843374881,0.007689553615943739
18.0,0.6393224287851743,0.42644914482980034,34.83648,34.83648,0.0,0.3316320883285305,0.5626338344481463,0.21697556433669518,0.34185034426940597,0.11469218179529145,0.26248058633214094,0.6976785383202219,2.3472282589957607,0.2977710311523376,0.6620510452463455,0.2279369078271209,2.0012719494551767,0.26962230044715063,0.2806593074247694,0.5169744491577148,0.3824926255270557,0.24410948782239214,0.11389601892395189,0.0,0.0,,
19.0,0.6228435890417925,0.4836497431606882,36.81792,36.81792,0.5412350858791136,0.3454136344767915,0.5660295130383168,0.20906838418230034,0.3342183792320387,0.11469218179529145,0.2755196533847191,0.7092015102650077,2.4688906990121295,0.3136802662250688,0.66155271906712,0.22680794237198326,1.9913597026022691,0.2668900055834729,0.2806965322220568,0.5169374942779541,0.3839564724299452,0.24527091366857862,0.11389601892395189,0.007978524575168015,0.8460474722087383,,0.007978524575168015
20.0,0.5996887067382677,0.539455721561296,36.81792,36.81792,0.0,0.3603635674648478,0.5942729564003031,0.2065552018713939,0.3259339141862868,0.11469218179529145,0.2930478712936425,0.7208657278649919,2.626678963456026,0.31713542934711264,0.66155271906712,0.22680794237198326,1.9913597026022691,0.2668900055834729,0.2806965322220568,0.5169374942779541,0.3839564724299452,0.24527091366857862,0.11389601892395189,0.0,0.0,,
21.0,0.6384948498211597,0.605934775334013,40.46848,40.46848,0.9971592150692714,0.31693421761709795,0.5438608052327443,0.2054221025587481,0.32382377364908277,0.11469218179529145,0.2464194933047333,0.6823940914941526,2.1852256072355387,0.29530896217942904,0.6620141624076755,0.2269814059607217,1.9928827021801057,0.27203185581054173,0.28428246013667424,0.513869047164917,0.379668193580976,0.24207169991653824,0.11389601892395189,0.00703340573589487,1.3833485724171624,0.006247946180567683,0.007643302755201611
22.0,0.6358093648177715,0.5846979221347498,40.46848,40.46848,0.0,0.3359573259529246,0.5586233759604008,0.21305876663449147,0.3379986390899892,0.11469218179529145,0.2641360646804364,0.6999667569638617,2.3581032953225436,0.3039191655762011,0.6620141624076755,0.2269814059607217,1.9928827021801057,0.27203185581054173,0.28428246013667424,0.513869047164917,0.379668193580976,0.24207169991653824,0.11389601892395189,0.0,0.0,,
23.0,0.6157487962608974,0.5868161127466415,42.44992,42.44992,0.5412350858791136,0.35297585283767446,0.5652701801539639,0.2100365064566723,0.3366677444017827,0.11469218179529145,0.2820640768451172,0.7156539355774478,2.529288104597261,0.3190649199439306,0.6620510577957972,0.22648101033467585,1.9884892595402892,0.27063947733122157,0.2834932186569633,0.5167132019996643,0.3835340077362624,0.24521939356596387,0.11389601892395189,0.00840593896499413,0.9707223356235772,,0.00840593896499413
24.0,0.6013166596520696,0.7417661115857328,42.44992,42.44992,0.0,0.3684133421496298,0.5942713502340977,0.20866957937485062,0.33263109226442705,0.11469218179529145,0.30178144498513215,0.7290303603282112,2.715186873223575,0.32277672119947426,0.6620510577957972,0.22648101033467585,1.9884892595402892,0.27063947733122157,0.2834932186569633,0.5167132019996643,0.3835340077362624,0.24521939356596387,0.11389601892395189,0.0,0.0,,
25.0,0.6450872560279628,0.7010437121024204,46.10048,46.10048,0.9971592150692714,0.3219498924921048,0.5444633582782554,0.21388062078134162,0.3407708779652759,0.11469218179529145,0.25032684671030936,0.6853733948030156,2.2145430135231776,0.301270880867392,0.6621335453420979,0.2254376628025466,1.9793287327546611,0.2648648648648649,0.2849439477791968,0.5120278000831604,0.38497359115690205,0.2466472043910033,0.11389601892395189,0.0064996093818790535,1.3829830751055852,0.005828940776492714,0.007008614268755673
26.0,0.6365331275428079,0.48974660903044986,46.10048,46.10048,0.0,0.34079098268512437,0.535513104216422,0.20432050779226782,0.32529732021446284,0.11469218179529145,0.27111774662613236,0.7040618455153405,2.4151799888319907,0.31602437298422154,0.6621335453420979,0.2254376628025466,1.9793287327546611,0.2648648648648649,0.2849439477791968,0.5120278000831604,0.38497359115690205,0.2466472043910033,0.11389601892395189,0.0,0.0,,
27.0,0.6179272725228777,0.5273577837240702,48.08192,48.08192,0.5412350858791136,0.3575419308980873,0.5645490296444845,0.1934285169683162,0.31003321541374074,0.11469218179529145,0.2893039000271745,0.7158775242439344,2.589084541016273,0.3219062509906149,0.6620039346045059,0.2261357228267899,1.9854576565821866,0.26725348815432154,0.2847467193452801,0.5132520794868469,0.38355066734397286,0.24525368475806833,0.11389601892395189,0.007423564890208532,0.9277951586991549,,0.007423564890208532
28.0,0.5976195576889567,0.7215689837714203,48.08192,48.08192,0.0,0.3690829771968873,0.5808602000860938,0.20242632751666984,0.3239254222356297,0.11469218179529145,0.30530490219024087,0.7303154453687618,2.7435244181782594,0.32546103313976965,0.6620039346045059,0.2261357228267899,1.9854576565821866,0.26725348815432154,0.2847467193452801,0.5132520794868469,0.38355066734397286,0.24525368475806833,0.11389601892395189,0.0,0.0,,
29.0,0.6389226375948666,0.6953443518588716,51.73248,51.73248,0.9971592150692714,0.3190634480000548,0.5574980212818026,0.20658388142388248,0.3264297440483459,0.11469218179529145,0.2514036626919281,0.6865656576536131,2.2227864099374917,0.29627483439452457,0.6619678298318439,0.22659710322896806,1.9895085479701133,0.27063516416078554,0.2842246387606137,0.5122278332710266,0.3818174386064674,0.2439761991474788,0.11389601892395189,0.005782374682147307,1.323216080549173,0.00507720626956726,0.006311030366940081
