round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best_threshold,fed_auroc,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
13.0,0.638754112251519,0.5125821985355956,47.59248,47.59248,1.0,0.25971384654369095,0.5457011537419216,0.6786417558576869,0.2872717803488529,2.2863688622771914,0.11468496254799518,0.31734794077548195,0.2101193123980226,0.33218912814332335,0.6550724582754573,0.2113135957261711,1.8553202976064045,0.2735229759299781,0.2756764032844259,0.5199662446975708,0.33177966036971585,0.2122659185240813,0.11389601892395189,0.006497567568830931,1.5040696237729207,0.004976617133513154,0.007908569832748333,0.004446341085446886
14.0,0.6382172554936267,0.5576029582034331,51.25344,51.25344,1.0,0.2638459597442635,0.543514423655272,0.6794661280983632,0.29245323744366614,2.321686829668724,0.11468496254799518,0.3229646742719306,0.19980598287984216,0.31368614854120486,0.6563525901993099,0.21111310829725888,1.8535600303836661,0.27504328468958694,0.2772082572672378,0.5218781232833862,0.31318605833726393,0.20228964252162415,0.11389601892395189,0.006571286429016327,1.6123210126042977,0.004871353738489778,0.008160759892133437,0.005966250016440704
15.0,0.6446662551014382,0.8075142925288077,54.9144,54.9144,1.0,0.2670616743224344,0.5466841744710268,0.6840407734700352,0.2836069756054723,2.35918098305563,0.11468496254799518,0.32330866508044764,0.21579925769685135,0.3402285312894548,0.6548324500108904,0.2107453978333748,1.8503315552590913,0.2742818821951492,0.27741850336544804,0.5273734927177429,0.3404373183341744,0.2190288633953548,0.11389601892395189,0.006139871759790269,1.5954186854687578,0.004566853183863007,0.007637566993288702,0.004259776937884695
16.0,0.6392386982291027,0.6673116760894827,58.57536,58.57536,1.0,0.26965277267115656,0.5703225123684948,0.6854122652060249,0.2866340414649483,2.3815999883716,0.11468496254799518,0.32626573123174185,0.21218738136158044,0.3352024155071149,0.6550621928239324,0.20955394196741797,1.8398706464651469,0.27484240687679085,0.277128985697415,0.5242869257926941,0.33537763361437317,0.21563777366665762,0.11389601892395189,0.006324051682814234,1.7329789035047725,0.004379639224967144,0.008184900935749133,0.005449510324999027
17.0,0.6399194185890811,0.7215175896131691,62.23632,62.23632,1.0,0.2705162750784778,0.5836164001503232,0.6875242870834676,0.289843057173151,2.3863634086096392,0.11468496254799518,0.3243902718436707,0.21056584158080188,0.33100901931794396,0.6538120917380985,0.20904527729784078,1.8354046021346877,0.27339449541284405,0.276734693877551,0.5324214100837708,0.3313919483819983,0.2147451767173755,0.11389601892395189,0.005811147865991976,1.6796668827637404,0.004092034739599157,0.007475040666751085,0.00495174154540221
18.0,0.6379808231332655,0.8753955312708046,65.89728,65.89728,1.0,0.2706846682851212,0.5550944576492585,0.688066060658622,0.2897837929860492,2.3858805616557373,0.11468496254799518,0.32556017196453074,0.21233807227251503,0.33698526597458395,0.6536356966444121,0.2098634672562269,1.842588259352175,0.2730764753812129,0.2750060255483249,0.506016194820404,0.33728794351679864,0.21606085931165095,0.11389601892395189,0.005655876827900563,1.7161675619754533,0.003923214727429638,0.007357800746097747,0.004705821055324115
19.0,0.6459400887171249,0.7494187146685044,69.55824,69.55824,1.0,0.27304651440713673,0.569530683339051,0.6907690433278975,0.2873746413590618,2.411841266328752,0.11468496254799518,0.33205189252315476,0.2146091402642964,0.3378156317693287,0.6514187104996594,0.20723105864681463,1.819475874614918,0.26748622297583724,0.2762374984175212,0.526811420917511,0.33815752104527724,0.21902642063704264,0.11389601892395189,0.005068761840080476,1.614945570951022,0.0032633272406306247,0.006859725235716898,0.0046498006099084865
20.0,0.6416576552541364,0.9031884907333362,73.2192,73.2192,1.0,0.2765178291474649,0.5356097619870598,0.6924792637245103,0.29504110986157345,2.4455967228801745,0.11468496254799518,0.33119248105490734,0.20218329006651334,0.31725953880846613,0.6512014418416491,0.2052441588831503,1.8020310176090648,0.2717096736184753,0.27452443118239467,0.5083514451980591,0.3171544660495321,0.20686660644698926,0.11389601892395189,0.004704963125422185,1.5766622010414721,0.003258563275076057,0.006152569861622195,0.00433973831022913
21.0,0.6465026447386485,1.0935883153995893,76.88016,76.88016,1.0,0.2785150688843343,0.5444388679300415,0.693361537622354,0.3014075384347418,2.4583569635925206,0.11468496254799518,0.3310372092856633,0.19880746098402682,0.3144872717063046,0.6497287887786216,0.20560790171887028,1.805224657203815,0.27152152152152154,0.2764004930831393,0.5132548213005066,0.3141046802380791,0.20324373557968503,0.11389601892395189,0.004870228017958721,1.7008286600357678,0.00320390937932933,0.0065577826490009605,0.004457218920984316
22.0,0.6425926214902115,1.3126459455447945,80.54112,80.54112,1.0,0.2833228339010068,0.5481742001029296,0.6961436168931311,0.29869653962285697,2.503345491192317,0.11468496254799518,0.32937850697352633,0.20304031060745623,0.320591591274516,0.6497175068215055,0.2039690102086238,1.7908352911335157,0.2746202841744243,0.2776628748707342,0.5090278387069702,0.3204255352194512,0.20825567568139686,0.11389601892395189,0.004409739381009865,1.6103875843982678,0.002835575687579224,0.006022282259428827,0.003977469813013365
