round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_brier,fed_f1_best_threshold,fed_prevalence,fed_auroc,fed_ece,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6460976270595198,0.3837461889124771,24.82176,24.82176,0.5412350858791136,0.2895539286056742,0.23741801360999173,0.21642277331490387,0.5297125682539636,0.10966320428076802,0.6913017828674446,0.34765047691445855,2.2427468706057114,0.31250417355234045,0.558103133301933,0.19171100368285343,1.6832107521761444,0.20642867168857904,0.26253081347576007,0.5195392966270447,0.39923282418747097,0.25877137534431444,0.11389601892395189,0.007697185287756079,0.7762041655369103,,0.007697185287756079
12.0,0.630554353153965,0.4726742590434145,26.8032,26.8032,0.5412350858791136,0.29388316087460725,0.24632337997972487,0.2177124408140136,0.5640747037105001,0.10966320428076802,0.7002561245793225,0.3497793008574232,2.3441181279139793,0.3236515004837582,0.5517267945201463,0.18781485881942955,1.6490028413094324,0.205952436574312,0.25058798375026725,0.5278783440589905,0.40225566258319606,0.2612009058055949,0.11389601892395189,0.007185287129481269,0.7532382855424657,,0.007185287129481269
13.0,0.6108020835650885,0.5439233797057632,28.78464,28.78464,0.5412350858791136,0.3013182361261461,0.2588194804259285,0.21446137044634622,0.5710388783955296,0.10966320428076802,0.7098809013339882,0.34682831964075933,2.4776641803790285,0.32977604190772564,0.5346891192086979,0.17804142111006613,1.5631926628528077,0.20583873957367932,0.22498392971930578,0.5372862815856934,0.40620762477391953,0.26466298995408677,0.11389601892395189,0.00797202623156395,0.8738183465320617,,0.00797202623156395
14.0,0.6038620647972394,0.7044151771032781,30.76608,30.76608,0.5412350858791136,0.3031931132719531,0.2700379043536521,0.20045579271891845,0.5504394677832023,0.10966320428076802,0.7138535658210695,0.3221150256159839,2.593560293364896,0.3354053639635885,0.5369383448949758,0.1781876925870252,1.5644769173714552,0.20500812386504827,0.227351164797239,0.5385474562644958,0.40590527990280856,0.2643477836992562,0.11389601892395189,0.00798751896378659,0.9143317254493013,,0.00798751896378659
15.0,0.6462100258941974,0.6216378200943585,32.4352,32.4352,0.4559241291901578,0.2845394423728294,0.23193300862933447,0.21469874324792623,0.5153956931456102,0.10966320428076802,0.6825683913333762,0.34441766429259824,2.172060745505865,0.30395725527898954,0.5201653500702192,0.17282337988172375,1.5173785836809408,0.20404713836330343,0.21428571428571427,0.5409646034240723,0.40587655459486355,0.2645393905806884,0.11389601892395189,0.011511766956232818,0.6113593787886202,0.011511766956232818,
16.0,0.6415588791985984,0.5962918105342935,34.41664,34.41664,0.5412350858791136,0.2885255213429833,0.24098792761285093,0.21485870016322947,0.5454693911002048,0.10966320428076802,0.6920749883044715,0.3458290901486514,2.2663681985692694,0.3132842960103724,0.5157250654064875,0.168736627754215,1.4814971528274403,0.20434334924646635,0.2048953271876845,0.49468761682510376,0.4063813116288376,0.2650753754014425,0.11389601892395189,0.00592083599082052,0.7038354946416803,,0.00592083599082052
17.0,0.6246973296581795,0.5147725665128081,36.39808,36.39808,0.5412350858791136,0.29515190727167706,0.25378515005261293,0.21182158582479377,0.5581032770588821,0.10966320428076802,0.7037718233078883,0.34313450691166786,2.414141012498907,0.3236320262457316,0.5225367070208511,0.17302857168268815,1.5191801549992623,0.20097097198341257,0.21132272371510566,0.5367977619171143,0.40059179476345536,0.2603049524083368,0.11389601892395189,0.006062011566914126,0.7446395176229998,,0.006062011566914126
18.0,0.6105177537413741,0.6652924029800396,38.37952,38.37952,0.5412350858791136,0.30106623072877264,0.2644919439098818,0.2105693631690172,0.5435725701917143,0.10966320428076802,0.7125475030950227,0.3406140029852519,2.5321832473130748,0.3337929859514507,0.5331332758300722,0.1752309969635301,1.5385173127124963,0.20235988200589972,0.21643109540636044,0.5330294370651245,0.40143195554974814,0.2608916115997268,0.11389601892395189,0.007330560395997786,0.9341745702549815,,0.007330560395997786
19.0,0.5927162726951863,0.8220680881803476,40.36096,40.36096,0.5412350858791136,0.31262271579581874,0.2773962846885694,0.19857348420423634,0.5744104838949126,0.10966320428076802,0.7202353416476016,0.3225025771677653,2.6733114874760804,0.3514409590632429,0.5151103681612579,0.16066221262882865,1.410604287548474,0.2039445679421085,0.20491765465700973,0.4976730942726135,0.40584646533381397,0.26494767782649314,0.11389601892395189,0.008487795127380102,1.129166096681729,,0.008487795127380102
20.0,0.6467352971737482,0.7719925085041915,44.01152,44.01152,0.9971592150692714,0.27693991292131376,0.2282864842311207,0.22317288899442111,0.5518920776732958,0.10966320428076802,0.6818129913831876,0.356404412642173,2.1249830604251274,0.30551643729646555,0.5190819684507787,0.15968038649014873,1.4019839147913236,0.20388213936601032,0.20458346517199294,0.4888559579849243,0.4081635027486381,0.26679585903853537,0.11389601892395189,0.007084429163034274,1.3878185604698956,0.01012130512723121,0.005827362557202376
