round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1,fed_ece,fed_auprc,fed_auroc,fed_brier,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
13.0,0.6416486023844067,0.4812911795071382,47.59248,47.59248,1.0,0.3166275955349063,2.175772921481675,0.2849148491166042,0.34902355394950263,0.24083408927927005,0.6896037558802486,0.21898760522819133,0.11142587346553352,0.5634130960164447,0.6701268433324938,0.2217253019359834,1.9467344340106292,0.27965348733896045,0.2836391437308869,0.5290988087654114,0.3470910638338294,0.22124772542590543,0.11389601892395189,0.00686600349685119,1.5167774328783707,0.005201253847243049,0.008426194917501276,0.004111767790323327
14.0,0.6453924251204869,0.5280653586276588,51.25344,51.25344,1.0,0.3152562559643979,2.2086332862848335,0.29075346256921536,0.32221675699786034,0.24486861759476494,0.6916865738958827,0.2019911312750416,0.11142587346553352,0.5628880374717533,0.6709415411901368,0.22238762686896774,1.9525496059476446,0.2803485945746901,0.2825561312607945,0.4866739809513092,0.3202459366719408,0.20460771375387177,0.11389601892395189,0.006390760772363129,1.4910526672138076,0.005026344315353218,0.007699469618772629,0.003997084025123951
15.0,0.6404615405257388,0.5652388753860651,54.9144,54.9144,1.0,0.31690894173028716,2.2487640978082526,0.2913827371468793,0.3410755923508584,0.2491154781600141,0.6930463133044537,0.21281761855000234,0.11142587346553352,0.5576317756420642,0.6698083507967321,0.2224455223926241,1.9530579250636537,0.28104193435346336,0.28378972031044075,0.5417202711105347,0.3391729907923295,0.21554171442612235,0.11389601892395189,0.006321811469192035,1.5610586042676005,0.0047291862882396455,0.007879789896605533,0.0038956659564637645
16.0,0.6373332436367731,0.524614429120576,58.57536,58.57536,1.0,0.3160830968340657,2.240628951804437,0.28909806320928666,0.34229386835624337,0.24865743283518732,0.6921987741102551,0.21457062697774623,0.11142587346553352,0.5696683277114218,0.6699710293396643,0.2219869175883498,1.9490314032536111,0.27825893848545413,0.28376600071778924,0.5147477984428406,0.3401383850002596,0.21728557121525835,0.11389601892395189,0.006143955638186741,1.6026775919854117,0.004316443422012589,0.00795489881408111,0.003932918158716673
17.0,0.6447778655741181,0.7977324575002823,62.23632,62.23632,1.0,0.32159164486066666,2.2691776114813274,0.29462117582581926,0.33755094126021673,0.251903531477025,0.6946047427910694,0.2099323693092494,0.11142587346553352,0.5469959277119094,0.6701278849369885,0.22189877582630138,1.948257524035697,0.2821997105643994,0.2837913628715648,0.527183473110199,0.33514706766598173,0.2128255319377688,0.11389601892395189,0.00645690099091974,1.7732400974928169,0.0042279663262711304,0.008689985921608814,0.004247313107883575
18.0,0.6382617385311812,0.6322773647139422,65.89728,65.89728,1.0,0.3194364681971199,2.275930528394733,0.28962862797561784,0.3459079352811068,0.25296848346776235,0.6942727524984053,0.2158449108344762,0.11142587346553352,0.5744077308263499,0.670078967174098,0.22215144084283736,1.9504759072498168,0.278397450489415,0.28624592960148865,0.5590648651123047,0.34353038039407363,0.2187373836466861,0.11389601892395189,0.006070552266101513,1.7593038140385033,0.004024255133405764,0.008133154446817382,0.003217962544484719
19.0,0.6381317706869785,0.6165672988886423,69.55824,69.55824,1.0,0.32555557274038793,2.3276333441374475,0.2966629536304683,0.3219216474357419,0.2583957714630098,0.6958326829693764,0.20044150909524605,0.11142587346553352,0.5495137624032176,0.6667836693884085,0.21956922296603465,1.9278041940398332,0.27783930109511507,0.2833740479954016,0.5277472138404846,0.3196281047880191,0.20378747291335841,0.11389601892395189,0.005710984508881984,1.74206073510868,0.0037060859716622095,0.00774986602772263,0.003749610228300272
20.0,0.6451883934141531,0.7652294988452788,73.2192,73.2192,1.0,0.3238280224326827,2.326604609842588,0.2947086831996417,0.33680167296830404,0.25788907854202575,0.698248148411836,0.210704871445918,0.11142587346553352,0.5672534193976105,0.6672274180020077,0.21889580300001824,1.921891608399188,0.27785326086956524,0.28527521654093324,0.5418832302093506,0.3345981388847276,0.21435663252732753,0.11389601892395189,0.005474260195087432,1.7553434126512002,0.003579548271236902,0.007415636411759626,0.004140944123962381
21.0,0.6410190249557149,0.8215580758944689,76.88016,76.88016,1.0,0.3257096459829956,2.3303957979599743,0.295376749424208,0.3485692411949603,0.25855178065750106,0.6997975278391725,0.21708244649523853,0.11142587346553352,0.5721344066615519,0.666169838055349,0.22128773830493054,1.9428926523997634,0.2782871068817454,0.2861491628614916,0.5338665843009949,0.34595075773226247,0.22046507704552107,0.11389601892395189,0.005532578692586961,1.8559216449430096,0.0034327858408207917,0.007713387737159388,0.004264114354869219
22.0,0.6404338084266312,0.8967297512922447,80.54112,80.54112,1.0,0.32542952479437587,2.367639257300141,0.29825794327956084,0.33370813353384093,0.2630051789337682,0.7011569047594803,0.20730932165997717,0.11142587346553352,0.5463744422644236,0.6654511560529847,0.22049698855113783,1.935949918481024,0.2831427876429093,0.2854877081681205,0.5169647932052612,0.330563223220712,0.2109974835392701,0.11389601892395189,0.005497905294830428,1.9280977619055193,0.0031146697421234135,0.007991871954986476,0.004731345134960075
23.0,0.6390121018205486,0.8782786627411696,84.20208,84.20208,1.0,0.3224556526777383,2.3964183889985895,0.29051558630835245,0.34817663801591847,0.2662743876986907,0.7022000927947929,0.2172999264220368,0.11142587346553352,0.5646696798224325,0.6677978784298467,0.22101569031696067,1.9405040878955773,0.27945088858146216,0.2855358481139145,0.5281664729118347,0.345521309262975,0.22075915281677072,0.11389601892395189,0.0050863974431589925,1.8698662955503096,0.0029318918733049976,0.007349805626622814,0.004313220303704607
24.0,0.63926137466165,0.871193071338784,87.86304,87.86304,1.0,0.3273734390856431,2.4090708896278112,0.29488650555913365,0.3361927252088703,0.2676151136075408,0.7040891743963151,0.20945975331133942,0.11142587346553352,0.5739317242402042,0.6654806096162231,0.22039595397424605,1.9350628411463962,0.2803481447549244,0.2837054397434316,0.5133732557296753,0.3333368161584938,0.21341462118887553,0.11389601892395189,0.00500158035203089,1.9215271567918535,0.002811042695757738,0.007306299191958458,0.004827986331684244
25.0,0.6441634488618369,1.011171117003608,91.524,91.524,1.0,0.33205652509718486,2.4580059532622562,0.2984950677344303,0.34435588533177774,0.27276608640299943,0.7070653383085609,0.21400538014878184,0.11142587346553352,0.5668420289310976,0.6627493469390808,0.21733759586791646,1.9082106461774777,0.2771017081612147,0.28238006051001296,0.5432590246200562,0.3410808355577252,0.21827942921807636,0.11389601892395189,0.0043936098145143385,1.7652659967843647,0.0025807170293835583,0.006301499159965106,0.005074253280644987
26.0,0.6433047473771074,0.9656797036311386,95.18496,95.18496,1.0,0.3334387129862816,2.4728282753050097,0.3059682382251307,0.3196119438071504,0.27435900463694934,0.7085657729421015,0.19832384572771866,0.11142587346553352,0.5460945799079074,0.6644601885961726,0.21978737523416308,1.9297195574580583,0.27873673443293695,0.28358407668752494,0.5075328946113586,0.3161845028766407,0.20277968484513903,0.11389601892395189,0.004099575300159583,1.716806472868484,0.0024874619871723333,0.005809145238754436,0.004110228130053124
27.0,0.6395762154661268,1.054469283291275,98.84592,98.84592,1.0,0.3351714980557076,2.509609990111858,0.3012417402137418,0.33408076936501613,0.27877232752657555,0.7089641962129457,0.20828447164781663,0.11142587346553352,0.5666594821137755,0.6634688446558084,0.22022723843869785,1.9335815291818328,0.27941005690396004,0.2821507760532151,0.5353792905807495,0.33063018598298793,0.21286438928925844,0.11389601892395189,0.003908100754650488,1.6996938488846354,0.00231608347824959,0.005608293760692832,0.004764861740114182
28.0,0.6457585373837587,1.2385341150088809,102.50688,102.50688,1.0,0.33925133008520564,2.5387185499281726,0.3029465946938071,0.3237274068400092,0.2816258464816444,0.7111625544897225,0.20271704005758515,0.11142587346553352,0.5680198692847697,0.6609876674529819,0.21893106928660408,1.9222012442136704,0.2773862143113129,0.2829394626092587,0.5631157159805298,0.32029323214774275,0.20815597624447119,0.11389601892395189,0.004482510769922802,2.0301837766892277,0.002265179328989811,0.006850785554014514,0.008132858918336998
29.0,0.6435913845937318,1.8888460711038502,106.16784,106.16784,1.0,0.33794030062943164,2.5640148470190947,0.3028542635881458,0.3180448762625335,0.28431091873797176,0.7122814639133245,0.19916096299964825,0.11142587346553352,0.5608322145036829,0.6635765440506588,0.218860391208892,1.9215806950638423,0.28166969147005444,0.2834386852085968,0.5089772343635559,0.31431841360901663,0.2046095229866115,0.11389601892395189,0.004481705378200319,2.113855761492232,0.0021396795122328497,0.006985148130973473,0.005529051105377481
