round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
14.0,0.6542498970458241,0.18269519847686033,3.688965,25.55392,0.0,0.2416968519332718,0.3157831691699964,2.1575026896360354,0.6798922280630548,0.11500692433589324,0.285833367617487,0.5501919695611536,0.33783121459466536,0.21602539823895017,0.6624370287335761,0.2239668276497251,1.9664148911057833,0.26549792156153984,0.2815572158867479,0.5030540227890015,0.38444896651847865,0.24778852171495805,0.11389601892395189,0.0,0.0,,
15.0,0.6357551329406295,0.287586467961626,3.688965,25.55392,0.0,0.2516538625451471,0.32459917621210177,2.247186828904052,0.6907735109152381,0.11500692433589324,0.30367685352606993,0.5399893539090397,0.3329319717637124,0.21069606664912857,0.6624370287335761,0.2239668276497251,1.9664148911057833,0.26549792156153984,0.2815572158867479,0.5030540227890015,0.38444896651847865,0.24778852171495805,0.11389601892395189,0.0,0.0,,
16.0,0.6174156590281001,0.3705771828569952,3.688965,25.55392,0.0,0.2595902016953773,0.3315974268760828,2.321120213816312,0.6954489602862283,0.11500692433589324,0.30191198454830603,0.587610183743075,0.32956251148221233,0.21180792888061986,0.6624370287335761,0.2239668276497251,1.9664148911057833,0.26549792156153984,0.2815572158867479,0.5030540227890015,0.38444896651847865,0.24778852171495805,0.11389601892395189,0.0,0.0,,
17.0,0.6510270159467607,0.19340505084960685,4.21596,29.20448,0.9971592150692714,0.2294977965997368,0.3042502131356443,2.042973105809304,0.6689782010982539,0.11500692433589324,0.28395909074565007,0.5111440310216468,0.34847837496311107,0.21901699206439895,0.6619403590819805,0.22402757574439366,1.9669482556188058,0.2617046818727491,0.2807838549283416,0.5038084387779236,0.3853372482368154,0.2485604579645257,0.11389601892395189,0.015617606596582912,0.6651458353917405,0.010366622306947388,0.02183596475145204
18.0,0.6507541175033285,0.2159683521719576,4.21596,29.20448,0.0,0.24319714068122172,0.3132448921245766,2.1707705755930586,0.6805542522624584,0.11500692433589324,0.280565576608944,0.5586849951341113,0.3507984724408409,0.22504304042672332,0.6619403590819805,0.22402757574439366,1.9669482556188058,0.2617046818727491,0.2807838549283416,0.5038084387779236,0.3853372482368154,0.2485604579645257,0.11389601892395189,0.0,0.0,,
19.0,0.631532799441145,0.34476731759675305,4.21596,29.20448,0.0,0.2507202413481464,0.3237316382043373,2.239903671536643,0.6901627215388785,0.11500692433589324,0.29888728626110495,0.5397083375607182,0.332017537787037,0.21009624836165372,0.6619403590819805,0.22402757574439366,1.9669482556188058,0.2617046818727491,0.2807838549283416,0.5038084387779236,0.3853372482368154,0.2485604579645257,0.11389601892395189,0.0,0.0,,
20.0,0.617888161027137,0.43477743841670086,4.21596,29.20448,0.0,0.2595026871120445,0.33517907419573634,2.321927616688092,0.6983843282174441,0.11500692433589324,0.3019572762440652,0.5863259826111099,0.33389616245573894,0.21336585164371863,0.6619403590819805,0.22402757574439366,1.9669482556188058,0.2617046818727491,0.2807838549283416,0.5038084387779236,0.3853372482368154,0.2485604579645257,0.11389601892395189,0.0,0.0,,
21.0,0.6511255960018978,0.22605224609270652,4.742955,32.85504,0.9971592150692714,0.22971366403327015,0.30533181085707833,2.0435126847549694,0.6696383035786264,0.11500692433589324,0.28636774171920726,0.5150230439614547,0.3521503981211752,0.221577319870922,0.66150279734809,0.2238130189940144,1.9650644606239822,0.2692994828396803,0.2798576512455516,0.5029410123825073,0.3827580395099579,0.24658155520948435,0.11389601892395189,0.013188621785787474,0.6120317806125968,0.009025624484666608,0.018319963182820066
22.0,0.647770353750096,0.2532860532877485,4.742955,32.85504,0.0,0.2416445447721996,0.3143128666097947,2.1585288060638805,0.6811635105337778,0.11500692433589324,0.28758728977291487,0.5478368112715398,0.34867287670693287,0.2212347886158629,0.66150279734809,0.2238130189940144,1.9650644606239822,0.2692994828396803,0.2798576512455516,0.5029410123825073,0.3827580395099579,0.24658155520948435,0.11389601892395189,0.0,0.0,,
23.0,0.6337925029576341,0.35127210728895497,4.742955,32.85504,0.0,0.25314687984222417,0.33036283744972933,2.2635570849348023,0.6897867670799005,0.11500692433589324,0.29931411819204673,0.5508283536229763,0.3404098123792256,0.21495929311466797,0.66150279734809,0.2238130189940144,1.9650644606239822,0.2692994828396803,0.2798576512455516,0.5029410123825073,0.3827580395099579,0.24658155520948435,0.11389601892395189,0.0,0.0,,
