round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auroc,fed_auprc_lift,fed_auprc,fed_f1_best_threshold,fed_f1_best,fed_f1,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
12.0,0.1566858178966741,0.04794167494893187,21.90336,21.90336,0.0,0.11010387157695939,0.2336584086703341,0.7099502792965406,2.3837975918789227,0.25707371746840585,0.5281735980927214,0.33334328054460993,0.2959560585521506,0.37577656155905337,0.42601195892474086,0.0957231056256129,0.8404429455038898,0.1913577037075555,0.20450951154489178,0.4933438003063202,0.40091464064898696,0.26263536211012034,0.11389601892395189,0.0,0.0,,
13.0,0.16085330738470033,0.03504358656922417,25.55392,25.55392,0.9971592150692714,0.11010387157695939,0.24097186787074348,0.6822855844959742,2.0759784553121547,0.2262875448919977,0.5299643194258946,0.2990661664756306,0.27368640750825657,0.3838470409360741,0.4045067666392804,0.09094191405729235,0.7984643793214059,0.19102216307519065,0.20450951154489178,0.4924283027648926,0.4040889336521178,0.2655803114101346,0.11389601892395189,0.008931619744776033,1.3206010913709179,0.007168501431251392,0.010259203440631193
14.0,0.1631712620918717,0.044336622834931914,25.55392,25.55392,0.0,0.11010387157695939,0.23028866882510898,0.6917482662933824,2.1635708175737216,0.23506935988259053,0.525989313775877,0.30799312571730886,0.2867092401038636,0.36977476463176784,0.4045067666392804,0.09094191405729235,0.7984643793214059,0.19102216307519065,0.20450951154489178,0.4924283027648926,0.4040889336521178,0.2655803114101346,0.11389601892395189,0.0,0.0,,
15.0,0.15988099134360254,0.0612485912576588,25.55392,25.55392,0.0,0.11010387157695939,0.2359943723509326,0.7044105325363054,2.3091949482430785,0.24936654280052997,0.5223103954895585,0.3245172519542088,0.2981493498233249,0.37843935339376544,0.4045067666392804,0.09094191405729235,0.7984643793214059,0.19102216307519065,0.20450951154489178,0.4924283027648926,0.4040889336521178,0.2655803114101346,0.11389601892395189,0.0,0.0,,
16.0,0.15529283038179625,0.04687421603659152,25.55392,25.55392,0.0,0.11010387157695939,0.23133649969323586,0.7130995788835609,2.4329368325603133,0.26189172863601884,0.5350875002372779,0.33346518249751184,0.29873767607787644,0.3732299272143357,0.4045067666392804,0.09094191405729235,0.7984643793214059,0.19102216307519065,0.20450951154489178,0.4924283027648926,0.4040889336521178,0.2655803114101346,0.11389601892395189,0.0,0.0,,
17.0,0.16328007126797747,0.04667414996433776,29.20448,29.20448,0.9971592150692714,0.11010387157695939,0.23711391988184816,0.6824510235328369,2.0792831559855527,0.22715952213744592,0.5219810344773642,0.30237633899142896,0.2772959040801529,0.3788059254130891,0.39829210244428687,0.08869375501688177,0.7787256820284684,0.17059980334316618,0.20453723788864786,0.48567965626716614,0.39868573692563825,0.26137603810616866,0.11389601892395189,0.007752852899482163,1.214017115184106,0.006350735587460637,0.008824890320160799
18.0,0.1607428072627771,0.03926941426757431,29.20448,29.20448,0.0,0.11010387157695939,0.23540524980812474,0.6949369396559771,2.2148343791093295,0.24048825311481303,0.5260873813185634,0.31523218608028886,0.28753507752801943,0.3773968225291664,0.39829210244428687,0.08869375501688177,0.7787256820284684,0.17059980334316618,0.20453723788864786,0.48567965626716614,0.39868573692563825,0.26137603810616866,0.11389601892395189,0.0,0.0,,
19.0,0.15914448179311594,0.05623983535333782,29.20448,29.20448,0.0,0.11010387157695939,0.23022182249612427,0.702809170520633,2.339998835466766,0.25316886046530507,0.5279639724931667,0.3277587042630187,0.29928937981652926,0.37080843774991706,0.39829210244428687,0.08869375501688177,0.7787256820284684,0.17059980334316618,0.20453723788864786,0.48567965626716614,0.39868573692563825,0.26137603810616866,0.11389601892395189,0.0,0.0,,
20.0,0.1551464982936555,0.0510744252018883,29.20448,29.20448,0.0,0.11010387157695939,0.23702717628181097,0.7137657674018347,2.430557544563746,0.26157768155118055,0.5366759077985592,0.3376815766683372,0.295997478774642,0.38078815760779844,0.39829210244428687,0.08869375501688177,0.7787256820284684,0.17059980334316618,0.20453723788864786,0.48567965626716614,0.39868573692563825,0.26137603810616866,0.11389601892395189,0.0,0.0,,
21.0,0.16263560401555802,0.059090429908001264,32.85504,32.85504,0.9971592150692714,0.11010387157695939,0.24155407788483654,0.6842789750432896,2.101985580443959,0.2295202106446335,0.5248061425512528,0.302979701473616,0.28161405583856264,0.3844164850166244,0.404096349369508,0.08952193008076297,0.785997007854476,0.16189207195203198,0.20457628651532966,0.4873161315917969,0.39429646323189066,0.2575519194933703,0.11389601892395189,0.00738080518562982,1.2197618427453563,0.005965027245081682,0.008484213367085892
22.0,0.1620179320056939,0.039303026641524144,32.85504,32.85504,0.0,0.11010387157695939,0.23398090075711456,0.6980771957408921,2.241048889484126,0.24318287119261772,0.5259631954032669,0.31670131040648253,0.2960477338898261,0.37573992152764885,0.404096349369508,0.08952193008076297,0.785997007854476,0.16189207195203198,0.20457628651532966,0.4873161315917969,0.39429646323189066,0.2575519194933703,0.11389601892395189,0.0,0.0,,
23.0,0.15907416133801824,0.04698863598541989,32.85504,32.85504,0.0,0.11010387157695939,0.23740337888387886,0.7068015370981762,2.3936800586032283,0.2590577079926221,0.5328542567721544,0.32742614946272114,0.29211371484211424,0.3807079278751106,0.404096349369508,0.08952193008076297,0.785997007854476,0.16189207195203198,0.20457628651532966,0.4873161315917969,0.39429646323189066,0.2575519194933703,0.11389601892395189,0.0,0.0,,
24.0,0.1551866976379806,0.04842389902185578,32.85504,32.85504,0.0,0.11010387157695939,0.23198432954966297,0.7167565178968827,2.4692356708141014,0.26553377080750523,0.5379941883929916,0.33701385407502005,0.30160447975172516,0.37411372037777413,0.404096349369508,0.08952193008076297,0.785997007854476,0.16189207195203198,0.20457628651532966,0.4873161315917969,0.39429646323189066,0.2575519194933703,0.11389601892395189,0.0,0.0,,
25.0,0.16398979655064602,0.058843495556239765,36.5056,36.5056,0.9971592150692714,0.11010387157695939,0.2412355288044122,0.6861949768506707,2.1186654908448896,0.23121467136919885,0.5281232947293114,0.3059134403933546,0.2765314103163615,0.38390414003760015,0.43479294835263094,0.09685132692696646,0.8503486587326101,0.16876096876096877,0.2048815896924054,0.4887687563896179,0.39076872456685136,0.254212682779255,0.11389601892395189,0.007089256682361815,1.2344105100492015,0.005580236458896143,0.008293817725687425
26.0,0.16337510354595244,0.04759995867165006,36.5056,36.5056,0.0,0.11010387157695939,0.23034871793418504,0.6981266161558008,2.248901445491734,0.24405014033874814,0.5245605411002723,0.3188321304052446,0.29365336174445095,0.37085564524864,0.43479294835263094,0.09685132692696646,0.8503486587326101,0.16876096876096877,0.2048815896924054,0.4887687563896179,0.39076872456685136,0.254212682779255,0.11389601892395189,0.0,0.0,,
27.0,0.156635371799624,0.04108485362649227,36.5056,36.5056,0.0,0.11010387157695939,0.2364288112181232,0.7113305022795288,2.4168090591784277,0.260520967404767,0.5317809588548184,0.3310518390546681,0.2977032704135309,0.3800017245177169,0.43479294835263094,0.09685132692696646,0.8503486587326101,0.16876096876096877,0.2048815896924054,0.4887687563896179,0.39076872456685136,0.254212682779255,0.11389601892395189,0.0,0.0,,
28.0,0.15600716550618238,0.06635619395842154,36.5056,36.5056,0.0,0.11010387157695939,0.22408989657432096,0.7212807239982858,2.588479334749898,0.2771279879673733,0.5248308199004329,0.3434668575488252,0.3152484422995677,0.3641827500678849,0.43479294835263094,0.09685132692696646,0.8503486587326101,0.16876096876096877,0.2048815896924054,0.4887687563896179,0.39076872456685136,0.254212682779255,0.11389601892395189,0.0,0.0,,
29.0,0.16145701024024608,0.0471264079400702,40.15616,40.15616,0.9971592150692714,0.11010387157695939,0.231032567834919,0.6877727905002262,2.1499560011583343,0.23459741431448422,0.5266067493832408,0.3091204748367853,0.28572714440371544,0.370865648118137,0.39816761188300553,0.08785052876275667,0.7713222076832578,0.15942601369141654,0.2046431642304385,0.4884815812110901,0.3948883928073191,0.25812982861765876,0.11389601892395189,0.007246684285521471,1.3317773500457406,0.005235903383103799,0.008883416032548792
30.0,0.16157079208398178,0.050546450176201685,40.15616,40.15616,0.0,0.11010387157695939,0.22857227896490276,0.7017089174679105,2.315730365026117,0.2510026227290407,0.5166037618400993,0.32219829120421634,0.29953821728942676,0.3686747396633914,0.39816761188300553,0.08785052876275667,0.7713222076832578,0.15942601369141654,0.2046431642304385,0.4884815812110901,0.3948883928073191,0.25812982861765876,0.11389601892395189,0.0,0.0,,
31.0,0.15772840824146658,0.056326849924000444,40.15616,40.15616,0.0,0.11010387157695939,0.2331764812361518,0.7123211217382672,2.4379556365295865,0.2625864231737,0.5336743932382694,0.3369860384919403,0.29808630539628095,0.37551031811623065,0.39816761188300553,0.08785052876275667,0.7713222076832578,0.15942601369141654,0.2046431642304385,0.4884815812110901,0.3948883928073191,0.25812982861765876,0.11389601892395189,0.0,0.0,,
32.0,0.1522241816922164,0.05151206638240806,40.15616,40.15616,0.0,0.11010387157695939,0.22921633808758,0.7248374437591505,2.602643161676748,0.2791504676937768,0.5326474701604041,0.3500227979395355,0.3103863280494101,0.3714669365612899,0.39816761188300553,0.08785052876275667,0.7713222076832578,0.15942601369141654,0.2046431642304385,0.4884815812110901,0.3948883928073191,0.25812982861765876,0.11389601892395189,0.0,0.0,,
33.0,0.1612683277208089,0.05475594884785416,43.80672,43.80672,0.9971592150692714,0.11010387157695939,0.2326557505037521,0.6907620138025516,2.2022364456347985,0.24070301713119632,0.527124225224644,0.3120419719189017,0.28453153809368587,0.3731477771797457,0.3888941568698535,0.08626908876030602,0.7574372622971809,0.15255489155979318,0.20455572629485672,0.48584672808647156,0.3953280661950156,0.25872807667850894,0.11389601892395189,0.0068147742005741875,1.320827353396453,0.004972679976262553,0.008341226813330788
34.0,0.16100186397203325,0.0544515814071875,43.80672,43.80672,0.0,0.11010387157695939,0.23328645092986258,0.7029919405984215,2.3174085002190963,0.25074570128608054,0.532446841500186,0.3261514643050105,0.29372167969896457,0.37535773854530335,0.3888941568698535,0.08626908876030602,0.7574372622971809,0.15255489155979318,0.20455572629485672,0.48584672808647156,0.3953280661950156,0.25872807667850894,0.11389601892395189,0.0,0.0,,
