round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_brier,fed_auroc,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6391262618600523,0.32422051266900115,36.81792,36.81792,0.5412350858791136,0.28914571886072016,0.570442681031327,2.318356457997749,0.32094098558160317,0.11411846163529928,0.22803903541209103,0.6836790047504442,0.360625557228149,0.2595300717705996,0.6224935293771872,0.16533609678318698,1.451640701274919,0.2154059268787414,0.25012165450121654,0.524829626083374,0.40510969854899925,0.26422621525296786,0.11389601892395189,0.008549314303044194,0.87250372976996,,0.008549314303044194
12.0,0.6225594477839044,0.45596732553655117,38.79936,38.79936,0.5412350858791136,0.2967177078655906,0.5646015037773401,2.4481674666382696,0.32865037078413134,0.11411846163529928,0.21722770880931613,0.6954797568154311,0.34569326326693744,0.27364043148649797,0.5405238864005557,0.11910496655729261,1.0457342379703256,0.20890330465848728,0.2225287356321839,0.5169956088066101,0.40695920560487026,0.2662240211856719,0.11389601892395189,0.009674957303490338,1.0368690516334027,,0.009674957303490338
13.0,0.6056713189700967,0.5310104668300603,40.7808,40.7808,0.5412350858791136,0.30315833820869853,0.5629888268611711,2.6010596278133016,0.33857743913916916,0.11411846163529928,0.21070458302871245,0.7066286876586626,0.33582220732020973,0.2898140486855458,0.5498007925129368,0.12204992238585752,1.0715907679560772,0.21096681096681097,0.22345556656755866,0.5192580819129944,0.40532861254080726,0.2648381940376878,0.11389601892395189,0.009856638779050145,1.1200830800225958,,0.009856638779050145
14.0,0.5867005600968234,0.649468920087607,42.76224,42.76224,0.5412350858791136,0.31235949888561176,0.5682441271326123,2.7144165972312444,0.3490954801934954,0.11411846163529928,0.19236791604701375,0.7147610278545936,0.30374934824239913,0.3010693541822795,0.5501525034474599,0.12202822315830741,1.0714002500806055,0.21518797743272255,0.22452715070164736,0.515127956867218,0.40378923451446297,0.2635125417276668,0.11389601892395189,0.010513701412269065,1.277668515453115,,0.010513701412269065
15.0,0.6403415467537502,0.7449790185653778,44.43136,44.43136,0.4559241291901578,0.28086049671879965,0.560399569995439,2.3050274573894325,0.3154161169981531,0.11411846163529928,0.22418330970052353,0.6800805217901169,0.35268615207810666,0.25775521608157076,0.5203925453445575,0.11418999236243145,1.0025810686032481,0.2110360036435112,0.21679619533696787,0.516556441783905,0.40578768054464276,0.26534021161220783,0.11389601892395189,0.007710944093852968,0.657543484121561,0.007710944093852968,
16.0,0.6337421341209244,0.5992948618732561,46.4128,46.4128,0.5412350858791136,0.28862621198827726,0.5785638435023346,2.415896212562279,0.3266343651335117,0.11411846163529928,0.21526602477447665,0.6911960815232818,0.34084518392642826,0.2694302816888744,0.5358541350117205,0.11940514154612873,1.0483697558020466,0.20718562874251498,0.224354657687991,0.5216354727745056,0.41021604834712144,0.2689053640990249,0.11389601892395189,0.006329154837705811,0.8115768305724487,,0.006329154837705811
17.0,0.6177260076617432,0.643594084458362,48.39424,48.39424,0.5412350858791136,0.3057851844185777,0.518506593590019,2.5394818784827886,0.33123827136576506,0.11411846163529928,0.20337087196288986,0.7056238047185348,0.32330377012279704,0.28278411219792177,0.5189215111608048,0.11253488230094155,0.9880493046563887,0.20974596279157617,0.22004085338175217,0.5183253884315491,0.40734705561132173,0.2665889122789137,0.11389601892395189,0.0065136168799963205,0.8638136385707185,,0.0065136168799963205
18.0,0.5955954737615886,0.6823360343633909,50.37568,50.37568,0.5412350858791136,0.30980302693223205,0.5796417711987221,2.715593400896158,0.3471022853018588,0.11411846163529928,0.21026643663573288,0.7134994637998021,0.3370720720401622,0.300486347374096,0.5197644703837707,0.11349105747993629,0.9964444635743942,0.20985842132676735,0.21947176483589348,0.516233503818512,0.4056031871147368,0.26516382706990504,0.11389601892395189,0.007312623492982587,1.0165978465229273,,0.007312623492982587
19.0,0.5784019697263101,0.8856072165098258,52.35712,52.35712,0.5412350858791136,0.310328216635375,0.6006284627634094,2.857684593820588,0.35775452167826255,0.11411846163529928,0.20600536202438796,0.7251739298281016,0.3282046771809936,0.31459766296355773,0.5598355223676659,0.1261066848882449,1.1072088917563137,0.21276802173280296,0.23262114401822548,0.5203717350959778,0.4059445593187173,0.2651967407973747,0.11389601892395189,0.007499573232842799,1.0972885072696954,,0.007499573232842799
20.0,0.6407393174193334,0.9113135624689515,56.00768,56.00768,0.9971592150692714,0.2873018403810853,0.5369868412442221,2.3237218211708517,0.31712845304618015,0.11411846163529928,0.20383559912733273,0.6787262485308185,0.3194147419289847,0.2603750356886967,0.6040379291617584,0.14753098134349388,1.2953128892239858,0.21894345852249278,0.2464558342420938,0.5223796367645264,0.4029889247444929,0.2624675328294205,0.11389601892395189,0.005904858296170807,1.4331059807445854,0.006227009825863984,0.005711342878666777
21.0,0.6361327362734011,0.82984198479712,57.98912,57.98912,0.5412350858791136,0.2988660349559202,0.5476037848548772,2.4918994257615705,0.3286593009424474,0.11411846163529928,0.20045181833873205,0.697304820724556,0.31960133587633294,0.2780745276567183,0.594878385522069,0.14170264250270695,1.244140434770784,0.21912144702842376,0.24252799771738354,0.5209470391273499,0.4021941222439079,0.2618857949187786,0.11389601892395189,0.005418339509884313,0.8372440603561699,,0.005418339509884313
22.0,0.6145942650093591,0.7564006604923972,59.97056,59.97056,0.5412350858791136,0.30721031621593947,0.5562105901446,2.6629086387960137,0.3357994768632122,0.11411846163529928,0.20663532404696866,0.7096683236285177,0.330352012853505,0.2955524210832554,0.6154771560071038,0.15761767396477167,1.3838734264277721,0.21782380247921238,0.25003919109578304,0.5240761041641235,0.40346395109174854,0.26284834877759905,0.11389601892395189,0.00600495773916891,0.9606076909694821,,0.00600495773916891
23.0,0.5949042507400246,0.8475126603126253,61.952,61.952,0.5412350858791136,0.3056632918399106,0.5724014391129691,2.792685392809356,0.3505273559553709,0.11411846163529928,0.20520214520490218,0.7177155778768779,0.328519697354113,0.3091080845269279,0.5804652899985037,0.13361484728655976,1.1731300931226936,0.21850464412172219,0.23808259195325987,0.5189805030822754,0.40201929929488145,0.2618373332948972,0.11389601892395189,0.006210082140133523,1.0363511114846915,,0.006210082140133523
24.0,0.5707156427556188,0.9725115831774499,63.93344,63.93344,0.5412350858791136,0.3125782102765511,0.5991195116569391,2.948156637453305,0.36071119651918976,0.11411846163529928,0.20482197191078613,0.725684362584778,0.325291663104348,0.32371063505398895,0.5771347157039672,0.1322358554598946,1.1610226301956013,0.22061140876142452,0.23754329869437782,0.5174123048782349,0.40054642922103456,0.26062188588788693,0.11389601892395189,0.007652419479206028,1.33148902177345,,0.007652419479206028
25.0,0.6454407185426778,1.2840026144660526,65.60256,65.60256,0.4559241291901578,0.2913191155971588,0.5473220897357189,2.3821892408295553,0.3234064505823538,0.11411846163529928,0.20919635433610934,0.6825034165149823,0.33136600010200673,0.26738154170093126,0.5723261673788648,0.13105664616748003,1.1506692455597263,0.21804742839544194,0.23464956237054854,0.5184316635131836,0.4016842115920745,0.2616203820966265,0.11389601892395189,0.005377724059678,0.5197707931511104,0.005377724059678,
26.0,0.6398841718328876,1.041024033360221,67.584,67.584,0.5412350858791136,0.30014310550088086,0.5397828305229827,2.5121487439887216,0.32777492875645386,0.11411846163529928,0.20244080410909185,0.6973157202682343,0.32227129878431354,0.2800925613296488,0.5771511429362977,0.13229484216674037,1.1615405298325074,0.21875649823248078,0.2362735381565907,0.5163077712059021,0.400752001943511,0.2608408413692231,0.11389601892395189,0.004783867413147135,0.8632634135428816,,0.004783867413147135
27.0,0.6105472931118641,0.8035813514951993,69.56544,69.56544,0.5412350858791136,0.3004613215555916,0.5550734687235682,2.7133823505851447,0.3402938373642305,0.11411846163529928,0.2108272542634689,0.7120167890721912,0.33850848068417927,0.3004476128137673,0.5836985934925872,0.13487065442383978,1.1841560020977784,0.22173353357648573,0.23957470312068488,0.5165911316871643,0.3994760664499689,0.2597198372782267,0.11389601892395189,0.004666995489737556,0.86536022904329,,0.004666995489737556
28.0,0.590750723702166,0.8787520830516458,71.54688,71.54688,0.5412350858791136,0.31741793579085426,0.554555112893356,2.8688667127070486,0.35480913734288616,0.11411846163529928,0.19595237457077508,0.7255558090500283,0.3140826284414425,0.316623283453603,0.5450058728924262,0.12100653491273247,1.0624298904909772,0.21400932632205577,0.222387044934792,0.5158618688583374,0.4034120038468978,0.26326083148809826,0.11389601892395189,0.0044950025375889964,0.8622374997939914,,0.0044950025375889964
29.0,0.5725349702697826,1.2601077472580828,73.52832,73.52832,0.5412350858791136,0.3216497095546285,0.5979842656587064,3.0046104805651273,0.36112303149973646,0.11411846163529928,0.20498195746948886,0.7326384714803355,0.3272706453951923,0.330212736617933,0.5489074472412264,0.1226056459588312,1.0764699865470688,0.21531148867313915,0.22303360356457702,0.5141858458518982,0.40207099552615083,0.2621413374596737,0.11389601892395189,0.005190565540718158,1.0342902257107198,,0.005190565540718158
30.0,0.6438539439329085,1.408661720130399,77.17888,77.17888,0.9971592150692714,0.2846760527538453,0.5752422165362673,2.3637421822560203,0.31823190156561,0.11411846163529928,0.21057088983067865,0.6825365201381423,0.3303065435968978,0.2650593975571995,0.5347500969947125,0.11960742688488775,1.0501458085620126,0.2139048193983298,0.21743750349533023,0.5092311501502991,0.40237294860974293,0.2625015410584603,0.11389601892395189,0.004280262921283321,1.318636207608506,0.004775820151379184,0.004033128654805169
31.0,0.6370168983017866,1.19479444750031,79.16032,79.16032,0.5412350858791136,0.29417230354695234,0.5716430036167129,2.553744595525347,0.3343739876104018,0.11411846163529928,0.21417060871581853,0.7014788988329497,0.33993274347752644,0.28477923127931687,0.535970192341431,0.12059834256221864,1.0588459869061964,0.21423586880669923,0.21845846290537538,0.5097991824150085,0.4032091515249272,0.26315667417266464,0.11389601892395189,0.0037798588789005015,0.7888855477795005,,0.0037798588789005015
32.0,0.6149302234068612,1.034956771167879,81.14176,81.14176,0.5412350858791136,0.30993537458390324,0.5550756149409948,2.7054830992399803,0.3454960715631252,0.11411846163529928,0.20850515873086553,0.714554004732321,0.3334024619088288,0.3006359559461313,0.5424844872462181,0.12336309857537206,1.0831203736606572,0.21451260671034345,0.22091459314055145,0.5104706287384033,0.4033836438540178,0.26325449481543683,0.11389601892395189,0.004263952472508269,0.9132229189272039,,0.004263952472508269
33.0,0.5924273790175663,1.0442737179179873,83.1232,83.1232,0.5412350858791136,0.32164109927066326,0.5436287050603761,2.855326132342714,0.3570208880711253,0.11411846163529928,0.202774880676082,0.7253466063554037,0.3259024483321695,0.31589370774185305,0.5479993689131708,0.12495237620352145,1.097074132915496,0.21273903946279987,0.22228551897003532,0.5133068561553955,0.4047029082539565,0.2643019419188564,0.11389601892395189,0.004610607892906732,1.0240125040290877,,0.004610607892906732
34.0,0.5735184744191723,1.322222144829524,85.10464,85.10464,0.5412350858791136,0.33155451649299117,0.5518232125793849,3.0627463953717013,0.3692177908351967,0.11411846163529928,0.19339023435295108,0.7388373228773529,0.31219322537808014,0.33620908977581754,0.5515704032525368,0.12518570031414067,1.0991227041721878,0.21183950676749674,0.22343518243844557,0.5162494778633118,0.40591906513059745,0.2652793396694394,0.11389601892395189,0.005133123748914694,1.1814827303169295,,0.005133123748914694
35.0,0.6438864804384281,1.9550296996745047,86.77376,86.77376,0.4559241291901578,0.286682188606759,0.5570976012805233,2.4199033352069685,0.3223170582144248,0.11411846163529928,0.2211443568398536,0.6882262125890589,0.34919783787722364,0.2715553196486312,0.5440896248712865,0.1221983161759506,1.0728936562527451,0.20946807004295087,0.22079027355623101,0.5194936394691467,0.40711166325564163,0.26632518011494866,0.11389601892395189,0.004661729711829186,0.5088798990473151,0.004661729711829186,
36.0,0.6376160399602347,1.3034600749604537,88.7552,88.7552,0.5412350858791136,0.30204871062738897,0.548391212338114,2.622069049012973,0.33594423783664756,0.11411846163529928,0.20773650535964241,0.7057002601015923,0.3324813591036423,0.2920769285906957,0.5719022218001145,0.1289724986433394,1.1323705592331024,0.21167009717103058,0.23505762530152774,0.52208012342453,0.4068417167068398,0.26591875531469666,0.11389601892395189,0.0037239061616917333,0.8810541180428118,,0.0037239061616917333
37.0,0.6130520609796042,1.1173531423994643,90.73664,90.73664,0.5412350858791136,0.3035628676249181,0.5662429550730754,2.778171002147993,0.3508467593178829,0.11411846163529928,0.2108461292600472,0.7172128049690415,0.33823281450866644,0.30694487470997067,0.5262771966070902,0.11705981770951698,1.0277779576095416,0.20834315342917747,0.2149656851892849,0.5144944787025452,0.40586130986324565,0.265454175389045,0.11389601892395189,0.0036550876750883034,0.886056513292715,,0.0036550876750883034
38.0,0.58901751505459,1.3992804353451453,92.71808,92.71808,0.5412350858791136,0.30737477341455444,0.5767974640976873,2.9979029771531995,0.36195078573896355,0.11411846163529928,0.20905005934886947,0.7301994983277669,0.3345597024733716,0.3297093482962569,0.5127382958918767,0.11420448820984237,1.0027083412467335,0.20517484425446775,0.2126390018985625,0.5191317796707153,0.4103466312042558,0.26922360893624114,0.11389601892395189,0.00440651700841839,1.1010277583263814,,0.00440651700841839
39.0,0.5713268875771804,1.327160148160082,94.69952,94.69952,0.5412350858791136,0.3197118580191769,0.5855448398812491,3.0812655193247975,0.3695290069951348,0.11411846163529928,0.2055474948257628,0.7419019812404049,0.3301022638544981,0.3383317465599897,0.5096817765244835,0.11455052683360588,1.0057465389557734,0.204607291855614,0.2095009740746291,0.5165002346038818,0.41123712696560655,0.2699908111004343,0.11389601892395189,0.004917378991071829,1.2746182252885774,,0.004917378991071829
