round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_auprc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
15.0,0.6372148830376219,0.4321326235815718,35.94416,35.94416,0.0028407849307285522,0.6992889005446191,2.3535134535825555,0.3411378799148812,0.5394945229341821,0.21110373902873816,0.32367259989493524,0.2519907350458986,0.10953729933899904,0.3004629485689777,0.6708131101010085,0.22343618551586447,1.9617558859985467,0.2786686103012634,0.2812946834784869,0.5117365121841431,0.3408025000010951,0.21483374124737842,0.11389601892395189,0.008335500456980257,0.0034483608633308904,0.008394844697292491,,0.0026852715327956725
16.0,0.6413473791368455,0.363425859356442,39.60512,39.60512,1.0,0.6850748889282046,2.170131645322636,0.3507636415449973,0.5456414947231724,0.21898092152943496,0.3051125754196616,0.23450948263526133,0.10953729933899904,0.2790098525571259,0.6705532988015926,0.22304834943043209,1.9583507091618448,0.2791500377521303,0.2815323041738136,0.5114686489105225,0.34746589727361893,0.2211924931868102,0.11389601892395189,0.007561395827993671,1.3894199687310902,0.005393237688020756,0.009424867399963625,0.0035281461774270663
17.0,0.6441779807292692,0.45560004034713,39.6256,39.6256,0.005594161094357764,0.699222759382795,2.3174417157913165,0.3316678272306375,0.548437441506024,0.20502763929192136,0.3190389143702884,0.2484894608958436,0.10953729933899904,0.29946545198008495,0.6706545728771511,0.22307568669407718,1.958590728645435,0.27926657263751764,0.2821193581900035,0.5118927359580994,0.34694462479723803,0.22074854106722758,0.11389601892395189,0.008740527726828148,0.007863142061978579,0.008854260134431973,0.008625152595483966,
18.0,0.6381897615899833,0.4487787291525197,42.61568,42.61568,0.8167475197762336,0.6873103090385355,2.179794156896301,0.3511297124767776,0.5504722996443969,0.21892514248548534,0.3055528116296217,0.23618915816175737,0.10953729933899904,0.2801955259303183,0.671504195858992,0.22355577953351402,1.962805914074852,0.27740901808194096,0.2838215810393051,0.5412352085113525,0.3479397825454632,0.2199474710461335,0.11389601892395189,0.007202776817108508,1.1860678859520704,0.005635502157053875,0.009074951734132766,
19.0,0.6398015737156599,0.496198668538702,42.63616,42.63616,0.005594161094357764,0.6973808865728507,2.31109241525736,0.3215650551426812,0.5383820862788092,0.1989026837777747,0.32123597332917064,0.24871471605850007,0.10953729933899904,0.299301974517619,0.6715339882574278,0.22358482556692602,1.9630609364512828,0.2785631517960603,0.2836630036630037,0.539263129234314,0.3462228134077241,0.2188070222580755,0.11389601892395189,0.007434967471756581,0.007436866406351328,0.007191355000692845,0.007676565113116811,
20.0,0.6408250261221209,0.4404280135276285,46.28672,46.28672,0.9971592150692714,0.6879176668542311,2.1618307661576446,0.34994228695656165,0.5539983321519478,0.21832310978473418,0.30930507149134506,0.23469332478017899,0.10953729933899904,0.27843842898887666,0.6707236325100876,0.22124824848085187,1.942545934187382,0.27927833976431327,0.28065667380442544,0.5555869936943054,0.35210948498687394,0.2240784092006203,0.11389601892395189,0.007109592695374259,1.459116809652187,0.005388924592337739,0.008622092165920421,
21.0,0.6409626974290646,0.5298525897936305,47.60768,47.60768,0.36082339058607577,0.704339025151718,2.3536190033518634,0.35302780520148647,0.5765939169215977,0.21829967280528403,0.32674435164407234,0.252860409842492,0.10953729933899904,0.29783698355609256,0.6710433674415719,0.22204394467415475,1.9495320975390105,0.2799537960726662,0.2810071495181846,0.4977242350578308,0.354488708590716,0.2254023919903853,0.11389601892395189,0.008709378346131474,0.7250494742766023,0.007938461261465022,0.008714295624040533,
22.0,0.6266443435787873,0.530481106096661,49.59424,49.59424,0.5426336261527032,0.7162371892907516,2.517970075321706,0.3413986076196016,0.5701549406392341,0.21001735204260616,0.3386591753802689,0.2692721915605913,0.10953729933899904,0.30674999612846077,0.6706488001293498,0.22113160038686924,1.9415217711386235,0.27983363549109525,0.28116087904713977,0.5803698301315308,0.3494694330238079,0.22276055410218118,0.11389601892395189,0.008936946076328108,1.071622468996793,0.006767347893035692,0.008946803317626505,
23.0,0.6037247256326375,0.6467464491656899,50.9152,50.9152,0.36082339058607577,0.7279175977118252,2.693099666556831,0.3416555532368313,0.597398189551657,0.2100980975094278,0.34854281901767165,0.2868678588734201,0.10953729933899904,0.3063754185913168,0.6706896485947702,0.21995626277148295,1.9312023795875362,0.2796042132141717,0.2813622021542813,0.5043602585792542,0.34913075912170644,0.22240626431203706,0.11389601892395189,0.010610465959805923,0.9787730656098574,0.006473730529049185,0.010635770306168678,
24.0,0.6429362934888978,0.5691945565940925,54.57616,54.57616,1.0,0.6910628240271364,2.2373315743585747,0.3395832917362517,0.5478111953687698,0.21035668951617395,0.31233565226792287,0.24264200112611178,0.10953729933899904,0.28680230416389313,0.6717989573815096,0.2238245844245127,1.9651660043882646,0.28009231142961255,0.28350590637304945,0.5341532826423645,0.33625648033652533,0.21319501683190994,0.11389601892395189,0.006865175293235518,1.6088970153559785,0.005665243975558283,0.007820769152765363,0.003953851982799485
