round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_f1,fed_auprc,fed_brier,fed_f1_best,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6482913531103491,0.3925179228440891,10.08172,40.27056,1.0,0.5681153827488484,0.6773846686023872,2.126208338406583,0.2811600010945579,0.24092932385969537,0.21867471692790927,0.3079301847852868,0.11360775427995973,0.3466152819811412,0.6681513588370653,0.22300363587903557,1.9579581269467776,0.2791011235955056,0.28298001211387036,0.5149484872817993,0.3447585201172232,0.2190575770231195,0.11389601892395189,0.007362784600832285,1.46731352824645,0.006245647130271019,0.008423333993288163,0.0025536731961339093
12.0,0.6406652755073916,0.4177684185117968,10.99824,43.93152,1.0,0.5691124686252885,0.6794617065786548,2.1541382031862395,0.2800656733908529,0.24463551403202793,0.2201788671339764,0.30871714569341463,0.11360775427995973,0.3497552572808643,0.6665358428154063,0.2214973757468451,1.944733256170599,0.2740543420351625,0.28164556962025317,0.5414531826972961,0.3477853546482944,0.2209169245850845,0.11389601892395189,0.0068653289644243385,1.4550132765070884,0.005713698411350577,0.007973089132152963,0.0031291379450538053
13.0,0.6416811856385036,0.43465156977026753,11.91476,47.59248,1.0,0.5695784839127149,0.6792619690748647,2.159582564933839,0.2782320640625847,0.24518339192662078,0.21493970314307678,0.31116900064068315,0.11360775427995973,0.3404783089893747,0.6673249021431401,0.22194642330069952,1.948675865913212,0.27531064289573204,0.28266123902811346,0.5290610790252686,0.33840626143670904,0.2156617292793255,0.11389601892395189,0.006834201387947318,1.5283188007233548,0.005017246052421752,0.008612374121298328,0.0034454833826365106
14.0,0.6396269024339223,0.4484088042104961,12.83128,51.25344,1.0,0.5376122579755109,0.6806722739418216,2.1950050216382238,0.2879715359409552,0.24896749969978196,0.1976411018744938,0.3133061911023418,0.11360775427995973,0.3124700352213789,0.6666085166904445,0.22094040542149498,1.9398430911708722,0.28256788887498435,0.28306321910181864,0.49777716398239136,0.3103210519583219,0.1989131140863209,0.11389601892395189,0.006257945008393111,1.4863622371212841,0.004670541327206364,0.007835203277473172,0.0037663039302659163
15.0,0.6465428165940368,0.5993904017610664,13.7478,54.9144,1.0,0.5655968571560079,0.683450349251037,2.215275855991031,0.28202926144892554,0.25181267455974266,0.21540795124861176,0.3111470876296075,0.11360775427995973,0.34207586390374284,0.6660541070113838,0.22112864488197678,1.9414958219885092,0.27755102040816326,0.28343262770946887,0.5259060859680176,0.34007345175603915,0.2166188900149163,0.11389601892395189,0.006364746897415766,1.5938033720940439,0.00464903483175488,0.008093360178003226,0.0033569604359440265
16.0,0.6412285219598508,0.5542659556151412,14.66432,58.57536,1.0,0.5654536120364703,0.6861421668594391,2.2540765189685414,0.2825700704509964,0.25587891273261226,0.21450077363401085,0.31723824267813433,0.11360775427995973,0.3403400897366358,0.6662668453173152,0.22191929688562778,1.9484376976670519,0.2746856205576818,0.2823803967327888,0.5347313284873962,0.3385028100915498,0.2162092168778674,0.11389601892395189,0.006277428945111245,1.657693142809876,0.004598601990347463,0.00799906063635388,0.003578152553696108
17.0,0.6415063891379388,0.5965287264919633,15.58084,62.23632,1.0,0.5580535961853382,0.6879300657224025,2.269768109838883,0.29183643175119806,0.2577431442087602,0.20344569359037615,0.3183194880870764,0.11360775427995973,0.3220307413199756,0.6664499167193284,0.22233366550977965,1.952075828552281,0.27832628114715563,0.2806775926180967,0.5326468348503113,0.31984089972174123,0.20533917621000486,0.11389601892395189,0.005896243567063651,1.6425486603457102,0.004211662067261677,0.007648963560154183,0.0034272140246234917
18.0,0.6453408468205619,0.7526330998895194,16.49736,65.89728,1.0,0.5614685825497093,0.6913392377047047,2.306796130741318,0.2910109268238837,0.2618849950593921,0.2099699284534072,0.3207334789944533,0.11360775427995973,0.33452885492384987,0.6646519693176949,0.22069408118824596,1.9376803796417406,0.27470265324794146,0.2796009451299553,0.5253248810768127,0.3325642725954605,0.21240880097917583,0.11389601892395189,0.005826882636507939,1.7049780451816332,0.004320609304252005,0.007420766023525113,0.003393456313648994
19.0,0.639515975822119,0.6832937788992567,17.41388,69.55824,1.0,0.5755742086343325,0.6916939934888122,2.3229470403592813,0.2872418402911837,0.2636324297810324,0.2123918429813222,0.32176335830501474,0.11360775427995973,0.3380653701637274,0.6645030951716788,0.21994604429199285,1.9311126619697772,0.27292965271593944,0.279563957499655,0.5406022667884827,0.3358922594363906,0.21482639573916404,0.11389601892395189,0.00547540288142942,1.6800823794419557,0.003817292942791952,0.007261042109924288,0.0029827462909183806
20.0,0.643342605123508,0.7551479594957123,18.3304,73.2192,1.0,0.566290965316909,0.6923633770739005,2.3495634013143016,0.28625753450359154,0.26686268593134393,0.20926469575262807,0.3242867838299821,0.11360775427995973,0.3324208806052219,0.6637082505466918,0.2197422851317465,1.9293236691483302,0.2757316123289196,0.2785441737599061,0.5506347417831421,0.33016644956437075,0.2119416477634486,0.11389601892395189,0.005464786783590297,1.7628693327224028,0.003720072606718776,0.007360838315274002,0.003608701998377754
21.0,0.642422162683384,0.8481110141223175,19.24692,76.88016,1.0,0.5534060310876261,0.6937493815923839,2.347958921251749,0.2874930585445513,0.2670002290759868,0.21130763850545045,0.32695899815753093,0.11360775427995973,0.33503971452761927,0.6622097330636239,0.21929859375122704,1.9254280862762394,0.2754555198285102,0.2824281150159744,0.5328963398933411,0.3325902712279914,0.21419250100935677,0.11389601892395189,0.005030639681315804,1.7000105882434582,0.003396809814159591,0.0068268223868150355,0.00343504780546319
22.0,0.6448860772379843,0.9151401956569719,20.16344,80.54112,1.0,0.5800118820173413,0.6964319971880257,2.3681573114016743,0.2886845830025827,0.26933094086436876,0.21265662283225734,0.32602312531522176,0.11360775427995973,0.3368270113982855,0.661595236609622,0.21918224390111127,1.924406541790181,0.2745309467328014,0.2799626716437808,0.5381944179534912,0.33450405409159223,0.21592567746405425,0.11389601892395189,0.004972884336706109,1.7609221626426006,0.003270584107263577,0.006876703597427276,0.002631851645441075
23.0,0.6442970880627865,0.9818246892942692,21.07996,84.20208,1.0,0.5608213166767226,0.6983137543040417,2.3826824022960373,0.29245924295907383,0.27132339315128157,0.20660275943250397,0.3280322113662566,0.11360775427995973,0.3299126875621861,0.6616607698466191,0.21893577078143772,1.922242523047453,0.27711941659070194,0.28486416558861577,0.5198997855186462,0.32765088089025496,0.21010080761405553,0.11389601892395189,0.004914337625668973,1.8199453829238337,0.003127958714328233,0.0069217166834522415,0.0033272817152692254
24.0,0.6455512544877647,1.0817902238434818,21.99648,87.86304,1.0,0.5414157293245482,0.700608280218306,2.4080554100467904,0.30400201099220575,0.2747092120595059,0.19422832662237266,0.33249603200926264,0.11360775427995973,0.3116383289780316,0.6571828242782095,0.21720027587571927,1.9070049851412576,0.2753471312549122,0.2777635291100282,0.4962613582611084,0.3094913743243828,0.19846545030221552,0.11389601892395189,0.004699605943740041,1.8209331358702912,0.0027630611583533593,0.006882688839288213,0.0038999747730550974
25.0,0.6495194122838254,1.135041927605815,22.913,91.524,1.0,0.5468488244578047,0.7017443319905845,2.438909120403416,0.29805375071076046,0.27810588644959383,0.19922120683609904,0.3293288407390583,0.11360775427995973,0.3178691679534075,0.6601556262530313,0.21721286927463657,1.9071155544046636,0.27503628447024675,0.2788346414793136,0.5187518000602722,0.315716964081693,0.20362727653353183,0.11389601892395189,0.004672131591896706,1.892473872174378,0.0027232481417403657,0.006892550939448087,0.0031883893615941234
26.0,0.6466839733908577,1.2054143617382131,23.82952,95.18496,1.0,0.581128758703774,0.7048691374584519,2.4525632250143863,0.2939934369704984,0.2794644151753422,0.21051384663312908,0.3341401892752994,0.11360775427995973,0.3362599576636188,0.6586668722434189,0.21662624050414014,1.9019649900913655,0.2747470303563572,0.28000493400764764,0.5198931694030762,0.33382238191710656,0.21487112937758032,0.11389601892395189,0.004557893326302972,1.927982971734309,0.0027707183204757103,0.006600809348035993,0.003232669143917864
27.0,0.6498507289516798,1.336308535377916,24.74604,98.84592,1.0,0.5625877681226739,0.7086376510042487,2.487197005773412,0.2964650159314991,0.28311115153947775,0.20537953613203822,0.34144257955003243,0.11360775427995973,0.32773550829575443,0.6584650645099547,0.21451274646900365,1.8834086432137134,0.2736586978076457,0.2781030444964871,0.5496267676353455,0.3256520574411332,0.21084427006419298,0.11389601892395189,0.003948120857678513,1.7324550066723532,0.0023754729097761173,0.005754894959569664,0.0033996246760112114
28.0,0.6516232898344371,1.6895466377011374,25.66256,102.50688,1.0,0.5591152692523157,0.7072077530452837,2.4821567656960473,0.30412029646354977,0.2826067432869309,0.19870286015637403,0.3351892334897608,0.11360775427995973,0.317793871078919,0.6583004784503574,0.21434660185948662,1.8819499038206537,0.2758286958625696,0.2764474851133916,0.5095661282539368,0.31582665041558744,0.20451182106675006,0.11389601892395189,0.004344653753536708,1.9781118787941523,0.002568539767333938,0.006399456959272572,0.0030158921136726373
