round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_auprc,fed_brier,fed_ece,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,9.316023791382948,704.5272705961012,40.27056,40.27056,1.0,0.6826281284840628,0.28609355396172664,0.23216032259236907,0.2344140933040234,0.3750796677989707,0.10960025180988352,0.31038429689801883,0.5878199449004262,2.1523093485817606,0.6688770559829537,0.21928358443826723,1.9252963054370003,0.2773253813510724,0.2801546048247368,0.5714039206504822,0.37125872816303435,0.236121838494197,0.11389601892395189,0.006447482642667955,1.111897228595808,0.005338375280914321,0.00736714336737332,0.002974276765113311
12.0,9.374656796230829,978.4004194724081,43.93152,43.93152,1.0,0.6813248376904057,0.2748218169890945,0.23059669597905952,0.2460086202643602,0.38919901330777973,0.10960025180988352,0.30949587271228907,0.607852668247397,2.1300077150786985,0.6650513807182894,0.21533273251372181,1.8906080699580816,0.26969846762234306,0.28139904610492844,0.6139215230941772,0.38585746635385854,0.24797251397943473,0.11389601892395189,0.006012484324818967,1.082795184573115,0.005101819501145547,0.006782831857968078,0.0025559967693637134
13.0,9.385498335809194,821.6926078356322,47.59248,47.59248,1.0,0.681251796213754,0.28424554327703605,0.23130461067514613,0.23950475238635677,0.38158193259146134,0.10960025180988352,0.31353541971401366,0.5931994108385285,2.142381453904419,0.668213215084702,0.21925267188471215,1.9250248951291848,0.2753975265017668,0.27916534935188114,0.6128174066543579,0.3776851229992491,0.24116524078085344,0.11389601892395189,0.006140774411755587,1.1517114609741839,0.004960708738469497,0.007147103133775003,0.002453448183550437
14.0,9.27502100696479,748.6124635682274,51.25344,51.25344,1.0,0.6856130896118153,0.2802305293149805,0.23400742362516283,0.23731393229328068,0.3786549158391992,0.10960025180988352,0.31302116304551036,0.5897863091951951,2.164662306579952,0.6670640868875849,0.21899991748346043,1.9228057271227905,0.2738043001316367,0.28087306145893165,0.600913941860199,0.3745830936606838,0.23877382019934235,0.11389601892395189,0.004884773701595478,0.9561312213754718,0.004351829642444306,0.0053529648522114975,0.0021467437536589803
15.0,9.20372607256033,751.0604078511058,54.9144,54.9144,1.0,0.6870954058293116,0.280746971198815,0.23405084320120184,0.24134501681233467,0.38380046242582444,0.10960025180988352,0.3158128479545129,0.5985526185854448,2.161511658943095,0.6666867123242494,0.21911731393788347,1.923836460729919,0.27333122429610884,0.2782137252104437,0.6079092621803284,0.37994974648516294,0.24304263303394613,0.11389601892395189,0.005050224811304933,1.0278494538288214,0.0041479393697117575,0.005839414861946208,0.0028831560329240498
16.0,9.34260352218189,779.7669456952242,58.57536,58.57536,1.0,0.6846181478028974,0.28392949711561727,0.23089330393139637,0.24006908874901797,0.3825269655589229,0.10960025180988352,0.3122759482137173,0.5822950414340002,2.1274959342507205,0.6672239418038752,0.2171909478264708,1.9069230854459338,0.27603121516164997,0.2777597928132082,0.4769029915332794,0.37855028911597827,0.24170501221790142,0.11389601892395189,0.00554278859581985,1.1712663042389977,0.0044742233947077225,0.0064929726675481405,0.00231724096067879
17.0,9.358837457538295,739.0583793380357,62.23632,62.23632,1.0,0.6878481487771971,0.28397227715988116,0.23747043634772821,0.23859781085767381,0.3805125339810939,0.10960025180988352,0.3165397708404875,0.5821988497509835,2.1925410640252383,0.6674921235876031,0.21598505424256148,1.8963354143815527,0.2736074723772639,0.278524449528167,0.6031020283699036,0.37641547544924464,0.24033579038978686,0.11389601892395189,0.004567158538239818,1.0056421900353598,0.004012969970974403,0.005069084131268377,0.0023381764443104044
18.0,9.439355604713032,1306.7899261954224,65.89728,65.89728,1.0,0.6871310607193275,0.2876311215523253,0.23403074596702936,0.23798250401388227,0.37972143355840243,0.10960025180988352,0.3162213528940713,0.576034742680067,2.163948839386951,0.6690028391377644,0.21655536321785082,1.9013426919025531,0.2751700301036905,0.2807122549753105,0.6101822853088379,0.37577593733352527,0.2397528129427279,0.11389601892395189,0.004786382458136541,1.0908985739897616,0.004025280788859417,0.005482484469427337,0.0021730468309485657
19.0,9.323846074166614,809.7559305935274,69.55824,69.55824,1.0,0.6872697797178102,0.2886163644175525,0.23386467816272127,0.23851203575102722,0.38086365177866266,0.10960025180988352,0.31827597432173954,0.5911149157830894,2.157678930674472,0.668248541791356,0.218045135942813,1.9144228042632574,0.2771586175841495,0.280332135332755,0.5594925284385681,0.3768740344886913,0.24037124791808556,0.11389601892395189,0.00453690669887226,1.072492281095947,0.0035133404544475063,0.00548115907816439,0.002392828192669707
20.0,9.261036284356745,784.4379258658558,73.2192,73.2192,1.0,0.687902701808838,0.28440697265517745,0.23784933654579507,0.24247462404607614,0.385745444517673,0.10960025180988352,0.32057686776146926,0.6010393690380016,2.1897789581262685,0.6667043192050435,0.2173630676514882,1.9084342868614312,0.27483870967741936,0.28089560918871764,0.6119810342788696,0.38197671993160726,0.24454033354960492,0.11389601892395189,0.0042951936399966565,1.0550235576720297,0.003386893952600821,0.005141672802343269,0.0018617481964801259
