round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auroc,fed_f1,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
14.0,0.6237803603606196,0.39604175787046475,30.3224,30.3224,0.5426336261527032,0.2710823376034169,0.7012302278750309,0.3072578681968399,0.5856171584948776,0.20927048470234472,0.3315653857385408,0.11456628477905073,2.4403518816064738,0.3429753007401561,0.664980513964302,0.227078404279207,1.993734341415627,0.27661450297553447,0.2846453624318005,0.5508575439453125,0.3448599020097077,0.2190409304504651,0.11389601892395189,0.010411094063985583,0.9834868453908712,0.0064758620762928295,0.010429916170974015,
15.0,0.6114272802077125,0.4824254755369834,30.34288,30.34288,0.005594161094357764,0.28572202256946755,0.7129514769458696,0.3193501658263006,0.5777115142947252,0.20678555195441947,0.33066309721577397,0.11456628477905073,2.5764713394834264,0.3529709877616208,0.6649306298936273,0.22703024934779173,1.9933115440968951,0.27574931880108994,0.28457446808510634,0.5155438780784607,0.34641318760200684,0.22011912668088698,0.11389601892395189,0.009356529095972468,0.0074976610485464334,0.006634165290696676,0.012919193276140184,
16.0,0.6434643667903682,0.37399172231418887,34.00384,34.00384,1.0,0.24400675407724337,0.6805607742971096,0.28870963092556834,0.5538915141893547,0.21949137272898506,0.3454118528172709,0.11456628477905073,2.1858461877708346,0.3160802939285758,0.6649128724194123,0.22779834116103187,2.0000553426993117,0.2766974816703857,0.28656024716786815,0.5391281247138977,0.34740225469314895,0.2221072904126362,0.11389601892395189,0.007165579883120665,1.2045747240981655,0.006587798853888545,0.0075765623847185255,0.0052240513210593635
17.0,0.6405571978357248,0.4611058726735705,34.01424,34.01424,0.0028407849307285522,0.2644501147937775,0.6970306878647079,0.30440450943507485,0.5681548642111143,0.2148031004839977,0.341740163863193,0.11456628477905073,2.374255539394677,0.3347092679887418,0.6649270282009774,0.2278342663408831,2.000370763555902,0.27752121147030395,0.2873253876714084,0.5355901718139648,0.34583202751928144,0.22098965778989893,0.11389601892395189,0.009402691657926008,0.0035200028269173345,,0.009359554804303344,0.033350581588786544
18.0,0.6226766872340745,0.42092456661617694,35.99072,35.99072,0.5398802499890739,0.2787328923410837,0.7053398919451257,0.3103415692945494,0.5727974906475587,0.20919769492939116,0.33380365764259545,0.11456628477905073,2.5131368458431176,0.3485989720988544,0.6649031214954086,0.22768778665247352,1.9990846809535998,0.2774340605665907,0.2873714737674664,0.540886640548706,0.34097446924200825,0.21872394269419865,0.11389601892395189,0.007830071618355106,0.8058736750772368,,0.007830044124435864,0.011146154769979865
19.0,0.6071129930252582,0.5750338872267288,36.00112,36.00112,0.0028407849307285522,0.2949568737102913,0.717336173928571,0.3256446636823853,0.5667802563421854,0.20304614761551223,0.3252687286096634,0.11456628477905073,2.663508896907993,0.35582077138592955,0.6649215566400178,0.22767928170822058,1.9990100080692155,0.2791363736505838,0.2872607260726073,0.5378602743148804,0.33857646640796074,0.21703688531754745,0.11389601892395189,0.009859233754620833,0.0036782971619686577,,0.009805765118219498,0.030689684921188374
20.0,0.6377143340015395,0.5901965086948608,39.64672,39.64672,0.9958043791792317,0.24713897052797823,0.6833777593581146,0.29006957915277454,0.58253106189535,0.2157453350595348,0.33764212525397047,0.11456628477905073,2.2115318928005046,0.3208274538114423,0.6634834773165397,0.22669482322625986,1.990366523500909,0.27340668465850115,0.2841084726710693,0.5567657947540283,0.3443126544720832,0.22060283089801527,0.11389601892395189,0.007202942328734092,1.3031542872658974,0.007027012846201218,0.007322782269867526,0.006302853804595014
21.0,0.6393447180953724,0.5629170734859351,39.6672,39.6672,0.005594161094357764,0.26970627205794495,0.7000206847653794,0.308230486357018,0.5542830480341195,0.208771234914318,0.3326874376429065,0.11456628477905073,2.421998812361672,0.3412908250904449,0.6635017869666314,0.22658081842395938,1.989365568389593,0.27355242566510174,0.2849216257455958,0.5533356070518494,0.34457786473828506,0.22056510949449895,0.11389601892395189,0.008651319540916424,0.007781605236232281,0.0077578320977395605,0.009818827157732342,
22.0,0.6354892466247772,0.5595117104090342,41.35168,41.35168,0.4601197500109261,0.2520128261679893,0.6875639867430139,0.2910170840131452,0.5725055887861814,0.21942134303953242,0.3466669964035062,0.11456628477905073,2.2530049006400774,0.32547639818076485,0.6638726985623198,0.22629068911977876,1.986818251047673,0.2717272817362006,0.28355532786885246,0.5481188893318176,0.3553257101197188,0.22744962749071804,0.11389601892395189,0.006326548594818994,0.5021928277565166,0.006312873074110785,0.00802538697860125,
23.0,0.6301497665486483,0.49843850644449644,41.37216,41.37216,0.005594161094357764,0.27455182679204554,0.7053814019262103,0.31415917658067816,0.5711891715838449,0.21173035602393167,0.33834751990831186,0.11456628477905073,2.4649691577897546,0.3431230073524457,0.6639232101055815,0.22631354530563766,1.9870189269455212,0.27299109376563596,0.28330565844935496,0.5471668839454651,0.35482169004262454,0.22708246202947194,0.11389601892395189,0.008066044855167993,0.007715462241321802,0.0069295450965226576,0.00952029389170558,
24.0,0.637742586295269,0.4986383543530192,45.03312,45.03312,1.0,0.25161815226109335,0.6872909983471919,0.2952635385687456,0.5585922278960045,0.2221648342736722,0.35111861079218376,0.11456628477905073,2.242569723031451,0.3225247416419223,0.6634392655980523,0.2242879086332321,1.9692339622773702,0.27656233643881506,0.281911353653667,0.5475893020629883,0.35331780237228555,0.22573982418310615,0.11389601892395189,0.006886763343431672,1.3553906880879367,0.005605310923291333,0.007873590723648122,0.0036240481823788693
25.0,0.6397839036125131,0.515250788539533,45.0536,45.0536,0.005594161094357764,0.2772915362020347,0.7036993170436255,0.3179237432329777,0.5291409917334293,0.21063575114761146,0.33845694641939456,0.11456628477905073,2.484942672647023,0.3417474072724032,0.6634464940822558,0.22439940501855765,1.970212893642829,0.27754929874512285,0.28202084157762825,0.5442366003990173,0.3522850241493499,0.2249087617611163,0.11389601892395189,0.008403627280566716,0.008781381417065859,0.0072942435743684675,0.009741942692178793,
26.0,0.6186331920534757,0.550666260325483,46.38496,46.38496,0.36366417551680436,0.2927348225572715,0.7168024417588997,0.3177424553891014,0.5822615775374791,0.20594302447424895,0.3311268696919071,0.11456628477905073,2.6315582877146664,0.3631745121963779,0.663437483575905,0.224139002633949,1.9679265768157015,0.27726510067114096,0.2828764402065952,0.5464721918106079,0.3532935914232096,0.22563022765258506,0.11389601892395189,0.009305009089189005,0.7881462176610512,0.006000351045308099,0.009327552717796587,0.005636969575435704
27.0,0.5988179391688201,0.6762953329884512,46.39536,46.39536,0.0028407849307285522,0.31092941850228295,0.7276608119874881,0.33607740761310434,0.5692813135988388,0.1864557359437521,0.29935288375899444,0.11456628477905073,2.8012196829973544,0.37501345436054034,0.6634616663694121,0.22423265404637005,1.9687488304230343,0.275811209439528,0.2826597131681878,0.5442808866500854,0.353273818150033,0.22572485163278114,0.11389601892395189,0.007070419221244377,0.003560936159828998,,0.0070852068370560765,0.0033913904875919275
28.0,0.5853634324170244,0.7305503366684242,48.3872,48.3872,0.5440758708098422,0.3247279219677551,0.7380697347494869,0.33432206420318705,0.5841845733556913,0.20146198855426123,0.3260271312658601,0.11456628477905073,2.9336394625755693,0.37965015496732435,0.6635042592086245,0.22292772684998866,1.957291650367841,0.2760199833472107,0.2832377310388782,0.5430598258972168,0.35052228637999255,0.22516124909459878,0.11389601892395189,0.00983079346354673,1.2221114601406953,0.005813915081365103,0.009850370975480261,0.003774505007705867
29.0,0.5639764854720394,0.9941588144549577,48.3976,48.3976,0.0028407849307285522,0.34290255498369854,0.748519584615476,0.35081855776268445,0.5929504659664236,0.18219844844384983,0.2921283189294668,0.11456628477905073,3.1149779623124405,0.3887145492251752,0.6635121528137703,0.22294775933279293,1.9574675343275574,0.2751740621427829,0.2825221523051239,0.5466911196708679,0.3511206773371052,0.22578413536732697,0.11389601892395189,0.00875264089172697,0.004606228428201575,,0.008772764725582041,0.0035474643261116574
30.0,0.5472161230511421,1.2305320727272944,49.72896,49.72896,0.36366417551680436,0.3653004690238817,0.760821195030634,0.35225104475320895,0.6198165440017595,0.18973228204506895,0.30415241494614775,0.11456628477905073,3.323197146077826,0.40412366686164525,0.6632872540891008,0.2220303337948485,1.9494125948607355,0.27549860493954736,0.2823460064839375,0.5747226476669312,0.3527696619341932,0.22705095241051496,0.11389601892395189,0.010833318687460658,1.0556222601107947,0.006484303862149691,0.010861824439429658,0.0022885485325792026
