round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6456267374509743,0.3840092882162186,40.27056,40.27056,1.0,0.11183134046570169,2.0271238798357367,0.6632460721244494,0.2780076859311856,0.5336077984227857,0.22429177450037008,0.20935651408538425,0.2908348618819165,0.33098534382199846,0.660416717596525,0.2107081870720423,1.8500048470766277,0.27244801512287337,0.27514919011082695,0.47695761919021606,0.328453562692137,0.20980791983352567,0.11389601892395189,0.003222865832793331,0.38143415533158986,0.003519388863623981,0.003017820519027804,0.003007367416109916
12.0,0.6438798339502999,0.4340070751749792,43.93152,43.93152,1.0,0.11183134046570169,2.032359554451176,0.6645045577735618,0.2764507760586135,0.5338610044922596,0.22530853472875512,0.21251865519775054,0.29213335995619527,0.3366407261489696,0.6610258303357295,0.21165926706125354,1.8583552705435469,0.2746316758747698,0.2760656511984886,0.5049639940261841,0.3340302888187561,0.21292545493794135,0.11389601892395189,0.0033188246663285337,0.39626853680601926,0.00364026860665238,0.003092774929085574,0.0032424948189225308
13.0,0.6430955319157288,0.3812208090999195,47.59248,47.59248,1.0,0.11183134046570169,2.038381455078058,0.6642544430621947,0.2767032157536532,0.5437527917949112,0.22585848486612972,0.21274361754867177,0.2937213389902035,0.3369564536975343,0.6609837018262315,0.21182652669347507,1.8598237997669713,0.27610498806953754,0.2766321066423607,0.5005601048469543,0.3343386157639908,0.2132834624683813,0.11389601892395189,0.0033312913003539276,0.4009290577760112,0.003615043271808202,0.0031360765884098922,0.0027656825231157796
14.0,0.6464330640414866,0.4467886119463686,51.25344,51.25344,1.0,0.11183134046570169,2.0470285417948006,0.6661606045255342,0.28056137471256515,0.5131394255285069,0.22715192985649643,0.21384611537043247,0.29424828889778354,0.3407126698021697,0.6621655087956848,0.21209842772094561,1.862211073967065,0.27641890287342674,0.2793421941878802,0.48944246768951416,0.3380317642232589,0.2143768855252481,0.11389601892395189,0.0030917467443324423,0.37510063253557746,0.003383957014399709,0.002885942835149385,0.0027537476503574636
15.0,0.6430306550226803,0.36237778833187534,54.9144,54.9144,1.0,0.11183134046570169,2.0526063492863993,0.6673161963813294,0.2834275060625376,0.5219576455985621,0.2278810380945569,0.20726070058344212,0.2961123761382951,0.3293036808967215,0.6614512442003336,0.2125336865196932,1.8660326192928784,0.27466986794717885,0.2764265668849392,0.4941759407520294,0.3264873385634874,0.20791701375910066,0.11389601892395189,0.0030338248228195448,0.3710098665414989,0.003329310360946821,0.0028237844760722695,0.00270396575261056
16.0,0.6432262366483121,0.4118774592395719,58.57536,58.57536,1.0,0.11183134046570169,2.058475943547269,0.6681218669857887,0.2784911229393293,0.5413273379834963,0.2285678871273996,0.21908511075426615,0.2968301987335887,0.3481740477833078,0.6614196823292023,0.2128754948958818,1.8690336756899142,0.27377104001783525,0.2758537176071688,0.516417920589447,0.34546977893396263,0.21971847574385162,0.11389601892395189,0.0030942061810158013,0.3817527109549701,0.003424840533310782,0.002854042824409519,0.0030155823348421446
17.0,0.6445735019474357,0.3663563241423093,62.23632,62.23632,1.0,0.11183134046570169,2.0472028333484866,0.6691070377518087,0.2828627961833083,0.5314794333795841,0.22828662481496212,0.21026189499340395,0.3020775868270405,0.33376521231938333,0.6617686198348903,0.21303146111078303,1.870403049407931,0.2760118911502401,0.27810866658563266,0.5136737823486328,0.33099101691713656,0.21102111890591108,0.11389601892395189,0.003074563575026625,0.3826280351186142,0.0033370638517898174,0.0028892571015649887,0.0023866973718551206
18.0,0.6459019456544235,0.4632491158005325,65.89728,65.89728,1.0,0.11183134046570169,2.0515914280060015,0.6702345602870217,0.2860404424019061,0.5159332099633819,0.22898500606191122,0.2084408300495088,0.3022530438905667,0.3313114460334978,0.6614137338890765,0.213098269550358,1.8709896233743097,0.27761086407883667,0.2797900262467191,0.5183451175689697,0.3285201281778609,0.20938738734145798,0.11389601892395189,0.0029490093816600953,0.37071287880826276,0.0032732447375518146,0.002714483744793256,0.00241212165400058
19.0,0.6416769854393,0.4157261294556399,69.55824,69.55824,1.0,0.11183134046570169,2.0558522249184557,0.6703588972356597,0.2887292820998439,0.5199684721764113,0.22914431632190943,0.2012760451677611,0.30105847037233086,0.3205763626325572,0.6618051387394598,0.21305065697518,1.8705715879097884,0.2751918158567775,0.27660086663456906,0.48709553480148315,0.317723421825875,0.2023720286279461,0.11389601892395189,0.0029550635945140846,0.3749406137976621,0.003250609618415729,0.002741219977296919,0.0023175677378452697
20.0,0.645752727530482,0.4583785369737744,73.2192,73.2192,1.0,0.11183134046570169,2.0662252481562624,0.6714716108593638,0.2840596390614623,0.5353431887488608,0.2304547350273455,0.22216843331242314,0.30277581593847736,0.3535922240580755,0.6617057596311144,0.21261459235885072,1.8667429675554594,0.2750787224471435,0.27726781857451405,0.5367088913917542,0.35084501446055394,0.22318333758112566,0.11389601892395189,0.0029734305274206566,0.3803643363971787,0.003270127944954291,0.0027535811129715056,0.002576448689200074
